_nt,Title,期刊,Item Type,Key,PDF,判定,判定理由,软件,专科,应用场景,研究设计,原始返回
where is the center of resistance of a maxillary first molar a 3 dimensional finite element analysis,Where is the center of resistance of a maxillary first molar? A 3-dimensional finite element analysis,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,GHP84UX8,Gandhi 等 - 2021 - Where is the center of resistance of a maxillary first molar A 3-dimensional finite element analysi.pdf,EXCLUDE,"证据片段仅泛泛提及""Specialized software was used to preprocess the models""和""custom-designed algorithms were used""，未给出任何具名的第三方非牙科3D软件名称。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅泛泛提及""Specialized software was used to preprocess the models""和""custom-designed algorithms were used""，未给出任何具名的第三方非牙科3D软件名称。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
different biomechanical effects of clear aligners in closing maxillary and mandibular extraction spaces finite element analysis,Different biomechanical effects of clear aligners in closing maxillary and mandibular extraction spaces: Finite element analysis,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,C5PL839F,Liu 等 - 2023 - Different biomechanical effects of clear aligners in closing maxillary and mandibular extraction spa.pdf,INCLUDE,"该研究自身在方法中使用具名第三方非牙科3D软件，原文明确写道""imported into Mimics Research software (version 19.0; Materialise, Leuven, Belgium) to isolate the bimaxillary bone and dentition""以及""refined and smoothed using Geomagic wrap 2017""。",Mimics Research; Geomagic Wrap,Orthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用具名第三方非牙科3D软件，原文明确写道""imported into Mimics Research software (version 19.0; Materialise, Leuven, Belgium) to isolate the bimaxillary bone and dentition""以及""refined and smoothed using Geomagic wrap 2017""。
【软件】: Mimics Research; Geomagic Wrap
【专科】: Orthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual appliance using untreated posterior teeth for registration and digital superimposition a retrospective study,Assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual appliance using untreated posterior teeth for registration and digital superimposition: A retrospective study,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,SNIDCHC3,Sharp 等 - 2022 - Assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual applian.pdf,EXCLUDE,"证据片段仅提到""Final surface 3-dimensional imaging software was used""，未给出任何具名的第三方非牙科3D软件名称；文中出现的 Incognito 为牙科专用舌侧矫治系统，不符合纳入标准。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅提到""Final surface 3-dimensional imaging software was used""，未给出任何具名的第三方非牙科3D软件名称；文中出现的 Incognito 为牙科专用舌侧矫治系统，不符合纳入标准。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
evaluation of planned and achieved root angulation changes in teeth adjacent to mandibular premolar extraction sites in patients treated with invisalign a retrospective study,Evaluation of planned and achieved root angulation changes in teeth adjacent to mandibular premolar extraction sites in patients treated with Invisalign: A retrospective study,AMERICAN JOURNAL OF ORTHODONTICS AND DENTOFACIAL ORTHOPEDICS,journalArticle,PDF7C9KQ,Thilagalavanian 等 - 2025 - Evaluation of planned and achieved root angulation changes in teeth adjacent to mandibular premolar.pdf,INCLUDE,"该研究自身将数字模型导入 ""Geomagic Control X (version 2017.0.3; 3D systems, Rock Hill, SC) software platform for analysis""，并使用其 ""best-fit alignment facility"" 和 ""flood-selection tool"" 进行三维测量分析。",Geomagic Control X,Orthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身将数字模型导入 ""Geomagic Control X (version 2017.0.3; 3D systems, Rock Hill, SC) software platform for analysis""，并使用其 ""best-fit alignment facility"" 和 ""flood-selection tool"" 进行三维测量分析。
【软件】: Geomagic Control X
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and of different lengths,Biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and of different lengths,BMC ORAL HEALTH,journalArticle,HIY5AECS,Huang 等 - 2021 - Biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and.pdf,EXCLUDE,"证据片段仅泛泛提及""The CAD software was used to combine the mandible, miniplate, and screw""，未给出任何具名的第三方非牙科3D软件名称，无法确认其使用了符合纳入标准的具名软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅泛泛提及""The CAD software was used to combine the mandible, miniplate, and screw""，未给出任何具名的第三方非牙科3D软件名称，无法确认其使用了符合纳入标准的具名软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
effect of the presence of orthodontic brackets on intraoral scans,Effect of the presence of orthodontic brackets on intraoral scans.,The Angle orthodontist,journalArticle,T8Q2R8EA,Kang 等 - 2021 - Effect of the presence of orthodontic brackets on intraoral scans..pdf,EXCLUDE,"证据片段中仅提及使用 iTero 和 Trios 口内扫描仪及""best-fit algorithm""进行叠加分析，未出现任何具名的第三方非牙科3D软件（如 Mimics、Geomagic 等）被该研究自身使用；G-power 仅用于样本量计算，非3D数据处理软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅提及使用 iTero 和 Trios 口内扫描仪及""best-fit algorithm""进行叠加分析，未出现任何具名的第三方非牙科3D软件（如 Mimics、Geomagic 等）被该研究自身使用；G-power 仅用于样本量计算，非3D数据处理软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
a feasibility study of hololens ear image guidance for ear reconstruction,A Feasibility Study of HoloLens Ear Image Guidance for Ear Reconstruction,ANNALS OF PLASTIC SURGERY,journalArticle,6SIK9KIX,Jiang 等 - 2025 - A Feasibility Study of HoloLens Ear Image Guidance for Ear Reconstruction..pdf,EXCLUDE,"证据片段仅提及""data processing software""和自研的""HoloLens Ear Image Guidance Application""，未出现任何具名的第三方非牙科3D软件；且该研究主题为耳再造（整形外科），不属于口腔医学任一学科。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅提及""data processing software""和自研的""HoloLens Ear Image Guidance Application""，未出现任何具名的第三方非牙科3D软件；且该研究主题为耳再造（整形外科），不属于口腔医学任一学科。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
three dimensional tooth models with pulp cavity enhance dental anatomy education,Three-Dimensional Tooth Models with Pulp Cavity Enhance Dental Anatomy Education,ANATOMICAL SCIENCES EDUCATION,journalArticle,9LU3ERIG,Sun 等 - 2022 - Three-Dimensional Tooth Models with Pulp Cavity Enhance Dental Anatomy Education.pdf,INCLUDE,"该研究自身在方法中使用 Mimics 软件进行三维重建，证据原文为 ""The software package Mimics, version 17.0 (Materialise, Leuven, Belgium) was utilized to convert the slice data into a digital model of the tooth.""",Mimics,Dental Anatomy / Education (Oral Anatomy),Image segmentation and 3D reconstruction,educational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Mimics 软件进行三维重建，证据原文为 ""The software package Mimics, version 17.0 (Materialise, Leuven, Belgium) was utilized to convert the slice data into a digital model of the tooth.""
【软件】: Mimics
【专科】: Dental Anatomy / Education (Oral Anatomy)
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: educational"
marginview3d a novel software enabling comprehensive three dimensional surgical pathology documentation for improved intra and postoperative cancer care,MarginView3D: A Novel Software Enabling Comprehensive Three-Dimensional Surgical Pathology Documentation for Improved Intra- and Postoperative Cancer Care,ANNALS OF SURGICAL ONCOLOGY,journalArticle,SUL3GW4D,Karasick 等 - 2025 - MarginView3D A Novel Software Enabling Comprehensive Three-Dimensional Surgical Pathology Documenta.pdf,EXCLUDE,"该研究使用自研软件 MarginView3D (MV3D)，证据片段仅提及""incorporating open-source platforms, commercial 3D scanners""，未指明任何具名的第三方非牙科3D软件被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究使用自研软件 MarginView3D (MV3D)，证据片段仅提及""incorporating open-source platforms, commercial 3D scanners""，未指明任何具名的第三方非牙科3D软件被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
application of a virtual and mixed reality navigation system using commercially available devices to the lateral temporal bone resection,Application of a virtual and mixed reality-navigation system using commercially available devices to the lateral temporal bone resection.,Annals of medicine and surgery (2012),journalArticle,3NRBHY63,Ito 等 - 2021 - Application of a virtual and mixed reality-navigation system using commercially available devices to.pdf,INCLUDE,"该研究自身在材料与方法中使用 3D Slicer 进行图像分割与三维重建，原文明确写道 ""Facial nerve, cochlea, and semicircular canals were manually outlined by the surgeon on 3D Slicer software""。",3D Slicer,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,case_report,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用 3D Slicer 进行图像分割与三维重建，原文明确写道 ""Facial nerve, cochlea, and semicircular canals were manually outlined by the surgeon on 3D Slicer software""。
【软件】: 3D Slicer
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: case_report"
waferless orthognathic surgery with customized osteosynthesis and surgical guides a prospective study,Waferless Orthognathic Surgery with Customized Osteosynthesis and Surgical Guides: A Prospective Study,APPLIED SCIENCES-BASEL,journalArticle,FK2AQUZY,Espino-Segura-Illa 等 - 2024 - Waferless Orthognathic Surgery with Customized Osteosynthesis and Surgical Guides A Prospective Stu.pdf,EXCLUDE,"证据片段仅泛泛提及 ""CAD/CAM-generated cutting guides""、""CAD/CAM occlusal surgical splints"" 等概念，未出现该研究自身使用的任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅泛泛提及 ""CAD/CAM-generated cutting guides""、""CAD/CAM occlusal surgical splints"" 等概念，未出现该研究自身使用的任何具名第三方非牙科3D软件（如 Mimics、3D Slicer、Geomagic 等）。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
novel design and optimization of porous titanium structure for mandibular reconstruction,Novel Design and Optimization of Porous Titanium Structure for Mandibular Reconstruction,APPLIED BIONICS AND BIOMECHANICS,journalArticle,VTYTBDL8,Liu 等 - 2022 - Novel Design and Optimization of Porous Titanium Structure for Mandibular Reconstruction.pdf,INCLUDE,"该研究自身在材料与方法中使用具名第三方非牙科3D软件处理3D数据，如""The image contours of the maxilla and mandible were extracted using the Mimics 20.0""及""The defect mandibular model was repaired using the Geomagic Studio 2012 software""。",Mimics; Geomagic Studio,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用具名第三方非牙科3D软件处理3D数据，如""The image contours of the maxilla and mandible were extracted using the Mimics 20.0""及""The defect mandibular model was repaired using the Geomagic Studio 2012 software""。
【软件】: Mimics; Geomagic Studio
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
automatic segmentation of dental root canal and merging with crown shape,Automatic Segmentation of Dental Root Canal and Merging with Crown Shape.,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International  Conference,journalArticle,WPFWC6I6,Deleat-Besson 等 - 2021 - Automatic Segmentation of Dental Root Canal and Merging with Crown Shape..pdf,INCLUDE,"证据片段明确说明 ""Two open‐source software packages, ITK‐SNAP, version 3.8 [11] and Slicer, version 4.11 [12] were used to perform user interactive manual segmentation of the volumetric images""，即该研究自身使用了 ITK-SNAP 和 3D Slicer 进行三维图像分割。",ITK-SNAP; 3D Slicer,Endodontics,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【判定理由】: 证据片段明确说明 ""Two open‐source software packages, ITK‐SNAP, version 3.8 [11] and Slicer, version 4.11 [12] were used to perform user interactive manual segmentation of the volumetric images""，即该研究自身使用了 ITK-SNAP 和 3D Slicer 进行三维图像分割。
【软件】: ITK-SNAP; 3D Slicer
【专科】: Endodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
a pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors bite malocclusion based on three dimensional reconstructive imaging technique,A pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors-bite malocclusion based on three-dimensional reconstructive imaging technique,BMC MUSCULOSKELETAL DISORDERS,journalArticle,4RGTB6EY,Li 等 - 2023 - A pilot investigation of condylar position and asymmetry in patients with unilateral posterior sciss.pdf,EXCLUDE,"证据片段仅提到""measured and analyzed by a series of digital software""和""SPSS 26.0 software package""，未出现任何具名的第三方非牙科3D软件（如Mimics、3D Slicer、Geomagic等）被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅提到""measured and analyzed by a series of digital software""和""SPSS 26.0 software package""，未出现任何具名的第三方非牙科3D软件（如Mimics、3D Slicer、Geomagic等）被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
automated 3d segmentation of the hyoid bone in cbct using nnu net v2 a retrospective study on model performance and potential clinical utility,Automated 3D segmentation of the hyoid bone in CBCT using nnU-Net v2: a retrospective study on model performance and potential clinical utility,BMC MEDICAL IMAGING,journalArticle,4YHU6J4I,Gümüssoy 等 - 2025 - Automated 3D segmentation of the hyoid bone in CBCT using nnU-Net v2 a retrospective study on model.pdf,INCLUDE,"该研究自身在方法中使用具名第三方非牙科3D软件，原文明确写道 ""The raw data was converted to DICOM format and transferred to the 3D Slicer Imaging Software (Version 4.10.2; MIT, Cambridge, MA, USA). HB was labeled manually using the 3D Slicer.""",3D Slicer,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用具名第三方非牙科3D软件，原文明确写道 ""The raw data was converted to DICOM format and transferred to the 3D Slicer Imaging Software (Version 4.10.2; MIT, Cambridge, MA, USA). HB was labeled manually using the 3D Slicer.""
【软件】: 3D Slicer
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
qualitative exploration of 3d printing in swedish healthcare perceived effects and barriers,Qualitative exploration of 3D printing in Swedish healthcare: perceived effects and barriers,BMC HEALTH SERVICES RESEARCH,journalArticle,6BVQQI7U,Sag 等 - 2024 - Qualitative exploration of 3D printing in Swedish healthcare perceived effects and barriers..pdf,EXCLUDE,"该研究为定性访谈研究，探讨瑞典医疗中3D打印的应用与障碍；证据片段中Meshmixer和GrabCAD仅出现在引用他人研究（""[15]""）的转述中，并非该研究自身使用，且全文无该研究自己使用任何具名第三方非牙科3D软件的记录。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究为定性访谈研究，探讨瑞典医疗中3D打印的应用与障碍；证据片段中Meshmixer和GrabCAD仅出现在引用他人研究（""[15]""）的转述中，并非该研究自身使用，且全文无该研究自己使用任何具名第三方非牙科3D软件的记录。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
is beauty a matter of volume distribution proposal of a new aesthetic three dimensional guide in orthognathic surgery,Is Beauty a Matter of Volume Distribution? Proposal of a New Aesthetic Three-Dimensional Guide in Orthognathic Surgery,JOURNAL OF PERSONALIZED MEDICINE,journalArticle,LLS6DR9F,Bianchi 等 - 2023 - Is Beauty a Matter of Volume Distribution Proposal of a New Aesthetic Three-Dimensional Guide in Or.pdf,INCLUDE,"该研究自身在材料与方法中将CBCT DICOM文件转换为STL后导入软件MeshMixer进行面部体积分割分析，原文为""imported into the software MeshMixer (MeshMixer Version 3.3 for Windows, Autodesk Corp., Mill Valley, CA, USA)""。",MeshMixer,Orthodontics,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中将CBCT DICOM文件转换为STL后导入软件MeshMixer进行面部体积分割分析，原文为""imported into the software MeshMixer (MeshMixer Version 3.3 for Windows, Autodesk Corp., Mill Valley, CA, USA)""。
【软件】: MeshMixer
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
three dimensional evaluation of condylar morphology after orthodontic treatment in adult patients with class ii malocclusion by cone beam computed tomography,Three-dimensional evaluation of condylar morphology after orthodontic treatment in adult patients with Class II malocclusion by cone-beam computed tomography.,BMC oral health,journalArticle,ATFDULYF,Shi 等 - 2024 - Three-dimensional evaluation of condylar morphology after orthodontic treatment in adult patients wi.pdf,INCLUDE,"该研究自身在方法中使用""Mimics 17.0 software was used to measure several values and reconstruct the three-dimensional condyle""，用于髁突三维重建与形态测量。",Mimics,Orthodontics,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用""Mimics 17.0 software was used to measure several values and reconstruct the three-dimensional condyle""，用于髁突三维重建与形态测量。
【软件】: Mimics
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
3 dimensional analysis of hard and soft tissue symmetry in a chinese population,3-dimensional analysis of hard- and soft-tissue symmetry in a Chinese population.,BMC oral health,journalArticle,QV9TASMT,Zhao 等 - 2023 - 3-dimensional analysis of hard- and soft-tissue symmetry in a Chinese population..pdf,INCLUDE,"该研究自身在材料与方法中使用具名第三方非牙科3D软件处理3D数据，如""CBCT data were imported into MIMICS ... V21.0""及""transferred into Geomagic Wrap""。",MIMICS; Geomagic Wrap,Orthodontics,Morphological and phenotypic analysis,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用具名第三方非牙科3D软件处理3D数据，如""CBCT data were imported into MIMICS ... V21.0""及""transferred into Geomagic Wrap""。
【软件】: MIMICS; Geomagic Wrap
【专科】: Orthodontics
【应用场景】: Morphological and phenotypic analysis
【研究设计】: clinical"
