序号,Key,Title,run1,run2,run3,一致,一致度,多数标签
,7G2A3A2R,Redefining MRI-Based Skull Segmentation Through AI-Driven Multimodal Integration.,unsure,unsure,unsure,True,1.0,unsure
,78Q8XIIY,Root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranberry extracts.,exclude,exclude,exclude,True,1.0,exclude
,EILJESU9,Role of Digital Technologies in Special Care Dentistry: A Scoping Review.,exclude,exclude,exclude,True,1.0,exclude
,MGCLIWPA,Fusion of intra-oral scans in cone-beam computed tomography scans.,exclude,exclude,exclude,True,1.0,exclude
,V6QXLTTL,Fully Automated Tooth Segmentation and Labeling for Both Full- and Partial-Arch Intraoral Scans Using Deep Learning.,unsure,unsure,unsure,True,1.0,unsure
,CQ5RM9XW,Automated detection and numbering of primary and permanent teeth in digital impressions of children using artificial intelligence.,unsure,unsure,unsure,True,1.0,unsure
,YWHF6MK5,Numerical Assessment Tool to Measure Realism in Clinical Simulation.,exclude,exclude,exclude,True,1.0,exclude
,BSMQHU4Y,Three-Dimensional Auricular Subunit Models for Cartilage Framework Fabrication: Our Preliminary Experience.,exclude,exclude,exclude,True,1.0,exclude
,WPFWC6I6,Automatic Segmentation of Dental Root Canal and Merging with Crown Shape.,unsure,unsure,unsure,True,1.0,unsure
,32PVXFTI,A modified scan technique for multiple abutment teeth using the trim and lock function.,unsure,unsure,unsure,True,1.0,unsure
,UBAZZ8UQ,An Open Source Framework for Free Precise Digital Facial Analysis.,include,include,include,True,1.0,include
,QLPEUI2S,Biomechanical Evaluation of Framework Materials in All-on-Four Versus All-on-Six Prostheses: A Finite Element Study.,unsure,unsure,unsure,True,1.0,unsure
,UNK3IQDN,Influence of the frameworks of implant-supported prostheses and implant connections on stress distribution.,unsure,unsure,unsure,True,1.0,unsure
,N4NBSSAU,Assessing the Volume of the Head of the Mandibular Condyle Using 3T-MRI-A Preliminary Trial.,unsure,unsure,unsure,True,1.0,unsure
,R4FJVQAW,Automated dentition segmentation: 3D UNet-based approach with MIScnn framework.,include,include,unsure,False,0.6666666666666666,include
,LK5R8TKE,The all-on-4 concept in the maxilla-A biomechanical analysis involving high performance polymers.,unsure,unsure,unsure,True,1.0,unsure
,PNHT9ZGI,An update on CAD-CAM usage for removable partial denture fabrication: A systematic review.,exclude,exclude,exclude,True,1.0,exclude
,TGY9GAAH,Accuracy of imaging software usable in clinical settings for 3D rendering of tooth structures.,include,include,include,True,1.0,include
,Z2SBK7IA,Patient-Specific Implant Customization for Treatment of Internal Orbital Fractures Using Office-Based Three-Dimensional Printing.,include,include,include,True,1.0,include
,CI6MMSH5,OpenMandible: An open-source framework for highly realistic numerical modelling of lower mandible physiology.,include,include,include,True,1.0,include
,WV2YRJPV,Dental measurement procedure based on 3D analysis and data processing.,unsure,unsure,unsure,True,1.0,unsure
,SQ3JDDN7,PowerScope 2 functional appliance: A 3D finite element simulation of its action on the mandible.,include,include,include,True,1.0,include
,V57RMVGL,Root Canal Segmentation in CBCT Images by 3D U-Net with Global and Local Combination Loss.,unsure,unsure,unsure,True,1.0,unsure
,BV572BCA,Evaluation of misfit and stress distribution in implant-retained prosthesis obtained by different methods.,unsure,unsure,unsure,True,1.0,unsure
,GBKMLEI9,Patient Specific Classification of Dental Root Canal and Crown Shape.,unsure,unsure,unsure,True,1.0,unsure
,UNERRYKU,"Low-Cost, High-Fidelity 3D-Printed Temporomandibular Joint (TMJ) Dislocation Reduction Task Trainer.",unsure,include,include,False,0.6666666666666666,include
,XIG5K4XL,A Unified Deep Learning Framework for Visual Diagnosis of Palatal Radicular Grooves in CBCT Scans: A Multicenter Validation Study.,unsure,unsure,unsure,True,1.0,unsure
,9CPYUG6Z,AI-driven gingival segmentation on CBCT: Validation using delineation by intraoral scanning and CBCT-based cotton roll separation.,unsure,unsure,unsure,True,1.0,unsure
,9CLL4MDW,Accuracy of Implant Placement Position Using Nondental Open-Source Software: An In Vitro Study.,include,include,include,True,1.0,include
,3RPDNKWU,The level of confidence of dentists in identifying intact and sectioned teeth.,include,include,include,True,1.0,include
,RSUECYHG,Effect of Different Restorative Materials on Stress Distribution around Dental Implants.,unsure,unsure,unsure,True,1.0,unsure
,SUK2X4DR,Evaluation of an AI-based segmentation model for mandibular fracture segmentation on CBCT using volumetric and 2D slice-based validation approaches.,unsure,unsure,unsure,True,1.0,unsure
,53Y9LVNA,A Comparative study on the Effectiveness of Augmented Reality on Denture Tooth Selection.,unsure,unsure,unsure,True,1.0,unsure
,VPPTRWXZ,Oriented tooth detection: a CBCT image processing method integrated with RoI?transformer.,unsure,unsure,unsure,True,1.0,unsure
,BXY6ILDH,Guidelines for Orbital Defect Assessment and Patient-Specific Implant Design: Introducing OA(2) (Orbital Assessment Algorithm).,exclude,exclude,exclude,True,1.0,exclude
,65D7NUJE,MaxI-Net: A 3D AI Framework for CBCT-Based Maxillofacial Defect Reconstruction and Patient-Specific Implant Generation with Biomechanical Validation.,include,include,include,True,1.0,include
,IPRIVZUP,Developing an Artificial Intelligence Solution to Autosegment the Edentulous Mandibular Bone for Implant Planning.,include,include,include,True,1.0,include
,KU78732Y,The Effect of Defect Morphology and Membrane Fixation on 3D Graft Material Displacement During Primary Wound Closure in Horizontal Bone Augmentation-An  Ex?Vivo Study.,unsure,unsure,unsure,True,1.0,unsure
,YALN4286,A comprehensive technique using digital workflow to improve an unpleasant smile: A clinical report.,include,include,include,True,1.0,include
,43NA4DNK,Anterior Esthetic Rehabilitation with Computer-Aided Design/Computer-Aided Manufacturing Zirconia: A Case Report.,unsure,unsure,unsure,True,1.0,unsure
,E5ATG7MJ,3D craniofacial generative model for surgical planning in mandibular reconstruction.,include,include,include,True,1.0,include
,HHXKMFE3,Mechanotherapeutic Modulation of the Nasal Microenvironment: RAMPA-Induced Maxillofacial Remodeling and Its Pathophysiological Impact on Mucus Rheology and  Chronic Inflammation.,unsure,unsure,unsure,True,1.0,unsure
,SCPVCH8P,Scanning Accuracy of 10 Intraoral Scanners for Single-crown and Three-unit Fixed Denture Preparations: An In Vitro Study.,unsure,exclude,unsure,False,0.6666666666666666,unsure
,69LQ9WZ4,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,unsure,unsure,unsure,True,1.0,unsure
,JFGG5SRB,Visualizing physiological sclerotic dentin via micro-computed tomography: A pilot study.,unsure,unsure,unsure,True,1.0,unsure
,B5HAN576,Management of Total Frontal Bone Loss After Surgery for Craniosynostosis: The Modified Visor Bone Flap With Brain Cage.,exclude,exclude,exclude,True,1.0,exclude
,8PBRU82N,TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,unsure,unsure,unsure,True,1.0,unsure
,2NKG7SLL,A Self-Supervised Deep Framework for Reference Bony Shape Estimation in Orthognathic Surgical Planning.,unsure,unsure,unsure,True,1.0,unsure
,Y3Y6L6FN,MADCrowner: Margin Aware Dental Crown design with template deformation and refinement.,unsure,unsure,unsure,True,1.0,unsure
,ZHH7IXHH,Fully Automated AI-Based Digital Workflow for Mirroring of Healthy and Defective Craniofacial Models.,unsure,unsure,unsure,True,1.0,unsure
,PYH6UXUZ,Treatment of Progressive Hemifacial Atrophy by Cartilage Graft and Free Adipofascial Flap Combined with Three-Dimensional Planning.,unsure,unsure,unsure,True,1.0,unsure
,KFMHNQAV,In-House 3D Printed Positioning and Cutting Guide System for Mandibular Reconstruction. Protocol and case report.,include,include,include,True,1.0,include
,IEJ4T68U,Romero dental modification system from 2D diagrammatic representation to 3D digital models.,unsure,exclude,exclude,False,0.6666666666666666,exclude
,K64RLB43,DUCU: a conceptual framework for AI-driven conversion of smile design to functional wax-up.,exclude,exclude,exclude,True,1.0,exclude
,DCY89A88,Evaluation of a Novel Drilling Approach for Dynamic Navigation-Aided Endodontic Microsurgery: A Surgical Simulation Comparison Study.,unsure,unsure,unsure,True,1.0,unsure
,QAMHCCD9,A Slicer-Independent Framework for Measuring G-Code Accuracy in Medical 3D Printing.,include,include,include,True,1.0,include
,2TJBVIZP,Using 3D Printing and Mirror Image Modeling in Orbital Floor Reconstruction.,include,include,include,True,1.0,include
,KZUDTGT4,Deep learning-enabled 3D multimodal fusion of cone-beam CT and intraoral mesh scans for clinically applicable tooth-bone reconstruction.,unsure,unsure,unsure,True,1.0,unsure
,MXRP67U6,Accuracy and safety of a haptic operated and machine vision controlled collaborative robot for dental implant placement: A?translational study.,unsure,unsure,unsure,True,1.0,unsure
,8FVR9YAI,Application of artifact suppression algorithm of post-processing CBCT software in root canal filling materials.,unsure,unsure,unsure,True,1.0,unsure
,ZRP4E5TI,A computational modeling method for root canal endoscopy using a specific CBCT filter: A new era in the metaverse of endodontics begins.,unsure,unsure,unsure,True,1.0,unsure
,ATFDULYF,Three-dimensional evaluation of condylar morphology after orthodontic treatment in adult patients with Class II malocclusion by cone-beam computed tomography.,include,include,include,True,1.0,include
,ECNDVG7C,Innovative Endodontic Management of Pulp Canal Obliteration in Mandibular Incisors Using a Static Navigation System: A Case Report.,unsure,unsure,unsure,True,1.0,unsure
,REDS4QVI,Biomechanical considerations in RPD design: application and perspective of finite element method in distal extension removable partial denture rehabilitation.,exclude,exclude,exclude,True,1.0,exclude
,SHZJNWAH,Impact of artifact reduction on dimensional accuracy of sealing materials for furcal perforations in CBCT.,unsure,unsure,unsure,True,1.0,unsure
,NLYE5CIG,Numerical Inverse Design of Patient-Specific Dental Implants: Accelerating FEA-Based Optimization via Evolutionary Neural Surrogates.,include,include,include,True,1.0,include
,6L7WJ4MX,Effects of the cone-beam computed tomography protocol on the accuracy and image quality of root surface area measurements: An in vitro study.,unsure,unsure,unsure,True,1.0,unsure
,4I8FWCMQ,Design and development of a virtual reality simulation for dental implant prosthesis training.,include,include,include,True,1.0,include
,LSXTAGI2,Artificial intelligence guided occlusion reconstruction in nonoccluding CBCT: A validation study.,unsure,unsure,unsure,True,1.0,unsure
,3NRBHY63,Application of a virtual and mixed reality-navigation system using commercially available devices to the lateral temporal bone resection.,exclude,include,include,False,0.6666666666666666,include
,IHRQELW2,The effect of different tooth preparation finishing procedures and immediate dentin sealing on the scanning accuracy of different intraoral scanners.,include,include,include,True,1.0,include
,469FIVNE,A novel approach for the replacement of accuracy and precision measurements with the visual instrument agreement scale (VIAS) in evaluating the performance of  four intraoral scanners and one shade measurement device.,unsure,unsure,unsure,True,1.0,unsure
,3IABES8D,"Comparative evaluation to study the effect of implant support on complete fixed dental prosthesis fabricated with peek framework when implants placed in all-on-4  and all-on-6 situation, by strain gauge analysis and finite element analysis - An  in vitro study.",unsure,unsure,unsure,True,1.0,unsure
,3L3AZP53,"WEAR, FATIGUE, AND FRACTURE RESISTANCE OF DIFFERENT MONOLITHIC CAD/CAM ONLAYS AS ABUTMENTS FOR ACETAL RESIN OR COBALT-CHROMIUM REMOVABLE PARTIAL DENTURE  FRAMEWORKS.",unsure,unsure,unsure,True,1.0,unsure
,ZF2YLA3S,Integrating local and global attention mechanisms for enhanced oral cancer detection and explainability.,exclude,exclude,exclude,True,1.0,exclude
,2VLCNVN2,Digitally Guided Intraoral Segmental Mandibulectomy and Fibula Flap Reconstruction for Locally Invasive Odontogenic Tumors.,unsure,unsure,unsure,True,1.0,unsure
,QD7MIRSD,Evaluation of CBCT reconstructed tooth models at different thresholds and voxels and their accuracy in fusion with IOS data: an in vitro validation study.,unsure,unsure,unsure,True,1.0,unsure
,F5DKTHEG,The geometric relationship between root length and root surface area determined from digital tooth models.,unsure,unsure,unsure,True,1.0,unsure
,L54V6DLZ,Clinical-oriented 3D visualization and quantitative analysis of gingival thickness using convolutional neural networks and CBCT.,unsure,unsure,unsure,True,1.0,unsure
,LH8UPF46,Automated micro-CT quantification of clear aligner fit: a pilot comparison of manufacturing processes.,include,include,unsure,False,0.6666666666666666,include
,Q7VVX4L9,"Repair of Inferior Alveolar Nerve in Orthognathic Surgery Simulator (RIANOS): A Novel, Open-Source, Combined 3D Printed, and Ex-Vivo Chicken Sciatic Nerve  Training Model.",unsure,unsure,unsure,True,1.0,unsure
,3EX7T8DA,"Automated Support Generation for Fixed Partial Dentures and Impact of Bone Loss, Bone Quality and Support Types: Parametric Cad and Finite Element Analysis.",include,include,include,True,1.0,include
,V32IVHH4,A deep learning model for multiclass tooth segmentation on cone-beam computed tomography scans.,unsure,unsure,unsure,True,1.0,unsure
,K9F3VXCV,Precise maxillectomy reconstruction with a scapula flap using novel in-house 3D-printed surgical guides.,unsure,unsure,unsure,True,1.0,unsure
,7RUZVAC6,Development of an artificial intelligence-based algorithm to classify images acquired with an intraoral scanner of individual molar teeth into three  categories.,unsure,unsure,unsure,True,1.0,unsure
,8RUTEZHU,DICOM segmentation and STL creation for 3D printing: a process and software package comparison for osseous anatomy.,include,include,include,True,1.0,include
,7CZBUA54,Prospective study on the localization of anterolateral thigh perforator vessel based on mixed reality and artificial algorithm.,unsure,unsure,unsure,True,1.0,unsure
,YZHWVIEG,Automatic Pulp and Teeth Three-Dimensional Modeling of Single and Multi-Rooted Teeth Based on Cone-Beam Computed Tomography Imaging: A Promising Approach With  Clinical and Therapeutic Outcomes.,unsure,unsure,unsure,True,1.0,unsure
,T3K2TLQ3,Adaptive digital workflow for virtual patient modeling: Integrating static registration and six-degree-of-freedom jaw tracking.,unsure,unsure,unsure,True,1.0,unsure
,9D6677BV,Effect of framework material and gyroid lattice design on the biomechanics of all-on-four full-arch prostheses.,unsure,unsure,unsure,True,1.0,unsure
,ZUNK9NNI,Development of Micro-CT-Based Anatomically Accurate Tooth Model for Finite Element Analysis of Composite Restorations.,unsure,unsure,unsure,True,1.0,unsure
,T3Z6BX4T,A Full Computerized Workflow for Planning Surgically Assisted Rapid Palatal Expansion and Orthognathic Surgery in a Skeletal Class III Patient.,unsure,unsure,unsure,True,1.0,unsure
,K9NG599R,Multi-Architecture deep learning for CBCT segmentation of dental hard tissues and pulp in mixed dentition.,unsure,exclude,unsure,False,0.6666666666666666,unsure
,VA93LQUQ,Clinical evaluation of removable partial dentures with digitally fabricated metal framework after 4 years of clinical service.,exclude,exclude,exclude,True,1.0,exclude
,WYDE6M86,A 3-D Finite Element Analysis of Stress Distribution on Implant-supported Fixed Prosthesis with Four Different Commercially Available Implant Systems.,unsure,unsure,unsure,True,1.0,unsure
,ZMGIR34S,TAPSeg: An open-source deep learning tool for instance-level tooth and pulp segmentation in CBCT.,include,include,include,True,1.0,include
,Q36P232F,Development of Semi-Automatic Dental Image Segmentation Workflows with Root Canal Recognition for Faster Ground Tooth Acquisition.,include,include,include,True,1.0,include
,2CNYCSQG,Stress distribution in titanium and zirconia implants with full-arch prostheses: a finite element analysis.,unsure,unsure,unsure,True,1.0,unsure
,IRINA65L,Interdisciplinary innovative approach to an aggressive ossifying fibroma case: Integrating 3D surgery and customized reconstruction in maxillofacial and dental  care.,unsure,unsure,unsure,True,1.0,unsure
,FA6QRXQN,Finite Element Analysis of Platform Switching Effects on Stress Distribution in Posterior Implants Placed in Different Bone Types Under Axial and Oblique Loading  Conditions.,include,include,include,True,1.0,include
,SXE9C4CV,A step-by-step guide for implementation of virtual surgical applications and patient data centralization: practical experience and lessons learned.,exclude,unsure,unsure,False,0.6666666666666666,unsure
,L8M7M2BX,Endodontic Treatment of a Molar with Peculiar Anatomy: Case Study with CBCT and 3D Printed Model.,include,include,include,True,1.0,include
,UBY7Q3RD,Digitally guided corticotomy using a customized surgical template (Suya corticotomy utility template): A technique report.,include,include,include,True,1.0,include
,37T73WT3,Automatic 3-dimensional quantification of orthodontically induced root resorption in cone-beam computed tomography images based on deep learning.,unsure,unsure,unsure,True,1.0,unsure
,IHFWL9JR,Application of temporary patient-specific plate in head and neck osteocutaneous free flap reconstruction: a prospective pilot study.,unsure,unsure,unsure,True,1.0,unsure
,IDDEZY3C,Deep learning-based dental age estimation in adolescents using panoramic radiographs: a comparative study with traditional methods.,unsure,unsure,unsure,True,1.0,unsure
,Y86TUGG7,AI-augmented mixed reality for 3D visualization of perforator vessels: A feasibility study in fibular flap surgery.,include,include,unsure,False,0.6666666666666666,include
,C7KWYD39,Fully automated estimation of arch forms in cone-beam CT with cubic B-spline approximation: Evaluation of digital dental models with missing teeth.,unsure,unsure,unsure,True,1.0,unsure
,DTQPUFEH,A finite element analysis of a dental implant with a conformal lattice structure: a parametric exploration under occlusal loading.,include,unsure,unsure,False,0.6666666666666666,unsure
,S5KAPWQQ,Automatic margin line extraction using 3D deep learning on digital surface models of prepared teeth for crown generation.,unsure,unsure,unsure,True,1.0,unsure
,SK8EHSDL,An automatic approach to establish clinically desired final dental occlusion for one-piece maxillary orthognathic surgery.,unsure,unsure,unsure,True,1.0,unsure
,YFK7UAPN,Pioneering fully automated bony orbit segmentation: an in silico nnU-Net multicentre approach.,unsure,unsure,unsure,True,1.0,unsure
,IN7BTE67,Accuracy and Clinical Outcomes of Mandibular Reconstruction Using Fibula Free Flaps and Open-Source Virtual Surgical Planning.,include,include,include,True,1.0,include
,TYANEIC4,Electromagnetic Navigation in Mandibular Reconstruction Using Autologous Grafts: A Color-Coded Assistance for Precise Positioning of Bone Segments.,unsure,unsure,unsure,True,1.0,unsure
,4SAG92EI,Evaluation of prostheses retained zygomatic and dental implants in large defects in the maxilla due to tumors or major trauma by biomechanical 3- dimensional  finite element analysis.,unsure,unsure,unsure,True,1.0,unsure
,7QDPDBCV,Comparison of biomechanical performance of custom implants with different designs under functional load: a finite element analysis.,unsure,unsure,unsure,True,1.0,unsure
,F7VE6S7L,Microfluidic pulp platform with vascular integration to evaluate biofunctional material.,unsure,unsure,unsure,True,1.0,unsure
,SUBWE4UX,Effect of Occlusal Scheme and Bone-Level Implant Number and Position on Stress Distribution in Kennedy Class II Implant-Assisted Removable Partial Dentures: A  3D Finite Element Analysis.,unsure,unsure,unsure,True,1.0,unsure
,5TGPGAFM,Comparative Evaluation of Stress Distribution around Various Threaded Implants with and without Platform Switch: A 3-D Finite Element Analysis.,include,include,include,True,1.0,include
,RC9HDKWL,"Individual, High-Precision 3D Mandibular Model for Finite Element Analysis of Three-Unit Bridges: A Biomechanical Pilot Study.",unsure,unsure,unsure,True,1.0,unsure
,BLI79NLU,Customized 3D-printed models for training in repairing large maxillary sinus membrane perforations.,unsure,unsure,unsure,True,1.0,unsure
,W32UUZHY,Accuracy and generalizability of an open-source deep learning model for facial bone segmentation on CT and CBCT scans: An ex vivo study.,include,include,include,True,1.0,include
,EU3ZJKMP,A Deep Metric Learning and Multimodal Gated Fusion Framework for AI-Driven Risk Assessment of Lingual Plate Perforation and Mandibular Canal Injury in Posterior  Mandible Implants.,unsure,unsure,unsure,True,1.0,unsure
,IGM5ZZ4D,"A novel forensic protocol for age reversal facial approximation from elderly skulls using computed tomography scans, CAD techniques and anthropometric data.",include,include,include,True,1.0,include
,EKQJE262,"Comparison of Low-Dose, Standard-Dose, and High-Definition CBCT Protocols for STL Reconstruction Accuracy in Digital Bone Scaffold Workflows.",unsure,unsure,unsure,True,1.0,unsure
,X9PHNC4E,Protocol for obtaining a digital and physical three-dimensional color map of the skull based on the Hounsfield scale using open-source and free software.,include,include,include,True,1.0,include
,2ZLUSNLH,"Evaluation of the Effects of Diameter, Length, Splinted or Nonsplinted Form, and Crown-to-Implant Ratio on the Stress Distribution Around Extra-Short Implants in  the Posterior Mandible: Finite Element Analysis.",include,include,include,True,1.0,include
,SB3G68D5,Effect of simulated bur radius compensation on full-contour CAD crown morphology and trueness across tooth types. An in- silico study.,unsure,unsure,unsure,True,1.0,unsure
,WXJDH8BZ,"International Symposium Napoca Biodent 2021: New Challenges in Dental Research, 10(th) Edition, 5(th) - 6(th) November 2021.",exclude,exclude,exclude,True,1.0,exclude
,WMEDMW72,Influence of Transmucosal Contour on Peri-Implant Soft Tissue Dimensions: A Cross-Sectional Study in Posterior Single-Tooth Implants.,unsure,unsure,unsure,True,1.0,unsure
,29DTNV7A,Functional models from limited data: A parametric and multimodal approach to anatomy and 3D kinematics of feeding in basking sharks (Cetorhinus maximus).,exclude,exclude,exclude,True,1.0,exclude
,FHFQ7WB8,Retroposition of the Vestigial Cartilage in Patients With Microtia: A Novel Technique to Enhance Projection of the Reconstructed Ear.,exclude,exclude,exclude,True,1.0,exclude
,6Y2JX4E5,Effects of Build Angle and Position in the Build Platform on the Dimensional Accuracy of 3D-Printed Molar Crowns Using Digital Light Processing Technology.,include,include,include,True,1.0,include
,46CXKFWE,AI-assisted Software Development in Digital Dentistry: A Technical Innovation Report with Three Open-Source Applications.,include,include,include,True,1.0,include
,J2CNNQSY,Accuracy of three-dimensional virtual simulation of the soft tissues of the face in OrtogOnBlender for correction of class II dentofacial deformities: an  uncontrolled experimental case-series study.,include,include,include,True,1.0,include
,DDJDZ2IZ,Finite element analysis (FEA) of stress distribution in platform-switched short dental implants.,include,include,include,True,1.0,include
,GDZGDW9U,Specially designed and CAD/CAM manufactured allogeneic bone blocks using for augmentation of a highly atrophic maxilla show a stable base for an all-on-six  treatment concept: a case report.,unsure,unsure,unsure,True,1.0,unsure
,V89XCKDS,Augmented reality navigation with real-time tracking for facial repair surgery.,unsure,unsure,unsure,True,1.0,unsure
,HHH67P6U,Extraction of Tooth Cusps based on DBSCAN Density Clustering and Neighborhood Search Algorithm.,unsure,unsure,unsure,True,1.0,unsure
,UM9QT2SB,Dynamic Navigation for Dental Implant Placement.,unsure,unsure,unsure,True,1.0,unsure
,EY9HHQH3,Fabrication of immediately loaded implant-retained maxillary overdenture with flapless surgery using a CAD/CAM surgical guide: A technical report.,unsure,unsure,unsure,True,1.0,unsure
,KRGY2GF4,Revolutionizing dental restorations: Insights into computer-aided design/computer-aided manufacturing materials - A systematic review.,exclude,exclude,exclude,True,1.0,exclude
,MH77VGXZ,Optimization of forensic identification through 3-dimensional imaging analysis of labial tooth surface using open-source software.,include,include,include,True,1.0,include
,ZSA2267Y,Analysis of the accuracy of a dynamic navigation system in endodontic microsurgery: A prospective case series study.,unsure,unsure,unsure,True,1.0,unsure
,GC7Z6UQ8,Association of Peri-Implant Mucosa Dimensions With Emergence Profile Angles of the Implant Prosthesis.,unsure,unsure,unsure,True,1.0,unsure
,TYDR2R9S,Three-dimensional finite element analysis of temporomandibular joint stresses following botulinum toxin injection and occlusal splint therapy in bruxism.,unsure,unsure,unsure,True,1.0,unsure
,2E6KGKNK,Automatic surgical planning based on point cloud filtering and geometric constraints for temporomandibular joint prosthesis implantation.,unsure,unsure,unsure,True,1.0,unsure
,XHTXIG78,Digital Simulation and Clinical Validation of a Novel Open-Source-Based Workflow for 3D-Printed Surgical Guide (GORST) in Esthetic Crown Lengthening: A Case  Report.,include,include,include,True,1.0,include
,GMQCCFR9,Developing an Artificial Intelligence Solution to Autosegment the Edentulous Maxillary Bone for Implant Planning.,include,include,include,True,1.0,include
,8DSDLZHX,Two-piece versus single-piece patient-specific titanium subperiosteal implants in atrophied edentulous mandibles: A finite element analysis.,unsure,unsure,unsure,True,1.0,unsure
,CD45V2UD,In-house manufactured 3D guides for the localization and treatment of mandibular lesions. Workflow and case series.,include,include,include,True,1.0,include
,V9V4K2H2,In-House Three-Dimensional Printing in Orbital Reconstructive Surgery: A Case Report and Future Perspectives.,include,include,include,True,1.0,include
,YWCYTVI5,Real-Time Face Gesture-Based Robot Control Using GhostNet in a Unity Simulation Environment.,exclude,exclude,exclude,True,1.0,exclude
,LS8RX9WU,3D ring artifacts removal algorithm combined low-rank tensor decomposition with spatial-sequential total variation regularization and its application in  phase-contrast microtomography.,exclude,exclude,exclude,True,1.0,exclude
,DIV2LM35,A Personalized 3D-Printed CAD/CAM Functional Space Maintainer Following the Premature Loss of a Primary First Molar in a Five-Year-Old Child.,exclude,exclude,exclude,True,1.0,exclude
,8EJ8L3BS,Full-mouth rehabilitation of a patient with implant-supported fixed dental prostheses using CAD-CAM frameworks.,unsure,unsure,unsure,True,1.0,unsure
,SG47UPMT,Advanced Simulation System for Orbitozygomatic Fracture Reconstruction: Multicenter Validation of a Novel Training and Objective Assessment Platform.,unsure,unsure,unsure,True,1.0,unsure
,DSAYFDCC,"Trueness of fully guided static computer-assisted implant surgery for immediate implant placement in premolar and molar sites, an observational analysis.",unsure,unsure,unsure,True,1.0,unsure
,KHNTF6NJ,Posterior implant angulation without cantilever reduction in mandibular All-on-4: a controlled finite element analysis of stress transfer and implant macrodesign  effects.,unsure,unsure,unsure,True,1.0,unsure
,ZQA8YILC,Hybrid Digital Workflow for Accurate Distal Extension Reproduction in Free-End Removable Dental Prosthesis: A Technical Report.,unsure,unsure,unsure,True,1.0,unsure
,ZMMF2E7P,Accuracy of facial scan registration: A comparison between full-cranium and reduced field-of-view cone-beam computed tomography.,unsure,unsure,unsure,True,1.0,unsure
,K5L8U678,Laboratorial Comparative Study of the Accuracy Between Virtual Planning and Erickson's Platform.,unsure,unsure,unsure,True,1.0,unsure
,UIVXLDR7,Comparison of the marginal discrepancy of PFM crowns in the CAD/CAM and lost-wax fabrication techniques by triple scanning.,unsure,unsure,unsure,True,1.0,unsure
,C465U7B6,Computer-aided design and 3D fabrication of a segmented silicone obturator-RPD prosthesis for rehabilitating maxillary defects.,unsure,unsure,unsure,True,1.0,unsure
,GKEVKNY9,Efficiency and accuracy of augmented reality guided endodontic surgery: a systematic review.,exclude,exclude,exclude,True,1.0,exclude
