_nt,Key,Title,原因代码,原始返回
automated detection and numbering of primary and permanent teeth in digital impressions of children using artificial intelligence,CQ5RM9XW,Automated detection and numbering of primary and permanent teeth in digital impressions of children using artificial intelligence.,3,【原因代码】: 3
numerical assessment tool to measure realism in clinical simulation,YWHF6MK5,Numerical Assessment Tool to Measure Realism in Clinical Simulation.,1,【原因代码】: 1
a modified scan technique for multiple abutment teeth using the trim and lock function,32PVXFTI,A modified scan technique for multiple abutment teeth using the trim and lock function.,3,【原因代码】: 3
biomechanical evaluation of framework materials in all on four versus all on six prostheses a finite element study,QLPEUI2S,Biomechanical Evaluation of Framework Materials in All-on-Four Versus All-on-Six Prostheses: A Finite Element Study.,3,【原因代码】: 3
influence of the frameworks of implant supported prostheses and implant connections on stress distribution,UNK3IQDN,Influence of the frameworks of implant-supported prostheses and implant connections on stress distribution.,3,【原因代码】: 3
automated dentition segmentation 3d unet based approach with miscnn framework,R4FJVQAW,Automated dentition segmentation: 3D UNet-based approach with MIScnn framework.,2,【原因代码】: 2
an update on cad cam usage for removable partial denture fabrication a systematic review,PNHT9ZGI,An update on CAD-CAM usage for removable partial denture fabrication: A systematic review.,2,【原因代码】: 2
root canal segmentation in cbct images by 3d u net with global and local combination loss,V57RMVGL,Root Canal Segmentation in CBCT Images by 3D U-Net with Global and Local Combination Loss.,3,【原因代码】: 3
low cost high fidelity 3d printed temporomandibular joint tmj dislocation reduction task trainer,UNERRYKU,"Low-Cost, High-Fidelity 3D-Printed Temporomandibular Joint (TMJ) Dislocation Reduction Task Trainer.",3,【原因代码】: 3
a unified deep learning framework for visual diagnosis of palatal radicular grooves in cbct scans a multicenter validation study,XIG5K4XL,A Unified Deep Learning Framework for Visual Diagnosis of Palatal Radicular Grooves in CBCT Scans: A Multicenter Validation Study.,3,【原因代码】: 3
ai driven gingival segmentation on cbct validation using delineation by intraoral scanning and cbct based cotton roll separation,9CPYUG6Z,AI-driven gingival segmentation on CBCT: Validation using delineation by intraoral scanning and CBCT-based cotton roll separation.,3,【原因代码】: 3
evaluation of an ai based segmentation model for mandibular fracture segmentation on cbct using volumetric and 2d slice based validation approaches,SUK2X4DR,Evaluation of an AI-based segmentation model for mandibular fracture segmentation on CBCT using volumetric and 2D slice-based validation approaches.,3,【原因代码】: 3
a comparative study on the effectiveness of augmented reality on denture tooth selection,53Y9LVNA,A Comparative study on the Effectiveness of Augmented Reality on Denture Tooth Selection.,3,【原因代码】: 3
oriented tooth detection a cbct image processing method integrated with roi transformer,VPPTRWXZ,Oriented tooth detection: a CBCT image processing method integrated with RoI?transformer.,3,【原因代码】: 3
guidelines for orbital defect assessment and patient specific implant design introducing oa 2 orbital assessment algorithm,BXY6ILDH,Guidelines for Orbital Defect Assessment and Patient-Specific Implant Design: Introducing OA(2) (Orbital Assessment Algorithm).,2,【原因代码】: 2
the effect of defect morphology and membrane fixation on 3d graft material displacement during primary wound closure in horizontal bone augmentation an ex vivo study,KU78732Y,The Effect of Defect Morphology and Membrane Fixation on 3D Graft Material Displacement During Primary Wound Closure in Horizontal Bone Augmentation-An  Ex?Vivo Study.,3,【原因代码】: 3
anterior esthetic rehabilitation with computer aided design computer aided manufacturing zirconia a case report,43NA4DNK,Anterior Esthetic Rehabilitation with Computer-Aided Design/Computer-Aided Manufacturing Zirconia: A Case Report.,3,【原因代码】: 3
3d craniofacial generative model for surgical planning in mandibular reconstruction,E5ATG7MJ,3D craniofacial generative model for surgical planning in mandibular reconstruction.,2,【原因代码】: 2
mechanotherapeutic modulation of the nasal microenvironment rampa induced maxillofacial remodeling and its pathophysiological impact on mucus rheology and chronic inflammation,HHXKMFE3,Mechanotherapeutic Modulation of the Nasal Microenvironment: RAMPA-Induced Maxillofacial Remodeling and Its Pathophysiological Impact on Mucus Rheology and  Chronic Inflammation.,1,【原因代码】: 1
accuracy of static computer assisted implant placement in posterior edentulous areas with different levels of tooth support by novice clinicians,69LQ9WZ4,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,3,【原因代码】: 3
visualizing physiological sclerotic dentin via micro computed tomography a pilot study,JFGG5SRB,Visualizing physiological sclerotic dentin via micro-computed tomography: A pilot study.,3,【原因代码】: 3
management of total frontal bone loss after surgery for craniosynostosis the modified visor bone flap with brain cage,B5HAN576,Management of Total Frontal Bone Loss After Surgery for Craniosynostosis: The Modified Visor Bone Flap With Brain Cage.,1,【原因代码】: 1
tcfnet bidirectional face bone transformation via a transformer based coarse to fine point movement network,8PBRU82N,TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,1,【原因代码】: 1
a self supervised deep framework for reference bony shape estimation in orthognathic surgical planning,2NKG7SLL,A Self-Supervised Deep Framework for Reference Bony Shape Estimation in Orthognathic Surgical Planning.,3,【原因代码】: 3
madcrowner margin aware dental crown design with template deformation and refinement,Y3Y6L6FN,MADCrowner: Margin Aware Dental Crown design with template deformation and refinement.,3,【原因代码】: 3
fully automated ai based digital workflow for mirroring of healthy and defective craniofacial models,ZHH7IXHH,Fully Automated AI-Based Digital Workflow for Mirroring of Healthy and Defective Craniofacial Models.,2,【原因代码】: 2
treatment of progressive hemifacial atrophy by cartilage graft and free adipofascial flap combined with three dimensional planning,PYH6UXUZ,Treatment of Progressive Hemifacial Atrophy by Cartilage Graft and Free Adipofascial Flap Combined with Three-Dimensional Planning.,3,【原因代码】: 3
romero dental modification system from 2d diagrammatic representation to 3d digital models,IEJ4T68U,Romero dental modification system from 2D diagrammatic representation to 3D digital models.,3,【原因代码】: 3
ducu a conceptual framework for ai driven conversion of smile design to functional wax up,K64RLB43,DUCU: a conceptual framework for AI-driven conversion of smile design to functional wax-up.,2,【原因代码】: 2
evaluation of a novel drilling approach for dynamic navigation aided endodontic microsurgery a surgical simulation comparison study,DCY89A88,Evaluation of a Novel Drilling Approach for Dynamic Navigation-Aided Endodontic Microsurgery: A Surgical Simulation Comparison Study.,3,【原因代码】: 3
deep learning enabled 3d multimodal fusion of cone beam ct and intraoral mesh scans for clinically applicable tooth bone reconstruction,KZUDTGT4,Deep learning-enabled 3D multimodal fusion of cone-beam CT and intraoral mesh scans for clinically applicable tooth-bone reconstruction.,3,【原因代码】: 3
application of artifact suppression algorithm of post processing cbct software in root canal filling materials,8FVR9YAI,Application of artifact suppression algorithm of post-processing CBCT software in root canal filling materials.,3,【原因代码】: 3
a computational modeling method for root canal endoscopy using a specific cbct filter a new era in the metaverse of endodontics begins,ZRP4E5TI,A computational modeling method for root canal endoscopy using a specific CBCT filter: A new era in the metaverse of endodontics begins.,3,【原因代码】: 3
innovative endodontic management of pulp canal obliteration in mandibular incisors using a static navigation system a case report,ECNDVG7C,Innovative Endodontic Management of Pulp Canal Obliteration in Mandibular Incisors Using a Static Navigation System: A Case Report.,2,【原因代码】: 2
biomechanical considerations in rpd design application and perspective of finite element method in distal extension removable partial denture rehabilitation,REDS4QVI,Biomechanical considerations in RPD design: application and perspective of finite element method in distal extension removable partial denture rehabilitation.,2,【原因代码】: 2
impact of artifact reduction on dimensional accuracy of sealing materials for furcal perforations in cbct,SHZJNWAH,Impact of artifact reduction on dimensional accuracy of sealing materials for furcal perforations in CBCT.,3,【原因代码】: 3
numerical inverse design of patient specific dental implants accelerating fea based optimization via evolutionary neural surrogates,NLYE5CIG,Numerical Inverse Design of Patient-Specific Dental Implants: Accelerating FEA-Based Optimization via Evolutionary Neural Surrogates.,3,【原因代码】: 3
artificial intelligence guided occlusion reconstruction in nonoccluding cbct a validation study,LSXTAGI2,Artificial intelligence guided occlusion reconstruction in nonoccluding CBCT: A validation study.,5,【原因代码】: 5
the effect of different tooth preparation finishing procedures and immediate dentin sealing on the scanning accuracy of different intraoral scanners,IHRQELW2,The effect of different tooth preparation finishing procedures and immediate dentin sealing on the scanning accuracy of different intraoral scanners.,3,【原因代码】: 3
a novel approach for the replacement of accuracy and precision measurements with the visual instrument agreement scale vias in evaluating the performance of four intraoral scanners and one shade measurement device,469FIVNE,A novel approach for the replacement of accuracy and precision measurements with the visual instrument agreement scale (VIAS) in evaluating the performance of  four intraoral scanners and one shade measurement device.,3,【原因代码】: 3
integrating local and global attention mechanisms for enhanced oral cancer detection and explainability,ZF2YLA3S,Integrating local and global attention mechanisms for enhanced oral cancer detection and explainability.,1,【原因代码】: 1
the geometric relationship between root length and root surface area determined from digital tooth models,F5DKTHEG,The geometric relationship between root length and root surface area determined from digital tooth models.,3,【原因代码】: 3
clinical oriented 3d visualization and quantitative analysis of gingival thickness using convolutional neural networks and cbct,L54V6DLZ,Clinical-oriented 3D visualization and quantitative analysis of gingival thickness using convolutional neural networks and CBCT.,3,【原因代码】: 3
automated micro ct quantification of clear aligner fit a pilot comparison of manufacturing processes,LH8UPF46,Automated micro-CT quantification of clear aligner fit: a pilot comparison of manufacturing processes.,3,【原因代码】: 3
repair of inferior alveolar nerve in orthognathic surgery simulator rianos a novel open source combined 3d printed and ex vivo chicken sciatic nerve training model,Q7VVX4L9,"Repair of Inferior Alveolar Nerve in Orthognathic Surgery Simulator (RIANOS): A Novel, Open-Source, Combined 3D Printed, and Ex-Vivo Chicken Sciatic Nerve  Training Model.",2,【原因代码】: 2
a deep learning model for multiclass tooth segmentation on cone beam computed tomography scans,V32IVHH4,A deep learning model for multiclass tooth segmentation on cone-beam computed tomography scans.,3,【原因代码】: 3
development of an artificial intelligence based algorithm to classify images acquired with an intraoral scanner of individual molar teeth into three categories,7RUZVAC6,Development of an artificial intelligence-based algorithm to classify images acquired with an intraoral scanner of individual molar teeth into three  categories.,3,【原因代码】: 3
dicom segmentation and stl creation for 3d printing a process and software package comparison for osseous anatomy,8RUTEZHU,DICOM segmentation and STL creation for 3D printing: a process and software package comparison for osseous anatomy.,3,【原因代码】: 3
prospective study on the localization of anterolateral thigh perforator vessel based on mixed reality and artificial algorithm,7CZBUA54,Prospective study on the localization of anterolateral thigh perforator vessel based on mixed reality and artificial algorithm.,1,【原因代码】: 1
adaptive digital workflow for virtual patient modeling integrating static registration and six degree of freedom jaw tracking,T3K2TLQ3,Adaptive digital workflow for virtual patient modeling: Integrating static registration and six-degree-of-freedom jaw tracking.,2,【原因代码】: 2
effect of framework material and gyroid lattice design on the biomechanics of all on four full arch prostheses,9D6677BV,Effect of framework material and gyroid lattice design on the biomechanics of all-on-four full-arch prostheses.,3,【原因代码】: 3
development of micro ct based anatomically accurate tooth model for finite element analysis of composite restorations,ZUNK9NNI,Development of Micro-CT-Based Anatomically Accurate Tooth Model for Finite Element Analysis of Composite Restorations.,3,【原因代码】: 3
a full computerized workflow for planning surgically assisted rapid palatal expansion and orthognathic surgery in a skeletal class iii patient,T3Z6BX4T,A Full Computerized Workflow for Planning Surgically Assisted Rapid Palatal Expansion and Orthognathic Surgery in a Skeletal Class III Patient.,5,【原因代码】: 5
multi architecture deep learning for cbct segmentation of dental hard tissues and pulp in mixed dentition,K9NG599R,Multi-Architecture deep learning for CBCT segmentation of dental hard tissues and pulp in mixed dentition.,3,【原因代码】: 3
clinical evaluation of removable partial dentures with digitally fabricated metal framework after 4 years of clinical service,VA93LQUQ,Clinical evaluation of removable partial dentures with digitally fabricated metal framework after 4 years of clinical service.,3,【原因代码】: 3
stress distribution in titanium and zirconia implants with full arch prostheses a finite element analysis,2CNYCSQG,Stress distribution in titanium and zirconia implants with full-arch prostheses: a finite element analysis.,3,【原因代码】: 3
a step by step guide for implementation of virtual surgical applications and patient data centralization practical experience and lessons learned,SXE9C4CV,A step-by-step guide for implementation of virtual surgical applications and patient data centralization: practical experience and lessons learned.,2,【原因代码】: 2
digitally guided corticotomy using a customized surgical template suya corticotomy utility template a technique report,UBY7Q3RD,Digitally guided corticotomy using a customized surgical template (Suya corticotomy utility template): A technique report.,2,【原因代码】: 2
automatic 3 dimensional quantification of orthodontically induced root resorption in cone beam computed tomography images based on deep learning,37T73WT3,Automatic 3-dimensional quantification of orthodontically induced root resorption in cone-beam computed tomography images based on deep learning.,3,【原因代码】: 3
application of temporary patient specific plate in head and neck osteocutaneous free flap reconstruction a prospective pilot study,IHFWL9JR,Application of temporary patient-specific plate in head and neck osteocutaneous free flap reconstruction: a prospective pilot study.,3,【原因代码】: 3
deep learning based dental age estimation in adolescents using panoramic radiographs a comparative study with traditional methods,IDDEZY3C,Deep learning-based dental age estimation in adolescents using panoramic radiographs: a comparative study with traditional methods.,3,【原因代码】: 3
ai augmented mixed reality for 3d visualization of perforator vessels a feasibility study in fibular flap surgery,Y86TUGG7,AI-augmented mixed reality for 3D visualization of perforator vessels: A feasibility study in fibular flap surgery.,3,【原因代码】: 3
fully automated estimation of arch forms in cone beam ct with cubic b spline approximation evaluation of digital dental models with missing teeth,C7KWYD39,Fully automated estimation of arch forms in cone-beam CT with cubic B-spline approximation: Evaluation of digital dental models with missing teeth.,3,【原因代码】: 3
a finite element analysis of a dental implant with a conformal lattice structure a parametric exploration under occlusal loading,DTQPUFEH,A finite element analysis of a dental implant with a conformal lattice structure: a parametric exploration under occlusal loading.,3,【原因代码】: 3
automatic margin line extraction using 3d deep learning on digital surface models of prepared teeth for crown generation,S5KAPWQQ,Automatic margin line extraction using 3D deep learning on digital surface models of prepared teeth for crown generation.,3,【原因代码】: 3
pioneering fully automated bony orbit segmentation an in silico nnu net multicentre approach,YFK7UAPN,Pioneering fully automated bony orbit segmentation: an in silico nnU-Net multicentre approach.,1,【原因代码】: 1
accuracy and clinical outcomes of mandibular reconstruction using fibula free flaps and open source virtual surgical planning,IN7BTE67,Accuracy and Clinical Outcomes of Mandibular Reconstruction Using Fibula Free Flaps and Open-Source Virtual Surgical Planning.,3,【原因代码】: 3
electromagnetic navigation in mandibular reconstruction using autologous grafts a color coded assistance for precise positioning of bone segments,TYANEIC4,Electromagnetic Navigation in Mandibular Reconstruction Using Autologous Grafts: A Color-Coded Assistance for Precise Positioning of Bone Segments.,3,【原因代码】: 3
comparison of biomechanical performance of custom implants with different designs under functional load a finite element analysis,7QDPDBCV,Comparison of biomechanical performance of custom implants with different designs under functional load: a finite element analysis.,3,【原因代码】: 3
microfluidic pulp platform with vascular integration to evaluate biofunctional material,F7VE6S7L,Microfluidic pulp platform with vascular integration to evaluate biofunctional material.,3,【原因代码】: 3
individual high precision 3d mandibular model for finite element analysis of three unit bridges a biomechanical pilot study,RC9HDKWL,"Individual, High-Precision 3D Mandibular Model for Finite Element Analysis of Three-Unit Bridges: A Biomechanical Pilot Study.",3,【原因代码】: 3
customized 3d printed models for training in repairing large maxillary sinus membrane perforations,BLI79NLU,Customized 3D-printed models for training in repairing large maxillary sinus membrane perforations.,5,【原因代码】: 5
accuracy and generalizability of an open source deep learning model for facial bone segmentation on ct and cbct scans an ex vivo study,W32UUZHY,Accuracy and generalizability of an open-source deep learning model for facial bone segmentation on CT and CBCT scans: An ex vivo study.,3,【原因代码】: 3
a deep metric learning and multimodal gated fusion framework for ai driven risk assessment of lingual plate perforation and mandibular canal injury in posterior mandible implants,EU3ZJKMP,A Deep Metric Learning and Multimodal Gated Fusion Framework for AI-Driven Risk Assessment of Lingual Plate Perforation and Mandibular Canal Injury in Posterior  Mandible Implants.,3,【原因代码】: 3
comparison of low dose standard dose and high definition cbct protocols for stl reconstruction accuracy in digital bone scaffold workflows,EKQJE262,"Comparison of Low-Dose, Standard-Dose, and High-Definition CBCT Protocols for STL Reconstruction Accuracy in Digital Bone Scaffold Workflows.",3,【原因代码】: 3
evaluation of the effects of diameter length splinted or nonsplinted form and crown to implant ratio on the stress distribution around extra short implants in the posterior mandible finite element analysis,2ZLUSNLH,"Evaluation of the Effects of Diameter, Length, Splinted or Nonsplinted Form, and Crown-to-Implant Ratio on the Stress Distribution Around Extra-Short Implants in  the Posterior Mandible: Finite Element Analysis.",3,【原因代码】: 3
effect of simulated bur radius compensation on full contour cad crown morphology and trueness across tooth types an in silico study,SB3G68D5,Effect of simulated bur radius compensation on full-contour CAD crown morphology and trueness across tooth types. An in- silico study.,3,【原因代码】: 3
international symposium napoca biodent 2021 new challenges in dental research 10 th edition 5 th 6 th november 2021,WXJDH8BZ,"International Symposium Napoca Biodent 2021: New Challenges in Dental Research, 10(th) Edition, 5(th) - 6(th) November 2021.",2,【原因代码】: 2
influence of transmucosal contour on peri implant soft tissue dimensions a cross sectional study in posterior single tooth implants,WMEDMW72,Influence of Transmucosal Contour on Peri-Implant Soft Tissue Dimensions: A Cross-Sectional Study in Posterior Single-Tooth Implants.,3,【原因代码】: 3
functional models from limited data a parametric and multimodal approach to anatomy and 3d kinematics of feeding in basking sharks cetorhinus maximus,29DTNV7A,Functional models from limited data: A parametric and multimodal approach to anatomy and 3D kinematics of feeding in basking sharks (Cetorhinus maximus).,1,【原因代码】: 1
retroposition of the vestigial cartilage in patients with microtia a novel technique to enhance projection of the reconstructed ear,FHFQ7WB8,Retroposition of the Vestigial Cartilage in Patients With Microtia: A Novel Technique to Enhance Projection of the Reconstructed Ear.,1,【原因代码】: 1
effects of build angle and position in the build platform on the dimensional accuracy of 3d printed molar crowns using digital light processing technology,6Y2JX4E5,Effects of Build Angle and Position in the Build Platform on the Dimensional Accuracy of 3D-Printed Molar Crowns Using Digital Light Processing Technology.,3,【原因代码】: 3
specially designed and cad cam manufactured allogeneic bone blocks using for augmentation of a highly atrophic maxilla show a stable base for an all on six treatment concept a case report,GDZGDW9U,Specially designed and CAD/CAM manufactured allogeneic bone blocks using for augmentation of a highly atrophic maxilla show a stable base for an all-on-six  treatment concept: a case report.,3,【原因代码】: 3
extraction of tooth cusps based on dbscan density clustering and neighborhood search algorithm,HHH67P6U,Extraction of Tooth Cusps based on DBSCAN Density Clustering and Neighborhood Search Algorithm.,3,【原因代码】: 3
dynamic navigation for dental implant placement,UM9QT2SB,Dynamic Navigation for Dental Implant Placement.,2,【原因代码】: 2
fabrication of immediately loaded implant retained maxillary overdenture with flapless surgery using a cad cam surgical guide a technical report,EY9HHQH3,Fabrication of immediately loaded implant-retained maxillary overdenture with flapless surgery using a CAD/CAM surgical guide: A technical report.,2,【原因代码】: 2
revolutionizing dental restorations insights into computer aided design computer aided manufacturing materials a systematic review,KRGY2GF4,Revolutionizing dental restorations: Insights into computer-aided design/computer-aided manufacturing materials - A systematic review.,2,【原因代码】: 2
analysis of the accuracy of a dynamic navigation system in endodontic microsurgery a prospective case series study,ZSA2267Y,Analysis of the accuracy of a dynamic navigation system in endodontic microsurgery: A prospective case series study.,3,【原因代码】: 3
association of peri implant mucosa dimensions with emergence profile angles of the implant prosthesis,GC7Z6UQ8,Association of Peri-Implant Mucosa Dimensions With Emergence Profile Angles of the Implant Prosthesis.,3,【原因代码】: 3
three dimensional finite element analysis of temporomandibular joint stresses following botulinum toxin injection and occlusal splint therapy in bruxism,TYDR2R9S,Three-dimensional finite element analysis of temporomandibular joint stresses following botulinum toxin injection and occlusal splint therapy in bruxism.,3,【原因代码】: 3
automatic surgical planning based on point cloud filtering and geometric constraints for temporomandibular joint prosthesis implantation,2E6KGKNK,Automatic surgical planning based on point cloud filtering and geometric constraints for temporomandibular joint prosthesis implantation.,3,【原因代码】: 3
digital simulation and clinical validation of a novel open source based workflow for 3d printed surgical guide gorst in esthetic crown lengthening a case report,XHTXIG78,Digital Simulation and Clinical Validation of a Novel Open-Source-Based Workflow for 3D-Printed Surgical Guide (GORST) in Esthetic Crown Lengthening: A Case  Report.,2,【原因代码】: 2
real time face gesture based robot control using ghostnet in a unity simulation environment,YWCYTVI5,Real-Time Face Gesture-Based Robot Control Using GhostNet in a Unity Simulation Environment.,1,【原因代码】: 1
3d ring artifacts removal algorithm combined low rank tensor decomposition with spatial sequential total variation regularization and its application in phase contrast microtomography,LS8RX9WU,3D ring artifacts removal algorithm combined low-rank tensor decomposition with spatial-sequential total variation regularization and its application in  phase-contrast microtomography.,1,【原因代码】: 1
a personalized 3d printed cad cam functional space maintainer following the premature loss of a primary first molar in a five year old child,DIV2LM35,A Personalized 3D-Printed CAD/CAM Functional Space Maintainer Following the Premature Loss of a Primary First Molar in a Five-Year-Old Child.,3,【原因代码】: 3
full mouth rehabilitation of a patient with implant supported fixed dental prostheses using cad cam frameworks,8EJ8L3BS,Full-mouth rehabilitation of a patient with implant-supported fixed dental prostheses using CAD-CAM frameworks.,3,【原因代码】: 3
trueness of fully guided static computer assisted implant surgery for immediate implant placement in premolar and molar sites an observational analysis,DSAYFDCC,"Trueness of fully guided static computer-assisted implant surgery for immediate implant placement in premolar and molar sites, an observational analysis.",3,【原因代码】: 3
posterior implant angulation without cantilever reduction in mandibular all on 4 a controlled finite element analysis of stress transfer and implant macrodesign effects,KHNTF6NJ,Posterior implant angulation without cantilever reduction in mandibular All-on-4: a controlled finite element analysis of stress transfer and implant macrodesign  effects.,3,【原因代码】: 3
hybrid digital workflow for accurate distal extension reproduction in free end removable dental prosthesis a technical report,ZQA8YILC,Hybrid Digital Workflow for Accurate Distal Extension Reproduction in Free-End Removable Dental Prosthesis: A Technical Report.,2,【原因代码】: 2
accuracy of facial scan registration a comparison between full cranium and reduced field of view cone beam computed tomography,ZMMF2E7P,Accuracy of facial scan registration: A comparison between full-cranium and reduced field-of-view cone-beam computed tomography.,3,【原因代码】: 3
laboratorial comparative study of the accuracy between virtual planning and erickson s platform,K5L8U678,Laboratorial Comparative Study of the Accuracy Between Virtual Planning and Erickson's Platform.,2,【原因代码】: 2
comparison of the marginal discrepancy of pfm crowns in the cad cam and lost wax fabrication techniques by triple scanning,UIVXLDR7,Comparison of the marginal discrepancy of PFM crowns in the CAD/CAM and lost-wax fabrication techniques by triple scanning.,3,【原因代码】: 3
efficiency and accuracy of augmented reality guided endodontic surgery a systematic review,GKEVKNY9,Efficiency and accuracy of augmented reality guided endodontic surgery: a systematic review.,2,【原因代码】: 2
development of an automatic computer program to determine the optimal dental implant size and position for fibula free flap surgery,7M8ERVJ3,Development of an Automatic Computer Program to Determine the Optimal Dental Implant Size and Position for Fibula Free Flap Surgery.,3,【原因代码】: 3
two stage deep learning framework for occlusal crown depth image generation,IDCI2HJY,Two-stage deep learning framework for occlusal crown depth image generation.,2,【原因代码】: 2
ai assisted identification of the medial lingual foramen on cbct a deep learning approach for preoperative implant assessment,MVGIWU9B,AI-Assisted Identification of the Medial Lingual Foramen on CBCT: A Deep Learning Approach for Preoperative Implant Assessment.,3,【原因代码】: 3
3d photography and computer modelling in nasal reconstruction,KB2PJW4K,3D photography and computer modelling in nasal reconstruction.,1,【原因代码】: 1
can deep learning methods differentiate temporomandibular joint disorders from healthy joints a 3d artificial intelligence algorithm study based on cbct images,QMPTHVAN,Can Deep Learning Methods Differentiate Temporomandibular Joint Disorders From Healthy Joints? A 3D Artificial Intelligence Algorithm Study Based on CBCT  Images.,3,【原因代码】: 3
an in vivo study to assess and compare the angular linear and depth deviation as well as the difference in bone density of implants placed using computer aided design computer aided manufacturing fabricated three dimensional guides versus the implants placed using bone pen kit in maxillary and mandibular ridges,IQCXVDV3,"An in vivo study to assess and compare the angular, linear, and depth deviation as well as the difference in bone density of implants placed using computer-aided  design/computer-aided manufacturing fabricated three-dimensional guides versus  the implants placed using bone pen kit in maxillary and mandibular ridges.",3,【原因代码】: 3
a deep learning framework for automated classification and archiving of orthodontic diagnostic documents,746L2B4Q,A Deep Learning Framework for Automated Classification and Archiving of Orthodontic Diagnostic Documents.,2,【原因代码】: 2
isolation and therapeutic application of extracellular vesicles derived from self assembled mesenchymal stem cell aggregates,ZAPYVPDD,Isolation and Therapeutic Application of Extracellular Vesicles Derived from Self-Assembled Mesenchymal Stem Cell Aggregates.,1,【原因代码】: 1
alveolar distraction,SUVB33ZW,Alveolar Distraction.,2,【原因代码】: 2
a novel guided zygomatic and pterygoid implant surgery system a human cadaver study on accuracy,SXVNEQGA,A Novel Guided Zygomatic and Pterygoid Implant Surgery System: A Human Cadaver Study on Accuracy.,3,【原因代码】: 3
biomechanical comparison of titanium and y tzp subperiosteal implants in atrophic maxilla a finite element study,5N9WLQW9,Biomechanical comparison of titanium and Y-TZP subperiosteal implants in atrophic maxilla: a finite element study.,3,【原因代码】: 3
zirconia implants interfere with the evaluation of peri implant bone defects in cone beam computed tomography cbct images even with artifact reduction a pilot study,HG9V8DTX,"Zirconia implants interfere with the evaluation of peri-implant bone defects in cone beam computed tomography (CBCT) images even with artifact reduction, a pilot  study.",3,【原因代码】: 3
exploring the intricacies of finite element modeling of 3d printed scaffolds for musculoskeletal applications an in depth review,QLCV7SDJ,Exploring the Intricacies of Finite Element Modeling of 3D-Printed Scaffolds for Musculoskeletal Applications: An In-Depth Review.,1,【原因代码】: 1
a reproducible optical microscopic framework for evaluating electronic apex locator performance in different irrigants using 3d printed transparent resin teeth,D4L4LQ75,A reproducible optical-microscopic framework for evaluating electronic apex locator performance in different irrigants using 3D-printed transparent resin  teeth.,3,【原因代码】: 3
investigation of voids in the apical plug of mta using cone beam computed tomography digital radiography and analog radiography,ECEYBXQN,"Investigation of Voids in the Apical Plug of MTA Using Cone-Beam Computed Tomography, Digital Radiography, and Analog Radiography.",3,【原因代码】: 3
artificial intelligence for maxillofacial prosthodontics a technological shift in craniofacial rehabilitation a scoping review,LPNTLF6K,Artificial intelligence for maxillofacial prosthodontics: A technological shift in craniofacial rehabilitation- a scoping review.,2,【原因代码】: 2
use of individually designed cad cam suprastructures for dental reconstruction in patients with cleft lip and palate,HXCMADLS,Use of Individually Designed CAD/CAM Suprastructures for Dental Reconstruction in Patients with Cleft Lip and Palate.,3,【原因代码】: 3
quantitative salivary gland spect ct using deep convolutional neural networks,AXW63VZF,Quantitative salivary gland SPECT/CT using deep convolutional neural networks.,1,【原因代码】: 1
