_nt,run,分类结果,原始返回
finite element analysis of the effect of framework materials at the bone implant interface in the all on four implant system,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为口腔种植领域的有限元分析研究，可能使用非牙科专用3D/工程软件（如ANSYS、ABAQUS等），但摘要缺失，无法确认具体软件及文献类型，信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
finite element analysis of the effect of framework materials at the bone implant interface in the all on four implant system,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为有限元分析（FEA）研究，涉及口腔种植（all-on-four系统），很可能使用了非牙科专用3D/工程软件（如ANSYS、ABAQUS等），但摘要缺失，无法确认软件类型、文献类型及发表年份，信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
digital workflow for a definitive implant supported hybrid prosthesis,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为种植体支持混合义齿的数字化工作流程，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
digital workflow for a definitive implant supported hybrid prosthesis,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为种植支持混合义齿的数字化工作流程，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
digital workflow for a definitive implant supported hybrid prosthesis,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为种植体支持混合义齿的数字化工作流程，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
in vivo full arch accuracy of intraoral scanners a narrative review,1,exclude,"【分类结果】: exclude
【分类理由】: 标题明确表明该文献为叙述性综述（narrative review），属于非原创研究类型，不符合纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
in vivo full arch accuracy of intraoral scanners a narrative review,2,exclude,"【分类结果】: exclude
【分类理由】: 标题明确表明该文献为叙述性综述（narrative review），属于非原创研究类型，不符合纳入标准中的文献类型要求。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
in vivo full arch accuracy of intraoral scanners a narrative review,3,exclude,"【分类结果】: exclude
【分类理由】: 标题明确表明该文献为叙述性综述（narrative review），属于非原创研究类型，不符合纳入标准中的文献类型要求。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
computer guided palatal canine disimpaction a technical note,1,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为技术说明（technical note），属于纳入的文献类型，且涉及口腔正畸（腭侧尖牙阻生）范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，故判为unsure。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
computer guided palatal canine disimpaction a technical note,2,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为技术说明（technical note），属于可纳入的文献类型，且主题为口腔正畸（腭侧尖牙阻生）范畴；但摘要缺失，无法判断是否使用了非牙科专用3D软件，故判 unsure 以进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
computer guided palatal canine disimpaction a technical note,3,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为计算机引导下腭侧尖牙助萌的技术说明，属于口腔正畸/颌面外科范畴，文献类型为技术说明（technical note），符合纳入的文献类型；但摘要缺失，无法判断是否使用了非牙科专用3D软件，故判为unsure以便全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
3d platform to control orientations of periodontal ligament in periodontal defects in canine model pilot study,1,unsure,"【分类结果】: unsure
【分类理由】: 标题提示该研究涉及牙周缺损及3D平台，属于口腔医学范畴，但摘要缺失，无法确认是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
3d platform to control orientations of periodontal ligament in periodontal defects in canine model pilot study,2,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为口腔医学（牙周）领域的动物实验研究，涉及3D平台，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与年份，需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
3d platform to control orientations of periodontal ligament in periodontal defects in canine model pilot study,3,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为口腔医学（牙周）领域的动物实验研究，涉及3D平台，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份是否符合要求。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
first steps of a digital workflow to build up a virtual articulator using open source autodesk meshmixer software,1,include,"【分类结果】: include
【分类理由】: 标题明确显示使用开源非牙科专用3D软件Autodesk Meshmixer构建虚拟牙合架，属于口腔医学（修复/牙合学）范畴，符合纳入标准。
【软件使用情况】: Autodesk Meshmixer（开源通用3D网格处理软件），用于构建虚拟牙合架
【应用领域】: 口腔修复学/牙合学
【应用场景】: 数字化工作流程中构建虚拟牙合架"
first steps of a digital workflow to build up a virtual articulator using open source autodesk meshmixer software,2,include,"【分类结果】: include
【分类理由】: 标题明确显示使用开源非牙科专用3D软件Autodesk Meshmixer构建虚拟牙合架，属于口腔医学范畴，符合纳入标准。
【软件使用情况】: Autodesk Meshmixer（开源通用3D软件）——用于构建虚拟牙合架
【应用领域】: 修复学/牙合学（口腔医学）
【应用场景】: 数字化工作流程中构建虚拟牙合架"
first steps of a digital workflow to build up a virtual articulator using open source autodesk meshmixer software,3,include,"【分类结果】: include
【分类理由】: 标题明确显示使用开源非牙科专用3D软件Autodesk Meshmixer构建虚拟牙合架，属于口腔医学范畴，符合纳入标准。
【软件使用情况】: Autodesk Meshmixer（开源通用3D网格处理软件），用于构建虚拟牙合架
【应用领域】: 修复学/牙合学（口腔医学）
【应用场景】: 数字化工作流程中构建虚拟牙合架"
fracture strength of different veneers on polyetheretherketone peek frameworks in implant supported single crowns,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为口腔种植修复领域的原创研究（PEEK支架上不同贴面的断裂强度），但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与年份，需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
fracture strength of different veneers on polyetheretherketone peek frameworks in implant supported single crowns,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为口腔种植修复领域的原创研究，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与年份，需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
fracture strength of different veneers on polyetheretherketone peek frameworks in implant supported single crowns,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为口腔种植修复领域的原创研究（PEEK支架上不同贴面的断裂强度），但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与年份，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
accuracy of guided implant surgery obtained using 3d printed surgical guides an in vitro comparison of four evaluation methods,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及口腔种植（guided implant surgery）并使用3D打印手术导板，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
accuracy of guided implant surgery obtained using 3d printed surgical guides an in vitro comparison of four evaluation methods,2,unsure,"【分类结果】: unsure
【分类理由】: 标题涉及口腔种植领域的导板种植手术精度研究，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件（如用于导板设计或精度评估的通用3D软件），信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
accuracy of guided implant surgery obtained using 3d printed surgical guides an in vitro comparison of four evaluation methods,3,unsure,"【分类结果】: unsure
【分类理由】: 标题涉及口腔种植领域的导板种植手术精度研究，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件（如3D打印相关软件、影像处理软件等），信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
evaluation of the stress levels of different implant treatment options in extremely atrophic maxillae by finite element analysis method,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为有限元分析（FEA）研究，涉及极度萎缩上颌的种植治疗，属于口腔医学范畴；有限元分析通常使用非牙科专用3D软件（如ANSYS、ABAQUS），但摘要缺失，无法确认具体软件及文献类型，故判 unsure。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
evaluation of the stress levels of different implant treatment options in extremely atrophic maxillae by finite element analysis method,2,unsure,"【分类结果】: unsure
【分类理由】: 标题提示使用有限元分析（FEA）研究极萎缩上颌不同种植治疗方案，有限元分析通常依赖非牙科专用3D软件（如ANSYS、ABAQUS等），但摘要缺失，无法确认具体软件及文献类型，故判 unsure。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
evaluation of the stress levels of different implant treatment options in extremely atrophic maxillae by finite element analysis method,3,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为有限元分析（FEA）研究，通常涉及工程类3D软件（如ANSYS、ABAQUS），且属口腔种植领域，符合纳入方向；但摘要缺失，无法确认具体软件、文献类型及是否仅用牙科专用软件，故判unsure。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
a micro ct integrated 3d simulation framework reveals fluid transport mechanisms and void dynamics in root canal fillings vol 16 8695 2026,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及根管充填（口腔医学范畴）并使用micro-CT整合的3D模拟框架，可能涉及非牙科专用3D软件，但摘要缺失，无法明确判断软件类型及文献类型，故判unsure。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
a micro ct integrated 3d simulation framework reveals fluid transport mechanisms and void dynamics in root canal fillings vol 16 8695 2026,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及根管充填的3D模拟框架，属于口腔医学（牙体牙髓）范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与具体软件信息，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
a micro ct integrated 3d simulation framework reveals fluid transport mechanisms and void dynamics in root canal fillings vol 16 8695 2026,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及根管充填的微CT整合3D模拟框架，属于口腔医学（牙体牙髓）范畴，且可能使用了非牙科专用3D软件（如微CT图像处理/流体模拟软件），但摘要缺失，无法确认软件类型、文献类型及是否满足全部纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
automatic bone segmentation for oral surgical planning,1,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为口腔外科手术规划中的自动骨分割，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
automatic bone segmentation for oral surgical planning,2,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为口腔外科手术规划中的自动骨分割，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
automatic bone segmentation for oral surgical planning,3,unsure,"【分类结果】: unsure
【分类理由】: 标题提示为口腔外科手术规划中的自动骨分割，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
latest advances in augmented reality technology and its integration into the digital workflow,1,unsure,"【分类结果】: unsure
【分类理由】: 标题提示涉及增强现实技术与数字化工作流程的整合，可能属于口腔医学数字化范畴，但摘要缺失，无法判断是否使用非牙科专用3D软件、是否为原创研究及是否与口腔医学相关。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
latest advances in augmented reality technology and its integration into the digital workflow,2,unsure,"【分类结果】: unsure
【分类理由】: 标题提示涉及增强现实技术与数字化工作流程，可能属于口腔医学数字化领域，但摘要缺失，无法判断是否使用非牙科专用3D软件、是否为原创研究及是否与口腔医学相关。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
latest advances in augmented reality technology and its integration into the digital workflow,3,exclude,"【分类结果】: exclude
【分类理由】: 标题明确表明为综述类文献（""Latest advances...and its integration""），属于非原创研究类型，不符合纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
3d printing in endodontics report of three clinical cases with innovative approaches,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为牙体牙髓领域的临床病例报告，符合口腔医学范畴及文献类型要求，但摘要缺失，无法判断是否使用了非牙科专用3D软件，故判 unsure 以进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
3d printing in endodontics report of three clinical cases with innovative approaches,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为牙体牙髓领域的临床病例报告，符合口腔医学范畴及文献类型，但摘要缺失，无法判断是否使用了非牙科专用3D软件，故需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
3d printing in endodontics report of three clinical cases with innovative approaches,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为牙体牙髓领域的临床病例报告，符合口腔医学范畴和文献类型，但摘要缺失，无法判断是否使用了非牙科专用3D软件，需进入全文复核。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
current development status of additive manufacturing technologies for fabricating removable partial denture frameworks a literature review,1,exclude,"【分类结果】: exclude
【分类理由】: 标题明确表明该文献为文献综述（literature review），属于非原创研究类型，不符合纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
current development status of additive manufacturing technologies for fabricating removable partial denture frameworks a literature review,2,exclude,"【分类结果】: exclude
【分类理由】: 标题明确表明该文献为文献综述（literature review），属于非原创研究类型，不符合纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
current development status of additive manufacturing technologies for fabricating removable partial denture frameworks a literature review,3,exclude,"【分类结果】: exclude
【分类理由】: 标题明确表明该文献为文献综述（literature review），属于非原创研究类型，不符合纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
evaluation of the use of peek material in post core and crown restorations using finite element analysis,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究使用有限元分析（通常为非牙科专用工程软件如ANSYS、ABAQUS）评估PEEK材料在桩核冠修复中的应用，属于口腔修复学范畴，但摘要缺失，无法确认软件类型、文献类型及发表年份是否符合纳入标准。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
evaluation of the use of peek material in post core and crown restorations using finite element analysis,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究使用有限元分析（通常借助ANSYS、ABAQUS等非牙科专用工程软件）评估PEEK材料在桩核冠修复中的应用，属于口腔修复学范畴，但摘要缺失，无法确认具体软件、文献类型及发表年份，信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
evaluation of the use of peek material in post core and crown restorations using finite element analysis,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究使用有限元分析（通常依赖ANSYS、ABAQUS等非牙科专用工程软件）评估PEEK材料在桩核冠修复中的应用，属于口腔修复学范畴，但摘要缺失，无法确认具体软件及文献类型，信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
accuracy of surface adaptation of complete denture bases fabricated using milling material jetting selective laser sintering digital light processing and conventional injection molding,1,unsure,"【分类结果】: unsure
【分类理由】: 标题涉及全口义齿基托的表面适合性，比较了铣削、材料喷射、选择性激光烧结、数字光处理等制造技术，属于口腔修复学范畴；但摘要缺失，无法判断是否使用了非牙科专用3D软件（如材料喷射、SLS、DLP可能涉及通用3D软件或工程软件），信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
accuracy of surface adaptation of complete denture bases fabricated using milling material jetting selective laser sintering digital light processing and conventional injection molding,2,unsure,"【分类结果】: unsure
【分类理由】: 标题涉及全口义齿基托的表面适合性，属于口腔修复学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件（如仅提及milling、material jetting、SLS、DLP等制造工艺，未明确软件类型），信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
accuracy of surface adaptation of complete denture bases fabricated using milling material jetting selective laser sintering digital light processing and conventional injection molding,3,unsure,"【分类结果】: unsure
【分类理由】: 标题涉及全口义齿基托的表面适合性，属于口腔修复学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件（如仅提及milling、material jetting、SLS、DLP等制造工艺，未明确软件类型），信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
segmentation and visualization of tooth from cbct images using 2d u net,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及CBCT图像中牙齿的分割与可视化，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
segmentation and visualization of tooth from cbct images using 2d u net,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及CBCT图像中牙齿的分割与可视化，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
segmentation and visualization of tooth from cbct images using 2d u net,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及CBCT图像中牙齿的分割与可视化，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
a dental caries segmentation method based on dental bitewings,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为龋齿分割方法研究，属于口腔医学（牙体牙髓/影像）范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
a dental caries segmentation method based on dental bitewings,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为龋齿分割方法研究，属于口腔医学范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
a dental caries segmentation method based on dental bitewings,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示为龋齿分割方法研究，属于口腔医学（牙体牙髓/影像）范畴，但摘要缺失，无法判断是否使用了非牙科专用3D软件，也无法确认文献类型与发表年份，信息不足。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
assessment of the expressions of facial paralysis using pointnet a deep learning approach for 3d facial point cloud analysis,1,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及3D面部点云分析（PointNet深度学习），可能属于口腔颌面领域，但摘要缺失，无法确认是否使用非牙科专用3D软件、是否属于口腔医学范畴及文献类型是否符合。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
assessment of the expressions of facial paralysis using pointnet a deep learning approach for 3d facial point cloud analysis,2,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及3D面部点云分析（PointNet深度学习），可能属于口腔颌面领域，但摘要缺失，无法确认是否使用非牙科专用3D软件、是否属于口腔医学范畴及文献类型与年份。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
assessment of the expressions of facial paralysis using pointnet a deep learning approach for 3d facial point cloud analysis,3,unsure,"【分类结果】: unsure
【分类理由】: 标题显示研究涉及3D面部点云分析（可能用于面瘫评估），属于口腔颌面相关领域，且使用了深度学习工具PointNet（非牙科专用3D软件），但摘要缺失，无法确认是否属于口腔医学范畴、文献类型及年份是否符合要求。
【软件使用情况】: 无
【应用领域】: 无
【应用场景】: 无"
