_nt,Title,期刊,Item Type,原流程原因,判定,判定理由,专科,应用场景,软件,研究设计,原始返回
effect of framework material and gyroid lattice design on the biomechanics of all on four full arch prostheses,Effect of framework material and gyroid lattice design on the biomechanics of all-on-four full-arch prostheses.,BMC oral health,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明作者将CT数据导入 3D Slicer 进行分割、用 Blender 进行逆向工程与几何精修、并用 Altair HyperMesh 进行网格划分，属研究自身使用非牙科3D软件。,Prosthodontics,Biomechanical analysis and simulation,3D Slicer; Blender; Altair HyperMesh,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明作者将CT数据导入 3D Slicer 进行分割、用 Blender 进行逆向工程与几何精修、并用 Altair HyperMesh 进行网格划分，属研究自身使用非牙科3D软件。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: 3D Slicer; Blender; Altair HyperMesh
【研究设计】: computational"
multi architecture deep learning for cbct segmentation of dental hard tissues and pulp in mixed dentition,Multi-Architecture deep learning for CBCT segmentation of dental hard tissues and pulp in mixed dentition.,Journal of dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,全文方法部分明确说明将DICOM文件导入ITK-SNAP进行半自动分割，属于研究自身方法中使用非牙科专用3D软件。,Pediatric Dentistry,Image segmentation and 3D reconstruction,ITK-SNAP,computational,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明将DICOM文件导入ITK-SNAP进行半自动分割，属于研究自身方法中使用非牙科专用3D软件。
【专科】: Pediatric Dentistry
【应用场景】: Image segmentation and 3D reconstruction
【软件】: ITK-SNAP
【研究设计】: computational"
the geometric relationship between root length and root surface area determined from digital tooth models,The geometric relationship between root length and root surface area determined from digital tooth models.,Computers in biology and medicine,journalArticle,No non-dental 3D software identified,INCLUDE,"方法部分明确说明使用 Meshmixer Version 3.3 将牙根从牙冠分离（""Utilising Meshmixer Version 3.3... the roots of each three-dimensional tooth model were separated from the crowns""）。",Endodontics,Image segmentation and 3D reconstruction,Meshmixer,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 Meshmixer Version 3.3 将牙根从牙冠分离（""Utilising Meshmixer Version 3.3... the roots of each three-dimensional tooth model were separated from the crowns""）。
【专科】: Endodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Meshmixer
【研究设计】: computational"
tcfnet bidirectional face bone transformation via a transformer based coarse to fine point movement network,TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,Medical image analysis,journalArticle,Outside the scope of dentistry,INCLUDE,"全文明确说明""All post-processing operations were performed in MeshLab""且""Our preprocessing and postprocessing methods relied on Open3D 0.18.0 and MeshLab""，表明该研究自身在方法中使用了非牙科专用3D软件MeshLab。",Orthodontics and Orthognathic Surgery,Image segmentation and 3D reconstruction,MeshLab; Open3D,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明""All post-processing operations were performed in MeshLab""且""Our preprocessing and postprocessing methods relied on Open3D 0.18.0 and MeshLab""，表明该研究自身在方法中使用了非牙科专用3D软件MeshLab。
【专科】: Orthodontics and Orthognathic Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: MeshLab; Open3D
【研究设计】: computational"
the effect of different tooth preparation finishing procedures and immediate dentin sealing on the scanning accuracy of different intraoral scanners,The effect of different tooth preparation finishing procedures and immediate dentin sealing on the scanning accuracy of different intraoral scanners.,Journal of dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明将对照文件和实验扫描数据导入逆向工程软件（Geomagic Control X; 3D Systems）进行最佳拟合对齐和RMS误差计算，属该研究自身方法中使用非牙科专用3D软件。,Prosthodontics,3D data analysis and accuracy assessment,Geomagic Control X,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明将对照文件和实验扫描数据导入逆向工程软件（Geomagic Control X; 3D Systems）进行最佳拟合对齐和RMS误差计算，属该研究自身方法中使用非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X
【研究设计】: in_vitro"
automated micro ct quantification of clear aligner fit a pilot comparison of manufacturing processes,Automated micro-CT quantification of clear aligner fit: a pilot comparison of manufacturing processes.,BMC oral health,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用 Mimics 21.0 进行手动分割以验证自动化算法，属自身方法使用非牙科专用3D软件。,Orthodontics,Image segmentation and 3D reconstruction,Mimics,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 Mimics 21.0 进行手动分割以验证自动化算法，属自身方法使用非牙科专用3D软件。
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics
【研究设计】: in_vitro"
application of temporary patient specific plate in head and neck osteocutaneous free flap reconstruction a prospective pilot study,Application of temporary patient-specific plate in head and neck osteocutaneous free flap reconstruction: a prospective pilot study.,Frontiers in oral health,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中明确使用非牙科专用3D软件 3-matic 13.0 进行手术导板/TPSP设计及术后模型配准与偏差分析。,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,3-matic,clinical,"【判定】: INCLUDE
【判定理由】: 该研究在方法中明确使用非牙科专用3D软件 3-matic 13.0 进行手术导板/TPSP设计及术后模型配准与偏差分析。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: 3-matic
【研究设计】: clinical"
individual high precision 3d mandibular model for finite element analysis of three unit bridges a biomechanical pilot study,"Individual, High-Precision 3D Mandibular Model for Finite Element Analysis of Three-Unit Bridges: A Biomechanical Pilot Study.",Journal of functional biomaterials,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己使用 3D Slicer 进行分割重建，并使用 SIMULIA Abaqus 进行有限元分析。,Prosthodontics,Biomechanical analysis and simulation,3D Slicer; ABAQUS,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己使用 3D Slicer 进行分割重建，并使用 SIMULIA Abaqus 进行有限元分析。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: 3D Slicer; ABAQUS
【研究设计】: computational"
a step by step guide for implementation of virtual surgical applications and patient data centralization practical experience and lessons learned,A step-by-step guide for implementation of virtual surgical applications and patient data centralization: practical experience and lessons learned.,3D printing in medicine,journalArticle,Not an original research report,INCLUDE,全文明确说明该研究自身在虚拟服务器上运行并使用 Mimics Innovation Suite v26.0 进行 VSP（如腭部腺样囊性癌切除的虚拟手术规划）。,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,Mimics Innovation Suite,technical_note,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自身在虚拟服务器上运行并使用 Mimics Innovation Suite v26.0 进行 VSP（如腭部腺样囊性癌切除的虚拟手术规划）。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: Mimics Innovation Suite
【研究设计】: technical_note"
a finite element analysis of a dental implant with a conformal lattice structure a parametric exploration under occlusal loading,A finite element analysis of a dental implant with a conformal lattice structure: a parametric exploration under occlusal loading.,Biomedical physics & engineering express,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明三维模型在CAD 2014中构建后导入ANSYS Workbench 2023 R1进行有限元前处理与分析，属研究自身方法使用非牙科专用3D软件。,Implantology,Biomechanical analysis and simulation,ANSYS Workbench,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明三维模型在CAD 2014中构建后导入ANSYS Workbench 2023 R1进行有限元前处理与分析，属研究自身方法使用非牙科专用3D软件。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: ANSYS Workbench
【研究设计】: computational"
comparison of biomechanical performance of custom implants with different designs under functional load a finite element analysis,Comparison of biomechanical performance of custom implants with different designs under functional load: a finite element analysis.,BMC oral health,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明使用 3DSlicer 从断层数据生成骨与牙模型、用 Blender 进行逆向工程与三维CAD建模、用 ALTAIR HyperMesh 划分网格，均为研究自身使用非牙科专用3D软件。,Prosthodontics,Biomechanical analysis and simulation,3D Slicer; Blender; HyperMesh,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 3DSlicer 从断层数据生成骨与牙模型、用 Blender 进行逆向工程与三维CAD建模、用 ALTAIR HyperMesh 划分网格，均为研究自身使用非牙科专用3D软件。
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【软件】: 3D Slicer; Blender; HyperMesh
【研究设计】: computational"
electromagnetic navigation in mandibular reconstruction using autologous grafts a color coded assistance for precise positioning of bone segments,Electromagnetic Navigation in Mandibular Reconstruction Using Autologous Grafts: A Color-Coded Assistance for Precise Positioning of Bone Segments.,Computational and structural biotechnology journal,journalArticle,No non-dental 3D software identified,INCLUDE,"全文方法部分明确说明""Bone surfaces are segmented using Mimics (Materialise NV, Leuven, Belgium)""，即该研究自身在方法中使用非牙科专用3D软件Mimics进行骨表面分割。",Oral and Maxillofacial Surgery,Surgical planning and precise implementation,Mimics,clinical,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明""Bone surfaces are segmented using Mimics (Materialise NV, Leuven, Belgium)""，即该研究自身在方法中使用非牙科专用3D软件Mimics进行骨表面分割。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: Mimics
【研究设计】: clinical"
accuracy and generalizability of an open source deep learning model for facial bone segmentation on ct and cbct scans an ex vivo study,Accuracy and generalizability of an open-source deep learning model for facial bone segmentation on CT and CBCT scans: An ex vivo study.,Journal of dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明使用 ITK-SNAP 软件（v. 4.0.1）将 DICOM 数据集转换为 NIfTI 格式，属研究自身方法中使用非牙科专用3D软件。,Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,ITK-SNAP,in_vitro,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 ITK-SNAP 软件（v. 4.0.1）将 DICOM 数据集转换为 NIfTI 格式，属研究自身方法中使用非牙科专用3D软件。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: ITK-SNAP
【研究设计】: in_vitro"
comparison of low dose standard dose and high definition cbct protocols for stl reconstruction accuracy in digital bone scaffold workflows,"Comparison of Low-Dose, Standard-Dose, and High-Definition CBCT Protocols for STL Reconstruction Accuracy in Digital Bone Scaffold Workflows.",International journal of dentistry,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明该研究自己将DICOM数据导入3D Slicer进行分割，并使用CloudCompare进行网格配准与偏差分析。,Oral and Maxillofacial Radiology,3D data analysis and accuracy assessment,3D Slicer; CloudCompare,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确说明该研究自己将DICOM数据导入3D Slicer进行分割，并使用CloudCompare进行网格配准与偏差分析。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: 3D Slicer; CloudCompare
【研究设计】: in_vitro"
influence of transmucosal contour on peri implant soft tissue dimensions a cross sectional study in posterior single tooth implants,Influence of Transmucosal Contour on Peri-Implant Soft Tissue Dimensions: A Cross-Sectional Study in Posterior Single-Tooth Implants.,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明使用 Geomagic Control X 进行三维测量分析，并使用 AutoCAD 2025 测量冠面积与软组织面积，属于研究自身方法中使用的非牙科专用3D软件。,Implantology,3D data analysis and accuracy assessment,Geomagic Control X; AutoCAD,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明使用 Geomagic Control X 进行三维测量分析，并使用 AutoCAD 2025 测量冠面积与软组织面积，属于研究自身方法中使用的非牙科专用3D软件。
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Geomagic Control X; AutoCAD
【研究设计】: clinical"
evaluation of the effects of diameter length splinted or nonsplinted form and crown to implant ratio on the stress distribution around extra short implants in the posterior mandible finite element analysis,"Evaluation of the Effects of Diameter, Length, Splinted or Nonsplinted Form, and Crown-to-Implant Ratio on the Stress Distribution Around Extra-Short Implants in  the Posterior Mandible: Finite Element Analysis.",The International journal of oral & maxillofacial implants,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明将CBCT数据导入Mimics和3-matic进行分割并生成3D下颌模型，属于研究自身使用非牙科专用3D软件。,Implantology,Biomechanical analysis and simulation,Mimics; 3-matic,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明将CBCT数据导入Mimics和3-matic进行分割并生成3D下颌模型，属于研究自身使用非牙科专用3D软件。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: Mimics; 3-matic
【研究设计】: computational"
posterior implant angulation without cantilever reduction in mandibular all on 4 a controlled finite element analysis of stress transfer and implant macrodesign effects,Posterior implant angulation without cantilever reduction in mandibular All-on-4: a controlled finite element analysis of stress transfer and implant macrodesign  effects.,BMC oral health,journalArticle,No non-dental 3D software identified,INCLUDE,该研究自身在方法中使用 Rhinoceros 4.0 进行种植体/修复体几何装配，并用 3D-Doctor 提取 CBCT 轮廓、ALGOR FEMPRO 进行有限元求解。,Implantology,Biomechanical analysis and simulation,Rhinoceros; 3D-Doctor; ALGOR FEMPRO,computational,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用 Rhinoceros 4.0 进行种植体/修复体几何装配，并用 3D-Doctor 提取 CBCT 轮廓、ALGOR FEMPRO 进行有限元求解。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: Rhinoceros; 3D-Doctor; ALGOR FEMPRO
【研究设计】: computational"
effect of simulated bur radius compensation on full contour cad crown morphology and trueness across tooth types an in silico study,Effect of simulated bur radius compensation on full-contour CAD crown morphology and trueness across tooth types. An in- silico study.,The Saudi dental journal,journalArticle,No non-dental 3D software identified,INCLUDE,该研究在方法中使用 CloudCompare 软件进行 ICP 对齐和点-面距离计算以验证其自定义 Python 算法的几何精度。,Prosthodontics,3D data analysis and accuracy assessment,CloudCompare,computational,"【判定】: INCLUDE
【判定理由】: 该研究在方法中使用 CloudCompare 软件进行 ICP 对齐和点-面距离计算以验证其自定义 Python 算法的几何精度。
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【软件】: CloudCompare
【研究设计】: computational"
development of an automatic computer program to determine the optimal dental implant size and position for fibula free flap surgery,Development of an Automatic Computer Program to Determine the Optimal Dental Implant Size and Position for Fibula Free Flap Surgery.,Craniomaxillofacial trauma & reconstruction,journalArticle,No non-dental 3D software identified,INCLUDE,摘要明确说明该研究自己使用 MATLAB 开发了自动计算机程序用于腓骨瓣种植体最优定位。,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,MATLAB,computational,"【判定】: INCLUDE
【判定理由】: 摘要明确说明该研究自己使用 MATLAB 开发了自动计算机程序用于腓骨瓣种植体最优定位。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【软件】: MATLAB
【研究设计】: computational"
three dimensional finite element analysis of temporomandibular joint stresses following botulinum toxin injection and occlusal splint therapy in bruxism,Three-dimensional finite element analysis of temporomandibular joint stresses following botulinum toxin injection and occlusal splint therapy in bruxism.,BMC oral health,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明该研究自身使用 3D Slicer 进行分割、ANSYS SpaceClaim/Workbench 进行逆向工程与网格划分、LS-DYNA 求解有限元仿真。,Temporomandibular Disorders,Biomechanical analysis and simulation,3D Slicer; ANSYS SpaceClaim; ANSYS Workbench; LS-DYNA,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明该研究自身使用 3D Slicer 进行分割、ANSYS SpaceClaim/Workbench 进行逆向工程与网格划分、LS-DYNA 求解有限元仿真。
【专科】: Temporomandibular Disorders
【应用场景】: Biomechanical analysis and simulation
【软件】: 3D Slicer; ANSYS SpaceClaim; ANSYS Workbench; LS-DYNA
【研究设计】: computational"
a novel guided zygomatic and pterygoid implant surgery system a human cadaver study on accuracy,A Novel Guided Zygomatic and Pterygoid Implant Surgery System: A Human Cadaver Study on Accuracy.,International journal of environmental research and public health,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确说明术后CT的DICOM图像被上传至Mimics Medical 19.0进行基于组织密度的分割，并用3-matic Medical 11.0配准种植体空间坐标以计算偏差。,Oral and Maxillofacial Surgery,3D data analysis and accuracy assessment,Mimics; 3-matic,clinical,"【判定】: INCLUDE
【判定理由】: 全文明确说明术后CT的DICOM图像被上传至Mimics Medical 19.0进行基于组织密度的分割，并用3-matic Medical 11.0配准种植体空间坐标以计算偏差。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: 3D data analysis and accuracy assessment
【软件】: Mimics; 3-matic
【研究设计】: clinical"
concurrent computed tomography based evaluation of nasal morphology airway volume and skeletal changes following craniofacial distraction osteogenesis a pilot retrospective case series,"Concurrent computed tomography-based evaluation of nasal morphology, airway volume, and skeletal changes following craniofacial distraction osteogenesis: A  pilot retrospective case series.","Journal of stomatology, oral and maxillofacial surgery",journalArticle,Outside the scope of dentistry,INCLUDE,全文方法部分明确说明使用 Mimics 三维分析软件进行鼻软组织指数测量和髁突体积计算。,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,Mimics,clinical,"【判定】: INCLUDE
【判定理由】: 全文方法部分明确说明使用 Mimics 三维分析软件进行鼻软组织指数测量和髁突体积计算。
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【软件】: Mimics
【研究设计】: clinical"
a reproducible optical microscopic framework for evaluating electronic apex locator performance in different irrigants using 3d printed transparent resin teeth,A reproducible optical-microscopic framework for evaluating electronic apex locator performance in different irrigants using 3D-printed transparent resin  teeth.,Frontiers in dental medicine,journalArticle,No non-dental 3D software identified,INCLUDE,全文明确描述该研究自己使用 3D Slicer 进行牙体分割、并使用 Meshmixer 进行数字化开髓预备。,Endodontics,Image segmentation and 3D reconstruction,3D Slicer; Meshmixer,in_vitro,"【判定】: INCLUDE
【判定理由】: 全文明确描述该研究自己使用 3D Slicer 进行牙体分割、并使用 Meshmixer 进行数字化开髓预备。
【专科】: Endodontics
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer; Meshmixer
【研究设计】: in_vitro"
biomechanical comparison of titanium and y tzp subperiosteal implants in atrophic maxilla a finite element study,Biomechanical comparison of titanium and Y-TZP subperiosteal implants in atrophic maxilla: a finite element study.,BMC oral health,journalArticle,No non-dental 3D software identified,INCLUDE,方法部分明确说明使用 3D Slicer 对颌骨CT进行分割重建，并使用 Blender 进行几何精修与网格准备。,Implantology,Biomechanical analysis and simulation,3D Slicer; Blender,computational,"【判定】: INCLUDE
【判定理由】: 方法部分明确说明使用 3D Slicer 对颌骨CT进行分割重建，并使用 Blender 进行几何精修与网格准备。
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【软件】: 3D Slicer; Blender
【研究设计】: computational"
ai assisted identification of the medial lingual foramen on cbct a deep learning approach for preoperative implant assessment,AI-Assisted Identification of the Medial Lingual Foramen on CBCT: A Deep Learning Approach for Preoperative Implant Assessment.,"Medicina (Kaunas, Lithuania)",journalArticle,No non-dental 3D software identified,INCLUDE,"全文明确说明 ""Manual annotations were performed in 3D Slicer (v4.13.0) on sagittal slices""，即该研究自己在方法中使用非牙科专用3D软件 3D Slicer 进行图像标注/分割。",Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,3D Slicer,computational,"【判定】: INCLUDE
【判定理由】: 全文明确说明 ""Manual annotations were performed in 3D Slicer (v4.13.0) on sagittal slices""，即该研究自己在方法中使用非牙科专用3D软件 3D Slicer 进行图像标注/分割。
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【软件】: 3D Slicer
【研究设计】: computational"
