_nt,Title,期刊,Item Type,Key,PDF,判定,判定理由,软件,专科,应用场景,研究设计,原始返回
root canal segmentation in cbct images by 3d u net with global and local combination loss,Root Canal Segmentation in CBCT Images by 3D U-Net with Global and Local Combination Loss.,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International  Conference,journalArticle,V57RMVGL,Zhang 等 - 2021 - Root Canal Segmentation in CBCT Images by 3D U-Net with Global and Local Combination Loss..pdf,EXCLUDE,"该研究仅提出并使用了自研的深度学习网络（""the proposed 3D U-Net""）与 level set 方法，证据片段中未出现任何具名的第三方非牙科3D软件被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究仅提出并使用了自研的深度学习网络（""the proposed 3D U-Net""）与 level set 方法，证据片段中未出现任何具名的第三方非牙科3D软件被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
oriented tooth detection a cbct image processing method integrated with roi transformer,Oriented tooth detection: a CBCT image processing method integrated with RoI?transformer.,Dento maxillo facial radiology,journalArticle,VPPTRWXZ,Zhao 等 - 2025 - Oriented tooth detection a CBCT image processing method integrated with RoI transformer..pdf,EXCLUDE,"证据片段仅描述该研究提出""an oriented object detection approach integrated with a Region of Interest (RoI) transformer""及自建深度学习模型，未出现任何具名的第三方非牙科3D软件被该研究自身使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅描述该研究提出""an oriented object detection approach integrated with a Region of Interest (RoI) transformer""及自建深度学习模型，未出现任何具名的第三方非牙科3D软件被该研究自身使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
3d craniofacial generative model for surgical planning in mandibular reconstruction,3D craniofacial generative model for surgical planning in mandibular reconstruction.,Medical image analysis,journalArticle,E5ATG7MJ,Xu 等 - 2026 - 3D craniofacial generative model for surgical planning in mandibular reconstruction..pdf,EXCLUDE,"该研究提出的是自研的""3D latent diffusion model""和""geometric optimization algorithm based on dynamic programming""，并声明""Our code is available at https://github.com/...""，属于自研算法/代码，证据片段中未出现任何该研究自己使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究提出的是自研的""3D latent diffusion model""和""geometric optimization algorithm based on dynamic programming""，并声明""Our code is available at https://github.com/...""，属于自研算法/代码，证据片段中未出现任何该研究自己使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
guidelines for orbital defect assessment and patient specific implant design introducing oa 2 orbital assessment algorithm,Guidelines for Orbital Defect Assessment and Patient-Specific Implant Design: Introducing OA(2) (Orbital Assessment Algorithm).,Craniomaxillofacial trauma & reconstruction,journalArticle,BXY6ILDH,Gellrich 等 - 2024 - Guidelines for Orbital Defect Assessment and Patient-Specific Implant Design Introducing OA(2) (Orb.pdf,EXCLUDE,"该文献自述为""a review of the evolutionary development in reconstructive orbital surgery""，属于综述类型，且证据片段中未出现任何该研究自身使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献自述为""a review of the evolutionary development in reconstructive orbital surgery""，属于综述类型，且证据片段中未出现任何该研究自身使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
mechanotherapeutic modulation of the nasal microenvironment rampa induced maxillofacial remodeling and its pathophysiological impact on mucus rheology and chronic inflammation,Mechanotherapeutic Modulation of the Nasal Microenvironment: RAMPA-Induced Maxillofacial Remodeling and Its Pathophysiological Impact on Mucus Rheology and  Chronic Inflammation.,"Bioengineering (Basel, Switzerland)",journalArticle,HHXKMFE3,Mitani 等 - 2026 - Mechanotherapeutic Modulation of the Nasal Microenvironment RAMPA-Induced Maxillofacial Remodeling.pdf,EXCLUDE,"证据片段仅提及""Computational Fluid Dynamics (CFD) and Finite Element Analysis (FEA) were employed""，未出现任何具名的第三方非牙科3D软件（如 ANSYS、ABAQUS、Mimics 等）被该研究自己使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅提及""Computational Fluid Dynamics (CFD) and Finite Element Analysis (FEA) were employed""，未出现任何具名的第三方非牙科3D软件（如 ANSYS、ABAQUS、Mimics 等）被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
evaluation of an ai based segmentation model for mandibular fracture segmentation on cbct using volumetric and 2d slice based validation approaches,Evaluation of an AI-based segmentation model for mandibular fracture segmentation on CBCT using volumetric and 2D slice-based validation approaches.,BMC oral health,journalArticle,SUK2X4DR,Arı 等 - 2026 - Evaluation of an AI-based segmentation model for mandibular fracture segmentation on CBCT using volu.pdf,EXCLUDE,"该研究仅使用自研/自建的 AI 模型（""The AI model was developed using the nnU-Net v2 architecture in 3D full-resolution mode""），属于自研算法/代码，未使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究仅使用自研/自建的 AI 模型（""The AI model was developed using the nnU-Net v2 architecture in 3D full-resolution mode""），属于自研算法/代码，未使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
accuracy of static computer assisted implant placement in posterior edentulous areas with different levels of tooth support by novice clinicians,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,The European journal of prosthodontics and restorative dentistry,journalArticle,69LQ9WZ4,Abduo和Lau - 2023 - Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different.pdf,EXCLUDE,抽取的证据片段仅涉及手术导板引导方式（FG/PG/FH）与种植体偏差测量，未出现任何具名的第三方非牙科3D软件被该研究自己使用。,-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 抽取的证据片段仅涉及手术导板引导方式（FG/PG/FH）与种植体偏差测量，未出现任何具名的第三方非牙科3D软件被该研究自己使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
management of total frontal bone loss after surgery for craniosynostosis the modified visor bone flap with brain cage,Management of Total Frontal Bone Loss After Surgery for Craniosynostosis: The Modified Visor Bone Flap With Brain Cage.,The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,journalArticle,B5HAN576,Valenti 等 - 2024 - Management of Total Frontal Bone Loss After Surgery for Craniosynostosis The Modified Visor Bone Fl.pdf,EXCLUDE,"证据片段中仅泛泛提及""Virtual surgery planning (VSP) and computer-assisted design (CAD)/computer-assisted manufacturing (CAM) technology""，未出现任何该研究自己使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段中仅泛泛提及""Virtual surgery planning (VSP) and computer-assisted design (CAD)/computer-assisted manufacturing (CAM) technology""，未出现任何该研究自己使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
visualizing physiological sclerotic dentin via micro computed tomography a pilot study,Visualizing physiological sclerotic dentin via micro-computed tomography: A pilot study.,Imaging science in dentistry,journalArticle,JFGG5SRB,Zainuddin 等 - 2025 - Visualizing physiological sclerotic dentin via micro-computed tomography A pilot study..pdf,INCLUDE,"该研究自身在材料与方法中使用 FIJI (ImageJ) 进行三维体积分析，原文明确写道 ""volumetric analysis was performed on the root dentin region using the open-source software FIJI (ImageJ)""，且用其 3D Manager 进行三维分割与可视化。",FIJI (ImageJ),Oral and Maxillofacial Radiology,Image segmentation and 3D reconstruction,in_vitro,"【判定】: INCLUDE
【判定理由】: 该研究自身在材料与方法中使用 FIJI (ImageJ) 进行三维体积分析，原文明确写道 ""volumetric analysis was performed on the root dentin region using the open-source software FIJI (ImageJ)""，且用其 3D Manager 进行三维分割与可视化。
【软件】: FIJI (ImageJ)
【专科】: Oral and Maxillofacial Radiology
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: in_vitro"
madcrowner margin aware dental crown design with template deformation and refinement,MADCrowner: Margin Aware Dental Crown design with template deformation and refinement.,Medical image analysis,journalArticle,Y3Y6L6FN,Wei 等 - 2026 - MADCrowner Margin Aware Dental Crown design with template deformation and refinement.pdf,EXCLUDE,"证据片段仅显示该研究提出自研框架""MADCrowner, a margin-aware mesh generation framework comprising CrownDeformR and CrownSegger""，并释放自编代码（""The code repository was released in https://github.com/lullcant/MADCrowner""），未提及任何具名第三方非牙科3D软件被该研究自身使用。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 证据片段仅显示该研究提出自研框架""MADCrowner, a margin-aware mesh generation framework comprising CrownDeformR and CrownSegger""，并释放自编代码（""The code repository was released in https://github.com/lullcant/MADCrowner""），未提及任何具名第三方非牙科3D软件被该研究自身使用。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
tcfnet bidirectional face bone transformation via a transformer based coarse to fine point movement network,TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,Medical image analysis,journalArticle,8PBRU82N,Zhang 等 - 2025 - TCFNet Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement.pdf,EXCLUDE,"该研究提出的是自研的 Transformer-based 网络（TCFNet）及 LIA-Net，属于自编算法/代码（""we propose a Transformer-based coarse-to-fine point movement network (TCFNet)""），证据片段中未出现任何该研究自己使用的具名第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究提出的是自研的 Transformer-based 网络（TCFNet）及 LIA-Net，属于自编算法/代码（""we propose a Transformer-based coarse-to-fine point movement network (TCFNet)""），证据片段中未出现任何该研究自己使用的具名第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
fully automated ai based digital workflow for mirroring of healthy and defective craniofacial models,Fully Automated AI-Based Digital Workflow for Mirroring of Healthy and Defective Craniofacial Models.,Journal of imaging,journalArticle,ZHH7IXHH,Beyer 等 - 2025 - Fully Automated AI-Based Digital Workflow for Mirroring of Healthy and Defective Craniofacial Models.pdf,EXCLUDE,"该研究仅使用自研的深度学习模型 nnU-Net 和自编的 PCA-ICP 算法（""train a three-dimensional nnU-Net model""、""a Principal Component Analysis–Iterative Closest Point (PCA-ICP) algorithm was then applied""），未使用任何具名的第三方非牙科3D软件。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该研究仅使用自研的深度学习模型 nnU-Net 和自编的 PCA-ICP 算法（""train a three-dimensional nnU-Net model""、""a Principal Component Analysis–Iterative Closest Point (PCA-ICP) algorithm was then applied""），未使用任何具名的第三方非牙科3D软件。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
ducu a conceptual framework for ai driven conversion of smile design to functional wax up,DUCU: a conceptual framework for AI-driven conversion of smile design to functional wax-up.,Frontiers in oral health,journalArticle,K64RLB43,Drafta 等 - 2025 - DUCU a conceptual framework for AI-driven conversion of smile design to functional wax-up..pdf,EXCLUDE,"该文献为""Hypothesis and Theory""类型的概念框架文章，仅提出 DUCU 概念，未在材料与方法中使用任何具名第三方非牙科3D软件；证据片段中仅泛泛提及""artificial intelligence algorithms""和""deep-learning algorithms""，无具体软件名。",-,-,-,-,"【判定】: EXCLUDE
【判定理由】: 该文献为""Hypothesis and Theory""类型的概念框架文章，仅提出 DUCU 概念，未在材料与方法中使用任何具名第三方非牙科3D软件；证据片段中仅泛泛提及""artificial intelligence algorithms""和""deep-learning algorithms""，无具体软件名。
【软件】: -
【专科】: -
【应用场景】: -
【研究设计】: -"
treatment of progressive hemifacial atrophy by cartilage graft and free adipofascial flap combined with three dimensional planning,Treatment of Progressive Hemifacial Atrophy by Cartilage Graft and Free Adipofascial Flap Combined with Three-Dimensional Planning.,Plastic and reconstructive surgery,journalArticle,PYH6UXUZ,He 等 - 2024 - Treatment of Progressive Hemifacial Atrophy by Cartilage Graft and Free Adipofascial Flap Combined w.pdf,INCLUDE,"该研究自身在方法中使用了具名第三方非牙科3D软件，原文证据为""The image data was analyzed on Mimics Innovation Suite Software (Materialise, Leuven, Belgium)""。",Mimics Innovation Suite,Oral and Maxillofacial Surgery,Surgical planning and precise implementation,clinical,"【判定】: INCLUDE
【判定理由】: 该研究自身在方法中使用了具名第三方非牙科3D软件，原文证据为""The image data was analyzed on Mimics Innovation Suite Software (Materialise, Leuven, Belgium)""。
【软件】: Mimics Innovation Suite
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Surgical planning and precise implementation
【研究设计】: clinical"
