_nt,Key,Title,排除原因
surface roughness and preload loss of implant supported screw retained three unit framework fabricated by different techniques,Y3QHHC7Y,Surface roughness and preload loss of implant-supported screw retained three-unit framework fabricated by different techniques,未使用非牙科专用3D软件
efficacy of ai enabled software in automatic segmentation for orthognathic surgery,7LLG4STI,Efficacy of Ai Enabled Software in Automatic Segmentation for Orthognathic Surgery.,文献类型不符（综述/社论/会议摘要等）
accuracy of automatic and manual dynamic navigation registration techniques for dental implant surgery in posterior sites missing a single tooth a retrospective clinical analysis,X6NG9MRZ,Accuracy of automatic and manual dynamic navigation registration techniques for dental implant surgery in posterior sites missing a single tooth: A retrospective clinical analysis,未使用非牙科专用3D软件
evaluating the effectiveness of large language models in addressing patient queries regarding maxillomandibular fixation for maxillofacial fractures,MLRQPJHS,Evaluating the Effectiveness of Large Language Models in Addressing Patient Queries Regarding Maxillomandibular Fixation for Maxillofacial Fractures,未使用非牙科专用3D软件
comparison of the overall fit of three unit posterior fixed dental prostheses fabricated with laser sintering and conventional casting methods,WTXDAWTN,Comparison of the overall fit of three-unit posterior fixed dental prostheses fabricated with laser sintering and conventional casting methods,未使用非牙科专用3D软件
enabling complex fibre geometries using 3d printed axon mimetic phantoms,5QNKAX9U,Enabling Complex Fibre Geometries Using 3D Printed Axon-Mimetic Phantoms,不属于口腔医学范畴
pasegnet integrating dual awareness of position and boundary on 3d dental meshes for tooth instance segmentation,FVFBH2KA,PASegNet: Integrating dual awareness of position and boundary on 3D dental meshes for tooth instance segmentation,未使用非牙科专用3D软件
a systematic review of digital removable partial dentures part ii cad cam framework artificial teeth and denture base,4C8YNE69,"A systematic review of digital removable partial dentures. Part II: CAD/CAM framework, artificial teeth, and denture base",文献类型不符（综述/社论/会议摘要等）
objective characterization of dental occlusal and fissure morphologies method development and exploratory analysis,LSHIDCRW,Objective characterization of dental occlusal and fissure morphologies: Method development and exploratory analysis,未使用非牙科专用3D软件
full mouth rehabilitation of a patient with implant supported fixed dental prostheses using cad cam frameworks,8EJ8L3BS,Full-mouth rehabilitation of a patient with implant-supported fixed dental prostheses using CAD-CAM frameworks.,未使用非牙科专用3D软件
fitness accuracy and retentive forces of additive manufactured titanium clasp,4IYETYX2,Fitness accuracy and retentive forces of additive manufactured titanium clasp,未使用非牙科专用3D软件
influence of different education approaches on the implantation performance of dental practitioners in aesthetic zone,ZPHWMMKX,Influence of different education approaches on the implantation performance of dental practitioners in aesthetic zone.,文献类型不符（综述/社论/会议摘要等）
design and validation of a high fidelity left atrial cardiac simulator for the study and advancement of left atrial appendage occlusion,LMQDB4W2,Design and Validation of a High-Fidelity Left Atrial Cardiac Simulator for the Study and Advancement of Left Atrial Appendage Occlusion,不属于口腔医学范畴
positional trueness of three removable die designs with different root geometries manufactured using stereolithographic 3d printing,NLELJUTF,Positional trueness of three removable die designs with different root geometries manufactured using stereolithographic 3D printing,未使用非牙科专用3D软件
hierarchical self supervised learning for 3d tooth segmentation in intra oral mesh scans,EED4NH95,Hierarchical Self-Supervised Learning for 3D Tooth Segmentation in Intra-Oral Mesh Scans,未使用非牙科专用3D软件
prospective study on the localization of anterolateral thigh perforator vessel based on mixed reality and artificial algorithm,7CZBUA54,Prospective study on the localization of anterolateral thigh perforator vessel based on mixed reality and artificial algorithm.,不属于口腔医学范畴
influence of digital technologies and framework design on the load to fracture of co cr posterior fixed partial denture frameworks,N8MVKDJM,Influence of Digital Technologies and Framework Design on the Load to Fracture of Co-Cr Posterior Fixed Partial Denture Frameworks.,未使用非牙科专用3D软件
agglomeration effect on biomechanical performance of cnt reinforced dental implant using micromechanics based approach,CP9K9238,Agglomeration effect on biomechanical performance of CNT-reinforced dental implant using micromechanics-based approach,未使用非牙科专用3D软件
3d dental biometrics automatic pose invariant dental arch extraction and matching,VHPL5MDY,3D Dental Biometrics: Automatic Pose-invariant Dental Arch Extraction and Matching,未使用非牙科专用3D软件
digital implantology a review of virtual planning software for guided implant surgery part ii prosthetic set up and virtual implant planning,WSEGYC4K,Digital implantology-a review of virtual planning software for guided implant surgery. Part II: Prosthetic set-up and virtual implant planning,文献类型不符（综述/社论/会议摘要等）
degradation tunable coating with sustained silver release for spinal implants to prevent postoperative infections,4SMAJFLQ,Degradation-tunable coating with sustained silver release for spinal implants to prevent postoperative infections.,不属于口腔医学范畴
the mechanosensing and global dna methylation of human osteoblasts on mew fibers,GDR8KPPZ,The Mechanosensing and Global DNA Methylation of Human Osteoblasts on MEW Fibers.,未使用非牙科专用3D软件
deep learning segmentation of mandible with lower dentition from cone beam ct,UN4CD2I2,Deep learning segmentation of mandible with lower dentition from cone beam CT,未使用非牙科专用3D软件
accuracy of guided implant surgery obtained using 3d printed surgical guides an in vitro comparison of four evaluation methods,2TPBCDEY,Accuracy of guided implant surgery obtained using 3D-printed surgical guides - An in vitro comparison of four evaluation methods,未使用非牙科专用3D软件
the relevance of intraoral scanner ios for periodontal diagnosis a scoping review,QFG24RI9,The relevance of intraoral scanner (IOS) for periodontal diagnosis: A scoping review,文献类型不符（综述/社论/会议摘要等）
deep learning for automatic segmentation of the inferior alveolar nerve using a hybrid cnn transformer framework,JNXPDRMH,Deep learning for automatic segmentation of the inferior alveolar nerve using a hybrid CNN-transformer framework.,未使用非牙科专用3D软件
decellularized bone matrix enriched 3d printed gelma scaffold as a cell homing platform analysis using an artificial pulp chamber model,ZLXKNJ5X,Decellularized bone matrix-enriched 3D-printed GelMA scaffold as a cell-homing platform: analysis using an artificial pulp chamber model,未使用非牙科专用3D软件
3d printing in biomedical engineering processes materials and applications,9JVIWUY9,"3D printing in biomedical engineering: Processes, materials, and applications",文献类型不符（综述/社论/会议摘要等）
evaluation of retentive forces in three types of removable partial denture framework materials an in vitro study,WZ6Q7HD6,Evaluation of Retentive Forces in Three Types of Removable Partial Denture Framework Materials: An In Vitro Study.,未使用非牙科专用3D软件
a novel technique to retrieve cement retained implant supported prosthesis with digital imaging a technical report,6MA2TRFI,A Novel Technique to Retrieve Cement Retained Implant Supported Prosthesis with Digital Imaging: A Technical Report.,文献类型不符（综述/社论/会议摘要等）
the design and development of a novel device that converts a patient controlled intravenous pump into an oral liquid medication dispenser for non controlled substances,5BXZT5HW,The Design and Development of a Novel Device that Converts a Patient-Controlled Intravenous Pump into an Oral Liquid Medication Dispenser for Non-Controlled  Substances.,不属于口腔医学范畴
a comprehensive narrative review exploring the current landscape of digital complete denture technology and advancements,UF76VYHR,A comprehensive narrative review exploring the current landscape of digital complete denture technology and advancements,文献类型不符（综述/社论/会议摘要等）
deep convolutional neural network algorithm for the automatic segmentation of oral potentially malignant disorders and oral cancers,SM9U5C7J,Deep convolutional neural network algorithm for the automatic segmentation of oral potentially malignant disorders and oral cancers,未使用非牙科专用3D软件
artificial intelligence guided occlusion reconstruction in nonoccluding cbct a validation study,LSXTAGI2,Artificial intelligence guided occlusion reconstruction in nonoccluding CBCT: A validation study.,其他
automatic digital design of the occlusal anatomy of monolithic zirconia crowns compared to dental technicians digital waxing a controlled clinical trial,4WN7X8V9,Automatic Digital Design of the Occlusal Anatomy of Monolithic Zirconia Crowns Compared to Dental Technicians' Digital Waxing: A Controlled Clinical Trial,未使用非牙科专用3D软件
a multi stage automatic framework for fracture fragments segmentation of zygomatic bone and arch,XWQH8X5W,A Multi-Stage Automatic Framework for Fracture Fragments Segmentation of Zygomatic Bone and Arch,未使用非牙科专用3D软件
trueness of 3d printed removable partial denture frameworks investigation of printing parameters and storage conditions,YE44L72D,Trueness of 3D printed removable partial denture frameworks: Investigation of printing parameters and storage conditions.,未使用非牙科专用3D软件
advancing wire arc additive manufacturing a new era of precision and efficiency in large metal component production,I2NS6IIL,Advancing Wire Arc Additive Manufacturing: A New Era of Precision and Efficiency in Large Metal Component Production,不属于口腔医学范畴
a modular phantom and software to characterize 3d geometric distortion in mri,3H84KYQG,A modular phantom and software to characterize 3D geometric distortion in MRI,不属于口腔医学范畴
the effect of common dental fixtures on treatment planning and delivery for head and neck intensity modulated proton therapy,9QILX753,The effect of common dental fixtures on treatment planning and delivery for head and neck intensity modulated proton therapy,不属于口腔医学范畴
prosthetic rehabilitation of untailored defects using patient specific implants,YKE5IFLZ,Prosthetic rehabilitation of untailored defects using patient-specific implants.,文献类型不符（综述/社论/会议摘要等）
bioimpedance sensing surgical drill computational modelling and experimental validation,KD6XD5UU,Bioimpedance Sensing Surgical Drill – Computational Modelling and Experimental Validation,未使用非牙科专用3D软件
assessment of the expressions of facial paralysis using pointnet a deep learning approach for 3d facial point cloud analysis,38YNWRV5,Assessment of The Expressions of Facial Paralysis Using PointNet: A Deep Learning Approach for 3D Facial Point Cloud Analysis,不属于口腔医学范畴
evaluation of the marginal gap and the three dimensional trueness of suprastructures generated from scanning two different substructure framework materials for full arch implant supported restorations,9748Z4FC,Evaluation of the marginal gap and the three-dimensional trueness of suprastructures generated from scanning two different substructure framework materials for full arch implant-supported restorations,未使用非牙科专用3D软件
position of digitally guided implants in completely edentulous maxillae by using a modified double scan and overlap of three digital surface protocol,RXN9D6EM,Position of digitally guided implants in completely edentulous maxillae by using a modified double-scan and overlap of three digital surface protocol.,未使用非牙科专用3D软件
optimizing resin shrinkage in additive manufacturing through supervised pathways leveraging machine learning in dentistry,HUMYEQ95,Optimizing resin shrinkage in additive manufacturing through supervised pathways: Leveraging machine learning in dentistry,未使用非牙科专用3D软件
prostate cancer volume segmentation in multiparametric mri scans using optimized 3d dense cnn architectures,D9PVWCIA,Prostate Cancer Volume Segmentation in Multiparametric MRI Scans Using Optimized 3D Dense CNN Architectures,不属于口腔医学范畴
engineering function in lung biology integrating imaging regenerative constructs and functional biodesign,X5I9XSAI,"Engineering function in lung biology: integrating imaging, regenerative constructs, and functional biodesign",不属于口腔医学范畴
removable complete denture with a metal base integration of digital design and conventional fabrication techniques,UPIIQ5SQ,Removable complete denture with a metal base: Integration of digital design and conventional fabrication techniques,未使用非牙科专用3D软件
3d markerless tracking of speech movements with submillimeter accuracy,AZVQHWIR,3D markerless tracking of speech movements with submillimeter accuracy.,不属于口腔医学范畴
three dimensional printing in cardiothoracic surgery workflow and clinical applications,26QBFLTE,Three-Dimensional Printing in Cardiothoracic Surgery: Workflow and Clinical Applications.,不属于口腔医学范畴
dexamethasone long term controlled release from injectable dual network hydrogels with porous microspheres immunomodulation promotes bone regeneration,4AC7V4HM,Dexamethasone Long-Term Controlled Release from Injectable Dual-Network Hydrogels with Porous Microspheres Immunomodulation Promotes Bone Regeneration,不属于口腔医学范畴
increased rate of pseudarthrosis in the anterior intersegmental gap after mandibular reconstruction with fibula free flaps a volumetric analysis,M6X88YQR,Increased rate of pseudarthrosis in the anterior intersegmental gap after mandibular reconstruction with fibula free flaps: a volumetric analysis,未使用非牙科专用3D软件
spatiotemporal transcriptomic maps of whole mouse embryos at the onset of organogenesis,NI6YYPE6,Spatiotemporal transcriptomic maps of whole mouse embryos at the onset of organogenesis,不属于口腔医学范畴
computer guided surgical exposure of palatally displaced canines a technical note,XW74K3B8,Computer-guided surgical exposure of palatally displaced canines: a technical note,未使用非牙科专用3D软件
towards stem cell therapy for critical sized segmental bone defects current trends and challenges on the path to clinical translation,ZGNKACFT,Towards Stem Cell Therapy for Critical-Sized Segmental Bone Defects: Current Trends and Challenges on the Path to Clinical Translation,不属于口腔医学范畴
efficient toothar cascade autoregressive orthodontic treatment planning,A8LE7ALK,Efficient ToothAR: Cascade Autoregressive Orthodontic Treatment Planning,未使用非牙科专用3D软件
3d surface closed mesh clipping based on polygonal partitioning for surgical planning,KVJZEMMH,3D Surface-Closed Mesh Clipping Based on Polygonal Partitioning for Surgical Planning,未使用非牙科专用3D软件
maxillary sinus disease detection and analysis approaches in deep learning survey,G7XDUFQV,Maxillary Sinus Disease Detection and Analysis Approaches in Deep Learning: Survey,文献类型不符（综述/社论/会议摘要等）
predicting 3d post orthodontic facial outcomes with a diffusion model trained on unpaired datasets,L9XBQG6L,Predicting 3D Post-Orthodontic Facial Outcomes With a Diffusion Model Trained on Unpaired Datasets,未使用非牙科专用3D软件
deep learning based dental implant recognition using synthetic x ray images,AT4W22NR,Deep learning-based dental implant recognition using synthetic X-ray images,未使用非牙科专用3D软件
correlation of sectoral choroidal vascularity with angiographic leakage in central serous chorioretinopathy,UYLQDFMZ,Correlation of sectoral choroidal vascularity with angiographic leakage in central serous chorioretinopathy.,不属于口腔医学范畴
how to avoid errors when using navigation to place implants a narrative review,57ACGEMQ,How to Avoid Errors When Using Navigation to Place Implants - A Narrative Review.,文献类型不符（综述/社论/会议摘要等）
optimized design of a tooth simulating screw for enhanced accuracy in robot assisted implant placement in completely edentulous jaws,6V6YHWRX,Optimized design of a tooth-simulating screw for enhanced accuracy in robot-assisted implant placement in completely edentulous jaws,未使用非牙科专用3D软件
artificial intelligence performance in maxillary canine impaction a systematic review,J59JBZ9K,Artificial intelligence performance in maxillary canine impaction: a systematic review,文献类型不符（综述/社论/会议摘要等）
speech motion anomaly detection via cross modal translation of 4d motion fields from tagged mri,U5MCISR3,Speech Motion Anomaly Detection via Cross-Modal Translation of 4D Motion Fields from Tagged MRI.,未使用非牙科专用3D软件
a digital workflow for designing and manufacturing metal frameworks and removable partial dentures a novel dental technique,6FS76PG8,A digital workflow for designing and manufacturing metal frameworks and removable partial dentures: A novel dental technique,未使用非牙科专用3D软件
teeth microcracks research towards multi modal imaging,EIHBUK4U,Teeth Microcracks Research: Towards Multi-Modal Imaging.,文献类型不符（综述/社论/会议摘要等）
effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a peek based all on four mandibular prosthesis,BG353LUQ,Effect of distal cantilever and anterior implant diameter on framework and cortical bone stress in a PEEK-based All-on-Four mandibular prosthesis.,未使用非牙科专用3D软件
baicalein loaded chitosan films for local treatment of oral infections,WS5IQGA2,Baicalein-Loaded Chitosan Films for Local Treatment of Oral Infections,未使用非牙科专用3D软件
intraoral 3 d measurement by means of group coding combined with consistent enhancement for fringe projection pattern,GCV28PD9,Intraoral 3-D Measurement by Means of Group Coding Combined With Consistent Enhancement for Fringe Projection Pattern,未使用非牙科专用3D软件
mandibular ramus height and condyle distance asymmetries in individuals with different facial growth patterns a cone beam computed tomography study,GST7YSMC,Mandibular ramus height and condyle distance asymmetries in individuals with different facial growth patterns: a cone-beam computed tomography study,未使用非牙科专用3D软件
influence of 3d printing orientations on physico mechanical properties and accuracy of additively manufactured dental ceramics,H9AU3UZX,Influence of 3D printing orientations on physico-mechanical properties and accuracy of additively manufactured dental ceramics,文献类型不符（综述/社论/会议摘要等）
tri stage deep learning model for mandibular condyle segmentation and osteoarthritis identification,GGSBLKGA,Tri-Stage Deep Learning Model for Mandibular Condyle Segmentation and Osteoarthritis Identification,未使用非牙科专用3D软件
novel bisphosphonate based cathepsin k triggered compound targets the enthesis without impairing soft tissue to bone healing,XNBZP7KT,Novel bisphosphonate-based cathepsin K-triggered compound targets the enthesis without impairing soft tissue-to-bone healing,不属于口腔医学范畴
quantitative and qualitative evaluation of precision in dental 3d facial scanning across handheld fixed multicamera and smartphone depth sensing systems,3SRFQXMZ,"Quantitative and qualitative evaluation of precision in dental 3D facial scanning across handheld, fixed multicamera, and smartphone depth-sensing systems.",未使用非牙科专用3D软件
a computational modeling method for root canal endoscopy using a specific cbct filter a new era in the metaverse of endodontics begins,ZRP4E5TI,A computational modeling method for root canal endoscopy using a specific CBCT filter: A new era in the metaverse of endodontics begins.,未使用非牙科专用3D软件
dental x ray segmentation and auto implant design based on convolutional neural network,Q5HUNS56,Dental X-ray Segmentation and Auto Implant Design Based on Convolutional Neural Network,未使用非牙科专用3D软件
quantification of facial symmetry in orthognathic surgery a novel approach integrating 3d contour maps and hyper dimensional computing,6RQD493M,Quantification of facial symmetry in orthognathic surgery: A novel approach integrating 3D contour maps and hyper-dimensional computing.,未使用非牙科专用3D软件
a systematic approach of data collection and analysis in medical imaging research,PMW9788C,A Systematic Approach of Data Collection and Analysis in Medical Imaging Research.,文献类型不符（综述/社论/会议摘要等）
primary exploration of the clinical application of 3d printed complete dentures,PV2RKASC,Primary Exploration of the Clinical Application of 3D-Printed Complete Dentures,未使用非牙科专用3D软件
effect of implant number attachment type and framework material on stress distribution in mandibular overdentures a finite element analysis,SE8L9A5N,"Effect of implant number, attachment type, and framework material on stress distribution in mandibular overdentures: a finite element analysis",未使用非牙科专用3D软件
hydrophilic polymer modified poly caprolactone hydroxyapatite three dimensional printed scaffolds with enhanced hydrophilicity and biodegradability for regenerative endodontic applications,W9HL9DUR,Hydrophilic Polymer-Modified Poly(ε-caprolactone)/Hydroxyapatite Three-dimensional-Printed Scaffolds with Enhanced Hydrophilicity and  Biodegradability for Regenerative Endodontic Applications.,不属于口腔医学范畴
automated micro ct quantification of clear aligner fit a pilot comparison of manufacturing processes,LH8UPF46,Automated micro-CT quantification of clear aligner fit: a pilot comparison of manufacturing processes.,未使用非牙科专用3D软件
high precision teeth reconstruction based on automatic multimodal fusion with cbct and ios,4FW75KRW,High-precision teeth reconstruction based on automatic multimodal fusion with CBCT and IOS,未使用非牙科专用3D软件
transoral endoscopic plating for orbital blowout fractures,WQNENHUP,Transoral Endoscopic Plating for Orbital Blowout Fractures,未使用非牙科专用3D软件
vit nebla a hybrid vision transformer and neural beer lambert framework for single view 3d reconstruction of oral anatomy from panoramic radiographs,JX7Z45RP,ViT-NeBLa: A Hybrid Vision Transformer and Neural Beer–Lambert Framework for Single-View 3D Reconstruction of Oral Anatomy From Panoramic Radiographs,未使用非牙科专用3D软件
three dimensional finite element analysis of zygomatic and pterygoid implants for the rehabilitation of severely atrophic maxilla,QYXA5YVP,Three-dimensional finite element analysis of zygomatic and pterygoid implants for the rehabilitation of severely atrophic maxilla,未使用非牙科专用3D软件
multi resolution transformer augmented efficientnet for explainable breast cancer histopathology analysis,MEMRQFFZ,Multi-Resolution Transformer-Augmented Efficientnet for Explainable Breast Cancer Histopathology Analysis,不属于口腔医学范畴
self powered triboelectric sensor for real time intelligent occlusal force monitoring,VXAWF8VH,"Self-Powered Triboelectric Sensor for Real-Time, Intelligent Occlusal Force Monitoring",未使用非牙科专用3D软件
an automatic facial landmarking for children with rare diseases,GN696GRG,An automatic facial landmarking for children with rare diseases.,不属于口腔医学范畴
clinical performance of partial and full coverage fixed dental restorations fabricated from hybrid polymer and ceramic cad cam materials a systematic review and meta analysis,4LIEPYNX,Clinical Performance of Partial and Full-Coverage Fixed Dental Restorations Fabricated from Hybrid Polymer and Ceramic CAD/CAM Materials: A Systematic Review and Meta-Analysis,文献类型不符（综述/社论/会议摘要等）
monitoring the calibration of in office 3d printers,YZQT6Z4B,Monitoring the Calibration of In-Office 3D Printers.,未使用非牙科专用3D软件
in fiber bragg sensor measurements assess fluid effects on strain in the periodontal space of an ex vivo swine incisor complex under mechanical loading,BIUPRBSD,In-fiber Bragg sensor measurements assess fluid effects on strain in the periodontal space of an ex-vivo swine incisor complex under mechanical loading,未使用非牙科专用3D软件
dimensional measurement accuracy of 3 dimensional models from cone beam computed tomography using different voxel sizes,BRDTGEI3,Dimensional measurement accuracy of 3-dimensional models from cone beam computed tomography using different voxel sizes,未使用非牙科专用3D软件
multidentnet a unified deep learning framework for multi class dental condition screening and preliminary oral lesion triage,TMHVPQB7,MultiDentNet: a unified deep learning framework for multi-class dental condition screening and preliminary oral lesion triage.,文献类型不符（综述/社论/会议摘要等）
inferior alveolar canal automatic detection with deep learning cnns on cbcts development of a novel model and release of open source dataset and algorithm,TUE7JTLY,Inferior Alveolar Canal Automatic Detection with Deep Learning CNNs on CBCTs: Development of a Novel Model and Release of Open-Source Dataset and Algorithm,未使用非牙科专用3D软件
efficient high cone angle artifact reduction in circular cone beam ct using deep learning with geometry aware dimension reduction,BV6NW2AU,Efficient high cone-angle artifact reduction in circular cone-beam CT using deep learning with geometry-aware dimension reduction,不属于口腔医学范畴
fast sparsity based 3d near field mimo imaging using b saga with a batch size selection strategy,BDPNEU69,Fast Sparsity-Based 3D Near-Field MIMO Imaging Using b-SAGA with a Batch Size Selection Strategy,不属于口腔医学范畴
deep fusion feature extraction for caries detection on dental panoramic radiographs,FF2WQENL,Deep Fusion Feature Extraction for Caries Detection on Dental Panoramic Radiographs,未使用非牙科专用3D软件
deep absolute phase recovery from single frequency phase map for handheld 3d measurement,3BAYRGI4,Deep absolute phase recovery from single- frequency phase map for handheld 3D measurement,不属于口腔医学范畴
automated diagnosis and classification of skeletal malocclusion using artificial intelligence on 2d facial photographs a multi modal deep learning approach,NEP6N6G8,Automated diagnosis and classification of skeletal malocclusion using artificial intelligence on 2D facial photographs: A multi-modal deep learning approach,未使用非牙科专用3D软件
the patterning cascade model and human mandibular premolar variation,QNNIKAKV,The Patterning Cascade Model and Human Mandibular Premolar Variation,未使用非牙科专用3D软件
b onic suite an integrated platform for personalized medical devices real time surgical planning and enhanced intraoperative navigation,S3GKM64S,"B-onic Suite: An Integrated Platform for Personalized Medical Devices, Real-Time Surgical Planning, and Enhanced Intraoperative Navigation.",文献类型不符（综述/社论/会议摘要等）
biomechanical evaluation of prosthetic framework materials in subperiosteal implants a finite element analysis,A2IQLI82,Biomechanical evaluation of prosthetic framework materials in subperiosteal implants: a finite element analysis,未使用非牙科专用3D软件
automated cortical thickness measurement of the mandibular condyle head on cbct images using a deep learning method,ARDP77U5,Automated cortical thickness measurement of the mandibular condyle head on CBCT images using a deep learning method,未使用非牙科专用3D软件
realistic 3d human avatar creation for metaverse,MUGR4YEY,Realistic 3D Human Avatar Creation for Metaverse,不属于口腔医学范畴
3d human reconstruction combined with facial features,CAZ49UPW,3D Human Reconstruction Combined with Facial Features,不属于口腔医学范畴
reinforcement learning based centerline tracking with cross sectional similarity for enhancing mandibular canal segmentation,QU4CCIPN,Reinforcement Learning-Based Centerline Tracking With Cross-Sectional Similarity for Enhancing Mandibular Canal Segmentation,未使用非牙科专用3D软件
inflammatory risk and cardiovascular events in patients without obstructive coronary artery disease the orfan multicentre longitudinal cohort study,QDF38Q6W,"Inflammatory risk and cardiovascular events in patients without obstructive coronary artery disease: the ORFAN multicentre, longitudinal cohort study",不属于口腔医学范畴
a retrospective cohort study on scan quality of implant scanbodies matched with cad libraries,7XTL6VPY,A Retrospective Cohort Study on Scan Quality of Implant Scanbodies Matched With CAD Libraries,未使用非牙科专用3D软件
randomized crossover study of immersive planning in craniomaxillofacial trauma comparing virtual reality and workstation workflows,LQZ2C4X4,Randomized crossover study of immersive planning in craniomaxillofacial trauma comparing virtual reality and workstation workflows,未使用非牙科专用3D软件
effect of 3d printer technology on the trueness of digital analog positions in digital implant models in vitro study,QEMKGCHF,Effect of 3D-Printer Technology on the Trueness of Digital Analog Positions in Digital Implant Models: In Vitro Study,未使用非牙科专用3D软件
evaluation of zirconia and high performance polymer abutment surface roughness and stress concentration for implant supported fixed dental prostheses,S2SASU6I,Evaluation of Zirconia and High Performance Polymer Abutment Surface Roughness and Stress Concentration for Implant-Supported Fixed Dental Prostheses,未使用非牙科专用3D软件
platform technologies for regenerative endodontics from multifunctional biomaterials to tooth on a chip strategies,25923KNL,Platform technologies for regenerative endodontics from multifunctional biomaterials to tooth-on-a-chip strategies,文献类型不符（综述/社论/会议摘要等）
root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranberry extracts,78Q8XIIY,Root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranberry extracts.,未使用非牙科专用3D软件
