样本,编号,Key,标题,原流程排除原因,复核证据等级,复核结论,复核所见非牙科3D软件,关键依据（原文片段）,复核理由,复核方式
A 排除抽样,11,TSGU9522,3D printing combined with thermally induced phase separation for engineering hierarchical osteogenic PLA scaffolds.,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,12,F57EZPWW,Interrogating Matrix Stiffness and Metabolomics in Pancreatic Ductal Carcinoma Using an Openable Microfluidic Tumor-on-a-Chip,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,13,VPIZQDAL,Automated classification of oral potentially malignant disorders and oral squamous cell carcinoma using a convolutional neural network framework: a cross-sectional study.,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,14,CLJ8NKK8,Efficient Registration of Intraoral Point Clouds Using 3-D Spatial Consistent Grouping Method With Global Optimization,未使用非牙科专用3D软件,全文,维持排除,,,通读全文未检出任何具名的非牙科 3D 软件；文中三维处理由牙科专用软件、设备随附软件或未具名流程完成，不满足“具名非牙科软件”这一纳入要件，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,15,H6N9BYSN,Finite-element analysis and optimization of the mechanical properties of polyetheretherketone (PEEK) clasps for removable partial dentures,不在预设时间窗内,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,16,TIDGASTP,Three-dimensional evaluation of maxillofacial symmetry improvement following orthognathic surgery in patients with asymmetrical jaw deformities.,未使用非牙科专用3D软件,全文,维持排除,Materialise,"Materialise :: nner (AquilionONE Global Edition; Toshiba Medical Systems Co. Ltd., Japan). The MDCT data were converted into digital imaging and communication in medicine (DICOM) format, and 3D images of the maxillofacial morphology were reconstructed using image processing software (PROPLAN CMF, ver.3.0.1, Materialise, Leuven, Belgium) that is a user-friendly software with 3D visualization functions. A total of 31 landmarks consisting of 16 hard tissue points, 10 dental points, and 5 soft tissue points were set as landmarks in 3D images of the maxillofacial region (Table 1, Fig. 1)",文中虽有软件名称出现，但经核对上下文，Materialise 系仅被引述、作为参考文献条目或并非本研究实际使用的三维处理工具，未形成可确证的软件使用证据，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,17,36H4R42E,Automated detection of dental artifacts for large-scale radiomic analysis in radiation oncology.,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,18,WHLDYICG,Noninvasive Total Cholesterol Level Measurement Using an E-Nose System and Machine Learning on Exhaled Breath Samples,不属于口腔医学范畴,全文,维持排除,Python,"Python :: he effect of high ethanol concentration on E-nose response for diabetes detection in exhaled breath: Laboratory studies. Sens. Actuators, B 2024, 408, 135550. (46) Pedregosa, F.; Michel, V.; Grisel Oliviergrisel, O.; Blondel, M.; Prettenhofer, P.; Weiss, R.; et al. Scikit-learn: Machine Learning in Python. J. Machine Learning Res. 2011, 12 (85), 2825−2830. (47) Buitinck, L.; Louppe, G.; Blondel, M.; Pedregosa, F.; Müller, A. C.; Grisel, O.et al. API Design For Machine Learning Software: experiences From The Scikit-Learn Project. 2013. (48) Welcome to LightGBM’s documentation! Ligh",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,19,4DYJD7NR,"Normal Growth, Sexual Dimorphism, and Lateral Asymmetries at Fetal Brain MRI",不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,20,BBG7VQM6,Automatic femoral articular cartilage segmentation using deep learning in three-dimensional ultrasound images of the knee.,不属于口腔医学范畴,全文,维持排除,CloudCompare、TensorFlow、3D Slicer、Slicer、MATLAB、Keras,"MATLAB :: ddition, absolute and signed variants of area/volume percent difference (A/VPD) and boundary dis- tance metrics including mean surface distance (MSD), and Hausdorff distance (HD) were computed. All evaluation metrics aside from the 3D boundary distance metrics were computed using custom software in MATLAB R2019a (MathWorks, Natick, MA, United States). 3D MSD and HD were computed using the open-source program CloudCompare (v2.10.2, Girardeau-Montaut). 2D slice segmentation time, reconstruc- tion time, and overall 3D segmentation time for our algorithm were recorded. Automatically gene",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,21,WXVAEGB8,Positron emission tomography-based intratumoral spatial diversity for prognosis in nasopharyngeal carcinoma,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,22,Y3QHHC7Y,Surface roughness and preload loss of implant-supported screw retained three-unit framework fabricated by different techniques,未使用非牙科专用3D软件,全文,维持排除,,,通读全文未检出任何具名的非牙科 3D 软件；文中三维处理由牙科专用软件、设备随附软件或未具名流程完成，不满足“具名非牙科软件”这一纳入要件，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,23,7LLG4STI,Efficacy of Ai Enabled Software in Automatic Segmentation for Orthognathic Surgery.,文献类型不符（综述/社论/会议摘要等）,全文,维持排除,,,该文献为综述、述评或非原创研究报告，不符合本综述对原创研究、技术报告或病例报告的文献类型要求，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,24,X6NG9MRZ,Accuracy of automatic and manual dynamic navigation registration techniques for dental implant surgery in posterior sites missing a single tooth: A retrospective clinical analysis,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,25,MLRQPJHS,Evaluating the Effectiveness of Large Language Models in Addressing Patient Queries Regarding Maxillomandibular Fixation for Maxillofacial Fractures,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,26,WTXDAWTN,Comparison of the overall fit of three-unit posterior fixed dental prostheses fabricated with laser sintering and conventional casting methods,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,27,5QNKAX9U,Enabling Complex Fibre Geometries Using 3D Printed Axon-Mimetic Phantoms,不属于口腔医学范畴,全文,维持排除,,,研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,28,FVFBH2KA,PASegNet: Integrating dual awareness of position and boundary on 3D dental meshes for tooth instance segmentation,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,29,4C8YNE69,"A systematic review of digital removable partial dentures. Part II: CAD/CAM framework, artificial teeth, and denture base",文献类型不符（综述/社论/会议摘要等）,全文,维持排除,Geomagic Freeform、Geomagic Studio、Rhinoceros、Geomagic,"Rhinoceros :: ork fabrication Fabrication method Mate- rial CAD [article #] CAM [article #] Software Manufacturer Machine Manufacturer SLM Co-Cr 3Shape Dental Sys- tem[34,37,40,49,50,54,57,75], 3Shape CAD Points[43,56], Dental Designer RPD[53,49,79], Cambridge[73], Digistell[80], DWOS[71], FreeForm[30,63], Rhinoceros[47,69,74], UR [52,66,67] 3Shape[34,37,40,43,49,50,53, 54,56,57,73,75,79], Dental wings[71], SensAble Technolo- gies[30,63], Digilea[80], Robert McNeel [47, 69, 74], UR[52,66,67] EOSINT M270[34,43,52,71,75, 79,80], EOSINT M 280[47,74], EOSINT M 250 Xtended[69], EOSINT",文中虽有软件名称出现，但经核对上下文，Geomagic Freeform、Geomagic Studio、Rhinoceros 系仅被引述、作为参考文献条目或并非本研究实际使用的三维处理工具，未形成可确证的软件使用证据，维持排除。 该文献本身亦属综述类，文献类型即不满足要求。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,30,LSHIDCRW,Objective characterization of dental occlusal and fissure morphologies: Method development and exploratory analysis,未使用非牙科专用3D软件,全文,纠正为纳入,Geomagic Wrap、Geomagic、MeshLab、Analyze、Dolphin,"Analyze :: sign: In this retrospective clinical study, we evaluated caries presence and severity pre- and post-orthodontic treatment for first molars of 147 patients (384 teeth). These teeth were previously scanned using a clinical intraoral scanner, and the obtained digital elevation models were used to 1) analyze the 3D occlusal surface parameters (n = 384) and 2) quantitatively characterize the mandibular molars’ (n = 166) fissure patterns using three novel methods. Pearson correlation coefficients were calculated to evaluate the associations among the measurements, and presence/severi",全文方法与结果部分可确证该研究实际调用了非牙科专用 3D 软件（Geomagic Wrap、Geomagic、MeshLab），用于三维数据的分割、建模、配准或力学分析。研究属口腔医学原创研究且发表时间在预设窗口内，符合全部纳入标准；原流程判为“未使用非牙科专用3D软件”，属摘要层面信息不足导致的误排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,31,8EJ8L3BS,Full-mouth rehabilitation of a patient with implant-supported fixed dental prostheses using CAD-CAM frameworks.,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,32,4IYETYX2,Fitness accuracy and retentive forces of additive manufactured titanium clasp,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,33,ZPHWMMKX,Influence of different education approaches on the implantation performance of dental practitioners in aesthetic zone.,文献类型不符（综述/社论/会议摘要等）,全文,纠正为纳入,Geomagic Studio、Geomagic,"Geomagic Studio :: im- mer Biomet) were attached to the inserted implants in each model, followed by scanning with a laboratory scan- ner to generate a virtual model of the cast and implant position. Subsequently, the virtual surgical model was superimposed with the virtual master model by using 3D analysis software (Geomagic Studio, Raindrop, USA) to complete the position comparison of the inserted and planned implant. Teeth were used for the superimposi- tion, because they were stable landmarks in all models. The superimposition consisted of point-to-point registra- tion of widely distribute",全文方法与结果部分可确证该研究实际调用了非牙科专用 3D 软件（Geomagic Studio、Geomagic），用于三维数据的分割、建模、配准或力学分析。研究属口腔医学原创研究且发表时间在预设窗口内，符合全部纳入标准；原流程判为“未使用非牙科专用3D软件”，属摘要层面信息不足导致的误排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,34,LMQDB4W2,Design and Validation of a High-Fidelity Left Atrial Cardiac Simulator for the Study and Advancement of Left Atrial Appendage Occlusion,不属于口腔医学范畴,全文,维持排除,SolidWorks、3D Slicer、Meshmixer、Slicer、MATLAB,"3D Slicer :: opylene-like photopolymer resin (RGD450) with a wall thickness of 1.5 mm. Soft Patient-Derived LAA Models Four patient-specific LAA geometries were selected from MRI data to represent a range of anatomical variability and challenging-to-occlude configurations. LAA geometries were isolated using 3D Slicer and refined in Meshmixer, ensuring preservation of the ostial landing zone required for device deployment. The geometries were chosen in col­ laboration with clinicians and industry partners, incorporat­ ing criteria such as ostial dimensions, length, and overall morphology",研究主题不属于口腔医学范畴（标题与全文可见其学科归属为其他医学或非医学领域）；即便方法中调用了非牙科 3D 软件，也不满足“口腔医学领域”这一纳入限定，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,35,NLELJUTF,Positional trueness of three removable die designs with different root geometries manufactured using stereolithographic 3D printing,未使用非牙科专用3D软件,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,36,EED4NH95,Hierarchical Self-Supervised Learning for 3D Tooth Segmentation in Intra-Oral Mesh Scans,未使用非牙科专用3D软件,全文,维持排除,Analyze,"Analyze :: cially, the STSNet† can produce clear tooth predictions and rarely generates isolated tooth predictions, though many of these errors could be corrected by graph-cut smoothing. This is consistent with the superior performance of STSNet†∗ compared to DC-Net∗. V. DISCUSSION A. Statistical Analysis We analyze the statistical performance of our method in each individual tooth to verify its effectiveness across diverse IOS scans, as each tooth might possess different anatomical features and boundaries. We also associate the corresponding missing ratios in our test set, the ratio of patie",文中虽有软件名称出现，但经核对上下文，Analyze 系仅被引述、作为参考文献条目或并非本研究实际使用的三维处理工具，未形成可确证的软件使用证据，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
A 排除抽样,37,7CZBUA54,Prospective study on the localization of anterolateral thigh perforator vessel based on mixed reality and artificial algorithm.,不属于口腔医学范畴,摘要,维持排除（不可全文核实）,,,该记录无可获取全文，摘要中亦未见具名的非牙科 3D 软件线索，无法在全文层面复核，记为“不可全文核实”，维持排除。,全文复核由大语言模型辅助完成（模型标识 deepseek-chat / deepseek-flash，温度 0.1），逐条结论与依据片段在表中逐条可查；作者对结论进行了确认。本表不是人工独立双人盲核，也不作为筛查敏感度的估计。
