_nt,Key,Title
facial scanning accuracy depending on the alignment algorithm and digitized surface area location an in vitro study,RX5BZKF9,Facial scanning accuracy depending on the alignment algorithm and digitized surface area location: An in vitro study.
stress distribution pattern in zygomatic implants supporting different superstructure materials,4WWZ78KQ,Stress Distribution Pattern in Zygomatic Implants Supporting Different Superstructure Materials
instantaneous and markerless registration for mandible reconstruction robot with fibular holder,YUGFZPB8,Instantaneous and Markerless Registration for Mandible Reconstruction Robot With Fibular Holder
automatic restoration and reconstruction of defective tooth based on deep learning technology,8BR5A4LH,Automatic restoration and reconstruction of defective tooth based on deep learning technology
a micro ct integrated 3d simulation framework reveals fluid transport mechanisms and void dynamics in root canal biomaterials,6DBVHM5M,A micro-CT-integrated 3D simulation framework reveals fluid transport mechanisms and void dynamics in root canal biomaterials
a case series on a new reference in mandibular angles harmonization the frontozygomatic infraorbital line fz iol,A5TW6D8I,A case series on a new reference in mandibular angles harmonization: the Frontozygomatic-Infraorbital Line (FZ-IOL)
digitization of dentate and edentulous maxillectomy and mandibulectomy defects with three different intraoral scanners a comparative in vitro study,9MVRH769,Digitization of Dentate and Edentulous Maxillectomy and Mandibulectomy Defects with Three Different Intraoral Scanners: A Comparative In Vitro Study
stress distribution in endodontically treated external cervical resorption lesions restored with mta and biodentine a finite element analysis,ZF8KYU3K,Stress distribution in endodontically treated external cervical resorption lesions restored with MTA and biodentine - A finite element analysis.
tooth shape and sex estimation a 3d geometric morphometric landmark based comparative analysis of artificial neural networks support vector machines and random forest models,49BSQFC2,"Tooth shape and sex estimation: a 3D geometric morphometric landmark-based comparative analysis of artificial neural networks, support vector machines, and Random Forest models"
cadaveric study and micro computed tomography of the anatomy of palatine aponeurosis and its link to the soft palate muscles and pharyngeal muscles,GCV6RFJL,Cadaveric Study and Micro-Computed Tomography of the Anatomy of Palatine Aponeurosis and its Link to the Soft Palate Muscles and Pharyngeal Muscles.
correlation analysis of nasal septum deviation and results of ai driven automated 3d cephalometric analysis,XRXG22EC,Correlation Analysis of Nasal Septum Deviation and Results of AI-Driven Automated 3D Cephalometric Analysis
ai assisted identification of the medial lingual foramen on cbct a deep learning approach for preoperative implant assessment,MVGIWU9B,AI-Assisted Identification of the Medial Lingual Foramen on CBCT: A Deep Learning Approach for Preoperative Implant Assessment.
accuracy of upper airway volume measurements using different software products a comparative analysis,E97IPCII,Accuracy of upper airway volume measurements using different software products: a comparative analysis
an innovative ai based dual segmentation application for head surgery,TCEB4QZU,An innovative AI-based dual segmentation application for head surgery
accuracy evaluation of dual function scan body for recording complete arch implant supported prostheses,LRABR3D6,Accuracy evaluation of dual-function scan body for recording complete arch implant-supported prostheses.
effect of three different veneering techniques on the stress distribution and in vitro fatigue behavior of core veneer all ceramic fixed partial dentures,KCI2D4H9,Effect of three different veneering techniques on the stress distribution and in vitro fatigue behavior of core-veneer all-ceramic fixed partial dentures.
estimation of centers of rotation of the maxillary incisors during nonextraction space closure using the invisalign appliance,4ZGWKF9Y,Estimation of centers of rotation of the maxillary incisors during nonextraction space closure using the Invisalign appliance
fabrication of customized dental guide by stereolithography method and evaluation of dimensional accuracy with artificial neural networks,7PML7Y2A,Fabrication of Customized dental guide by stereolithography method and evaluation of dimensional accuracy with artificial neural networks
assessment of the application of a novel three dimension printing individualized titanium mesh in alveolar bone augmentation a retrospective study,6BY72ZIY,Assessment of the application of a novel three-dimension printing individualized titanium mesh in alveolar bone augmentation: A retrospective study
new approach to dental morphometric research based on 3d imaging techniques,JXPNURLI,New Approach to Dental Morphometric Research Based on 3D Imaging Techniques.
a 3d co culture system inspired by fracture healing cell interactions for bone tissue engineering,B7TAIWTK,A 3D Co-Culture System Inspired by Fracture Healing Cell Interactions for Bone Tissue Engineering
different biomechanical effects of clear aligners in closing maxillary and mandibular extraction spaces finite element analysis,C5PL839F,Different biomechanical effects of clear aligners in closing maxillary and mandibular extraction spaces: Finite element analysis
principal component analysis of 3 dimensional facial soft tissue morphology in three adult populations,EI2TNAGK,Principal component analysis of 3-dimensional facial soft-tissue morphology in three adult populations
effect of bar material on the biomechanical performance of hybrid dental prosthesis,8RD3AVC7,Effect of bar material on the biomechanical performance of hybrid dental prosthesis
dental biomechanics of root analog implants in different bone,RVS3GX4D,Dental biomechanics of root-analog implants in different bone
automatic pulp and teeth three dimensional modeling of single and multi rooted teeth based on cone beam computed tomography imaging a promising approach with clinical and therapeutic outcomes,YZHWVIEG,Automatic Pulp and Teeth Three-Dimensional Modeling of Single and Multi-Rooted Teeth Based on Cone-Beam Computed Tomography Imaging: A Promising Approach With  Clinical and Therapeutic Outcomes.
automated orientation and registration of cone beam computed tomography scans,MQGENIRJ,Automated Orientation and Registration of Cone-Beam Computed Tomography Scans.
center of resistance of maxillary canines a 3d computational model for orthodontic applications,IDN8M8Q7,Center of resistance of maxillary canines: a 3D computational model for orthodontic applications
new method for analysing spatial relationships of facial muscles on mri a pilot study,2TTJ5J6D,New method for analysing spatial relationships of facial muscles on MRI: a pilot study
an unusual case of dens invaginatus on a mandibular second molar a case report,LRM3CUTM,An unusual case of dens invaginatus on a mandibular second molar: a case report.
craniofacial soft tissue anthropomorphic database with magnetic resonance imaging and unbiased diffeomorphic registration,EYH7C2TZ,Craniofacial Soft-Tissue Anthropomorphic Database with Magnetic Resonance Imaging and Unbiased Diffeomorphic Registration
a pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors bite malocclusion based on three dimensional reconstructive imaging technique,4RGTB6EY,A pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors-bite malocclusion based on three-dimensional reconstructive imaging technique
effect of different implant abutment mismatches on stress distribution a 3 dimensional finite element study,J277RC4P,Effect of Different Implant-Abutment Mismatches on Stress Distribution: A 3-Dimensional Finite Element Study
