样本,编号,Key,Title,流程记录原因,证据等级,PDF,命中非牙科软件,命中牙科专用软件,全文长度,证据片段,摘要
A_排除抽样,11,TSGU9522,3D printing combined with thermally induced phase separation for engineering hierarchical osteogenic PLA scaffolds.,不属于口腔医学范畴,摘要,,,,0,,
A_排除抽样,12,F57EZPWW,Interrogating Matrix Stiffness and Metabolomics in Pancreatic Ductal Carcinoma Using an Openable Microfluidic Tumor-on-a-Chip,不属于口腔医学范畴,摘要,,,,0,,
A_排除抽样,13,VPIZQDAL,Automated classification of oral potentially malignant disorders and oral squamous cell carcinoma using a convolutional neural network framework: a  cross-sectional study.,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,14,CLJ8NKK8,Efficient Registration of Intraoral Point Clouds Using 3-D Spatial Consistent Grouping Method With Global Optimization,未使用非牙科专用3D软件,全文,Wang 等 - 2025 - Efficient Registration of Intraoral Point Clouds Using 3-D Spatial Consistent Grouping Method With G.pdf,,,64493,,"Intraoral 3-D scanning is a vital component of modern oral therapy. Because of the limited field of view (FOV) and degraded image quality of the intraoral scanner, matching the bundle of the intraoral dense point clouds with a low signal-to-noise ratio (SNR) in real time (approximately 25 point clouds per second) is challenging; consequently, the accuracy of the reconstructed full arch gets degraded. This study proposes an innovative matching method for intraoral point clouds with high efficiency, which involves a 3-D spatial consistent grouping (3D-SCG) method in the intraoral scanning scheme. First, the method introduces the Tooth-Net module, which is a multilayer neural network based on the attention mechanism, to achieve high-dimensional geometric features using the corresponding pairs between intraoral point clouds to be matched. Subsequently, outliers are removed based on the geome"
A_排除抽样,15,H6N9BYSN,Finite-element analysis and optimization of the mechanical properties of polyetheretherketone (PEEK) clasps for removable partial dentures,不在预设时间窗内,摘要,,,,0,,
A_排除抽样,16,TIDGASTP,Three-dimensional evaluation of maxillofacial symmetry improvement following orthognathic surgery in patients with asymmetrical jaw deformities.,未使用非牙科专用3D软件,全文,Zheng 等 - 2024 - Three-dimensional evaluation of maxillofacial symmetry improvement following orthognathic surgery in.pdf,Materialise,ProPlan,44056,"Materialise :: nner  (AquilionONE Global Edition; Toshiba Medical Systems  Co. Ltd., Japan). The MDCT data were converted  into digital imaging and communication in medicine  (DICOM) format, and 3D images of the maxillofacial  morphology were reconstructed using image processing  software (PROPLAN CMF, ver.3.0.1, Materialise,  Leuven, Belgium) that is a user-friendly software with  3D visualization functions. A total of 31 landmarks consisting of 16 hard tissue  points, 10 dental points, and 5 soft tissue points were set  as landmarks in 3D images of the maxillofacial region  (Table 1, Fig. 1). The 3D images were re-al","PURPOSE: The aim of this study was to clarify the three-dimensional changes in maxillofacial morphology following orthognathic surgery using 3D-CT in patients  with asymmetrical jaw deformities. METHODS: The subjects were 30 patients with  asymmetrical jaw deformities. Three-dimensional images taken preoperatively and  6?months postoperatively were re-aligned using image processing software with the  horizontal plane, coronal plane, and midsagittal plane as reference axes.  Thirty-nine measurements including 28 distances, nine angles, and two volumes  were recorded, and differences between preoperative and postoperative  measurements and percentage differences between paired measurements on the  deviated and unevolved sides were calculated. RESULTS: Translational and  rotational movements of the maxillary dentition and mandibular body and the  mandibular ramus internally rotating contrib"
A_排除抽样,17,36H4R42E,Automated detection of dental artifacts for large-scale radiomic analysis in radiation oncology.,不属于口腔医学范畴,摘要,,,,0,,
A_排除抽样,18,WHLDYICG,Noninvasive Total Cholesterol Level Measurement Using an E-Nose System and Machine Learning on Exhaled Breath Samples,不属于口腔医学范畴,全文,Paleczek 等 - 2024 - Noninvasive Total Cholesterol Level Measurement Using an E-Nose System and Machine Learning on Exhal.pdf,Python,,40133,"Python :: he effect of high ethanol concentration on E-nose response for diabetes detection in exhaled breath: Laboratory studies. Sens. Actuators, B 2024, 408, 135550. (46) Pedregosa, F.; Michel, V.; Grisel Oliviergrisel, O.; Blondel, M.; Prettenhofer, P.; Weiss, R.; et al. Scikit-learn: Machine Learning in Python. J. Machine Learning Res. 2011, 12 (85), 2825−2830. (47) Buitinck, L.; Louppe, G.; Blondel, M.; Pedregosa, F.; Müller, A. C.; Grisel, O.et al. API Design For Machine Learning Software: experiences From The Scikit-Learn Project. 2013. (48) Welcome to LightGBM’s documentation!  LightGBM 4.0.0 docum","In this paper, the first e-nose system coupled with machine learning algorithm for noninvasive measurement of total cholesterol level based on exhaled air sample was proposed. The study was conducted with the participation of 151 people, from whom a breath sample was collected, and the level of total cholesterol was measured. The breath sample was examined using e-nose and gas sensors, such as TGS1820, TGS2620, TGS2600, MQ3, Semeatech 7e4 NO2 and 7e4 H2S, SGX_NO2, SGX_H2S, K33, AL-03P, and AL-03S. The LGBMRegressor algorithm was used to predict cholesterol level based on the breath sample. Machine learning algorithms were developed for the entire measurement range and for the norm range <= 200 mg/dL achieving MAPE 13.7% and 8%, respectively. The results show that it is possible to develop a noninvasive device to measure total cholesterol level from breath."
A_排除抽样,19,4DYJD7NR,"Normal Growth, Sexual Dimorphism, and Lateral Asymmetries at Fetal Brain MRI",不属于口腔医学范畴,摘要,,,,0,,
A_排除抽样,20,BBG7VQM6,Automatic femoral articular cartilage segmentation using deep learning in three-dimensional ultrasound images of the knee.,不属于口腔医学范畴,全文,du Toit 等 - 2022 - Automatic femoral articular cartilage segmentation using deep learning in three-dimensional ultrasou.pdf,CloudCompare；TensorFlow；3D Slicer；Slicer；MATLAB；Keras,,44228,"MATLAB :: ddition, absolute and signed variants of area/volume percent difference (A/VPD) and boundary dis- tance metrics including mean surface distance (MSD), and Hausdorff distance (HD) were computed. All evaluation metrics aside from the 3D boundary distance metrics were computed using custom software in MATLAB R2019a (MathWorks, Natick, MA, United States). 3D MSD and HD were computed using the open-source program CloudCompare (v2.10.2, Girardeau-Montaut). 2D slice segmentation time, reconstruc- tion time, and overall 3D segmentation time for our algorithm were recorded. Automatically generated 2D FAC seg || 3D Slicer :: nual segmentations by rater 1 (A) and rater 2 (B) for a healthy volunteer knee US image. Resultant three-dimensional (3D) reconstructed surface generated by our algorithm after two-dimensional predictions using the modiﬁed U-Net (C). The manual and algorithm segmenta","OBJECTIVE: This study aimed to develop a deep learning-based approach to automatically segment the femoral articular cartilage (FAC) in 3D ultrasound (US)  images of the knee to increase time efficiency and decrease rater variability.  DESIGN: Our method involved deep learning predictions on 2DUS slices sampled in  the transverse plane to view the cartilage of the femoral trochlea, followed by  reconstruction into a 3D surface. A 2D U-Net was modified and trained using a  dataset of 200 2DUS images resliced from 20 3DUS images. Segmentation accuracy  was evaluated using a holdout dataset of 50 2DUS images resliced from 5 3DUS  images. Absolute and signed error metrics were computed and FAC segmentation  performance was compared between rater 1 and 2 manual segmentations. RESULTS: Our  U-Net-based algorithm performed with mean 3D DSC, recall, precision, VPD, MSD,  and HD of 73.1??±??3.9%,"
A_排除抽样,21,WXVAEGB8,Positron emission tomography-based intratumoral spatial diversity for prognosis in nasopharyngeal carcinoma,不属于口腔医学范畴,摘要,,,,0,,
A_排除抽样,22,Y3QHHC7Y,Surface roughness and preload loss of implant-supported screw retained three-unit framework fabricated by different techniques,未使用非牙科专用3D软件,全文,Alsaif 等 - 2026 - Surface roughness and preload loss of implant-supported screw retained three-unit framework fabricat.pdf,,,58750,,"<bold>Aim: </bold>This study evaluated the effects of selective laser melting (SLM), milling, and casting fabrication techniques on surface roughness and screw preload loss of three-unit screw-retained implant-supported Cobalt-Chromium (Co-Cr) frameworks. <bold>Methods: </bold>Ten frame-works were fabricated by each fabrication method (n = 10), and the surface roughness (Ra) was measured using a 3D optical profilometer. The frameworks were torqued to 30 Ncm, retightened after 15 minutes, and subjected to 500,000 cycles in a dual-axis chewing simulator. Pre- and post-load reverse torque values (RTV) were recorded for molar and premolar, and the reverse torque difference (RTD) was calculated. Data were analyzed using ANOVA and Tukey-Kramer tests (alpha = 0.01). Correlation analyses were performed to determine any relation between surface roughness and preload (RTV and RTD) across all group"
A_排除抽样,23,7LLG4STI,Efficacy of Ai Enabled Software in Automatic Segmentation for Orthognathic Surgery.,文献类型不符（综述/社论/会议摘要等）,全文,Claus 等 - 2026 - Efficacy of Ai Enabled Software in Automatic Segmentation for Orthognathic Surgery.pdf,,,15274,,"PURPOSE: The integration of artificial intelligence (AI) in orthognathic surgery has the potential to significantly enhance preoperative planning and  postoperative evaluation by automating time-consuming tasks such as anatomical  segmentation and alignment of imaging data. METHODS: This study investigates the  efficiency and accuracy of an AI-based deep learning platform for segmenting 3D  models of the maxillofacial region and aligning dental occlusion data with  computed tomography (CT) scans. A total of 20 preoperative CT scans were  retrospectively collected from patients who underwent bimaxillary orthognathic  surgery. The AI platform automatically identified key anatomical structures,  segmented them, and aligned STL files from dental scans with the corresponding  DICOM files. Both segmentation times (operator and software) and file sizes were  recorded. RESULTS: The average opera"
A_排除抽样,24,X6NG9MRZ,Accuracy of automatic and manual dynamic navigation registration techniques for dental implant surgery in posterior sites missing a single tooth: A retrospective clinical analysis,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,25,MLRQPJHS,Evaluating the Effectiveness of Large Language Models in Addressing Patient Queries Regarding Maxillomandibular Fixation for Maxillofacial Fractures,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,26,WTXDAWTN,Comparison of the overall fit of three-unit posterior fixed dental prostheses fabricated with laser sintering and conventional casting methods,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,27,5QNKAX9U,Enabling Complex Fibre Geometries Using 3D Printed Axon-Mimetic Phantoms,不属于口腔医学范畴,全文,Kuehn 等 - 2022 - Enabling Complex Fibre Geometries Using 3D Printed Axon-Mimetic Phantoms..pdf,,,45572,,"PurposeTo introduce a method to create 3D-printed axon-mimetic phantoms with complex fibre orientations to characterise the performance of diffusion magnetic resonance imaging (MRI) models and representations in the presence of orientation dispersion. MethodsAn extension to an open-source 3D printing package was created to produce a set of five 3D-printed axon-mimetic (3AM) phantoms with various combinations of bending and crossing fibre orientations. A two-shell diffusion MRI scan of the five phantoms in water was performed at 9.4T. Diffusion tensor imaging (DTI), diffusion kurtosis imaging (DKI), the ball and stick model, neurite orientation density and dispersion imaging (NODDI), and Bingham-NODDI were all fit to the resulting diffusion MRI data. A ground truth map of that phantom's crossing angles and/or arc radius was registered to the diffusion-weighted images. Metrics from each mo"
A_排除抽样,28,FVFBH2KA,PASegNet: Integrating dual awareness of position and boundary on 3D dental meshes for tooth instance segmentation,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,29,4C8YNE69,"A systematic review of digital removable partial dentures. Part II: CAD/CAM framework, artificial teeth, and denture base",文献类型不符（综述/社论/会议摘要等）,全文,"Takaichi 等 - 2022 - A systematic review of digital removable partial dentures. Part II CADCAM framework, artificial te.pdf",Geomagic Freeform；Geomagic Studio；Rhinoceros；Geomagic,exocad；3Shape；Dental System；DentalCAD；inLab,81426,"Rhinoceros :: ork fabrication Fabrication  method Mate- rial CAD [article #] CAM [article #] Software Manufacturer Machine Manufacturer SLM Co-Cr 3Shape Dental Sys- tem[34,37,40,49,50,54,57,75],  3Shape CAD Points[43,56],  Dental Designer RPD[53,49,79],  Cambridge[73], Digistell[80],  DWOS[71], FreeForm[30,63],  Rhinoceros[47,69,74], UR  [52,66,67] 3Shape[34,37,40,43,49,50,53,  54,56,57,73,75,79], Dental  wings[71], SensAble Technolo- gies[30,63], Digilea[80], Robert  McNeel [47, 69,  74], UR[52,66,67] EOSINT M270[34,43,52,71,75,  79,80], EOSINT M 280[47,74],  EOSINT M 250 Xtended[69],  EOSINT M100[73], EOSINT SLM  m || Geomagic ::  System[55] 3Shape[55] SD-5TH[55] Concept Laser[55] PEEK 3 Shape Dental sys- tems[36,39,41,44,49] 3 Shape[36,39,41,44,49] Organical[36,49], DWX-51D[39],  Ceramill Motion[41], CORiTEC  250i[44] R+K CAD-CAM Technolo- gie[36,49], Roland DG[39],  Amann Girrbach[41","Purpose: This study comprehensively reviewed the current status of the digital workflow of removable partial dentures (RPDs) and summarized information about the fabrication methods and material properties of the dental framework, artificial teeth, and denture base. Study selection: We performed a systematic review of the literature published in online databases from January 1980 to April 2020 regarding RPD fabrication and materials used in the related digital technology. We selected eligible articles, retrieved information regarding digital RPDs, and conducted qualitative/quantitative analyses. In this paper, the computer-aided design/computer-aided manufacturing (CAD/CAM) framework, artificial teeth, and denture base materials are reported. Results: A variety of materials, such as cobalt-chromium alloy, titanium, zirconia, and polyether ether ketone, are used for dental CAD/CAM framewo"
A_排除抽样,30,LSHIDCRW,Objective characterization of dental occlusal and fissure morphologies: Method development and exploratory analysis,未使用非牙科专用3D软件,全文,Erkan 等 - 2023 - Objective characterization of dental occlusal and fissure morphologies Method development and explo.pdf,Geomagic Wrap；Geomagic；MeshLab；Analyze；Dolphin,Dolphin Imaging,47499,"Analyze :: sign: In this retrospective clinical study, we evaluated caries presence and severity pre- and post-orthodontic  treatment for first molars of 147 patients (384 teeth). These teeth were previously scanned using a clinical  intraoral scanner, and the obtained digital elevation models were used to 1) analyze the 3D occlusal surface  parameters (n = 384) and 2) quantitatively characterize the mandibular molars’ (n = 166) fissure patterns using  three novel methods. Pearson correlation coefficients were calculated to evaluate the associations among the  measurements, and presence/severity of caries pre-  || Dolphin :: ular first molars (n  = 384) from 147 consecutively enrolled patients, of which the pre- and  post-treatment conditions had been recorded via 2D occlusal photo­ graphs and 3D digital intraoral scans using the Carestream 3600  (Carestream Dental, Atlanta, GA, USA). Al","Objective: To develop clinically applicable methods to characterize occlusal topography and assess possible as-sociations between morphology and caries incidence and development.Design: In this retrospective clinical study, we evaluated caries presence and severity pre-and post-orthodontic treatment for first molars of 147 patients (384 teeth). These teeth were previously scanned using a clinical intraoral scanner, and the obtained digital elevation models were used to 1) analyze the 3D occlusal surface parameters (n = 384) and 2) quantitatively characterize the mandibular molars' (n = 166) fissure patterns using three novel methods. Pearson correlation coefficients were calculated to evaluate the associations among the measurements, and presence/severity of caries pre-and post-treatment were assessed using generalized linear mixed-effects models.Results: Robust quantitative fissure char"
A_排除抽样,31,8EJ8L3BS,Full-mouth rehabilitation of a patient with implant-supported fixed dental prostheses using CAD-CAM frameworks.,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,32,4IYETYX2,Fitness accuracy and retentive forces of additive manufactured titanium clasp,未使用非牙科专用3D软件,摘要,,,,0,,
A_排除抽样,33,ZPHWMMKX,Influence of different education approaches on the implantation performance of dental practitioners in aesthetic zone.,文献类型不符（综述/社论/会议摘要等）,全文,Wu 等 - 2023 - Influence of different education approaches on the implantation performance of dental practitioners.pdf,Geomagic Studio；Geomagic,3Shape；coDiagnostiX,36192,"Geomagic Studio :: im- mer Biomet) were attached to the inserted implants in each model, followed by scanning with a laboratory scan- ner to generate a virtual model of the cast and implant position. Subsequently, the virtual surgical model was superimposed with the virtual master model by using 3D analysis software (Geomagic Studio, Raindrop, USA) to complete the position comparison of the inserted and planned implant. Teeth were used for the superimposi- tion, because they were stable landmarks in all models. The superimposition consisted of point-to-point registra- tion of widely distributed common points, followed by autom","PURPOSE: To investigate the influence of different education approaches on the implantation performance (operation time, three-dimensional deviation) of  inexperienced operators. METHODS: Eighteen students who met the inclusion  criteria were randomly assigned to traditional training group or digital training  group. After training, the average operation time and implant deviation (platform  deviation, apex deviation, and angle deviation) of the two groups were calculated  by Student's t-test. A self-developed questionnaire was used to evaluate the  students' grasp of clinical knowledge and skill. RESULT: Compared with the  traditional training group, the duration of implant installation and temporary  prosthesis placement of the digital training group decreased significantly  (p?<?0.05). The implant deviation of the digital training group was lower than  that of the traditional training"
A_排除抽样,34,LMQDB4W2,Design and Validation of a High-Fidelity Left Atrial Cardiac Simulator for the Study and Advancement of Left Atrial Appendage Occlusion,不属于口腔医学范畴,全文,Mendez 等 - 2025 - Design and Validation of a High-Fidelity Left Atrial Cardiac Simulator for the Study and Advancement.pdf,SolidWorks；3D Slicer；Meshmixer；Slicer；MATLAB,,77314,"3D Slicer :: opylene-like photopolymer resin  (RGD450) with a wall thickness of 1.5 mm. Soft Patient-Derived LAA Models Four patient-specific LAA geometries were selected from  MRI data to represent a range of anatomical variability and  challenging-to-occlude configurations. LAA geometries  were isolated using 3D Slicer and refined in Meshmixer,  ensuring preservation of the ostial landing zone required  for device deployment. The geometries were chosen in col­ laboration with clinicians and industry partners, incorporat­ ing criteria such as ostial dimensions, length, and overall  morphology. The final library in || MATLAB :: . Flow was quantified using inline Transonic  flow probes (ME10PXN, Transonic) coupled to a Transonic  flow console (T403 with TS410 modules, Transonic). Data  were acquired with a multi-channel data acquisition (DAQ)  system (DewesoftX or LabChart, depending on s","PurposeAtrial fibrillation (AF) is the most common chronic cardiac arrhythmia that increases the risk of stroke, primarily due to thrombus formation in the left atrial appendage (LAA). Left atrial appendage occlusion (LAAO) devices offer an alternative to oral anticoagulation for stroke prevention. However, the complex and variable anatomy of the LAA presents significant challenges to device design and deployment. Current benchtop models fail to replicate both anatomical variability and physiological hemodynamics, limiting their utility. This study introduces a novel left atrial cardiac simulator that incorporates patient-derived LAA models within a benchtop circulatory flow loop, enabling high-fidelity LAAO device testing and development.MethodsA rigid, patient-derived left atrium (LA) model was 3D printed from segmented MRI data and modified to accommodate attachment of patient-specifi"
