序号,文献标题,摘要（前100字符）,处理时间,model_returned,response_id,latency_s,分类结果,分类理由,软件使用情况,应用领域,应用场景
14,Virtual reconstruction of orbital defects using Gaussian process morphable models.,"PURPOSE: The conventional method to reconstruct the bone level for orbital defects, which is based o",2026-09-10 20:42:57,deepseek-flash,5e84e83a-997b-49a2-8739-910e2950e3a6,1.45,include,该研究属于口腔颌面外科范畴，明确使用了非牙科专用3D软件Scalismo（基于高斯过程形变模型的开源形状建模框架）进行眶部缺损的虚拟重建，文献类型为原创研究，符合纳入标准。,Scalismo（开源形状建模软件，用于构建高斯过程形变模型GPMM，实现眶部缺损的自动化非刚性配准与重建）,口腔颌面外科（眶部缺损重建）,基于CT扫描的眶部骨缺损虚拟重建与患者特异性植入物设计
18,Root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranberry extracts.,The purpose of this study was to perform an integrative review on the effects of cranberry and grape,2026-09-10 20:42:57,deepseek-flash,7f6cd0e0-a48c-4028-9e36-b28019fab658,0.84,exclude,摘要明确表明本研究为integrative review（综述），属于非原创研究类型，不符合纳入标准。,无,无,无
10,Automated Orientation and Registration of Cone-Beam Computed Tomography Scans.,Automated clinical decision support systems rely on accurate analysis of three-dimensional (3D) medi,2026-09-10 20:42:58,deepseek-flash,9c140d13-88e3-42f2-90a8-70f135edcd07,2.15,include,摘要明确提及使用3D Slicer开源平台进行CBCT三维图像的方向定位与配准，属于口腔医学（颌面/正畸影像）范畴，且为原创研究论文。,3D Slicer（开源医学影像平台），用于CBCT扫描的自动方向定位与配准,口腔颌面放射/正畸（CBCT影像分析）,三维医学/牙科图像的标准化方向定位与配准，用于诊断、治疗规划及面部生长与正畸治疗评估
19,Role of Digital Technologies in Special Care Dentistry: A Scoping Review.,AIMS: This scoping review aims to explore the application of digital dentistry in special care denti,2026-09-10 20:42:58,deepseek-flash,2487b025-0b83-4aaf-a1ed-e023b7c48db3,1.12,exclude,标题和摘要明确表明这是一篇范围综述（scoping review），属于非原创研究类型，不符合纳入标准中的文献类型要求。,无,无,无
17,Step-by-Step Implementation of Three-Dimensional Print Technology in Preoperative Neurosurgery Planning.,This study presents a detailed methodology for integrating three-dimensional (3D) printing technolog,2026-09-10 20:42:58,deepseek-flash,b27a6960-ef35-4d04-992d-5ef749f847f9,1.45,exclude,"该文献明确为神经外科术前规划研究，与口腔医学无关，不符合纳入标准中""口腔医学范畴""的要求。",无,无,无
20,Fusion of intra-oral scans in cone-beam computed tomography scans.,PURPOSE: The purpose of this study was to evaluate the clinical accuracy of the fusion of intra-oral,2026-09-10 20:42:58,deepseek-flash,ee5f95f6-c8a1-4be8-a9c8-8587d2bafcc6,1.22,exclude,摘要明确说明仅使用了IPS CaseDesigner®和OrthoAnalyzer™两款牙科专用软件进行融合，未使用任何非牙科专用3D软件，符合明确排除标准。,无,无,无
22,Automated detection and numbering of primary and permanent teeth in digital impressions of children using artificial intelligence.,OBJECTIVES: Considering the importance of distinguishing between primary and permanent teeth in chil,2026-09-10 20:42:58,deepseek-flash,df463c21-0c05-4a1e-82d5-22d962c3c31d,1.37,unsure,该文献属于口腔医学（儿童混合牙列数字化印模）范畴，但摘要未提及是否使用了非牙科专用3D软件，无法明确判断其软件类型，需进入全文复核。,无,无,无
21,Fully Automated Tooth Segmentation and Labeling for Both Full- and Partial-Arch Intraoral Scans Using Deep Learning.,INTRODUCTION AND AIMS: Partial-arch intraoral scans (IOSs) are commonly used in clinical dentistry w,2026-09-10 20:42:58,deepseek-flash,4581b645-76d4-4ea7-9e11-81c48120e5cf,1.42,unsure,该文献属于口腔医学范畴（牙科扫描图像分割），但摘要未提及是否使用了非牙科专用3D软件，无法明确判断是否符合Concept标准，需进入全文复核。,无,无,无
23,Numerical Assessment Tool to Measure Realism in Clinical Simulation.,"Realism is indispensable in clinical simulation learning, and the objective of this work is to prese",2026-09-10 20:42:58,deepseek-flash,9a1635a9-e12f-446f-ab5a-34a9835cec9a,1.28,exclude,该文献主题为临床模拟教学中的真实感测量工具开发，与口腔医学无关，且未涉及任何3D软件在口腔医学中的应用。,无,无,无
25,Automatic Segmentation of Dental Root Canal and Merging with Crown Shape.,"In this paper, machine learning approaches are proposed to support dental researchers and clinicians",2026-09-10 20:42:59,deepseek-flash,2d4fd477-ac6c-4348-b848-26261d8720b2,1.09,unsure,摘要涉及口腔医学（牙体牙髓、正畸、修复等）且使用图像处理与机器学习方法进行根管及牙冠三维分割与融合，但未明确提及是否使用了非牙科专用3D软件，无法据此排除，需全文复核。,无,无,无
24,Three-Dimensional Auricular Subunit Models for Cartilage Framework Fabrication: Our Preliminary Experience.,BACKGROUND: Three-dimensional (3D) digital imaging and printing techniques have been popularly appli,2026-09-10 20:42:59,deepseek-flash,25fc88de-e3e6-4f5b-be5a-5a931c3c9df3,1.31,exclude,该文献主题为小耳症耳廓重建（耳廓软骨支架制作），属于整形外科/耳再造范畴，而非口腔医学（牙科）领域，明确不符合PCC框架中的Population/Context标准。,无,无,无
28,Influence of the frameworks of implant-supported prostheses and implant connections on stress distribution.,BACKGROUND: The maintenance of marginal bone integrity around dental implants continues to be a clin,2026-09-10 20:42:59,deepseek-flash,752b80b2-8588-4dc9-8238-b9b92455eb63,1.11,unsure,该文献属于口腔种植修复领域，但摘要仅提及CAD/CAM系统，未明确说明是否使用了非牙科专用3D软件，信息不足无法判断。,无,无,无
27,An Open Source Framework for Free Precise Digital Facial Analysis.,"In the dynamic landscape of digital healthcare and facial aesthetics, there is a rising demand for t",2026-09-10 20:42:59,deepseek-flash,3c9b3e62-e24e-4ef7-8869-6e1c3d0679ed,1.5,include,该研究属于口腔颌面外科/面部美学范畴，明确使用了非牙科专用3D软件Blender进行面部三维重建与分析，文献类型为原创研究，符合纳入标准。,Blender®——用于面部摄影测量图像的三维重建及面部分析（选点、角度、测量）,口腔颌面外科（兼及面部美学、整形外科）,数字化面部分析、虚拟手术规划、面部美学评估与个性化治疗方案制定
29,Assessing the Volume of the Head of the Mandibular Condyle Using 3T-MRI-A Preliminary Trial.,"Due to potentially harmful exposure to X-rays, condylar growth in response to orthodontic treatment ",2026-09-10 20:42:59,deepseek-flash,696aa4cd-0b3c-4837-a9ff-a1a9c22e0600,1.32,unsure,"该研究属于口腔医学（颞下颌关节/正畸）范畴，涉及3D重建与分割，但摘要仅提及""dedicated software for image segmentation""和MATLAB，未明确说明是否使用了非牙科专用3D软件，信息不足，需全文复核。",无,无,无
30,Automated dentition segmentation: 3D UNet-based approach with MIScnn framework.,"INTRODUCTION: Advancements in technology have led to the adoption of digital workflows in dentistry,",2026-09-10 20:42:59,deepseek-flash,6ce43cfb-8502-48ae-b6e8-5eaf34cbc502,1.31,unsure,该研究属于口腔医学（CBCT牙列分割）范畴，且使用了MIScnn这一非牙科专用医学影像框架，但摘要未明确说明是否使用了其他非牙科专用3D软件，信息不足以完全确认，需进入全文复核。,无,无,无
26,A modified scan technique for multiple abutment teeth using the trim and lock function.,OBJECTIVES: To describe a new protocol for digital scanning of multiple abutment teeth using the tri,2026-09-10 20:42:59,deepseek-flash,d2994c99-1730-40ca-8777-049a824475db,1.77,unsure,"该文献属于口腔修复领域的原创技术说明，主题相关，但摘要仅提及""scanning software""的trim and lock功能，未明确说明是否为非牙科专用3D软件，无法据此判断是否符合Concept标准。",无,无,无
32,An update on CAD-CAM usage for removable partial denture fabrication: A systematic review.,The accuracy of Computer-Aided Design and Computer-Aided Manufacturing (CAD-CAM) systems in the fabr,2026-09-10 20:43:00,deepseek-flash,07b442b1-f9c9-4d0c-854c-65da0d87864e,1.41,exclude,标题明确标注为系统综述（systematic review），属于非原创研究文献类型，不符合纳入标准。,无,无,无
33,Patient-Specific Implant Customization for Treatment of Internal Orbital Fractures Using Office-Based Three-Dimensional Printing.,OBJECTIVE: Three-dimensional (3D) modeling technology aids the reconstructive surgeon in designing a,2026-09-10 20:43:00,deepseek-flash,b5e121a9-3aee-45ca-a8fc-d33194e7f4ea,1.66,include,该文献为原创研究，涉及口腔颌面外科（眶内骨折修复）领域，明确使用了非牙科专用3D软件iPlan 3.0 Cranial CMF（Brainlab）进行虚拟3D建模，符合纳入标准。,iPlan 3.0 Cranial CMF（Brainlab）——用于创建虚拟3D模型、设计个性化植入物及术后体积测量,口腔颌面外科（眶内骨折重建）,患者个性化植入物定制，用于眶内骨折的解剖复位与骨性眶体积恢复
31,The all-on-4 concept in the maxilla-A biomechanical analysis involving high performance polymers.,"A finite element analysis was used to determine the loading behavior of a full ""All-on-4"" bridge in ",2026-09-10 20:43:00,deepseek-flash,7e7cc0a8-95eb-491a-9f96-7e8d8a3e1ef0,1.93,unsure,该研究属于口腔种植（All-on-4）领域的有限元生物力学分析，但摘要未提及具体使用的软件名称，无法判断是否使用了非牙科专用3D软件（如ANSYS、ABAQUS等），需进入全文复核确认。,无,无,无
35,Dental measurement procedure based on 3D analysis and data processing.,This paper introduces a novel methodology for the alignment and comparison of 3D digital models of i,2026-09-10 20:43:01,deepseek-flash,36625daf-4210-4a2d-b088-2a734c44f601,1.68,unsure,该文献属于口腔医学范畴（修复/牙体预备教育），但摘要仅提及使用Aidite®牙科扫描仪进行数字化，未明确说明是否使用了非牙科专用3D软件进行对齐、建模和数据分析，信息不足无法判断。,无,无,无
34,OpenMandible: An open-source framework for highly realistic numerical modelling of lower mandible physiology.,OBJECTIVE: Computer modeling of lower mandible physiology remains challenging because prescribing re,2026-09-10 20:43:01,deepseek-flash,1d82a447-8557-41bb-924a-5e74e4462dd1,1.95,include,该研究属于口腔医学（下颌骨建模）范畴，明确使用了非牙科专用3D软件工具（C++软件工具OpenMandible，结合CBCT/μCT影像进行数值建模），且为原创研究，符合纳入标准。,OpenMandible（开源C++软件工具，用于生成仿真就绪的下颌骨有限元模型，支持tet4和hex8单元）；结合CBCT和μCT影像模态进行多尺度建模。,口腔颌面外科/口腔生物力学（下颌骨生理数值建模）。,下颌骨多尺度数值建模、虚拟治疗与疾病研究（如牙齿修复、种植体植入、下颌骨骨退化等）。
38,Evaluation of misfit and stress distribution in implant-retained prosthesis obtained by different methods.,"This study evaluated the vertical misfit, passivity, and stress distribution after tightening the sc",2026-09-10 20:43:01,deepseek-flash,db294870-ce26-4818-85f4-0f6dce529b8a,1.68,unsure,"该研究属于口腔种植修复领域，涉及CAD/CAM制作修复体，但摘要仅提及""CAD/CAM系统""，未明确说明是否使用了非牙科专用3D软件（如通用建模或逆向工程软件），信息不足无法判断。",无,无,无
37,Root Canal Segmentation in CBCT Images by 3D U-Net with Global and Local Combination Loss.,Accurate root canal segmentation provides an important assistance for root canal therapy. The existi,2026-09-10 20:43:01,deepseek-flash,5a403a20-bfbf-49ba-a3d6-945631d9a078,1.69,unsure,该文献属于口腔医学（牙体牙髓/放射）范畴，涉及CBCT图像中根管分割的3D数据处理，但摘要未明确说明是否使用了非牙科专用3D软件（如3D Slicer、Mimics等），无法据此排除，需进入全文复核。,无,无,无
36,PowerScope 2 functional appliance: A 3D finite element simulation of its action on the mandible.,PowerScope 2 is a fixed functional appliance for patients with Class II malocclusion and a retrognat,2026-09-10 20:43:01,deepseek-flash,871bd010-bbe1-4b85-9e4f-2bd82ce33a9c,1.99,include,该研究属于口腔正畸领域，明确使用AutoCAD和Autodesk Inventor Professional等非牙科专用3D软件进行三维有限元建模与分析，符合纳入标准。,AutoCAD 2010（基于CT图像创建下颌骨及牙齿3D模型）；Autodesk Inventor Professional 2020（有限元分析）,口腔正畸学,评估PowerScope 2功能矫治器矫正II类错𬌗畸形时对下颌骨的作用，通过三维有限元分析模拟下颌骨的应力与位移分布
39,Patient Specific Classification of Dental Root Canal and Crown Shape.,This paper proposes machine learning approaches to support dentistry researchers in the context of i,2026-09-10 20:43:02,deepseek-flash,ffb41066-cf7a-42b7-b9ce-391a9efc725f,1.57,unsure,该文献属于口腔医学范畴（牙根管与牙冠形态分析），但摘要未明确提及是否使用了非牙科专用3D软件，信息不足，无法判断是否符合Concept标准。,无,无,无
40,"Low-Cost, High-Fidelity 3D-Printed Temporomandibular Joint (TMJ) Dislocation Reduction Task Trainer.",Temporomandibular joint (TMJ) dislocation is an emergency that requires prompt reduction to relieve ,2026-09-10 20:43:02,deepseek-flash,9a08d15c-fe8a-4aa8-99be-d453018ab292,1.76,include,该文献为原创技术说明，涉及口腔颌面外科（颞下颌关节脱位）领域，明确使用了开源3D计算机辅助设计文件进行3D打印建模，属于非牙科专用3D软件的应用，符合纳入标准。,开源3D计算机辅助设计（CAD）软件——用于设计颞下颌关节脱位复位训练模型,口腔颌面外科（颞下颌关节）,3D打印制作颞下颌关节脱位复位训练模拟器，用于医学教育与技能培训
44,Effect of Different Restorative Materials on Stress Distribution around Dental Implants.,The purpose of this study was to evaluate the amount and distribution of stress in the implant-suppo,2026-09-10 20:43:02,deepseek-flash,1e1aef86-07d3-41b8-aa4d-b65867edcc28,1.15,unsure,该研究属于口腔种植领域的有限元分析研究，但摘要未明确说明所使用的3D建模/分析软件名称，无法判断是否使用了非牙科专用3D软件（如ANSYS、ABAQUS等），需进入全文复核。,无,无,无
41,A Unified Deep Learning Framework for Visual Diagnosis of Palatal Radicular Grooves in CBCT Scans: A Multicenter Validation Study.,INTRODUCTION: Palatal radicular grooves (PRGs) posed diagnostic challenges due to their complex root,2026-09-10 20:43:02,deepseek-flash,9e5e2e93-35f2-4dbf-8d5d-9ae840dd2050,1.94,unsure,该研究属于口腔医学（牙体牙髓/颌面放射）范畴，涉及CBCT三维数据处理与可视化，但摘要未提及是否使用了非牙科专用3D软件，无法明确判断是否符合Concept标准。,无,无,无
43,The level of confidence of dentists in identifying intact and sectioned teeth.,OBJECTIVE: This study aimed to assess the confidence levels of dentists in identifying intact and se,2026-09-10 20:43:02,deepseek-flash,23a189f5-1532-4c11-bf3a-6a20901b0275,1.41,include,该研究属于口腔医学（牙体解剖识别）范畴，摘要明确使用了非牙科专用3D软件ZBrush进行牙齿模型创建与操作，文献类型为原创研究，符合纳入标准。,"ZBrush（Maxon Industries, Inc.）——用于创建和操作3D牙齿模型",口腔解剖学/牙体解剖学（口腔医学教育）,创建3D牙齿模型用于牙医对完整及切片牙齿的识别信心评估
42,AI-driven gingival segmentation on CBCT: Validation using delineation by intraoral scanning and CBCT-based cotton roll separation.,OBJECTIVES: To validate a novel AI approach for automated gingival segmentation directly from cone b,2026-09-10 20:43:02,deepseek-flash,5e156d52-e25c-4860-8c0a-2beb40f728c9,1.5,unsure,"该研究属于口腔医学范畴（牙周/美学牙科），涉及CBCT的3D牙龈分割与建模，但摘要仅提及云平台（Virtual Patient Creator, Relu），未明确说明是否使用了非牙科专用3D软件，信息不足无法判断。",无,无,无
45,Evaluation of an AI-based segmentation model for mandibular fracture segmentation on CBCT using volumetric and 2D slice-based validation approaches.,OBJECTIVE: This study aimed to evaluate the diagnostic performance of an artificial intelligence (AI,2026-09-10 20:43:03,deepseek-flash,268001a3-76a3-4ee9-ab43-8a1a1b6f30ed,1.37,unsure,"该研究属于口腔颌面外科领域，涉及CBCT三维数据处理与AI分割建模，但摘要未明确说明是否使用了非牙科专用3D软件（如nnU-Net为深度学习框架，非3D软件），信息不足以判断是否符合""非牙科专用3D软件""这一核心概念。",无,无,无
46,A Comparative study on the Effectiveness of Augmented Reality on Denture Tooth Selection.,"One of the most difficult aspects of providing removable dentures, for both the patient and the dent",2026-09-10 20:43:03,deepseek-flash,f4019aae-02e1-4a08-a970-139d8fddab98,1.37,unsure,该研究属于口腔修复学范畴，涉及3D扫描与增强现实（AR）技术，但摘要未明确说明所使用的3D软件是否为非牙科专用软件（如Blender、3D Slicer等），信息不足，无法明确判断。,无,无,无
47,Oriented tooth detection: a CBCT image processing method integrated with RoI transformer.,OBJECTIVES: Cone beam computed tomography (CBCT) has revolutionized dental imaging due to its high s,2026-09-10 20:43:03,deepseek-flash,3f216762-c242-4e99-9fad-2634468375c4,1.28,unsure,该文献属于口腔医学（CBCT牙科影像）范畴，但摘要未明确提及是否使用了非牙科专用3D软件，无法据此排除其可能性，需进入全文复核。,无,无,无
50,The Effect of Defect Morphology and Membrane Fixation on 3D Graft Material Displacement During Primary Wound Closure in Horizontal Bone Augmentation-An Ex Vivo Study.,OBJECTIVES: This preclinical study evaluated the influence of two defect morphologies on graft mater,2026-09-10 20:43:03,deepseek-flash,b7c9fe8a-4136-4a37-853a-449aeba0b32e,0.96,unsure,该文献属于口腔医学（水平骨增量）领域的原创研究，但摘要未提及是否使用了非牙科专用3D软件，无法明确判断，需进入全文复核。,无,无,无
48,Guidelines for Orbital Defect Assessment and Patient-Specific Implant Design: Introducing OA(2) (Orbital Assessment Algorithm).,STUDY DESIGN: This study presents a review of the evolutionary development in reconstructive orbital,2026-09-10 20:43:03,deepseek-flash,0def5cd1-d71a-4e15-9316-0cb2c3fc43ba,1.16,exclude,"摘要明确表明该文为对过去30年眶重建手术演变的""comprehensive review""，属于综述类文献，不符合原创研究、技术说明或病例报告的纳入类型要求。",无,无,无
52,Anterior Esthetic Rehabilitation with Computer-Aided Design/Computer-Aided Manufacturing Zirconia: A Case Report.,"In layered zirconia prosthesis, the choice of zirconia composition, framework design, and shade is c",2026-09-10 20:43:04,deepseek-flash,7a30d051-9c4a-40c7-9a2f-d100e130df88,1.16,unsure,该文献属于口腔修复领域的病例报告，涉及CAD/CAM氧化锆修复，但摘要未明确说明所使用的具体软件类型，无法判断是否使用了非牙科专用3D软件，需进入全文复核。,无,无,无
49,Developing an Artificial Intelligence Solution to Autosegment the Edentulous Mandibular Bone for Implant Planning.,OBJECTIVE: Dental implants are considered the optimum solution to replace missing teeth and restore ,2026-09-10 20:43:04,deepseek-flash,b8aa42f4-0c09-4479-b963-620f20b028eb,1.26,include,该研究属于口腔种植领域的原创研究，明确使用了非牙科专用3D软件ITK-SNAP进行CBCT图像分割，符合纳入标准。,ITK-SNAP（用于手动分割无牙颌牙槽骨CBCT图像）；MONAI框架（用于构建U-Net分割模型）,口腔种植学（种植规划）,基于CBCT图像的无牙颌牙槽骨自动分割，用于种植体植入规划
53,Scanning Accuracy of 10 Intraoral Scanners for Single-crown and Three-unit Fixed Denture Preparations: An In Vitro Study.,OBJECTIVE: To evaluate the accuracy of 10 intraoral scanners for single-crown and three-unit prepara,2026-09-10 20:43:04,deepseek-flash,6f4f5363-85f0-4bd8-9e1c-2eaf943f7900,1.07,unsure,"该研究属于口腔修复学范畴，但摘要仅提及""3D image processing software""进行偏差分析，未明确说明所用软件是否为非牙科专用3D软件（如CloudCompare、Geomagic等），信息不足无法判断。",无,无,无
55,Management of Total Frontal Bone Loss After Surgery for Craniosynostosis: The Modified Visor Bone Flap With Brain Cage.,Complications after craniosynostosis surgery occur in 11% to 36% of cases and may be precipitated by,2026-09-10 20:43:04,deepseek-flash,d5eb2f4b-c4ec-4d20-a327-6ce6d9e80d8e,0.75,exclude,该文献主题为颅缝早闭术后额骨缺损的重建，属于颅面外科/神经外科范畴，而非口腔医学（牙科）领域，不符合PCC框架中Population/Context的纳入标准。,无,无,无
51,A comprehensive technique using digital workflow to improve an unpleasant smile: A clinical report.,"By utilising open-source digital software, clinicians can create an integrative digital workflow com",2026-09-10 20:43:04,deepseek-flash,15741793-b271-41e5-9367-1d46191db8bb,1.47,include,该文献为口腔修复领域的临床病例报告，摘要明确提及使用了开源数字软件及高级3D雕刻软件（非牙科专用3D软件）进行微笑设计和3D建模，符合纳入标准。,开源数字软件（open-source digital software）及高级3D雕刻软件（advanced 3D sculpting software），用于创建微笑设计的3D模型,口腔修复学（前牙美学修复）,微笑设计、虚拟仿真、3D建模及贴面修复的数字化工作流程
54,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,"Correct implant placement is necessary for satisfactory implant restoration. Therefore, the use of s",2026-09-10 20:43:04,deepseek-flash,1ee4b79a-cbe4-41de-b37a-06bc5a1588dc,1.38,unsure,该文献属于口腔种植领域，涉及计算机辅助种植手术（静态导板），但摘要未提及是否使用了非牙科专用3D软件（如用于导板设计或偏差分析的软件），信息不足无法明确判断。,无,无,无
60,Romero dental modification system from 2D diagrammatic representation to 3D digital models.,The Romero Dental Modification System offers a standardised framework for classifying intentional de,2026-09-10 20:43:04,deepseek-flash,25ff5378-fa15-4f3c-b026-e27ac55084b5,0.65,exclude,"该文献明确为综述（review），摘要中明确说明""Twenty-three studies applying the Romero classification system were reviewed""，属于非原创研究类型，不符合纳入标准。",无,无,无
56,TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,"Computer-aided surgical simulation is a critical component of orthognathic surgical planning, where ",2026-09-10 20:43:04,deepseek-flash,25c7c649-48cf-430f-916b-d9c2b4aaf811,1.1,unsure,该文献属于口腔颌面外科（正颌手术）领域，涉及3D点云的面骨形状变换，但摘要未明确说明是否使用了非牙科专用3D软件，无法据此排除，需进入全文复核。,无,无,无
57,A Self-Supervised Deep Framework for Reference Bony Shape Estimation in Orthognathic Surgical Planning.,Virtual orthognathic surgical planning involves simulating surgical corrections of jaw deformities o,2026-09-10 20:43:04,deepseek-flash,1fbe1562-ab15-404e-813e-bfd7b2535b44,1.21,unsure,该文献属于口腔颌面外科（正颌手术）范畴，涉及3D面部骨性模型的深度学习处理，但摘要未明确说明是否使用了非牙科专用3D软件，无法据此排除，需进入全文复核。,无,无,无
