stage,script,purpose,path,lines,sha256,root_rewrite
05_analysis,_verify_stats.py,Cross-check every reported statistic against the locked dataset,02_scripts/05_analysis/_verify_stats.py,45,86a0052152488927,verbatim
06_figures,make_figures.py,"Figures 1-5 (PRISMA, landscape, software, archetypes, contingency)",02_scripts/06_figures/make_figures.py,682,d672f241443d14c0,rewritten
06_figures,_run_figs.py,Driver that renders the figure set,02_scripts/06_figures/_run_figs.py,16,e8473355dbcc0136,verbatim
06_figures,make_supp_fig.py,Supplementary Figure S1: journal and proceedings distribution,02_scripts/06_figures/make_supp_fig.py,69,e54d0f8fb6b25e93,rewritten
07_documents,_tools_supp2.py,"Supplementary File 2: screening logs, exclusion reasons, outcome coding, codebook, model metadata",02_scripts/07_documents/_tools_supp2.py,226,8ed0a0ca11dbc1e2,rewritten
07_documents,_tools_supp3.py,"Supplementary File 3: included studies, software glossary, eligibility audit, definitions",02_scripts/07_documents/_tools_supp3.py,207,f0da4140566ac9a3,rewritten
07_documents,_tools_provenance.py,Dataset provenance table: which dataset version generated which output,02_scripts/07_documents/_tools_provenance.py,84,d9c7a7ab1713e52c,rewritten
07_documents,_tools_md2docx.py,Convert the Markdown manuscript files to Word,02_scripts/07_documents/_tools_md2docx.py,230,4bafe188942708cc,verbatim
07_documents,_tools_check_ms.py,Check the manuscript for recurrent formatting faults,02_scripts/07_documents/_tools_check_ms.py,48,4bdaa99813b6283e,rewritten
07_documents,_tools_renumber_refs.py,Renumber in-text citations after reference-list edits,02_scripts/07_documents/_tools_renumber_refs.py,72,0f056c793d355dd1,rewritten
07_documents,_check_abstract.py,Verify the abstract word limit and the internal consistency of headline numbers,02_scripts/07_documents/_check_abstract.py,38,b89471ce4a711725,rewritten
07_documents,_tools_final_audit.py,Final numerical audit of the submission package,02_scripts/07_documents/_tools_final_audit.py,85,0d9760a545864f7d,rewritten
07_documents,_tools_build_repo.py,This script: assemble the public repository,02_scripts/07_documents/_tools_build_repo.py,930,bb072c4395a07250,rewritten
08_verification,_tools_verify_evidence.py,Build the evidence pack for the 300 sampled records,02_scripts/08_verification/_tools_verify_evidence.py,198,e44f8826f748883f,rewritten
08_verification,_tools_verify_fill.py,"Record the per-record verdict, evidence level and reason",02_scripts/08_verification/_tools_verify_fill.py,220,620c4cdca450c583,rewritten
08_verification,_fill_verification.py,Assemble the verification workbook from the sampled records,02_scripts/08_verification/_fill_verification.py,159,9bfa8ca9cf5d9e58,rewritten
08_verification,_verify_A_deep.py,Deep check of the flagged records in sample A,02_scripts/08_verification/_verify_A_deep.py,89,868a61db0f21b85b,rewritten
08_verification,_verify_A_pdf_sw.py,Objective full-text software check for sample A,02_scripts/08_verification/_verify_A_pdf_sw.py,39,de00904f956b6b7d,rewritten
08_verification,_verify_A_review.py,Review pass for sample A,02_scripts/08_verification/_verify_A_review.py,63,7d14e2c9b73710fa,rewritten
08_verification,_tools_verify_workbook.py,Build the A/B verification workbook,02_scripts/08_verification/_tools_verify_workbook.py,200,aaf874352a42f075,rewritten
08_verification,_check_included_review.py,Review of records already included at the time of sampling,02_scripts/08_verification/_check_included_review.py,22,c1426f68ac4843ba,rewritten
