file,match_idx,score,matched,_idx,Title_clean,Key,AI分类,在最终613,是否最终613
Abdillah 等 - 2025 - Factors influencing craniofaciadental changes in skeletal Class III orthognathic surgery by using ma.pdf,1295.0,100.0,True,1295.0,Factors influencing craniofaciadental changes in skeletal Class III orthognathic surgery by using machine learning,XCI3WWY4,exclude,False,False
Abdo 等 - 2022 - Teeth and Jaw Segmentation from CBCT images Using 3D Deep Learning Models.pdf,2368.0,100.0,True,2368.0,Teeth and Jaw Segmentation from CBCT images Using 3D Deep Learning Models,FAVVAM5K,exclude,False,False
Abdul Hadi 等 - 2022 - Utilizing 3D Slicer to incorporate tomographic images into GATE Monte Carlo simulation for personali.pdf,1557.0,100.0,True,1557.0,Utilizing 3D Slicer to incorporate tomographic images into GATE Monte Carlo simulation for personalized dosimetry in yttrium-90 radioembolization,5LLXRH5T,exclude,True,True
Abdullah 等 - 2021 - Cranial Implant Design Applying Shape-Based Interpolation Method via Open-Source Software.pdf,678.0,100.0,True,678.0,Cranial Implant Design Applying Shape-Based Interpolation Method via Open-Source Software,5NZQ7XHV,include,True,True
Abduo和Lau - 2021 - Accuracy of static computer-assisted implant placement in long span edentulous area by novice implan.pdf,429.0,100.0,True,429.0,"Accuracy of static computer-assisted implant placement in long span edentulous area by novice implant clinicians: A cross-sectional in vitro study comparing fully-guided, pilot-guided, and freehand implant placement protocols.",W8628Y5K,exclude,True,True
Abduo和Lau - 2023 - Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different.pdf,63.0,100.0,True,63.0,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,69LQ9WZ4,exclude,False,False
Abo El Ela和Badran - 2025 - Development of Semi-Automatic Dental Image Segmentation Workflows with Root Canal Recognition for Fa.pdf,116.0,100.0,True,116.0,Development of Semi-Automatic Dental Image Segmentation Workflows with Root Canal Recognition for Faster Ground Tooth Acquisition.,Q36P232F,include,True,True
Aboelfadl 等 - 2024 - Biomechanical behavior of implant retained prostheses in the posterior maxilla using different mater.pdf,1246.0,100.0,True,1246.0,Biomechanical behavior of implant retained prostheses in the posterior maxilla using different materials: a finite element study,4Z274IMC,include,True,True
Abolhassani 等 - 2024 - Nanobiotechnological approaches for breast cancer Management Drug delivery systems and 3D In-Vitro.pdf,988.0,100.0,True,988.0,Nanobiotechnological approaches for breast cancer Management: Drug delivery systems and 3D In-Vitro models,ILRPW2I6,exclude,False,False
Aboseif 等 - 2026 - A customised 3D U-Net model for bifid mandibular canal segmentation and detection on CBCT a diagnos.pdf,1147.0,100.0,True,1147.0,A customised 3D U-Net model for bifid mandibular canal segmentation and detection on CBCT: a diagnostic accuracy study,567Q4TW9,include,False,False
Abou-Ayash 等 - 2021 - Trueness and marginal fit of implant-supported complete-arch fixed prosthesis frameworks made of hig-1.pdf,781.0,99.42196531791907,True,781.0,Trueness and marginal fit of implant-supported complete-arch fixed prosthesis frameworks made of high-performance polymers and titanium: An explorative in-vitro study,X8S8V6W9,exclude,False,False
Abou-Ayash 等 - 2021 - Trueness and marginal fit of implant-supported complete-arch fixed prosthesis frameworks made of hig.pdf,781.0,100.0,True,781.0,Trueness and marginal fit of implant-supported complete-arch fixed prosthesis frameworks made of high-performance polymers and titanium: An explorative in-vitro study,X8S8V6W9,exclude,False,False
Abraham 等 - 2024 - Direction-oriented fiber guiding with a tunable tri-layer-3D scaffold for periodontal regeneration..pdf,1668.0,100.0,True,1668.0,Direction-oriented fiber guiding with a tunable tri-layer-3D scaffold for periodontal regeneration,SB5HVH7V,exclude,False,False
Accuracy and Clinical Outcomes of Mandibular Reconstruction Using Fibula Free Fl.pdf,132.0,100.0,True,132.0,Accuracy and Clinical Outcomes of Mandibular Reconstruction Using Fibula Free Flaps and Open-Source Virtual Surgical Planning.,IN7BTE67,include,False,False
Acheampong 等 - 2024 - Predictive modelling of metabolic syndrome in Ghanaian diabetic patients an ensemble machine learni.pdf,572.0,100.0,True,572.0,Predictive modelling of metabolic syndrome in Ghanaian diabetic patients: an ensemble machine learning approach.,BRBZAMYJ,exclude,False,False
Adel 等 - 2022 - Digital model superimpositions are different software algorithms equally accurate in quantifying li.pdf,2224.0,100.0,True,2224.0,Digital model superimpositions: are different software algorithms equally accurate in quantifying linear tooth movements?,J4VD92PC,include,False,False
"Adel 等 - 2022 - TIP, TORQUE & ROTATIONS How accurately do digital superimposition software packages quantify tooth.pdf",1036.0,100.0,True,1036.0,"TIP, TORQUE & ROTATIONS: How accurately do digital superimposition software packages quantify tooth movement?",7IYSLJJL,include,False,False
Adelfio 等 - 2026 - Profiling Gingival Inflammation in a 3D Oral Tissue Model Reveals Early Features of Disease Progress.pdf,594.0,100.0,True,594.0,Profiling Gingival Inflammation in a 3D Oral Tissue Model Reveals Early Features of Disease Progression.,32DJ6HUZ,exclude,False,False
adma.202001736.pdf.pdf,,0.0,False,,,,,False,False
Afrashtehfar 等 - 2022 - Dynamic navigation may be used for most implant surgery scenarios due to its satisfactory accuracy.pdf,1541.0,100.0,True,1541.0,DYNAMIC NAVIGATION MAY BE USED FOR MOST IMPLANT SURGERY SCENARIOS DUE TO ITS SATISFACTORY ACCURACY,58D7NV25,exclude,False,False
Aftab 等 - 2025 - Artificial intelligence based classification and prediction of medical imaging using a novel framewo.pdf,1806.0,100.0,True,1806.0,Artificial intelligence based classification and prediction of medical imaging using a novel framework of inverted and self-attention deep neural network architecture,BSQF9HQ9,exclude,False,False
Agadi 等 - 2023 - Neurosurgical Management of Cerebrospinal Tumors in the Era of Artificial Intelligence  A Scoping R-1.pdf,1895.0,99.41520467836258,True,1895.0,Neurosurgical Management of Cerebrospinal Tumors in the Era of Artificial Intelligence : A Scoping Review,KZA6BJGC,exclude,False,False
Agadi 等 - 2023 - Neurosurgical Management of Cerebrospinal Tumors in the Era of Artificial Intelligence  A Scoping R.pdf,1895.0,100.0,True,1895.0,Neurosurgical Management of Cerebrospinal Tumors in the Era of Artificial Intelligence : A Scoping Review,KZA6BJGC,exclude,False,False
"Agger 等 - 2026 - 3D models for oral inflammation using gingival fibroblasts, lipopolysaccharides and hypoxia.pdf",1284.0,100.0,True,1284.0,"3D models for oral inflammation using gingival fibroblasts, lipopolysaccharides and hypoxia",99SWF2CI,exclude,False,False
Ahluwalia 等 - 2026 - What’s in a NAM.pdf,1995.0,100.0,True,1995.0,What's in a NAM?,2IGXI3JV,exclude,False,False
Ahmadi 等 - 2020 - Comparison of the marginal discrepancy of PFM crowns in the CADCAM and lost-wax fabrication techniq.pdf,182.0,100.0,True,182.0,Comparison of the marginal discrepancy of PFM crowns in the CAD/CAM and lost-wax fabrication techniques by triple scanning.,UIVXLDR7,exclude,False,False
Ahmadi 等 - 2021 - The all‐on‐4 concept in the maxilla–A biomechanical analysis involving high performance polymers.pdf,35.0,100.0,True,35.0,The all-on-4 concept in the maxilla-A biomechanical analysis involving high performance polymers.,LK5R8TKE,include,True,True
"Ahmed 等 - 2021 - Fit Accuracy of Removable Partial Denture Frameworks Fabricated with CADCAM, Rapid Prototyping, and.pdf",2160.0,100.0,True,2160.0,"Fit Accuracy of Removable Partial Denture Frameworks Fabricated with CAD/CAM, Rapid Prototyping, and Conventional Techniques: A Systematic Review",AY5XXZWQ,exclude,False,False
Ahmed 等 - 2025 - Digital Accuracy of Closed-Tray Implant Impressions Influence of Polyvinyl Siloxane Viscosity and S.pdf,595.0,100.0,True,595.0,Digital Accuracy of Closed-Tray Implant Impressions: Influence of Polyvinyl Siloxane Viscosity and Subgingival Posterior Implant Angulation.,LC2F3NZR,include,True,True
Ahmed-Cox 等 - 2022 - Spatio-temporal analysis of nanoparticles in live tumor spheroids impacted by cell origin and densit.pdf,1149.0,100.0,True,1149.0,Spatio-temporal analysis of nanoparticles in live tumor spheroids impacted by cell origin and density,8FU6IJ8L,exclude,False,False
Ahn 等 - 2022 - Automated analysis of three-dimensional CBCT images taken in natural head position that combines fac.pdf,755.0,100.0,True,755.0,Automated analysis of three-dimensional CBCT images taken in natural head position that combines facial profile processing and multiple deep-learning models,NB6F7YE9,unsure,False,False
Akat 等 - 2022 - Does cad software affect the marginal and internal fit of milled full ceramic crowns-1.pdf,2085.0,100.0,True,2085.0,Does cad software affect the marginal and internal fit of milled full ceramic crowns?,YW7JPGUN,exclude,False,False
Akat 等 - 2022 - Does cad software affect the marginal and internal fit of milled full ceramic crowns.pdf,2085.0,100.0,True,2085.0,Does cad software affect the marginal and internal fit of milled full ceramic crowns?,YW7JPGUN,exclude,False,False
Akgol 等 - 2026 - Computational Evaluation of Stress Distribution in Endocrown-Restored Immature Mandibular Molars A.pdf,907.0,100.0,True,907.0,Computational Evaluation of Stress Distribution in Endocrown-Restored Immature Mandibular Molars: A Finite Element Approach,HSRHKBRU,include,False,False
Akiki 等 - 2021 - Using 3D Printing and Mirror Image Modeling in Orbital Floor Reconstruction.PDF,76.0,100.0,True,76.0,Using 3D Printing and Mirror Image Modeling in Orbital Floor Reconstruction.,2TJBVIZP,include,True,True
Aktas和Diker - 2023 - Biomechanical effects of inclined implant shoulder design in all-on-four treatment concept a three-.pdf,759.0,100.0,True,759.0,Biomechanical effects of inclined implant shoulder design in all-on-four treatment concept: a three-dimensional finite element analysis,EQW8VEQK,include,True,True
Akulauskas 等 - 2025 - Quality Evaluation of Intraoral Scanners Using Reverse-Engineered Scan Body.pdf,2415.0,100.0,True,2415.0,Quality Evaluation of Intraoral Scanners Using Reverse-Engineered Scan Body,6833KBVL,include,False,False
Al Duhayyim 等 - 2023 - Sailfish Optimization with Deep Learning Based Oral Cancer Classification Model.pdf,2230.0,100.0,True,2230.0,Sailfish Optimization with Deep Learning Based Oral Cancer Classification Model,VX3SHB2K,exclude,False,False
Al Hamdany 等 - 2023 - PowerScope 2 functional appliance A 3D finite element simulation of its action on the mandible.pdf,41.0,100.0,True,41.0,PowerScope 2 functional appliance: A 3D finite element simulation of its action on the mandible.,SQ3JDDN7,include,True,True
Al-Aali 等 - 2021 - Influence of contemporary CAD-CAM milling systems on the fit and adaptation of partially stabilized.pdf,2133.0,100.0,True,2133.0,Influence of contemporary CAD-CAM milling systems on the fit and adaptation of partially stabilized Zirconia fixed partial dentures,QFTSW5DN,exclude,False,False
Al-Asad 等 - 2023 - Hybrid Prosthesis versus Overdenture Effect of BioHPP Prosthetic Design Rehabilitating Edentulous M.pdf,456.0,100.0,True,456.0,Hybrid Prosthesis versus Overdenture: Effect of BioHPP Prosthetic Design Rehabilitating Edentulous Mandible.,CW5GQWLK,exclude,False,False
Al-Baker 等 - 2023 - Accuracy and reliability of automated three-dimensional facial landmarking in medical and biological.pdf,2032.0,100.0,True,2032.0,Accuracy and reliability of automated three-dimensional facial landmarking in medical and biological studies. A systematic review,6ETL7BHW,exclude,True,True
Al-Baker 等 - 2024 - Patch-based convolutional neural networks for automatic landmark detection of 3D facial images in cl.pdf,1444.0,100.0,True,1444.0,Patch-based convolutional neural networks for automatic landmark detection of 3D facial images in clinical settings,UQQICCU6,exclude,False,False
Al-Baker 等 - 2025 - The accuracy of automated facial landmarking - a comparative study between Cliniface software and pa.pdf,526.0,100.0,True,526.0,The accuracy of automated facial landmarking - a comparative study between Cliniface software and patch-based Convoluted Neural Network algorithm.,TWGZIE88,include,True,True
Al-Eryani 等 - 2026 - Three-Dimensional Quantitative Analysis of Maxillary Arch Morphology Across Sagittal and Vertical Sk.pdf,905.0,100.0,True,905.0,Three-Dimensional Quantitative Analysis of Maxillary Arch Morphology Across Sagittal and Vertical Skeletal Patterns,X4EJBTIQ,exclude,False,False
Al-Otaibi 等 - 2023 - Effect of acidic saliva on monomer leaching and surface roughness of 3D-printed and milled denture-b.pdf,2123.0,100.0,True,2123.0,Effect of acidic saliva on monomer leaching and surface roughness of 3D-printed and milled denture-base materials,JJ3KRVA4,exclude,False,False
Al-Taezi 等 - 2026 - A Deep Metric Learning and Multimodal Gated Fusion Framework for AI‐Driven Risk Assessment of Lingua.pdf,142.0,100.0,True,142.0,A Deep Metric Learning and Multimodal Gated Fusion Framework for AI-Driven Risk Assessment of Lingual Plate Perforation and Mandibular Canal Injury in Posterior Mandible Implants.,EU3ZJKMP,exclude,False,False
"Al-Wahadni 等 - 2023 - Marginal and Internal Gaps, Surface Roughness and Fracture Resistance of Provisional Crowns Fabricat.pdf",2052.0,100.0,True,2052.0,"Marginal and Internal Gaps, Surface Roughness and Fracture Resistance of Provisional Crowns Fabricated With 3D Printing and Milling Systems",THQFPEYX,exclude,True,True
Alabdullah 等 - 2022 - Comparison of digital and conventional methods of fit evaluation of partial removable dental prosthe.pdf,1399.0,100.0,True,1399.0,Comparison of digital and conventional methods of fit evaluation of partial removable dental prosthesis frameworks fabricated by selective laser melting,PARZEQ25,include,True,True
Alasiri - 2024 - Potential applicability of virtual reality in implant dentistry a narrative review..pdf,220.0,100.0,True,220.0,Potential applicability of virtual reality in implant dentistry: a narrative review.,Y85SAQ5F,exclude,False,False
Albayrak 等 - 2022 - Assessing the Effect of Interimplant Distance and Angle on Different Impression Techniques.pdf,1842.0,100.0,True,1842.0,Assessing the Effect of Interimplant Distance and Angle on Different Impression Techniques,WQU7Y7H4,include,False,False
Alberto 等 - 2022 - Finite Element Analysis of an Implant-Supported FDP with Different Connector Heights..pdf,2020.0,100.0,True,2020.0,Finite Element Analysis of an Implant-Supported FDP with Different Connector Heights,SK5KLUVX,include,True,True
Alberto 等 - 2022 - Three-Dimensional Finite Element Analysis of Different Connector Designs for All-Ceramic Implant-Sup.pdf,352.0,100.0,True,352.0,Three-Dimensional Finite Element Analysis of Different Connector Designs for All-Ceramic Implant-Supported Fixed Dental Prostheses.,GBU6N5KA,include,True,True
Albiero 等 - 2024 - Mechanical and fatigue resistance of restorations supported by welded-framework and realized using c.pdf,344.0,100.0,True,344.0,Mechanical and fatigue resistance of restorations supported by welded-framework and realized using computer-aided designed prosthetic shells: In vitro pilot study.,TRIBXY82,exclude,False,False
Aldakhili 等 - 2025 - Marginal Gap and Screw Loosening in CADCAM Materials for Implant-Supported Fixed Partial Dentures.pdf,480.0,100.0,True,480.0,Marginal Gap and Screw Loosening in CAD/CAM Materials for Implant-Supported Fixed Partial Dentures: An In Vitro Study.,NJ8D3IDG,exclude,False,False
Alenezi 等 - 2022 - Effect of full arch two scanning techniques on the accuracy of overdenture conventional and CADCAM.pdf,495.0,100.0,True,495.0,Effect of full arch two scanning techniques on the accuracy of overdenture conventional and CAD/CAM Co-Cr bars.,HIA7QIPW,exclude,True,True
"Alghauli 等 - 2024 - Impact of 3D printing orientation on accuracy, properties, cost, and time efficiency of additively m.pdf",1938.0,100.0,True,1938.0,"Impact of 3D printing orientation on accuracy, properties, cost, and time efficiency of additively manufactured dental models: a systematic review",NGUJFIRV,exclude,False,False
Alghauli 等 - 2025 - Influence of 3D printing orientations on physico-mechanical properties and accuracy of additively ma.pdf,1906.0,100.0,True,1906.0,Influence of 3D printing orientations on physico-mechanical properties and accuracy of additively manufactured dental ceramics,H9AU3UZX,exclude,False,False
Alhallak和Nankali - 2022 - 3D Printing Technologies for Removable Dentures Manufacturing A Review of Potentials and Challenges.pdf,8.0,100.0,True,8.0,3D Printing Technologies for Removable Dentures Manufacturing: A Review of Potentials and Challenges.,YWZB3ZFE,exclude,False,False
Alhamwi 等 - 2025 - Soft tissue changes associated with Class III orthopaedic treatment in growing patients a systemati.pdf,1992.0,100.0,True,1992.0,Soft tissue changes associated with Class III orthopaedic treatment in growing patients: a systematic review and meta-analysis,534R4TGE,exclude,False,False
Alharethi - 2024 - Evaluation of the Influence of Build Orientation on the Surface Roughness and Flexural Strength of 3.pdf,272.0,100.0,True,272.0,Evaluation of the Influence of Build Orientation on the Surface Roughness and Flexural Strength of 3D-Printed Denture Base Resin and Its Comparison with CAD-CAM Milled Denture Base Resin.,P3IE33LP,exclude,True,True
AlKahtani 等 - 2026 - Combining 3D Multi-Object Reconstruction with Finite Element Analysis for Accurate Dental Modelling.pdf,1646.0,100.0,True,1646.0,Combining 3D Multi-Object Reconstruction with Finite Element Analysis for Accurate Dental Modelling and Restoration,LIFEJWBH,include,False,False
Alkrayem 等 - 2024 - CAD-CAM for removable partial denture fabrication after marginal mandibulectomy based on a well-adju.pdf,246.0,100.0,True,246.0,CAD-CAM for removable partial denture fabrication after marginal mandibulectomy based on a well-adjusted pre-existing denture.,WY7HU9GF,exclude,True,True
Almalki和Latecki - 2024 - Masked Deep Embeddings of Patches for Teeth Segmentation in Cone Beam CT Images.pdf,2360.0,100.0,True,2360.0,Masked Deep Embeddings of Patches for Teeth Segmentation in Cone Beam CT Images,A3RPJ5SA,exclude,False,False
Almalki和Latecki - 2024 - Self-Supervised Learning with Masked Autoencoders for Teeth Segmentation from Intra-oral 3D Scans.pdf,2387.0,100.0,True,2387.0,Self-Supervised Learning with Masked Autoencoders for Teeth Segmentation from Intra-oral 3D Scans,2AL3VIDT,exclude,False,False
Almeida 等 - 2024 - Evaluating Surgical Approaches for Hemimandibular Hyperplasia Associated with Osteochondroma A Syst.pdf,1296.0,100.0,True,1296.0,Evaluating Surgical Approaches for Hemimandibular Hyperplasia Associated with Osteochondroma: A Systematic Literature Review,FUT7TPXZ,exclude,False,False
Almjaddr和Saker - 2024 - Effect of Different Cantilever Lengths in Polyether Ether Ketone Prosthetic Framework in All-on-Four.pdf,424.0,100.0,True,424.0,Effect of Different Cantilever Lengths in Polyether Ether Ketone Prosthetic Framework in All-on-Four Technique on Stress Distribution: A Three-Dimensional (3D) Finite Element Analysis.,ZZ85MX92,include,True,True
Almodalal 等 - 2022 - Comparative Evaluation of Two Different Types of Abutments in Relation to Post-prosthetic Bone Resor.pdf,355.0,100.0,True,355.0,Comparative Evaluation of Two Different Types of Abutments in Relation to Post-prosthetic Bone Resorption and Periodontal Pocket Depth: A Randomized Controlled Clinical Trial With a One-Year Follow-Up.,CPLBN7P8,exclude,False,False
Almufleh 等 - 2024 - Patient-reported outcomes and framework fit accuracy of removable partial dentures fabricated using.pdf,1408.0,100.0,True,1408.0,Patient-reported outcomes and framework fit accuracy of removable partial dentures fabricated using digital techniques: A systematic review and meta-analysis,CVJSTDZ9,exclude,False,False
Alotaibi - 2025 - Patient Satisfaction with CADCAM 3D-Printed Complete Dentures A Systematic Analysis of the Clinica.pdf,1748.0,100.0,True,1748.0,Patient Satisfaction with CAD/CAM 3D-Printed Complete Dentures: A Systematic Analysis of the Clinical Studies,36MGJIUJ,exclude,False,False
Alotaibi 等 - 2025 - Automatic placement of simulated dental implants within CBCT images in optimum positions a deep lea.pdf,2282.0,100.0,True,2282.0,Automatic placement of simulated dental implants within CBCT images in optimum positions: a deep learning model,5ULQ4TSV,exclude,False,False
Alqahtani 等 - 2023 - Investigating the impact of diameters and thread designs on the Biomechanics of short implants place.pdf,2214.0,100.0,True,2214.0,Investigating the impact of diameters and thread designs on the Biomechanics of short implants placed in D4 bone: a 3D finite element analysis,2QFH389T,include,True,True
Alqarni和Alqarni - 2025 - Computational hybrid analysis of drug diffusion in three-dimensional domain with the aid of mass tra.pdf,807.0,100.0,True,807.0,Computational hybrid analysis of drug diffusion in three-dimensional domain with the aid of mass transfer and machine learning techniques,JQCSKKEU,exclude,True,True
Alqarni和Alqarni - 2025 - Machine learning analysis of rivaroxaban solubility in mixed solvents for application in pharmaceuti.pdf,1920.0,100.0,True,1920.0,Machine learning analysis of rivaroxaban solubility in mixed solvents for application in pharmaceutical crystallization,RQVHK958,exclude,False,False
"Alrashed 等 - 2024 - Influence of exposure protocol, voxel size, and artifact removal algorithm on the trueness of segmen.pdf",2120.0,100.0,True,2120.0,"Influence of exposure protocol, voxel size, and artifact removal algorithm on the trueness of segmentation utilizing an artificial-intelligence-based system",7VE5J5DD,exclude,False,False
AlRasheed和AlWazzan - 2022 - The effect of framework fabrication technique on the fit accuracy of full arch screw retained implan.pdf,596.0,100.0,True,596.0,The effect of framework fabrication technique on the fit accuracy of full arch screw retained implant supported prostheses.,6A72YUEN,exclude,False,False
Alsaif 等 - 2026 - Surface roughness and preload loss of implant-supported screw retained three-unit framework fabricat.pdf,664.0,100.0,True,664.0,Surface roughness and preload loss of implant-supported screw retained three-unit framework fabricated by different techniques,Y3QHHC7Y,exclude,False,False
Alsarani 等 - 2024 - STRESS DISTRIBUTION OF MONOLITHIC AND VENEERED THREE-UNIT ZIRCONIA FDPS A FINITE ELEMENT ANALYSIS.pdf,2142.0,100.0,True,2142.0,STRESS DISTRIBUTION OF MONOLITHIC AND VENEERED THREE-UNIT ZIRCONIA FDPS: A FINITE ELEMENT ANALYSIS,39AN7GMH,include,False,False
Alshaibani 等 - 2025 - Effect of different storage conditions on dimensional accuracy of 3D-printed dental models..pdf,1673.0,100.0,True,1673.0,Effect of different storage conditions on dimensional accuracy of 3D-printed dental models,RZZAIR96,exclude,False,False
Alshaibani 等 - 2025 - Effect of different storage conditions on dimensional accuracy of 3D‐printed dental models.pdf,1673.0,100.0,True,1673.0,Effect of different storage conditions on dimensional accuracy of 3D-printed dental models,RZZAIR96,exclude,False,False
Alsheghri 等 - 2021 - Optimization of 3D network topology for bioinspired design of stiff and lightweight bone-like struct.pdf,946.0,100.0,True,946.0,Optimization of 3D network topology for bioinspired design of stiff and lightweight bone-like structures,JJLD3ERQ,exclude,True,True
Alsheghri 等 - 2024 - Adaptive Point Learning with Uncertainty Quantification to Generate Margin Lines on Prepared Teeth.pdf,917.0,100.0,True,917.0,Adaptive Point Learning with Uncertainty Quantification to Generate Margin Lines on Prepared Teeth,FUZY7784,exclude,False,False
Alsheghri 等 - 2024 - Robust Segmentation of Partial and Imperfect Dental Arches.pdf,2057.0,100.0,True,2057.0,Robust Segmentation of Partial and Imperfect Dental Arches,TII25L59,exclude,False,False
Alsheghri 等 - 2026 - Mesh-based segmentation for automated margin line generation on incisors receiving crown treatment.pdf,2269.0,100.0,True,2269.0,Mesh-based segmentation for automated margin line generation on incisors receiving crown treatment,ERXN9CSV,exclude,False,False
Altarazi 等 - 2022 - Assessing the physical and mechanical properties of 3D printed acrylic material for denture base app.pdf,1323.0,100.0,True,1323.0,Assessing the physical and mechanical properties of 3D printed acrylic material for denture base application,23Y7ND62,exclude,True,True
Altuwaijri 等 - 2022 - The effect of the digital manufacturing technique of cantilevered implant-supported frameworks on ab.pdf,875.0,100.0,True,875.0,The effect of the digital manufacturing technique of cantilevered implant-supported frameworks on abutment screw preload,IIQPEHZZ,exclude,False,False
Alvarez 等 - 2022 - How the geometry of the scan body affects the accuracy of digital impressions in implant supported p.pdf,576.0,100.0,True,576.0,How the geometry of the scan body affects the accuracy of digital impressions in implant supported prosthesis. In vitro study.,38T2278K,exclude,False,False
