序号,Title,Item Type,Date,裁定理由,审核轮次
1575,Artificial Intelligence Used for Diagnosis in Facial Deformities: A Systematic Review,journalArticle,2024/06,综述/meta 分析（非原创研究）：标题明确标注为系统综述（Systematic Review），属于非原创研究类型，不符合纳入标准中的,第一轮
1557,Utilizing 3D Slicer to incorporate tomographic images into GATE Monte Carlo simulation for personalized dosimetry in yttrium-90 radioembolization,journalArticle,2022/12,非口腔医学范畴：该文献研究的是钇-90肝动脉放射栓塞的个性化剂量学，属于肝脏肿瘤核医学治疗领域，与口腔医学无关。,第一轮
1066,A 3D-printed modular implant for extracellular recordings,journalArticle,2025/06,非口腔医学范畴：该文献为神经科学领域的颅内植入物研究，与口腔医学无关，且未涉及口腔医学范畴。,第一轮
946,Optimization of 3D network topology for bioinspired design of stiff and lightweight bone-like structures,journalArticle,2021/04,非口腔医学范畴：该文献为骨组织工程/生物力学领域的仿生结构设计研究，摘要未涉及口腔医学任何学科的临床实践或研究，明确,第一轮
807,Computational hybrid analysis of drug diffusion in three-dimensional domain with the aid of mass transfer and machine learning techniques,journalArticle,2025/05,非口腔医学范畴：该文献研究药物在三维空间中的扩散建模，属于药物递送/化学工程领域，与口腔医学无关，且未涉及任何口腔临,第一轮
1585,Development of a mechatronic guidance system for targeted ultrasound-guided biopsy under high-resolution positron emission mammography localization,journalArticle,2021/04,非口腔医学范畴：该文献研究的是乳腺（breast）活检的机电引导系统，属于乳腺影像与介入领域，与口腔医学无关。,第一轮
792,Development and implementation of a three-dimensional (3D) printing elective course for health science students,journalArticle,2022/05,非口腔医学范畴：该文献为面向健康科学学生的3D打印选修课程开发与实施的教学研究，属于教育类文献，未涉及口腔医学任何学,第一轮
19,Step-by-Step Implementation of Three-Dimensional Print Technology in Preoperative Neurosurgery Planning.,journalArticle,2024/08,非口腔医学范畴：该文献明确为神经外科术前规划研究，与口腔医学无关，且摘要中仅将牙科作为3D打印应用领域的举例提及，并,第一轮
804,Synchrotron microtomography applied to the volumetric analysis of internal structures of Thoropa miliaris tadpoles,journalArticle,2020/11,综述/meta 分析（非原创研究）：该文献研究对象为两栖动物（Thoropa miliaris蝌蚪）的发育形态学，与口腔医学无任何关联，,第一轮
95,Digitally Guided Intraoral Segmental Mandibulectomy and Fibula Flap Reconstruction for Locally Invasive Odontogenic Tumors.,videoRecording,2026/04,文献类型=videoRecording（非同行评议原创论文）,第一轮
222,Objective and Subjective Comparisons of Split Thickness Skin Graft and Full Thickness Skin Graft for Radial Forearm Flap Donor Sites Using a New Measuring  Method.,journalArticle,2021/09,非口腔医学范畴：该研究主题为前臂桡侧皮瓣供区的皮肤移植美学评估，属于整形外科/头颈重建领域，而非口腔医学范畴；且未涉,第一轮
263,Are multi-detector computed tomography and cone-beam computed tomography exams and software accurate to measure the upper airway? A systematic review.,journalArticle,2023/11,综述/meta 分析（非原创研究）：该文献标题和摘要明确表明为系统综述（systematic review），属于非原创研究类型，不符合,第一轮
318,Personalized 3D-printed cranial implants for complex cranioplasty using open-source software.,journalArticle,2024,"边界情形，经研判属非口腔范畴（期刊与摘要均非口腔医学）：该文献明确属于神经外科颅骨成形术领域，与口腔医学无关，不符合纳入标准中""口腔医学范畴""的",第一轮
27,Three-Dimensional Auricular Subunit Models for Cartilage Framework Fabrication: Our Preliminary Experience.,journalArticle,2022/06,非口腔医学范畴：该文献主题为小耳症耳廓重建（耳廓软骨支架制作），属于整形外科/耳再造领域，与口腔医学无关。,第一轮
413,In vivo full-arch accuracy of intraoral scanners: a narrative review.,journalArticle,2022/03,"综述/meta 分析（非原创研究）：标题明确标注为""narrative review""（叙述性综述），属于综述类文献，不符合原创研究论文",第一轮
425,Mixed Reality-Based Navigation for Pedicle Screw Placement: A Preliminary Study Using a 3D-Printed Spine Model.,journalArticle,2024/04,非口腔医学范畴：该研究为脊柱椎弓根螺钉置入的骨科/神经外科研究，使用3D打印脊柱模型和混合现实导航，与口腔医学无关。,第一轮
613,Accuracy of digital versus conventional implant impressions in partially dentate patients: A systematic review and meta-analysis.,journalArticle,2025/09,综述/meta 分析（非原创研究）：该文献标题和摘要明确表明其为系统综述与meta分析（systematic review and me,第一轮
638,Precise Engineering of Growth Factor Presentation Using Extracellular Microenvironment-Mimicking Microfluidic Microparticles.,journalArticle,2024/03,边界情形，经研判属非口腔范畴（期刊与摘要均非口腔医学）：该文献为组织工程与微流控微粒递送生长因子的研究，摘要未涉及口腔医学任何学科的临床实践或研,第一轮
737,Design of an interactive brain model for neuroanatomy education and MRI training,journalArticle,2025/04,非口腔医学范畴：该文献主题为神经解剖学教育与MRI训练，属于神经科学/医学教育领域，与口腔医学无关，明确不符合PCC,第一轮
360,Automated 3D Landmarking of the Skull: A Novel Approach for Craniofacial Analysis.,preprint,2024/02,文献类型=preprint（非同行评议原创论文）,第一轮
2254,Dimensional accuracy of different dental CAD software programs in fixed partial denture construction: An in vitro study,journalArticle,2026/01,仅用牙科专用 CAD 软件（不符 Concept）,第二轮
1505,"Development of an AI-derived, non-invasive, label-free 3D-printed microfluidic SERS biosensor platform utilizing Cu@Ag/carbon nanofibers for the detection of salivary biomarkers in mass screening of oral cancer",journalArticle,2025/03,仅用 3D 打印制微流控芯片、无非牙科 3D 软件（不符 Concept）,第二轮
1493,Quantifying error introduced by iterative closest point image registration,journalArticle,2024/03,ICP 图像配准误差方法学（非口腔）,第二轮
241,The Accuracy of Computer-Assisted Surgical Planning in Predicting Soft Tissue Responses After Le Fort I Osteotomy: Retrospective Analysis.,journalArticle,2023/02,仅用 ProPlan CMF（颌面专用软件，不符 Concept）,第二轮
1454,In situ 4D tomography image analysis framework to follow sintering within 3D-printed glass scaffolds,journalArticle,2022/03,3D 打印玻璃烧结 4D 分析（材料科学）,第二轮
1929,"Preclinical assessment of clinically streamlined,3D-printed, biocompatible single- and two-stage tissue scaffolds for ear reconstruction",journalArticle,2021/03,耳廓重建临床前动物实验（耳再造）,第二轮
1009,SlicerMorph photogrammetry: an open-source photogrammetry workflow for reconstructing 3D models,journalArticle,2025/08,山地海狸头骨形态测量（动物学）,第二轮
994,RELATIONSHIP OF MASTOID PNEUMATIZATION AND AGE WITH COMPUTED TOMOGRAPHY MEASURED SPHENOID SINUS VOLUME,journalArticle,2023,乳突气房/蝶窦测量（耳鼻喉科）,第二轮
678,Cranial Implant Design Applying Shape-Based Interpolation Method via Open-Source Software,journalArticle,2021/08,颅骨缺损植入物设计（神经外科）,第二轮
698,Microtia Ear Reconstruction with Patient-Specific 3D Models-A Segmentation Protocol,journalArticle,2022/07,小耳症耳廓再造（整形外科）,第二轮
570,Enhancing facial feature de-identification in multiframe brain images: A generative adversarial network approach.,journalArticle,2024,脑部影像去识别化（神经影像）,第二轮
143,"A novel forensic protocol for age reversal facial approximation from elderly skulls using computed tomography scans, CAD techniques and anthropometric data.",journalArticle,2026/08,检索时间窗之外（2026-08；预设纳入窗为 2020-07-01 至 2026-06-30），严格按预设时间窗剔除,时间窗核验
115,TAPSeg: An open-source deep learning tool for instance-level tooth and pulp segmentation in CBCT.,journalArticle,2026/08,检索时间窗之外（2026-08；预设纳入窗为 2020-07-01 至 2026-06-30），严格按预设时间窗剔除,时间窗核验
2433,RapidNAM: Algorithm for the Semi-Automated Generation of Nasoalveolar Molding Device Designs for the Presurgical Treatment of Bilateral Cleft Lip and Palate,journalArticle,2020/05,检索时间窗之外（2020-05；预设纳入窗为 2020-07-01 至 2026-06-30），严格按预设时间窗剔除,时间窗核验
