原始名称,规范名称,类别,原始开发领域,开发商,来源URL,URL状态,研究数
InVesalius,InVesalius,MIP,Medical image processing (open source),Renato Archer CTI,https://invesalius.github.io,200,15
SpaceClaim,SpaceClaim,CAD,Engineering direct modeling CAD,ANSYS,https://www.ansys.com/products/3d-design/ansys-spaceclaim,200,14
MATLAB,MATLAB,SCI,Scientific computing and visualisation,MathWorks,https://www.mathworks.com/products/matlab.html,200,14
ANSYS Workbench,ANSYS Workbench,SIM,Engineering simulation (FEA/CFD),"ANSYS, Inc.",https://www.ansys.com/products/ansys-workbench,200,14
Fusion 360,Fusion 360,CAD,Engineering CAD/CAM,Autodesk,https://www.autodesk.com/products/fusion-360,403,10
CATIA,CATIA,CAD,Engineering CAD,Dassault Systemes,https://www.3ds.com/products/catia,200,10
ImageJ,ImageJ,SCI,Scientific image analysis (with 3D plugins),NIH / open source,https://imagej.net/ij/,200,9
Avizo,Avizo,SCI,Scientific 3D imaging & analysis,Thermo Fisher Scientific,https://www.thermofisher.com/amira-avizo,403,9
Inventor,Inventor,CAD,Engineering CAD,Autodesk,https://www.autodesk.com/products/inventor,403,9
VRMesh,VRMesh,RE,Reverse engineering / mesh processing,VirtualGrid,https://www.vrmesh.com,200,9
ug,Siemens NX (UG),CAD,Engineering CAD/CAM,Siemens Digital Industries,https://plm.sw.siemens.com/en-US/nx/,200,8
AutoCAD,AutoCAD,CAD,Engineering CAD,Autodesk,https://www.autodesk.com/products/autocad,403,8
3D-DOCTOR,3D-DOCTOR,MIP,Medical image processing,Able Software Corp.,http://www.3d-doctor.com,ERR:HTTPConnectionPool(host='www.3,8
Geomagic Freeform,Geomagic Freeform,RE,Haptic 3D design / reverse engineering,3D Systems,https://www.3dsystems.com/software/geomagic-freeform,403,7
ALGOR,ALGOR,SIM,Engineering simulation (FEA),Autodesk (formerly ALGOR),https://www.autodesk.com,403,7
ZBrush,ZBrush,GEN3D,Digital sculpting,Maxon (Pixologic),https://www.maxon.net/en/zbrush,200,7
Brainlab,Brainlab,MIP,Medical navigation / planning,Brainlab AG,https://www.brainlab.com,200,7
Amira,Amira,SCI,Scientific/medical 3D visualization,Thermo Fisher Scientific,https://www.thermofisher.com/amira-avizo,403,6
Solid Edge,Solid Edge,CAD,Engineering CAD,Siemens Digital Industries,https://solidedge.siemens.com,ERR:HTTPSConnectionPool(host='soli,5
VGStudio MAX,VGStudio MAX,RE,Industrial CT analysis & metrology,Volume Graphics,https://www.volumegraphics.com,200,5
SOLID EDGE,Solid Edge,CAD,Engineering CAD,Siemens Digital Industries,https://solidedge.siemens.com,ERR:HTTPSConnectionPool(host='soli,5
Unity,Unity,RT,Real-time engine / XR,Unity Technologies,https://unity.com,200,5
COMSOL Multiphysics,COMSOL Multiphysics,SIM,Multiphysics simulation,"COMSOL, Inc.",https://www.comsol.com,200,5
Geomagic Qualify,Geomagic Qualify,RE,Industrial 3D inspection / metrology (legacy),3D Systems,https://www.3dsystems.com/software,200,4
MeViSLab,MeViSLab,MIP,Medical image processing (open source),MeVis Medical Solutions / Fraunhofer MEVIS,https://www.mevislab.de,200,4
Simpleware,Simpleware,MIP,Medical image processing & FEA meshing,Synopsys,https://www.synopsys.com/simpleware.html,200,4
Creo,Creo,CAD,Engineering CAD,PTC,https://www.ptc.com/en/products/creo,403,4
Brainlab iPlan,Brainlab iPlan,MIP,Surgical planning software,Brainlab AG,https://www.brainlab.com/,200,3
Cura,Cura,AM,3D printing slicer (open source),Ultimaker,https://ultimaker.com/software/ultimaker-cura/,403,3
RadiAnt DICOM Viewer,RadiAnt DICOM Viewer,DICOM,DICOM viewer,Medixant,https://www.radiantviewer.com,200,3
Radiant,RadiAnt DICOM Viewer,DICOM,DICOM viewer,Medixant,https://www.radiantviewer.com,200,3
OsiriX,OsiriX,DICOM,DICOM viewer / medical imaging,Pixmeo SARL,https://www.osirix-viewer.com,200,3
Brainlab Elements,Brainlab Elements,MIP,Medical image segmentation / planning,Brainlab AG,https://www.brainlab.com/,200,3
LS-DYNA,LS-DYNA,SIM,Explicit finite element simulation,Ansys (LSTC),https://www.ansys.com/products/structures/ansys-ls-dyna,200,3
ALTAIR OptiStruct,ALTAIR OptiStruct,SIM,Structural optimisation and FEA,Altair Engineering,https://altair.com/optistruct,200,3
PolyWorks,PolyWorks,RE,Industrial metrology,InnovMetric,https://www.innovmetric.com,451,3
PowerShape,PowerShape,CAD,CAM/CAD for toolmaking,Autodesk,https://www.autodesk.com/products/powershape,403,2
MITK,MITK,MIP,Medical image processing (open source),German Cancer Research Center (DKFZ),https://www.mitk.org,200,2
Netfabb,Netfabb,AM,Additive manufacturing preparation,Autodesk,https://www.autodesk.com/products/netfabb,403,2
Final Surface,Final Surface,RE,Mesh processing / reverse engineering,Final Surface,https://www.final-surface.com,ERR:HTTPSConnectionPool(host='www.,2
Python,Python,SCI,General-purpose programming language,Python Software Foundation,https://www.python.org/,200,2
Geomagic Verify,Geomagic Verify,RE,Metrology / inspection,3D Systems,https://www.3dsystems.com/,200,2
nTop,nTop,CAD,Implicit modeling / engineering design,nTopology,https://www.ntop.com,200,2
Dragonfly,Dragonfly,SCI,CT/imaging analysis,Object Research Systems (ORS),https://www.theobjects.com/dragonfly,200,2
RapidForm,RapidForm,RE,Reverse engineering / metrology (now Geomagic Design X),3D Systems,https://www.3dsystems.com/,200,2
Horos,Horos,DICOM,DICOM viewer (open source),Horos Project,https://horosproject.org,500,2
TRI/3D-BON,TRI/3D-BON,MIP,3D morphometric analysis,Ratoc System Engineering,https://www.ratoc.co.jp/,200,1
Reality Composer,Reality Composer,RT,Augmented reality authoring,Apple Inc.,https://developer.apple.com/augmented-reality/,200,1
Vectary,Vectary,GEN3D,Web-based 3D modeling,Vectary,https://www.vectary.com,200,1
R2 Gate,R2 Gate,???,TO VERIFY (suspected dental-specific implant guide software),MegaGen,https://www.megagen.co.kr,ERR:HTTPSConnectionPool(host='www.,1
Polycam,Polycam,PHOTO,Photogrammetry app,Polycam,https://poly.cam,200,1
Calypso,Calypso,RE,Coordinate metrology,ZEISS,https://www.zeiss.com/metrology,200,1
SculptGL,SculptGL,GEN3D,Web-based digital sculpting (open source),Stephane Ginier,https://stephaneginier.com/sculptgl/,200,1
ImFusion,ImFusion,MIP,Medical imaging software,ImFusion GmbH,https://www.imfusion.com,200,1
KIRI Engine,KIRI Engine,PHOTO,Photogrammetry app,KIRI Innovation,https://www.kiriengine.app,200,1
ANSYS DesignModeler,ANSYS DesignModeler,CAD,Engineering CAD / geometry modelling,"ANSYS, Inc.",https://www.ansys.com/products/ansys-workbench,200,1
Scaniverse,Scaniverse,PHOTO,3D scanning app,Niantic,https://scaniverse.com,403,1
Scalismo Lab,Scalismo Lab,SCI,Statistical shape modeling (open source),University of Basel,https://scalismo.org,200,1
Artisynth,Artisynth,SIM,Biomechanical simulation (open source),University of British Columbia,https://www.artisynth.org,200,1
Simplify3D,Simplify3D,AM,3D printing slicer,Simplify3D,https://www.simplify3d.com,200,1
CreatWare,CreatWare,???,TO VERIFY,,,,1
MOI,MOI,GEN3D,NURBS modeling (MoI 3D),Triple Squid Software Design,https://moi3d.com,200,1
Digimizer,Digimizer,SCI,Image measurement & analysis,MedCalc Software,https://www.digimizer.com,200,1
Geomagic,Geomagic (suite),RE,Reverse engineering & metrology (product family),3D Systems,https://www.3dsystems.com/software,200,1
Tinkercad,Tinkercad,GEN3D,Web-based 3D modeling,Autodesk,https://www.tinkercad.com,200,1
ANSYS Mechanical,ANSYS Mechanical,SIM,Engineering simulation (FEA),"ANSYS, Inc.",https://www.ansys.com/products/structures/ansys-mechanical,200,1
Cliniface,Cliniface,SCI,3D facial image analysis (open source),Cliniface (Curtin University),https://cliniface.org,401,1
GNU Octave,GNU Octave,SCI,Scientific computing,GNU Project,https://octave.org/,200,1
Unreal Engine,Unreal Engine,RT,Real-time engine / XR,Epic Games,https://www.unrealengine.com,403,1
PATRAN,PATRAN,SIM,FEA pre-/post-processing,MSC Software (Hexagon),https://www.mscsoftware.com/product/patran,403,1
ANSYS Polyflow,ANSYS Polyflow,SIM,CFD simulation,"ANSYS, Inc.",https://www.ansys.com/products/fluids/ansys-polyflow,200,1
Cam HyperMill,Cam HyperMill,CAD,CAM / NC machining,OPEN MIND Technologies,https://www.openmind-tech.com,200,1
PrusaSlicer,PrusaSlicer,AM,3D printing slicer (open source),Prusa Research,https://www.prusa3d.com/prusaslicer/,200,1
TensorFlow,TensorFlow,SCI,Deep-learning framework,Google,https://www.tensorflow.org/,200,1
Hyperworks,HyperWorks,SIM,Engineering simulation suite,Altair,https://altair.com,200,1
Meshroom,Meshroom,PHOTO,Photogrammetry (open source),AliceVision,https://alicevision.org/#meshroom,200,1
Artec Studio,Artec Studio,PHOTO,Structured-light scanning and mesh processing,Artec 3D,https://www.artec3d.com/3d-software/artec-studio,200,1
Z88,Z88,SIM,Finite element analysis (open source),University of Bayreuth,https://en.z88.de/,200,1
Iso2mesh,Iso2mesh,SCI,Mesh generation for finite element analysis,Open source,https://iso2mesh.sourceforge.net/,200,1
Onshape,Onshape,CAD,Cloud-based computer-aided design,PTC,https://www.onshape.com/,200,1
Keras,Keras,SCI,Deep-learning framework,Keras team,https://keras.io/,200,1
Trimesh,Trimesh,SCI,Mesh processing library (Python),Open source,https://trimesh.org/,200,1
Open3D,Open3D,SCI,3D data processing library,Intel / open source,https://www.open3d.org/,200,1
Marc,Marc,SIM,Nonlinear FEA simulation,MSC Software (Hexagon),https://www.mscsoftware.com/product/marc,403,1
FreeCAD,FreeCAD,CAD,Open-source parametric 3D CAD,FreeCAD community,https://www.freecad.org/,200,1
hyperCAD-S,hyperCAD-S,CAD,CAD for CAM (Open Mind),OPEN MIND Technologies,https://www.openmind-tech.com/,200,1
GOM ATOS Professional,GOM ATOS Professional,RE,Optical metrology / inspection software,Carl Zeiss GOM,https://www.gom.com/,200,1
Simpleware ScanIP,Simpleware ScanIP,MIP,Medical image processing (Simpleware platform),Synopsys,https://www.synopsys.com/simpleware.html,200,1
Viewbox,Viewbox,SCI,Cephalometric analysis software,dHAL Software,https://www.dhal.com/,200,1
Brainlab CMF,Brainlab CMF,MIP,Craniomaxillofacial planning,Brainlab AG,https://www.brainlab.com/,200,1
Brainlab Mixed Reality Viewer,Brainlab Mixed Reality Viewer,RT,Mixed-reality visualisation,Brainlab AG,https://www.brainlab.com/,200,1
Midas,Midas,???,TO VERIFY (Midas NFX FEA or other),,,,1
Analyze,Analyze,MIP,Biomedical image visualisation and analysis,Mayo Clinic,https://analyzedirect.com/,200,1
PreForm,PreForm,AM,Stereolithography print preparation,Formlabs,https://formlabs.com/software/,200,0
