record_id,Key,Title,DOI,Journal,Item Type,Date,Year,Dental Specialty,Software Used,Application Scenario,Region,ai_original_label,decision,decision_reason,_n,decision_2,decision_2_reason,ID,ai_majority_label,_year,_month,Half,_spec,_scen,_soft,Half2,_soft2,Software Used (fixed),decision_3,decision_3_reason,study_type,Archetype,_nt,_source
11,PDF7C9KQ,Evaluation of planned and achieved root angulation changes in teeth adjacent to mandibular premolar extraction sites in patients treated with Invisalign: A retrospective study,10.1016/j.ajodo.2025.01.011,Am J Orthod Dentofacial Orthop,journalArticle,2025/06,2025,Orthodontics,Geomagic (unspecified),Morphological and Phenotypic Analysis,AUS,include,保留,未发现纳排问题,evaluationofplannedandachievedrootangulationchangesinteethadjacenttomandibularpremolarextractionsitesinpatientstreatedwithinvisalignaretrospectivestudy,保留,,10.1016/j.ajodo.2025.01.011,include,2025,6.0,2025-H1,['Orthodontics'],['Morphological and Phenotypic Analysis'],['Geomagic (unspecified)'],2025-H1,['Geomagic (unspecified)'],Geomagic (unspecified),保留,,clinical,1,evaluation of planned and achieved root angulation changes in teeth adjacent to mandibular premolar extraction sites in patients treated with invisalign a retrospective study,原始筛查
12,JHGMXHR6,"Accuracy of a new, slim, and rigid CAD-CAM transfer tray: An in vivo study",10.1016/j.ajodo.2025.08.016,Am J Orthod Dentofacial Orthop,journalArticle,2026/01,2026,Orthodontics,Rhinoceros;Geomagic Control X,3D Data Analysis and Accuracy Assessment,ITA,include,保留,未发现纳排问题,accuracyofanewslimandrigidcadcamtransfertrayaninvivostudy,保留,,10.1016/j.ajodo.2025.08.016,include,2026,1.0,2026-H1,['Orthodontics'],['3D Data Analysis and Accuracy Assessment'],"['Rhinoceros', 'Geomagic Control X']",2026-H1,"['Rhinoceros', 'Geomagic Control X']",Rhinoceros;Geomagic Control X,保留,,clinical,2,accuracy of a new slim and rigid cad cam transfer tray an in vivo study,原始筛查
13,C5PL839F,Different biomechanical effects of clear aligners in closing maxillary and mandibular extraction spaces: Finite element analysis,10.1016/j.ajodo.2022.07.021,Am J Orthod Dentofacial Orthop,journalArticle,2023/06,2023,Orthodontics,Mimics;Geomagic Wrap,Image Segmentation and 3D Reconstruction / Biomechanical Analysis and Simulation,CHN,include,保留,未发现纳排问题,differentbiomechanicaleffectsofclearalignersinclosingmaxillaryandmandibularextractionspacesfiniteelementanalysis,保留,,10.1016/j.ajodo.2022.07.021,unsure,2023,6.0,2023-H1,['Orthodontics'],"['Image Segmentation and 3D Reconstruction', 'Biomechanical Analysis and Simulation']","['Mimics', 'Geomagic Wrap']",2023-H1,"['Mimics', 'Geomagic Wrap']",Mimics;Geomagic Wrap,保留,,computational,1,different biomechanical effects of clear aligners in closing maxillary and mandibular extraction spaces finite element analysis,原始筛查
14,SNIDCHC3,Assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual appliance using untreated posterior teeth for registration and digital superimposition: A retrospective study,10.1016/j.ajodo.2021.02.018,Am J Orthod Dentofacial Orthop,journalArticle,2022/02,2022,Orthodontics,Final Surface,3D Data Analysis and Accuracy Assessment / Morphological and Phenotypic Analysis,USA,exclude,保留,未发现纳排问题,assessmentofsimulatedvsactualorthodontictoothmovementwithacustomizedfixedlingualapplianceusinguntreatedposteriorteethforregistrationanddigitalsuperimpositionaretrospectivestudy,保留,,10.1016/j.ajodo.2021.02.018,unsure,2022,2.0,2022-H1,['Orthodontics'],"['3D Data Analysis and Accuracy Assessment', 'Morphological and Phenotypic Analysis']",['Final Surface'],2022-H1,['Final Surface'],Final Surface,保留,,clinical,2,assessment of simulated vs actual orthodontic tooth movement with a customized fixed lingual appliance using untreated posterior teeth for registration and digital superimposition a retrospective study,原始筛查
15,HIY5AECS,Biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and of different lengths,10.1186/s12903-021-01905-5,Am J Orthod Dentofacial Orthop,journalArticle,2021/10,2021,Oral and Maxillofacial Surgery,SolidWorks,Biomechanical Analysis and Simulation,CHN,include,保留,未发现纳排问题,biomechanicalanalysisofsubcondylarfracturefixationusingminiplatesatdifferentpositionsandofdifferentlengths,保留,,10.1186/s12903-021-01905-5,unsure,2021,10.0,2021-H2,['Oral and Maxillofacial Surgery'],['Biomechanical Analysis and Simulation'],['SolidWorks'],2021-H2,['SolidWorks'],SolidWorks,保留,,computational,3,biomechanical analysis of subcondylar fracture fixation using miniplates at different positions and of different lengths,原始筛查
16,GHP84UX8,Where is the center of resistance of a maxillary first molar? A 3-dimensional finite element analysis,10.1016/j.ajodo.2020.04.033,Am J Orthod Dentofacial Orthop,journalArticle,2021/09,2021,Orthodontics,Mimics;3-Matic,Morphological and Phenotypic Analysis,USA,include,保留,未发现纳排问题,whereisthecenterofresistanceofamaxillaryfirstmolara3dimensionalfiniteelementanalysis,保留,,10.1016/j.ajodo.2020.04.033,unsure,2021,9.0,2021-H2,['Orthodontics'],['Morphological and Phenotypic Analysis'],"['Mimics', '3-Matic']",2021-H2,"['Mimics', '3-Matic']",Mimics;3-Matic,保留,,computational,1,where is the center of resistance of a maxillary first molar a 3 dimensional finite element analysis,原始筛查
17,U5GXFII9,Cross-modality imaging of bisphosphonate-treated murine jawbones,10.1039/d0an02373f,Analyst,journalArticle,2021/07,2021,Oral and Maxillofacial Surgery;Oral Biology,Amira,Morphological and Phenotypic Analysis,AUT,exclude,保留,未发现纳排问题,crossmodalityimagingofbisphosphonatetreatedmurinejawbones,保留,,10.1039/d0an02373f,unsure,2021,7.0,2021-H2,"['Oral and Maxillofacial Surgery', 'Oral Biology']",['Morphological and Phenotypic Analysis'],['Amira'],2021-H2,['Amira'],Amira,保留,,in_vitro,1,cross modality imaging of bisphosphonate treated murine jawbones,原始筛查
18,9LU3ERIG,Three-Dimensional Tooth Models with Pulp Cavity Enhance Dental Anatomy Education,10.1002/ase.2085,Anat Sci Educ,journalArticle,2022/05,2022,Oral Biology,Mimics,Digital Design and Manufacturing,CHN,include,保留,未发现纳排问题,threedimensionaltoothmodelswithpulpcavityenhancedentalanatomyeducation,保留,,10.1002/ase.2085,include,2022,5.0,2022-H1,['Oral Biology'],['Digital Design and Manufacturing'],['Mimics'],2022-H1,['Mimics'],Mimics,保留,,educational,4,three dimensional tooth models with pulp cavity enhance dental anatomy education,原始筛查
19,T8Q2R8EA,Effect of the presence of orthodontic brackets on intraoral scans.,10.2319/040420-254.1,Angle Orthod,journalArticle,2021/01,2021,Orthodontics,Geomagic Design X,3D Data Analysis and Accuracy Assessment,KOR,exclude,保留,未发现纳排问题,effectofthepresenceoforthodonticbracketsonintraoralscans,保留,,10.2319/040420-254.1,unsure,2021,1.0,2021-H1,['Orthodontics'],['3D Data Analysis and Accuracy Assessment'],['Geomagic Design X'],2021-H1,['Geomagic Design X'],Geomagic Design X,保留,,clinical,2,effect of the presence of orthodontic brackets on intraoral scans,原始筛查
20,3NRBHY63,Application of a virtual and mixed reality-navigation system using commercially available devices to the lateral temporal bone resection.,10.1016/j.amsu.2021.103063,Ann Med Surg (Lond),journalArticle,2021/12,2021,Oral and Maxillofacial Surgery,3D Slicer,Image Segmentation and 3D Reconstruction / Surgical Planning and Precise Implementation,JPN,include,保留,未发现纳排问题,applicationofavirtualandmixedrealitynavigationsystemusingcommerciallyavailabledevicestothelateraltemporalboneresection,保留,,10.1016/j.amsu.2021.103063,include,2021,12.0,2021-H2,['Oral and Maxillofacial Surgery'],"['Image Segmentation and 3D Reconstruction', 'Surgical Planning and Precise Implementation']",['3D Slicer'],2021-H2,['3D Slicer'],3D Slicer,保留,,technical_note,1,application of a virtual and mixed reality navigation system using commercially available devices to the lateral temporal bone resection,原始筛查
21,6SIK9KIX,A Feasibility Study of HoloLens Ear Image Guidance for Ear Reconstruction,10.1097/SAP.0000000000004043,Ann Plast Surg,journalArticle,2025/01,2025,Oral and Maxillofacial Surgery,3D Slicer;MeshLab;Blender,Surgical Planning and Precise Implementation,CHN,include,保留,未发现纳排问题,afeasibilitystudyofhololensearimageguidanceforearreconstruction,保留,,10.1097/sap.0000000000004043,unsure,2025,1.0,2025-H1,['Oral and Maxillofacial Surgery'],['Surgical Planning and Precise Implementation'],"['3D Slicer', 'MeshLab', 'Blender']",2025-H1,"['3D Slicer', 'MeshLab', 'Blender']",3D Slicer;MeshLab;Blender,保留,,clinical,1,a feasibility study of hololens ear image guidance for ear reconstruction,原始筛查
22,SUL3GW4D,MarginView3D: A Novel Software Enabling Comprehensive Three-Dimensional Surgical Pathology Documentation for Improved Intra- and Postoperative Cancer Care,10.1245/s10434-025-17695-x,Ann Surg Oncol,journalArticle,2025/11,2025,Oral and Maxillofacial Surgery,ZBrush,Morphological and Phenotypic Analysis / Surgical Planning and Precise Implementation,USA,exclude,保留,未发现纳排问题,marginview3danovelsoftwareenablingcomprehensivethreedimensionalsurgicalpathologydocumentationforimprovedintraandpostoperativecancercare,保留,,10.1245/s10434-025-17695-x,unsure,2025,11.0,2025-H2,['Oral and Maxillofacial Surgery'],"['Morphological and Phenotypic Analysis', 'Surgical Planning and Precise Implementation']",['ZBrush'],2025-H2,['ZBrush'],ZBrush,保留,,computational,1,marginview3d a novel software enabling comprehensive three dimensional surgical pathology documentation for improved intra and postoperative cancer care,原始筛查
23,WPFWC6I6,Automatic Segmentation of Dental Root Canal and Merging with Crown Shape.,10.1109/EMBC46164.2021.9630750,Annu Int Conf IEEE Eng Med Biol Soc,journalArticle,2021/11,2021,Endodontics;Prosthodontics;Orthodontics;Oral Implantology;Periodontics,3D Slicer;ITK-SNAP,Image Segmentation and 3D Reconstruction,USA,include,保留,未发现纳排问题,automaticsegmentationofdentalrootcanalandmergingwithcrownshape,保留,,10.1109/embc46164.2021.9630750,unsure,2021,11.0,2021-H2,"['Endodontics', 'Prosthodontics', 'Orthodontics', 'Oral Implantology', 'Periodontics']",['Image Segmentation and 3D Reconstruction'],"['3D Slicer', 'ITK-SNAP']",2021-H2,"['3D Slicer', 'ITK-SNAP']",3D Slicer;ITK-SNAP,保留,,computational,1,automatic segmentation of dental root canal and merging with crown shape,原始筛查
24,VTYTBDL8,Novel Design and Optimization of Porous Titanium Structure for Mandibular Reconstruction,10.1155/2022/8686670,Appl Bionics Biomech,journalArticle,2022/06,2022,Oral and Maxillofacial Surgery,Mimics;ABAQUS;Geomagic (unspecified),Digital Design and Manufacturing / Biomechanical Analysis and Simulation,CHN,include,保留,未发现纳排问题,noveldesignandoptimizationofporoustitaniumstructureformandibularreconstruction,保留,,10.1155/2022/8686670,unsure,2022,6.0,2022-H1,['Oral and Maxillofacial Surgery'],"['Digital Design and Manufacturing', 'Biomechanical Analysis and Simulation']","['Mimics', 'ABAQUS', 'Geomagic (unspecified)']",2022-H1,"['Mimics', 'ABAQUS', 'Geomagic (unspecified)']",Mimics;ABAQUS;Geomagic (unspecified),保留,,computational,3,novel design and optimization of porous titanium structure for mandibular reconstruction,原始筛查
25,FK2AQUZY,Waferless Orthognathic Surgery with Customized Osteosynthesis and Surgical Guides: A Prospective Study,10.3390/app14051893,Applied Sciences,journalArticle,2024/03,2024,Oral and Maxillofacial Surgery,Mimics,Surgical Planning and Precise Implementation,ESP,include,保留,未发现纳排问题,waferlessorthognathicsurgerywithcustomizedosteosynthesisandsurgicalguidesaprospectivestudy,保留,,10.3390/app14051893,unsure,2024,3.0,2024-H1,['Oral and Maxillofacial Surgery'],['Surgical Planning and Precise Implementation'],['Mimics'],2024-H1,['Mimics'],Mimics,保留,,clinical,1,waferless orthognathic surgery with customized osteosynthesis and surgical guides a prospective study,原始筛查
26,LLS6DR9F,Is Beauty a Matter of Volume Distribution? Proposal of a New Aesthetic Three-Dimensional Guide in Orthognathic Surgery,10.3390/jpm13060936,Applied Sciences,journalArticle,2023/06,2023,Oral and Maxillofacial Surgery,Meshmixer,Morphological and Phenotypic Analysis / Surgical Planning and Precise Implementation,ITA,include,保留,未发现纳排问题,isbeautyamatterofvolumedistributionproposalofanewaestheticthreedimensionalguideinorthognathicsurgery,保留,,10.3390/jpm13060936,unsure,2023,6.0,2023-H1,['Oral and Maxillofacial Surgery'],"['Morphological and Phenotypic Analysis', 'Surgical Planning and Precise Implementation']",['Meshmixer'],2023-H1,['Meshmixer'],Meshmixer,保留,,clinical,1,is beauty a matter of volume distribution proposal of a new aesthetic three dimensional guide in orthognathic surgery,原始筛查
27,6BVQQI7U,Qualitative exploration of 3D printing in Swedish healthcare: perceived effects and barriers,10.1186/s12913-024-11975-0,BMC Health Serv Res,journalArticle,2024/11,2024,Oral and Maxillofacial Surgery,Meshmixer,Surgical Planning and Precise Implementation,SWE,exclude,保留,未发现纳排问题,qualitativeexplorationof3dprintinginswedishhealthcareperceivedeffectsandbarriers,保留,,10.1186/s12913-024-11975-0,unsure,2024,11.0,2024-H2,['Oral and Maxillofacial Surgery'],['Surgical Planning and Precise Implementation'],['Meshmixer'],2024-H2,['Meshmixer'],Meshmixer,保留,,clinical,1,qualitative exploration of 3d printing in swedish healthcare perceived effects and barriers,原始筛查
28,4YHU6J4I,Automated 3D segmentation of the hyoid bone in CBCT using nnU-Net v2: a retrospective study on model performance and potential clinical utility,10.1186/s12880-025-01797-9,BMC Med Imaging,journalArticle,2025/07,2025,Oral and Maxillofacial Radiology;Orthodontics;Oral and Maxillofacial Surgery,3D Slicer,Image Segmentation and 3D Reconstruction,TUR,include,保留,未发现纳排问题,automated3dsegmentationofthehyoidboneincbctusingnnunetv2aretrospectivestudyonmodelperformanceandpotentialclinicalutility,保留,,10.1186/s12880-025-01797-9,include,2025,7.0,2025-H2,"['Oral and Maxillofacial Radiology', 'Orthodontics', 'Oral and Maxillofacial Surgery']",['Image Segmentation and 3D Reconstruction'],['3D Slicer'],2025-H2,['3D Slicer'],3D Slicer,保留,,computational,1,automated 3d segmentation of the hyoid bone in cbct using nnu net v2 a retrospective study on model performance and potential clinical utility,原始筛查
29,4RGTB6EY,A pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors-bite malocclusion based on three-dimensional reconstructive imaging technique,10.1186/s12891-023-06384-z,BMC Musculoskelet Disord,journalArticle,2023/04,2023,Orthodontics;Temporomandibular Joint Disorders,Mimics;3-Matic;Geomagic Wrap,Morphological and Phenotypic Analysis,CHN,unsure,保留,未发现纳排问题,apilotinvestigationofcondylarpositionandasymmetryinpatientswithunilateralposteriorscissorsbitemalocclusionbasedonthreedimensionalreconstructiveimagingtechnique,保留,,10.1186/s12891-023-06384-z,unsure,2023,4.0,2023-H1,"['Orthodontics', 'Temporomandibular Joint Disorders']",['Morphological and Phenotypic Analysis'],"['Mimics', '3-Matic', 'Geomagic Wrap']",2023-H1,"['Mimics', '3-Matic', 'Geomagic Wrap']",Mimics;3-Matic;Geomagic Wrap,保留,,clinical,1,a pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors bite malocclusion based on three dimensional reconstructive imaging technique,原始筛查
30,QV9TASMT,3-dimensional analysis of hard- and soft-tissue symmetry in a Chinese population.,10.1186/s12903-023-03163-z,BMC Oral Health,journalArticle,2023/06,2023,Orthodontics;Oral and Maxillofacial Surgery,Mimics;Geomagic Wrap,Morphological and Phenotypic Analysis,CHN,include,保留,未发现纳排问题,3dimensionalanalysisofhardandsofttissuesymmetryinachinesepopulation,保留,,10.1186/s12903-023-03163-z,unsure,2023,6.0,2023-H1,"['Orthodontics', 'Oral and Maxillofacial Surgery']",['Morphological and Phenotypic Analysis'],"['Mimics', 'Geomagic Wrap']",2023-H1,"['Mimics', 'Geomagic Wrap']",Mimics;Geomagic Wrap,保留,,clinical,1,3 dimensional analysis of hard and soft tissue symmetry in a chinese population,原始筛查
31,ATFDULYF,Three-dimensional evaluation of condylar morphology after orthodontic treatment in adult patients with Class II malocclusion by cone-beam computed tomography.,10.1186/s12903-023-03728-y,BMC Oral Health,journalArticle,2024/01,2024,Orthodontics,Mimics,Morphological and Phenotypic Analysis,CHN,include,保留,未发现纳排问题,threedimensionalevaluationofcondylarmorphologyafterorthodontictreatmentinadultpatientswithclassiimalocclusionbyconebeamcomputedtomography,保留,,10.1186/s12903-023-03728-y,include,2024,1.0,2024-H1,['Orthodontics'],['Morphological and Phenotypic Analysis'],['Mimics'],2024-H1,['Mimics'],Mimics,保留,,clinical,1,three dimensional evaluation of condylar morphology after orthodontic treatment in adult patients with class ii malocclusion by cone beam computed tomography,原始筛查
32,4I8FWCMQ,Design and development of a virtual reality simulation for dental implant prosthesis training.,10.1186/s12903-026-08598-8,BMC Oral Health,journalArticle,2026/05,2026,Prosthodontics;Oral Implantology;Dental Education,Blender,Digital Design and Manufacturing,IRN,include,保留,未发现纳排问题,designanddevelopmentofavirtualrealitysimulationfordentalimplantprosthesistraining,保留,,10.1186/s12903-026-08598-8,include,2026,5.0,2026-H1,"['Prosthodontics', 'Oral Implantology', 'Dental Education']",['Digital Design and Manufacturing'],['Blender'],2026-H1,['Blender'],Blender,保留,,educational,4,design and development of a virtual reality simulation for dental implant prosthesis training,原始筛查
33,QD7MIRSD,Evaluation of CBCT reconstructed tooth models at different thresholds and voxels and their accuracy in fusion with IOS data: an in vitro validation study.,10.1186/s12903-024-05395-z,BMC Oral Health,journalArticle,2024/12,2024,Orthodontics;Oral Implantology;Endodontics,Mimics;Geomagic Wrap,Image Segmentation and 3D Reconstruction,CHN,include,保留,未发现纳排问题,evaluationofcbctreconstructedtoothmodelsatdifferentthresholdsandvoxelsandtheiraccuracyinfusionwithiosdataaninvitrovalidationstudy,保留,,10.1186/s12903-024-05395-z,unsure,2024,12.0,2024-H2,"['Orthodontics', 'Oral Implantology', 'Endodontics']",['Image Segmentation and 3D Reconstruction'],"['Mimics', 'Geomagic Wrap']",2024-H2,"['Mimics', 'Geomagic Wrap']",Mimics;Geomagic Wrap,保留,,in_vitro,1,evaluation of cbct reconstructed tooth models at different thresholds and voxels and their accuracy in fusion with ios data an in vitro validation study,原始筛查
34,4SAG92EI,Evaluation of prostheses retained zygomatic and dental implants in large defects in the maxilla due to tumors or major trauma by biomechanical 3- dimensional  finite element analysis.,10.1186/s12903-025-05468-7,BMC Oral Health,journalArticle,2025/01,2025,Oral Implantology;Prosthodontics,ANSYS;SolidWorks;Mimics;3-Matic,Biomechanical Analysis and Simulation / Surgical Planning and Precise Implementation,TUR,include,保留,未发现纳排问题,evaluationofprosthesesretainedzygomaticanddentalimplantsinlargedefectsinthemaxilladuetotumorsormajortraumabybiomechanical3dimensionalfiniteelementanalysis,保留,,10.1186/s12903-025-05468-7,unsure,2025,1.0,2025-H1,"['Oral Implantology', 'Prosthodontics']","['Biomechanical Analysis and Simulation', 'Surgical Planning and Precise Implementation']","['ANSYS', 'SolidWorks', 'Mimics', '3-Matic']",2025-H1,"['ANSYS', 'SolidWorks', 'Mimics', '3-Matic']",ANSYS;SolidWorks;Mimics;3-Matic,保留,,computational,3,evaluation of prostheses retained zygomatic and dental implants in large defects in the maxilla due to tumors or major trauma by biomechanical 3 dimensional finite element analysis,原始筛查
35,R67KEMQQ,A novel method for 3D face symmetry reference plane based on weighted Procrustes analysis algorithm.,10.1186/s12903-020-01311-3,BMC Oral Health,journalArticle,2020/11,2020,Orthodontics;Oral and Maxillofacial Surgery,Geomagic Studio,3D Data Analysis and Accuracy Assessment,CHN,include,保留,未发现纳排问题,anovelmethodfor3dfacesymmetryreferenceplanebasedonweightedprocrustesanalysisalgorithm,保留,,10.1186/s12903-020-01311-3,unsure,2020,11.0,2020-H2,"['Orthodontics', 'Oral and Maxillofacial Surgery']",['3D Data Analysis and Accuracy Assessment'],['Geomagic Studio'],2020-H2,['Geomagic Studio'],Geomagic Studio,保留,,computational,2,a novel method for 3d face symmetry reference plane based on weighted procrustes analysis algorithm,原始筛查
