Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,_nt
QLPEUI2S,journalArticle,2026,"Cabbarova, Lala; Tun?demir, Ali R?za; Mohammadi, Reza",Biomechanical Evaluation of Framework Materials in All-on-Four Versus All-on-Six Prostheses: A Finite Element Study.,Clinical and experimental dental research,,2057-4347,10.1002/cre2.70277,,"PURPOSE: The objective of this study was to biomechanically compare the All-on-Four and All-on-Six implant configurations combined with various framework  materials by assessing stress distribution in peri-implant bone, implants, and  prosthetic structures using finite element analysis (FEA). MATERIALS AND METHODS:  This study investigated the biomechanical behavior of six different framework  materials titanium, zirconia, PEEK, PEKK, Trilor and Trinia in full-arch,  implant-supported fixed prostheses using the All-on-Four and All-on-Six concepts  in a total edentulous mandible. A three dimensional finite element model of the  mandible, incorporating cortical and trabecular bone as well as mucosal tissue,  was developed based on CBCT data. In the All-on-Four configuration, two anterior  implants were placed axially and two posterior implants were tilted distally at  30°. The All-on-Six model featured axially placed anterior implants, with  posterior implants angled at 15° in the premolar and 30° in the molar regions.  Multi-unit abutments were used for all implants. Frameworks were digitally  designed in a Toronto prosthesis configuration using each material, and a  monolithic zirconia superstructure was applied as the veneering material. All  models were subjected to a simulated vertical masticatory load of 150?N. Maximum  principal stress values were assessed in the peri-implant bone, while von Mises  stress distributions were analyzed in the framework, implants, and fixation  screws. RESULTS: The highest stress accumulation was observed in the All-on-Four  configuration, particularly around the cantilever region and distal implants.  Materials with low elastic modulus (PEEK and PEKK) caused higher stress  transmission to peri-implant bone and connection components. In contrast, rigid  materials (titanium and zirconia) provided a more balanced load distribution and  resulted in lower stress concentrations. Glass fiber-reinforced composite  frameworks (Trilor and Trinia) remained within clinically acceptable  biomechanical limits. CONCLUSION: The findings of this study indicated that both  implant configuration and framework material properties play a critical role in  the biomechanical performance and long-term success of the prosthesis.",26-Feb,2026/6/26 17:10,2026/6/29 14:19,,e70277,,1,12,,Clin Exp Dent Res,,,,,,,United States,eng,? 2026 The Author(s). Clinical and Experimental Dental Research published by John Wiley & Sons Ltd.,,,,,,,,,,"*Dental Implants; *Dental Materials/chemistry; *Dental Prosthesis, Implant-Supported; Benzophenones; Biomechanical Phenomena; Dental Stress Analysis; Finite Element Analysis; finite element stress analysis; Humans; implant‐supported prostheses; Jaw, Edentulous/surgery; Ketones/chemistry; Mandible/surgery; Materials Testing; PEEK; Polyethylene Glycols/chemistry; Polymers; Stress, Mechanical; titanium; Titanium/chemistry; Trilor; Trinia; zirconia; Zirconium/chemistry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,biomechanical evaluation of framework materials in all on four versus all on six prostheses a finite element study
UNK3IQDN,journalArticle,2023,"Tonin, Bruna Santos Honório; Peixoto, Raniel Fernandes; Fu, Jing; De Mattos, Maria Da Gloria Chiarello; Macedo, Ana Paula",Influence of the frameworks of implant-supported prostheses and implant connections on stress distribution.,Dental and medical problems,,2300-9020 1644-387X,10.17219/dmp/153060,https://dmp.umw.edu.pl/en/article/2023/60/4/551/,"BACKGROUND: The maintenance of marginal bone integrity around dental implants continues to be a clinical challenge. It is still unclear whether loading  multiple implant-supported prostheses that have different implant connections  influences bone resorption. OBJECTIVES: The aim of this in vitro study was to  compare stress distribution around residual edentulous ridges supported by  external hexagon (EH) and Morse taper (MT) implants with screw-retained  frameworks obtained with the use of different methods. MATERIAL AND METHODS:  Three-element implant-supported prostheses with distal cantilevers were  manufactured according to different techniques of obtaining the framework: LAS -  framework sectioned and welded with a laser; TIG - framework sectioned and welded  with tungsten inert gas (TIG); and CCS - framework obtained using a  computer-aided design/computer-aided manufacturing (CAD/CAM) system. Occlusal and  punctual loading (150 N) was applied to the cantilevers. In the photoelastic  stress analysis, the fringe orders (n) were quanitified using the Tardy method,  which calculates the maximum shear stress value (τ) at each selected point.  RESULTS: High stress around the implants and tightening were observed in the TIG  group, mainly in the crestal bone region for the EH and MT implant connections.  The LAS and CCS frameworks exhibited lower stress for the MT connection under  occlusal and punctual loading. CONCLUSIONS: The comparative analysis of the  models showed that the MT connection type associated with the laser-welded or  CAD/CAM frameworks resulted in lower stress values in the crestal bone area,  suggesting the preservation of bone tissue in this region.",23-Dec,2026/5/16 18:17,2026/6/29 14:19,2025/9/28 7:21,551-557,,4,60,,Dent Med Probl,,,,,,,Poland,eng,https://creativecommons.org/licenses/by/3.0/,,,,DOI.org (Crossref),,"TLDR: The comparative analysis of the models showed that the MT connection type associated with the laser-welded or CAD/CAM frameworks resulted in lower stress values in the crestal bone area, suggesting the preservation of bone tissue in this region.",,D:\Zotero_Articles\storage\QD6XD9E4\Tonin 等 - 2023 - Influence of the frameworks of implant-supported prostheses and implant connections on stress distri.pdf,,"*Dental Implants; *Mouth, Edentulous; CAD/CAM; Computer-Aided Design; dental implant; dental prosthesis; dental stress analysis; Humans; Stress, Mechanical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,influence of the frameworks of implant supported prostheses and implant connections on stress distribution
N4NBSSAU,journalArticle,2024,"Mosca Balma, Alessandro; Cavagnetto, Davide; Pavone, Lorenzo; Mussano, Federico",Assessing the Volume of the Head of the Mandibular Condyle Using 3T-MRI-A Preliminary Trial.,Dentistry journal,,2304-6767,10.3390/dj12070220,,"Due to potentially harmful exposure to X-rays, condylar growth in response to orthodontic treatment is poorly studied. To overcome this limitation, here, the  authors have proposed high-resolution MRI as a viable alternative to CBCT for  clinical 3D assessment of TMJ. A male subject underwent both MRI and CBCT scans.  The obtained three-dimensional reconstructions of the TMJ were segmented and  superimposed by a semiautomatic algorithm developed in MATLAB R2022a. The  condylar geometries were reconstructed using dedicated software for image  segmentation. Two geometrical parameters, i.e., the total volume and surface of  the single condyle model, were selected to quantify the intraclass and interclass  variability from the mean of each DICOM series (CBCT and MRI). The final  comparison between the reference standard model of CBCT and 3T MRI showed that  the former was more robust in terms of reproducibility, while the latter reached  a higher standard deviation compared to CBCT, but these values were similar  between the operators and clinically not significant. Within the inherent  limitation of image reconstruction on MRI scans due to the current lower  resolution of this technique, the method proposed here could be considered as a  nucleus for developing future completely automatic AI algorithms, owing to its  great potential and satisfactory consistency among different times and operators.",2024/7/16,2026/5/16 18:08,2026/6/29 14:19,,,,7,12,,Dent J (Basel),,,,,,,Switzerland,eng,,,,,,,"TLDR: High-resolution MRI is proposed as a viable alternative to CBCT for clinical 3D assessment of TMJ and could be considered as a nucleus for developing future completely automatic AI algorithms, owing to its great potential and satisfactory consistency among different times and operators.",,D:\Zotero_Articles\storage\U3MBZ493\Mosca Balma 等 - 2024 - Assessing the Volume of the Head of the Mandibular Condyle Using 3T-MRI-A Preliminary Trial..pdf,,/1; digital dentistry; magnetic resonance imaging; orthodontics; cone beam computed tomography; three-dimensional imaging; semiautomatic volumetric segmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,assessing the volume of the head of the mandibular condyle using 3t mri a preliminary trial
R4FJVQAW,journalArticle,2025,"Kim, Min Seok; Amm, Elie; Parsi, Goli; ElShebiny, Tarek; Motro, Melih",Automated dentition segmentation: 3D UNet-based approach with MIScnn framework.,Journal of the World federation of orthodontists,,2212-4438,10.1016/j.ejwf.2024.09.008,https://linkinghub.elsevier.com/retrieve/pii/S2212443824000821,"INTRODUCTION: Advancements in technology have led to the adoption of digital workflows in dentistry, which require the segmentation of regions of interest  from cone-beam computed tomography (CBCT) scans. These segmentations assist in  diagnosis, treatment planning, and research. However, manual segmentation is an  expensive and labor-intensive process. Therefore, automated methods, such as  convolutional neural networks (CNNs), provide a more efficient way to generate  segmentations from CBCT scans. METHODS: A three-dimensional UNet-based CNN model,  utilizing the Medical Image Segmentation CNN framework, was used for training and  generating predictions from CBCT scans. A dataset of 351 CBCT scans, with  ground-truth labels created through manual segmentation using AI-assisted  segmentation software, was prepared. Data preprocessing, augmentation, and model  training were performed, and the performance of the proposed CNN model was  analyzed. RESULTS: The CNN model achieved high accuracy in segmenting maxillary  and mandibular teeth from CBCT scans, with average Dice Similarity Coefficient  values of 91.83% and 91.35% for maxillary and mandibular teeth, respectively.  Performance metrics, including Intersection over Union, precision, and recall,  further confirmed the model's effectiveness. CONCLUSIONS: The study demonstrates  the efficacy of the three-dimensional UNet-based CNN model within the Medical  Image Segmentation CNN framework for automated segmentation of maxillary and  mandibular dentition from CBCT scans. Automated segmentation using CNNs has the  potential to deliver accurate and efficient results, offering a significant  advantage over traditional segmentation methods.",25-Apr,2026/5/16 18:17,2026/6/29 14:23,2026/6/29 2:32,84-90,,2,14,,J World Fed Orthod,Automated dentition segmentation,,,,,,United States,eng,Copyright ? 2024. Published by Elsevier Inc.,,,,DOI.org (Crossref),,TLDR: The study demonstrates the efficacy of the three-dimensional UNet-based CNN model within the Medical Image Segmentation CNN framework for automated segmentation of maxillary and mandibular dentition from CBCT scans.,,D:\Zotero_Articles\storage\YUD34M5W\Kim 等 - 2025 - Automated dentition segmentation 3D UNet-based approach with MIScnn framework.pdf,,"*Cone-Beam Computed Tomography/methods; *Dentition; *Image Processing, Computer-Assisted/methods; *Imaging, Three-Dimensional/methods; *Neural Networks, Computer; *Tooth/diagnostic imaging; 3D UNet; Artificial intelligence; Automatic dental segmentation; Convolutional neural network; Humans; Mandible/diagnostic imaging; Maxilla/diagnostic imaging; Semantic segmentation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,automated dentition segmentation 3d unet based approach with miscnn framework
LK5R8TKE,journalArticle,2021,"Ahmadi, Arozo; D?rsam, Istabrak; Stark, Helmut; Hersey, Silke; Bourauel, Christoph; Keilig, Ludger",The all-on-4 concept in the maxilla-A biomechanical analysis involving high performance polymers.,"Journal of biomedical materials research. Part B, Applied biomaterials",,1552-4981 1552-4973,10.1002/jbm.b.34826,https://onlinelibrary.wiley.com/doi/10.1002/jbm.b.34826,"A finite element analysis was used to determine the loading behavior of a full ""All-on-4"" bridge in the maxilla made from different framework materials. The  model was generated based on data from an edentulous maxilla. Four implants were  positioned according to the All-on-4 concept and a full arch restoration was  created on top of the implants. Separate thrust dies were modeled directly above  each of the units of the bridge. Forces of 500?N were applied to each thrust die  separately. Simulations were repeated with the following variations and results  were compared to determine the influence of each variation: point of force  application (from tooth 16 to 26), framework material (high performance polymer  HPP, titanium Ti, cobalt chromium CoCr), and healing state of the bone/implant  interface. Depending on the point of force application, the bone below the HPP  framework showed increased stresses (median: 180?MPa at 13) compared to the CoCr  and Ti frameworks (110?MPa at 16) under immediate loading. After  osseointegration, the framework material had no obvious influence on the stresses  in the bone. In the osseointegrated state, maximum stresses are decreased by the  tenfold. Stresses in the framework were clearly decreased with HPP compared to  CoCr and Ti (75, 125, 115?MPa). Loading the anterior teeth induced higher  stresses than loading the molar region due to torsional deformation. This effect  increased with decreasing framework material stiffness. The framework stiffness  had less distinct influence on the stresses in the restoration than the point of  force application.",21-Nov,2026/5/16 18:08,2026/6/29 14:18,2025/9/27 11:05,1698-1705,,11,109,,J Biomed Mater Res B Appl Biomater,,,,,,,United States,eng,? 2021 The Authors. Journal of Biomedical Materials Research Part B: Applied Biomaterials published by Wiley Periodicals LLC.,,,,DOI.org (Crossref),,,,D:\Zotero_Articles\storage\7JH7RQLF\Ahmadi 等 - 2021 - The all‐on‐4 concept in the maxilla–A biomechanical analysis involving high performance polymers.pdf,,"Humans; /1; dental implants; *Polymers; *Imaging, Three-Dimensional; Finite Element Analysis; *Bone-Implant Interface; *Maxilla; *Stress, Mechanical; all-on-4; finite element methods; framework materials; high performance polymer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,the all on 4 concept in the maxilla a biomechanical analysis involving high performance polymers
PNHT9ZGI,journalArticle,2024,"Singh, Rajeev; Mistry, Gaurang; Choudhary, Manju; Parab, Sheetal; Ansari, Rasha; Sachdev, Sanpreet Singh",An update on CAD-CAM usage for removable partial denture fabrication: A systematic review.,Bioinformation,,0973-2063,10.6026/9732063002001794,https://www.bioinformation.net/020/9732063002001794.htm,"The accuracy of Computer-Aided Design and Computer-Aided Manufacturing (CAD-CAM) systems in the fabrication of removable partial denture (RPD) frameworks compared  to conventional manufacturing methods is of interest to dentists. Known data show  that CAD-CAM systems produce RPD frameworks with superior fit and adaptation,  potentially reducing post-insertion adjustments and enhancing patient  satisfaction. The importance of digital impressions, advanced CAD software and  the capabilities of milling or 3D printing equipment in determining the success  of CAD-CAM fabricated frameworks is highlighted. Despite promising results,  further research is needed to evaluate the long-term clinical performance of  CAD-CAM systems in RPD fabrication and to address the existing limitations.",2024,2026/5/16 18:18,2026/6/29 14:22,2026/6/29 1:52,1794-1799,,12,20,,Bioinformation,An update on CAD-CAM usage for removable partial denture fabrication,,,,,,Singapore,eng,? 2024 Biomedical Informatics.,,,,DOI.org (Crossref),,"TLDR: Despite promising results, further research is needed to evaluate the long-term clinical performance of CAD-CAM systems in RPD fabrication and to address the existing limitations.",,"D:\Zotero_Articles\storage\FLG8PAR2\Department of Prosthodontics, D.Y. Patil Deemed to be University, School of Dentistry, Navi Mumbai, Maharashtra, India 等 - 2024 - An update on CAD-CAM usage for removable partial denture fabrication A systematic review.pdf",,Computer-Aided Design; Computer-Aided Manufacturing; framework; prosthodontics; removable partial dentures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,an update on cad cam usage for removable partial denture fabrication a systematic review
TGY9GAAH,journalArticle,2024,"Ronsivalle, Vincenzo; Venezia, Piero; Migliorati, Marco; Grippaudo, Cristina; Barbato, Ersilia; Nucci, Ludovica; Isola, Gaetano; Leonardi, Rosalia; Lo Giudice, Antonino",Accuracy of imaging software usable in clinical settings for 3D rendering of tooth structures.,International journal of computerized dentistry,,1463-4201,10.3290/j.ijcd.b4140897,https://doi.org/10.3290/j.ijcd.b4140897,"AIM: The aim of the present study was to evaluate the segmentation accuracy of the dentition by testing four open-source semi-automatic software programs.  MATERIALS AND METHODS: Twenty CBCT scans were selected to perform semi-automatic  segmentation of the maxillary and mandibular dentition. The software programs  tested were InVesalius, ITK-SNAP, 3D Slicer, and Seg3D. In addition, each tooth  model was manually segmented using Mimics software; this was set as the gold  standard (GS) reference of the investigation. A specific 3D imaging technology  was used to perform the superimposition between the tooth models obtained with  the semi-automatic software and the GS model as well as to perform the  surface-to-surface matching analysis. The accuracy of semi-automatic segmentation  was evaluated, calculating the volumetric mean differences (mean bias and limits  of agreement) and the percentage of matching of the tooth models compared with  the manual segmentation (GS). Qualitative assessments were performed using  color-coded maps. All data were statistically analyzed to perform comparisons  between the investigated software programs. RESULTS: Statistically significant  differences were found in the volumetric and matching percentage data (P 0.05).  InVesalius was the most accurate software program for 3D rendering of the  dentition, with a volumetric bias (Mimics software) ranging from 4.59 to 85.79  mm3, while ITK-SNAP showed the highest volumetric bias, ranging from 30.22 to  319.83 mm3. The mismatched area was mainly located at the radicular tooth region.  The volumetric data showed excellent inter-software reliability, with coefficient  values ranging from 0.951 to 0.997. CONCLUSION: Different semi-automatic software  algorithms could generate different patterns of inaccuracy error in the  segmentation of teeth.",2024/10/15,2026/5/16 18:08,2026/6/29 14:19,2025/11/12 12:03,235-250,,3,27,,Int J Comput Dent,,,,,,,England,eng,,,,,DOI.org (CSL JSON),,TLDR: Different semi-automatic software algorithms could generate different patterns of inaccuracy error in the segmentation of teeth.,,D:\Zotero_Articles\storage\7HLV84P8\2024 - Accuracy of imaging software usable in clinical settings for 3D rendering of tooth structures.pdf,,"Humans; /1; Models, Dental; Reproducibility of Results; *Software; Image Processing, Computer-Assisted/methods; digital dentistry; *Cone-Beam Computed Tomography; *Imaging, Three-Dimensional; segmentation; orthodontics; *Tooth/diagnostic imaging/anatomy & histology; digital orthodontics; oral surgery; 3D rendering; cone beam computed tomography (CBCT)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,accuracy of imaging software usable in clinical settings for 3d rendering of tooth structures
Z2SBK7IA,journalArticle,2024,"Yoon, Joshua S.; Rao, Manaahil; Dunlow, Ryan; Wasicek, Philip; Ha, Michael; Le, Paulina; Rasko, Yvonne M.; Liang, Fan; Grant, Michael P.; Nam, Arthur J.",Patient-Specific Implant Customization for Treatment of Internal Orbital Fractures Using Office-Based Three-Dimensional Printing.,The Journal of craniofacial surgery,,1536-3732 1049-2275,10.1097/SCS.0000000000009941,https://journals.lww.com/10.1097/SCS.0000000000009941,"OBJECTIVE: Three-dimensional (3D) modeling technology aids the reconstructive surgeon in designing and tailoring individualized implants for the reconstruction  of complex craniofacial fractures. Three-dimensional modeling and printing have  traditionally been outsourced to commercial vendors but can now be incorporated  into both private and academic craniomaxillofacial practices. The goal of this  report is to present a low-cost, standardized office-based workflow for restoring  bony orbital volume in traumatic orbital fractures. METHODS: Patients with  internal orbital fractures requiring open repair were identified. After the  virtual 3D models were created by iPlan 3.0 Cranial CMF software (Brainlab), the  models were printed using an office-based 3D printer to shape and modify orbital  plates to correctly fit the fracture defect. The accuracy of the anatomic  reduction and the restored bony orbital volume measurements were determined using  postoperative computed tomography images and iPlan software. RESULTS: Nine  patients fulfilled the inclusion criteria: 8 patients had unilateral fractures  and 1 patient had bilateral fractures. Average image processing and print time  were 1.5 hours and 3 hours, respectively. The cost of the 3D printer was $2500  and the average material cost to print a single orbital model was $2. When  compared with the uninjured side, the mean preoperative orbital volume increase  and percent difference were 2.7 ± 1.3?mL and 10.9 ± 5.3%, respectively.  Postoperative absolute volume and percent volume difference between the orbits  were -0.2 ± 0.4?mL and -0.8 ± 1.7%, respectively. CONCLUSIONS: Office-based 3D  printing can be routinely used in the repair of internal orbital fractures in an  efficient and cost-effective manner to design the implant with satisfactory  patient outcomes.",2024/4/1,2026/5/16 18:09,2026/6/29 14:19,2025/9/26 16:21,656-661,,2,35,,J Craniofac Surg,,,,,,,United States,eng,"Copyright ? 2024 by Mutaz B. Habal, MD.",,,,DOI.org (Crossref),,,,D:\Zotero_Articles\storage\P97PLGRM\Yoon 等 - 2024 - Patient-Specific Implant Customization for Treatment of Internal Orbital Fractures Using Office-Base.pdf,,"Humans; /1; Software; Adult; Female; Male; Middle Aged; *Printing, Three-Dimensional; Prosthesis Design; Treatment Outcome; Bone Plates; *Tomography, X-Ray Computed; Plastic Surgery Procedures/methods; *Orbital Fractures/surgery/diagnostic imaging",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,patient specific implant customization for treatment of internal orbital fractures using office based three dimensional printing
CI6MMSH5,journalArticle,2021,"Vukicevic, Arso M.; Zelic, Ksenija; Milasinovic, Danko; Sarrami-Foroushani, Ali; Jovicic, Gordana; Milovanovic, Petar; Djuric, Marija; Filipovic, Nenad; Frangi, Alejandro F.",OpenMandible: An open-source framework for highly realistic numerical modelling of lower mandible physiology.,Dental materials : official publication of the Academy of Dental Materials,,1879-0097 0109-5641,10.1016/j.dental.2021.01.009,https://linkinghub.elsevier.com/retrieve/pii/S0109564121000294,"OBJECTIVE: Computer modeling of lower mandible physiology remains challenging because prescribing realistic material characteristics and boundary conditions  from medical scans requires advanced equipment and skill sets. The objective of  this study is to provide a framework that could reduce simplifications made and  inconsistency (in terms of geometry, materials, and boundary conditions) among  further studies on the topic. METHODS: The OpenMandible framework offers: 1) the  first publicly available multiscale model of the mandible developed by combining  cone beam computerized tomography (CBCT) and μCT imaging modalities, and 2) a C++  software tool for the generation of simulation-ready models (tet4 and hex8  elements). In addition to the application of conventional (Neumann and Dirichlet)  boundary conditions, OpenMandible introduces a novel geodesic wave propagation -  based approach for incorporating orthotropic micromechanical characteristics of  cortical bone, and a unique algorithm for modeling muscles as uniformly directed  vectors. The base intact model includes the mandible (spongy and compact bone),  14 teeth (comprising dentin, enamel, periodontal ligament, and pulp), simplified  temporomandibular joints, and masticatory muscles (masseter, temporalis, medial,  and lateral pterygoid). RESULTS: The complete source code, executables,  showcases, and sample data are freely available on the public repository:  https://github.com/ArsoVukicevic/OpenMandible. It has been demonstrated that by  slightly editing the baseline model, one can study different ""virtual"" treatments  or diseases, including tooth restoration, placement of implants, mandible bone  degradation, and others. SIGNIFICANCE: OpenMandible eases the community to  undertake a broad range of studies on the topic, while increasing their  consistency and reproducibility. At the same time, the needs for dedicated  equipment and skills for developing realistic simulation models are significantly  reduced.",21-Apr,2026/5/16 18:08,2026/6/29 14:18,2025/9/26 16:22,612-624,,4,37,,Dent Mater,OpenMandible,,,,,,England,eng,Copyright ? 2021 The Academy of Dental Materials. Published by Elsevier Inc. All rights reserved.,,,,DOI.org (Crossref),,,,D:\Zotero_Articles\storage\3FGJPXW6\Vukicevic 等 - 2021 - OpenMandible An open-source framework for highly realistic numerical modelling of lower mandible ph.pdf,,"/1; Reproducibility of Results; Mandible; Dentistry; *Imaging, Three-Dimensional; Finite Element Analysis; Temporomandibular Joint; Simulation; *Mandible; Open source; OpenMandible",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,openmandible an open source framework for highly realistic numerical modelling of lower mandible physiology
WV2YRJPV,journalArticle,2025,"Berenguer-Vidal, Rafael; Verdú-Monedero, Rafael; Melendreras-Ruiz, Rafael",Dental measurement procedure based on 3D analysis and data processing.,Computers in biology and medicine,,1879-0534 0010-4825,10.1016/j.compbiomed.2025.110794,,"This paper introduces a novel methodology for the alignment and comparison of 3D digital models of individual dental pieces, aimed at evaluating proficiency in  the manipulation of rotary cutting instruments within the discipline of  prosthetic preparations and conservative dentistry. The proposed approach  comprises three principal stages: precise alignment of the 3D model utilizing a  customized reference base, application of a parametric deformable model to  transform the non-periodically sampled point cloud into a continuous and regular  mesh, and quantitative analysis between pairs of modeled dental pieces. The  methodology has been validated through the analysis of dental specimens  fabricated from Duroplastic? and digitized using the Aidite? A-IS Pro desktop 3D  dental scanner. The results demonstrated a high degree of precision in both  alignment and modeling, with mean discrepancies between scans ranging from 0.0008  mm to 0.0165 mm, and maximum errors not exceeding 0.1416 mm across the entire  surface of each tooth. The findings indicate that the proposed methodology  possesses sufficient accuracy for facilitating comparisons between 3D point  clouds from dental scans, thereby enabling its prospective application within the  AIDDA? (Automated International Dental Dexterity Algorithm) system for the  objective assessment of dental preparations. This approach permits precise  comparisons between teeth carved by instructors and those prepared by students,  thereby facilitating automated evaluations of student performance and progress in  restorative dentistry competencies. Beyond its educational value, the AIDDA  algorithm offers versatile potential for clinical and forensic applications in  multiple dental specialties.",25-Sep,2026/5/16 18:08,2026/6/29 14:19,,110794,,Pt B,196,,Comput Biol Med,,,,,,,United States,eng,Copyright ? 2025 The Author(s). Published by Elsevier Ltd.. All rights reserved.,,,,,,"TLDR: The findings indicate that the proposed methodology possesses sufficient accuracy for facilitating comparisons between 3D point clouds from dental scans, thereby enabling its prospective application within the AIDDA? (Automated International Dental Dexterity Algorithm) system for the objective assessment of dental preparations.",,D:\Zotero_Articles\storage\VNR3UJQD\Berenguer-Vidal 等 - 2025 - Dental measurement procedure based on 3D analysis and data processing..pdf,,"Humans; /1; *Models, Dental; *Imaging, Three-Dimensional; 3D scanning; *Dental Prosthesis; 3D alignment; Deformable models; Dental measurements; Software Validation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dental measurement procedure based on 3d analysis and data processing
SQ3JDDN7,journalArticle,2023,"Al Hamdany, Afrah Khazal; Hasan, Lamiaa A.; Alrawi, Mohammed Najeeb Abdullah; Alhajar, Emad Hazim Kasim",PowerScope 2 functional appliance: A 3D finite element simulation of its action on the mandible.,Journal of oral biology and craniofacial research,,2212-4268 2212-4276,10.1016/j.jobcr.2023.02.014,https://linkinghub.elsevier.com/retrieve/pii/S221242682300026X,"PowerScope 2 is a fixed functional appliance for patients with Class II malocclusion and a retrognathic mandible, that has recently received attention  due to its pronounced advantages, for both orthodontists and patients. OBJECTIVE:  of study: This study evaluated the action of the PowerScope 2 appliance for  correcting Class II malocclusion and the stresses and displacement of the  mandible during loading using three-dimensional finite element analysis (FEA).  The sites of the mandibular skeletal and/or dental corrections were also  distinguished. MATERIALS AND METHODS: Using the AutoCAD (2010) Program, a 3D  model of the human mandible with teeth was created based on a CT image of a  20-yr-old patient. Orthodontic stainless-steel brackets with Standard Edgewise  (0.022 in) slots bonded to five mandibular teeth and inserted into a bounded tube  on the first molar were simulated. A rectangular archwire (0.019?×?0.025 in)  ligated the brackets. The created models were uploaded to the Autodesk Inventor  Professional Computer Program (FE) version (2020). RESULTS: The FEA presented the  three-dimensional results qualitatively and quantitatively as von Mises stress  and displacement. The colour ruler on the upper left side demonstrates the stress  and displacement distribution pattern of the mandible, with the minimum value in  blue and the maximum value in red. Mandibular movement was achieved  three-dimensionally. There was obvious sagittal forward mandibular movement, and  high stress was observed at the chin prominence (the pogonion). In the transverse  plane, the mandible was highly bent buccally, especially at the gonial angle and  antegonial notch. In the vertical plane, the highest ranges of mandibular  movements were seen in the chin, the anterior part of the mandibular body, and  the associated dentoalveolar region. CONCLUSIONS: The results of this FEA,  PowerScope 2 functional appliance proved to be effective as a Class II  malocclusion corrector. Its mode of action on the mandible was achieved in three  planes of space, and its orthodontic effects were gained dentally and skeletally.  An bbvious sagittal forward mandibular movement was observed, particularly at the  chin prominence. Apparent buccal bending, especially at the gonial angle and  antegonial notch, was observed. Vertically, the chin and anterior part of the  mandible, with the associated dentoalveolar structures, were clearly stressed  under the action of this appliance.",23-Apr,2026/5/16 18:08,2026/6/29 14:19,2025/9/26 16:24,299-305,,2,13,,J Oral Biol Craniofac Res,PowerScope 2 functional appliance,,,,,,Netherlands,eng,? 2023 The Authors. Published by Elsevier B.V. on behalf of Craniofacial Research Foundation.,,,,DOI.org (Crossref),,"TLDR: The PowerScope 2 functional appliance proved to be effective as a Class II malocclusion corrector as its mode of action was achieved in three planes of space, and its orthodontic effects were gained dentally and skeletally.",,D:\Zotero_Articles\storage\A3HJJ6F8\Al Hamdany 等 - 2023 - PowerScope 2 functional appliance A 3D finite element simulation of its action on the mandible.pdf,,/1; Orthodontics; Finite element; Functional appliance; PowerScope 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,powerscope 2 functional appliance a 3d finite element simulation of its action on the mandible
