序号,文献标题,摘要（前100字符）,处理时间,model_returned,response_id,latency_s,分类结果,分类理由,软件使用情况,应用领域,应用场景
11,Virtual surgical planning and augmented reality for fixation of plate during Le Fort I osteotomy.,PURPOSE: Computed tomography (CT) imaging is utilized during virtual surgical planning (VSP) in orth,2026-09-10 20:36:29,deepseek-flash,69c144cc-e92e-412d-ab23-29bfd2beab4c,1.49,unsure,该文献属于口腔颌面外科（正颌手术）范畴，涉及虚拟手术规划（VSP）和三维CT重建数据处理，但摘要未明确说明所使用的具体软件名称，无法判断是否使用了非牙科专用3D软件，需进入全文复核。,无,无,无
15,Effect of the presence of orthodontic brackets on intraoral scans.,OBJECTIVES: The need for intraoral scanning in the presence of brackets has increased for monitoring,2026-09-10 20:36:29,deepseek-flash,18b835c6-9e13-4faf-bf6f-4b181465a6b5,1.42,unsure,该研究属于口腔正畸领域，涉及口内扫描及三维表面分析，但摘要未明确说明使用了何种软件进行3D数据处理与分析，无法判断是否使用了非牙科专用3D软件。,无,无,无
9,Digital duplication of maxillary complete denture: A dental technique.,"OBJECTIVE: This technique aims to construct a virtual, well-adapted maxillary denture from an existi",2026-09-10 20:36:29,deepseek-flash,4befd9b7-8518-4f10-ac7e-fa30b9d26ed8,1.82,include,该文献为口腔修复学领域的技术说明，明确使用了非牙科专用3D软件3D Slicer进行CBCT影像分割，符合纳入标准。,3D Slicer（图像计算平台软件），用于分割CBCT的DICOM文件以生成STL文件,口腔修复学（全口义齿复制）,数字化复制上颌全口义齿，通过CBCT扫描旧义齿、3D Slicer分割、3D打印制作数字化义齿复制品
14,Virtual reconstruction of orbital defects using Gaussian process morphable models.,"PURPOSE: The conventional method to reconstruct the bone level for orbital defects, which is based o",2026-09-10 20:36:29,deepseek-flash,028af659-cf4d-4e28-b087-0b7bb58ab282,1.68,include,该研究属于口腔颌面外科范畴，明确使用了非牙科专用3D软件Scalismo（基于高斯过程形变模型的开源形状建模框架）进行眶部缺损的虚拟重建，文献类型为原创研究，符合纳入标准。,Scalismo（开源形状建模软件，用于构建高斯过程形变模型GPMM，实现眶部缺损的自动化非刚性配准与重建）,口腔颌面外科（眶部缺损重建）,基于CT扫描的眶部骨缺损虚拟重建与患者特异性植入物设计
10,Automated Orientation and Registration of Cone-Beam Computed Tomography Scans.,Automated clinical decision support systems rely on accurate analysis of three-dimensional (3D) medi,2026-09-10 20:36:29,deepseek-flash,4a2a030a-9425-4ed3-9c93-1446b51037b0,1.94,include,摘要明确提及使用3D Slicer开源平台进行CBCT三维图像的方向定位与配准，属于口腔医学（颌面/正畸影像）范畴，且为原创研究论文。,3D Slicer（开源医学影像平台），用于CBCT扫描的自动方向定位与配准,口腔颌面放射学/正畸（CBCT影像分析）,三维医学/牙科图像的标准化方向定位与配准，用于诊断、治疗规划及面部生长与正畸治疗反应评估
16,3-dimensional analysis of hard- and soft-tissue symmetry in a Chinese population.,BACKGROUND: Facial symmetry severely affects appearance and function. Large numbers of patients seek,2026-09-10 20:36:29,deepseek-flash,4e8528a7-1e93-4139-a138-91c88ddaed01,1.19,unsure,该文献属于口腔正畸领域，涉及3D数字分析（CBCT与3dMD镜像配准），但摘要未明确说明所使用的具体3D软件名称，无法判断是否使用了非牙科专用3D软件，需进入全文复核。,无,无,无
18,Root canal disinfection and maintenance of the remnant tooth tissues by using grape seed and cranberry extracts.,The purpose of this study was to perform an integrative review on the effects of cranberry and grape,2026-09-10 20:36:30,deepseek-flash,45d70e56-16c6-4fa4-8bb1-42a3dbed5dc0,1.04,exclude,摘要明确表明该研究为integrative review（综述），属于非原创研究类型，不符合纳入标准。,无,无,无
20,Fusion of intra-oral scans in cone-beam computed tomography scans.,PURPOSE: The purpose of this study was to evaluate the clinical accuracy of the fusion of intra-oral,2026-09-10 20:36:30,deepseek-flash,8a62f11c-29d6-4688-a214-c5756f2a409e,1.2,exclude,摘要明确说明仅使用了IPS CaseDesigner®和OrthoAnalyzer™两款牙科专用软件进行融合，未使用任何非牙科专用3D软件，符合明确排除标准。,无,无,无
17,Step-by-Step Implementation of Three-Dimensional Print Technology in Preoperative Neurosurgery Planning.,This study presents a detailed methodology for integrating three-dimensional (3D) printing technolog,2026-09-10 20:36:30,deepseek-flash,0a1ed492-320c-4672-ab79-c03719d13d35,1.55,exclude,"该文献明确为神经外科术前规划研究，与口腔医学无关，不符合纳入标准中""口腔医学范畴""的要求。",无,无,无
19,Role of Digital Technologies in Special Care Dentistry: A Scoping Review.,AIMS: This scoping review aims to explore the application of digital dentistry in special care denti,2026-09-10 20:36:30,deepseek-flash,662119bb-b9ab-427a-b9e0-7a1b34a0476c,1.26,exclude,标题和摘要明确表明这是一篇范围综述（scoping review），属于非原创研究类型，不符合纳入标准中的文献类型要求。,无,无,无
22,Automated detection and numbering of primary and permanent teeth in digital impressions of children using artificial intelligence.,OBJECTIVES: Considering the importance of distinguishing between primary and permanent teeth in chil,2026-09-10 20:36:30,deepseek-flash,d8096f71-0cbd-457d-8eb3-32e2c61d5ff7,1.27,unsure,该文献属于口腔医学（儿童混合牙列）范畴，为原创研究，但摘要未明确提及是否使用了非牙科专用3D软件，无法据此排除，需进入全文复核。,无,无,无
24,Three-Dimensional Auricular Subunit Models for Cartilage Framework Fabrication: Our Preliminary Experience.,BACKGROUND: Three-dimensional (3D) digital imaging and printing techniques have been popularly appli,2026-09-10 20:36:30,deepseek-flash,b126e3b9-c14b-406e-9342-d8bbd9bf3f46,1.01,exclude,该文献主题为小耳症耳廓重建（耳廓软骨支架制作），属于整形外科/耳再造领域，而非口腔医学范畴，明确不符合PCC框架中的Population/Context标准。,无,无,无
23,Numerical Assessment Tool to Measure Realism in Clinical Simulation.,"Realism is indispensable in clinical simulation learning, and the objective of this work is to prese",2026-09-10 20:36:30,deepseek-flash,ff8fdddf-1646-452c-a124-23210e7a46a8,1.16,exclude,该文献主题为临床模拟教学中真实感的数值评估工具，与口腔医学无关，且未涉及任何3D软件或口腔医学应用。,无,无,无
25,Automatic Segmentation of Dental Root Canal and Merging with Crown Shape.,"In this paper, machine learning approaches are proposed to support dental researchers and clinicians",2026-09-10 20:36:30,deepseek-flash,b7f284e7-de33-4c7e-b048-980396871a24,0.99,unsure,摘要涉及口腔医学（牙体牙髓、正畸、修复等）且使用图像处理与机器学习方法进行根管及牙冠的3D分割与融合，但未明确提及是否使用了非牙科专用3D软件，信息不足，需全文复核。,无,无,无
21,Fully Automated Tooth Segmentation and Labeling for Both Full- and Partial-Arch Intraoral Scans Using Deep Learning.,INTRODUCTION AND AIMS: Partial-arch intraoral scans (IOSs) are commonly used in clinical dentistry w,2026-09-10 20:36:30,deepseek-flash,80cc2c45-cee2-46f4-9ea6-1ac0a2303c71,1.64,unsure,该文献属于口腔医学范畴（牙科数字化扫描的牙齿分割与标注），但摘要未提及是否使用了非牙科专用3D软件，无法明确判断是否符合Concept标准，需进入全文复核。,无,无,无
26,A modified scan technique for multiple abutment teeth using the trim and lock function.,OBJECTIVES: To describe a new protocol for digital scanning of multiple abutment teeth using the tri,2026-09-10 20:36:31,deepseek-flash,5790e866-1277-425e-9fe0-9c9868ea9648,1.31,unsure,"该文献属于口腔修复领域的原创技术说明，但摘要仅提及""scanning software""的trim and lock功能，未明确说明是否为非牙科专用3D软件，无法据此排除或确认符合Concept标准。",无,无,无
31,The all-on-4 concept in the maxilla-A biomechanical analysis involving high performance polymers.,"A finite element analysis was used to determine the loading behavior of a full ""All-on-4"" bridge in ",2026-09-10 20:36:31,deepseek-flash,ef673ccd-6547-4496-bfa2-8938cd085a55,1.06,unsure,该研究属于口腔种植（All-on-4）领域的有限元生物力学分析，符合口腔医学范畴；但摘要未明确说明所使用的有限元建模/分析软件名称，无法判断是否使用了非牙科专用3D软件（如ANSYS、ABAQUS等），故需进入全文复核。,无,无,无
28,Influence of the frameworks of implant-supported prostheses and implant connections on stress distribution.,BACKGROUND: The maintenance of marginal bone integrity around dental implants continues to be a clin,2026-09-10 20:36:31,deepseek-flash,850f9575-c586-479f-8372-84e000ecc6ff,1.49,unsure,该文献属于口腔种植修复领域，但摘要仅提及CAD/CAM系统，未明确说明是否使用了非牙科专用3D软件，信息不足无法判断。,无,无,无
29,Assessing the Volume of the Head of the Mandibular Condyle Using 3T-MRI-A Preliminary Trial.,"Due to potentially harmful exposure to X-rays, condylar growth in response to orthodontic treatment ",2026-09-10 20:36:32,deepseek-flash,1df73032-b97e-48a5-b17a-d0af1240493b,1.5,unsure,"该研究属于口腔医学（颞下颌关节/正畸）范畴，使用了MATLAB进行3D重建与分割，但MATLAB是否属于""非牙科专用3D软件""及""dedicated software for image segmentation""具体为何不明确，信息不足以明确纳入或排除。",无,无,无
27,An Open Source Framework for Free Precise Digital Facial Analysis.,"In the dynamic landscape of digital healthcare and facial aesthetics, there is a rising demand for t",2026-09-10 20:36:32,deepseek-flash,c96ec7c7-9fde-4705-9138-1d3c671d6a17,1.81,include,该研究属于口腔颌面外科/面部美学范畴，明确使用了非牙科专用3D软件Blender进行面部三维重建与分析，文献类型为原创研究，符合纳入标准。,Blender®——用于面部摄影测量图像的三维重建及面部分析（选点、角度、测量）,口腔颌面外科（兼及面部美学、整形外科）,数字化面部分析、虚拟手术规划、面部美学评估与个性化治疗方案制定
30,Automated dentition segmentation: 3D UNet-based approach with MIScnn framework.,"INTRODUCTION: Advancements in technology have led to the adoption of digital workflows in dentistry,",2026-09-10 20:36:32,deepseek-flash,ba3153e7-1b0f-4610-bf77-b7c2354fbf1e,1.92,include,该研究属于口腔医学（牙科）领域，使用基于3D UNet的CNN模型进行CBCT牙齿分割，采用了MIScnn（Medical Image Segmentation CNN）框架，属于非牙科专用3D软件/框架，文献类型为原创研究，符合纳入标准。,MIScnn（Medical Image Segmentation CNN框架）——用于训练3D UNet模型并对CBCT扫描进行牙齿自动分割,口腔放射学/牙科影像（CBCT牙齿分割）,上颌及下颌牙列的自动分割，用于诊断、治疗计划和研究
32,An update on CAD-CAM usage for removable partial denture fabrication: A systematic review.,The accuracy of Computer-Aided Design and Computer-Aided Manufacturing (CAD-CAM) systems in the fabr,2026-09-10 20:36:32,deepseek-flash,32465db8-8836-4799-b413-be663a150d20,1.65,exclude,标题明确标注为系统综述（systematic review），属于非原创研究文献类型，不符合纳入标准。,无,无,无
33,Patient-Specific Implant Customization for Treatment of Internal Orbital Fractures Using Office-Based Three-Dimensional Printing.,OBJECTIVE: Three-dimensional (3D) modeling technology aids the reconstructive surgeon in designing a,2026-09-10 20:36:33,deepseek-flash,4ed6ccff-d1d4-41fc-a165-d345b3c89af1,2.21,include,该文献属于口腔颌面外科范畴，明确使用了非牙科专用3D软件iPlan 3.0 Cranial CMF（Brainlab）进行虚拟3D建模，并配合3D打印制作患者个性化植入物，符合纳入标准。,iPlan 3.0 Cranial CMF（Brainlab）——用于创建虚拟3D模型、设计个性化植入物及术后体积测量分析,口腔颌面外科（眶内骨折重建）,患者个性化植入物定制，用于眶内骨折的解剖复位与骨性眶体积恢复
34,OpenMandible: An open-source framework for highly realistic numerical modelling of lower mandible physiology.,OBJECTIVE: Computer modeling of lower mandible physiology remains challenging because prescribing re,2026-09-10 20:36:33,deepseek-flash,309dd72a-007d-4270-ad49-838be72d4f56,1.7,include,该研究属于口腔医学（下颌骨建模）范畴，明确使用了非牙科专用3D软件工具（C++软件工具、开源框架OpenMandible），且为原创研究，符合纳入标准。,OpenMandible（开源C++软件工具，用于生成仿真就绪的下颌骨有限元模型，处理CBCT和μCT影像数据）,口腔颌面外科/口腔修复（下颌骨生理建模、牙齿修复、种植体植入、下颌骨骨退化等）,下颌骨数值建模与仿真，用于研究虚拟治疗或疾病（如牙齿修复、种植体植入、骨退化）
35,Dental measurement procedure based on 3D analysis and data processing.,This paper introduces a novel methodology for the alignment and comparison of 3D digital models of i,2026-09-10 20:36:33,deepseek-flash,b6535962-c152-4277-b2d1-b508d3528860,1.68,unsure,该文献属于口腔医学范畴（修复/牙体预备教学），但摘要仅提及使用Aidite®牙科扫描仪，未明确说明是否使用了非牙科专用3D软件进行对齐、建模和数据分析，信息不足以判断。,无,无,无
36,PowerScope 2 functional appliance: A 3D finite element simulation of its action on the mandible.,PowerScope 2 is a fixed functional appliance for patients with Class II malocclusion and a retrognat,2026-09-10 20:36:33,deepseek-flash,4fb8e6e6-2b35-432b-a17a-6cb7af2f34e8,1.76,include,该研究属于口腔正畸领域，明确使用AutoCAD和Autodesk Inventor Professional等非牙科专用3D软件进行三维有限元建模与分析，符合纳入标准。,AutoCAD 2010（基于CT图像创建下颌骨及牙齿3D模型）；Autodesk Inventor Professional 2020（有限元分析）,口腔正畸（Class II错颌畸形矫治）,三维有限元仿真分析PowerScope 2功能矫治器对下颌骨的作用力、应力分布及位移
37,Root Canal Segmentation in CBCT Images by 3D U-Net with Global and Local Combination Loss.,Accurate root canal segmentation provides an important assistance for root canal therapy. The existi,2026-09-10 20:36:33,deepseek-flash,a50ac1c1-22d6-4d45-95af-6446bff065cb,1.49,unsure,该文献属于口腔医学（牙体牙髓/放射）范畴，涉及CBCT图像中根管分割的3D数据处理，但摘要未明确说明是否使用了非牙科专用3D软件（如3D Slicer、Mimics等），无法据此排除其可能性。,无,无,无
39,Patient Specific Classification of Dental Root Canal and Crown Shape.,This paper proposes machine learning approaches to support dentistry researchers in the context of i,2026-09-10 20:36:34,deepseek-flash,6349578d-aca1-4d8f-9adc-916a8b719a90,1.49,unsure,该文献属于口腔医学范畴（牙根管与牙冠形态分析），但摘要仅提及影像处理与机器学习方法，未明确说明是否使用了非牙科专用3D软件，信息不足无法判断。,无,无,无
40,"Low-Cost, High-Fidelity 3D-Printed Temporomandibular Joint (TMJ) Dislocation Reduction Task Trainer.",Temporomandibular joint (TMJ) dislocation is an emergency that requires prompt reduction to relieve ,2026-09-10 20:36:34,deepseek-flash,e9df72a8-5f91-4f00-9351-222415a7e788,1.49,include,该文献属于口腔颌面外科（颞下颌关节脱位复位）范畴，使用开源3D计算机辅助设计文件开发3D打印任务训练器，涉及非牙科专用3D软件（开源CAD软件），符合纳入标准。,开源3D计算机辅助设计（CAD）软件，用于设计颞下颌关节脱位复位训练模型,口腔颌面外科（颞下颌关节脱位）,医学模拟教育——3D打印颞下颌关节脱位复位训练器的设计与开发
38,Evaluation of misfit and stress distribution in implant-retained prosthesis obtained by different methods.,"This study evaluated the vertical misfit, passivity, and stress distribution after tightening the sc",2026-09-10 20:36:34,deepseek-flash,71d35d16-77fa-4750-8ab7-3cc6c40ff1fb,2.17,unsure,"该研究属于口腔种植修复领域，涉及CAD/CAM制作修复体，但摘要仅提及""CAD/CAM系统""，未明确说明是否使用了非牙科专用3D软件（如通用建模或逆向工程软件），信息不足以判断是否符合Concept标准。",无,无,无
41,A Unified Deep Learning Framework for Visual Diagnosis of Palatal Radicular Grooves in CBCT Scans: A Multicenter Validation Study.,INTRODUCTION: Palatal radicular grooves (PRGs) posed diagnostic challenges due to their complex root,2026-09-10 20:36:34,deepseek-flash,bea6e78a-4197-49c8-940c-477eee5b5595,1.22,unsure,该文献属于口腔医学（牙体牙髓/颌面放射）范畴，为原创研究且年份符合，但摘要仅描述深度学习框架（PRG-Net）用于CBCT三维可视化与诊断，未明确提及是否使用了非牙科专用3D软件，无法据此排除或确认。,无,无,无
42,AI-driven gingival segmentation on CBCT: Validation using delineation by intraoral scanning and CBCT-based cotton roll separation.,OBJECTIVES: To validate a novel AI approach for automated gingival segmentation directly from cone b,2026-09-10 20:36:34,deepseek-flash,44053744-0b2a-430e-8b92-dae9e2fa7d10,1.42,unsure,"该文献属于口腔医学范畴（牙周/美学牙科），涉及CBCT牙龈分割的3D建模，但摘要仅提及云平台（Virtual Patient Creator, Relu），未明确说明是否使用了非牙科专用3D软件，信息不足无法判断。",无,无,无
45,Evaluation of an AI-based segmentation model for mandibular fracture segmentation on CBCT using volumetric and 2D slice-based validation approaches.,OBJECTIVE: This study aimed to evaluate the diagnostic performance of an artificial intelligence (AI,2026-09-10 20:36:34,deepseek-flash,a8a18066-5ffe-4957-af66-faf6e20aaa43,1.22,unsure,"该研究属于口腔颌面外科领域，涉及CBCT三维数据处理与AI分割建模，但摘要未明确说明是否使用了非牙科专用3D软件（如nnU-Net为深度学习框架，非3D软件），无法判断是否符合""非牙科专用3D软件""这一核心概念，需全文复核。",无,无,无
43,The level of confidence of dentists in identifying intact and sectioned teeth.,OBJECTIVE: This study aimed to assess the confidence levels of dentists in identifying intact and se,2026-09-10 20:36:35,deepseek-flash,5075e5ed-299e-45b2-9bfc-d51de905f8db,1.55,include,该研究属于口腔医学（牙体解剖识别）范畴，摘要明确使用了非牙科专用3D软件ZBrush进行牙齿模型创建与操作，且为原创研究，符合纳入标准。,"ZBrush（Maxon Industries, Inc.）——用于创建和操作3D牙齿模型",口腔解剖学/牙体解剖学（口腔医学教育）,创建3D牙齿模型用于牙医识别完整牙与切片牙的信心评估研究
44,Effect of Different Restorative Materials on Stress Distribution around Dental Implants.,The purpose of this study was to evaluate the amount and distribution of stress in the implant-suppo,2026-09-10 20:36:35,deepseek-flash,e7af359f-c2c7-4d27-abdc-da0396afc315,1.48,unsure,该研究属于口腔种植领域，使用有限元分析进行3D建模与应力分析，但摘要未明确说明所使用的具体软件名称，无法判断是否使用了非牙科专用3D软件（如ANSYS、ABAQUS等），故需进入全文复核。,无,无,无
48,Guidelines for Orbital Defect Assessment and Patient-Specific Implant Design: Introducing OA(2) (Orbital Assessment Algorithm).,STUDY DESIGN: This study presents a review of the evolutionary development in reconstructive orbital,2026-09-10 20:36:35,deepseek-flash,6bdd8186-5522-4f75-bfe7-96956c4d88a6,1.12,exclude,"摘要明确表明该文为对过去30年眶重建手术演变的""comprehensive review""，属于综述类文献，不符合原创研究、技术说明或病例报告的文献类型要求。",无,无,无
47,Oriented tooth detection: a CBCT image processing method integrated with RoI transformer.,OBJECTIVES: Cone beam computed tomography (CBCT) has revolutionized dental imaging due to its high s,2026-09-10 20:36:35,deepseek-flash,40400ea4-bf21-4a44-87e9-663ced90d5cd,1.49,unsure,该文献属于口腔放射学领域，涉及CBCT图像处理与3D重建，但摘要未明确提及是否使用了非牙科专用3D软件（如3D Slicer、Mimics等），无法据此排除，需进入全文复核。,无,无,无
49,Developing an Artificial Intelligence Solution to Autosegment the Edentulous Mandibular Bone for Implant Planning.,OBJECTIVE: Dental implants are considered the optimum solution to replace missing teeth and restore ,2026-09-10 20:36:35,deepseek-flash,1b6cfb48-fcf7-40d9-969e-b7391e720091,1.45,include,该研究属于口腔种植领域的原创研究，明确使用了非牙科专用3D软件ITK-SNAP进行CBCT图像分割，符合纳入标准。,ITK-SNAP（用于CBCT图像中无牙区牙槽骨的手动分割标注）,口腔种植学（种植规划）,基于CBCT图像的无牙颌牙槽骨自动分割与种植术前规划
46,A Comparative study on the Effectiveness of Augmented Reality on Denture Tooth Selection.,"One of the most difficult aspects of providing removable dentures, for both the patient and the dent",2026-09-10 20:36:35,deepseek-flash,0d97019d-5db5-404c-9484-ef99f31920e5,1.79,unsure,"该研究属于口腔修复学范畴，涉及3D扫描与增强现实（AR）技术，但摘要未明确说明是否使用了非牙科专用3D软件（如通用3D建模或医学影像软件），信息不足以判断是否符合""非牙科专用3D软件""这一核心纳入标准。",无,无,无
50,The Effect of Defect Morphology and Membrane Fixation on 3D Graft Material Displacement During Primary Wound Closure in Horizontal Bone Augmentation-An Ex Vivo Study.,OBJECTIVES: This preclinical study evaluated the influence of two defect morphologies on graft mater,2026-09-10 20:36:36,deepseek-flash,e4eb2b1e-7465-4158-b8a2-c943ef86f306,1.12,unsure,该文献属于口腔医学（水平骨增量）范畴，为原创研究，但摘要未提及是否使用了非牙科专用3D软件，无法明确判断，需进入全文复核。,无,无,无
52,Anterior Esthetic Rehabilitation with Computer-Aided Design/Computer-Aided Manufacturing Zirconia: A Case Report.,"In layered zirconia prosthesis, the choice of zirconia composition, framework design, and shade is c",2026-09-10 20:36:36,deepseek-flash,716e4c71-9b32-458e-a7ec-7b2a84aa75b6,1.26,unsure,该文献属于口腔修复领域的病例报告，涉及CAD/CAM氧化锆修复，但摘要未明确说明所使用的具体软件类型，无法判断是否使用了非牙科专用3D软件，需进入全文复核。,无,无,无
51,A comprehensive technique using digital workflow to improve an unpleasant smile: A clinical report.,"By utilising open-source digital software, clinicians can create an integrative digital workflow com",2026-09-10 20:36:36,deepseek-flash,c8886131-3c8d-4bbf-819b-237b4c8cc1ee,1.36,include,该文献为临床病例报告，属于口腔修复学范畴，摘要明确提及使用了开源数字软件及advanced 3D sculpting software（非牙科专用3D软件）进行微笑设计和3D建模，符合纳入标准。,开源数字软件（open-source digital software）及advanced 3D sculpting software，用于创建微笑设计的3D模型,口腔修复学（前牙美学修复）,微笑设计、虚拟仿真、3D建模、树脂模型制作及陶瓷贴面修复
53,Scanning Accuracy of 10 Intraoral Scanners for Single-crown and Three-unit Fixed Denture Preparations: An In Vitro Study.,OBJECTIVE: To evaluate the accuracy of 10 intraoral scanners for single-crown and three-unit prepara,2026-09-10 20:36:36,deepseek-flash,6c6bf33a-018e-4ea4-8f99-b4f29952884e,1.33,exclude,该研究仅评估口内扫描仪的扫描精度，摘要中未涉及任何非牙科专用3D软件的使用，且其核心内容为扫描仪硬件性能比较，不涉及通用3D软件的数据处理、分析或建模。,无,无,无
54,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,"Correct implant placement is necessary for satisfactory implant restoration. Therefore, the use of s",2026-09-10 20:36:36,deepseek-flash,41f12764-8b56-48bf-b130-ea47ea27833d,1.32,unsure,该文献属于口腔种植领域，涉及计算机辅助种植手术（静态导板），但摘要未提及是否使用了非牙科专用3D软件（如用于导板设计或偏差分析的软件），信息不足，无法明确判断。,无,无,无
55,Management of Total Frontal Bone Loss After Surgery for Craniosynostosis: The Modified Visor Bone Flap With Brain Cage.,Complications after craniosynostosis surgery occur in 11% to 36% of cases and may be precipitated by,2026-09-10 20:36:37,deepseek-flash,3971d318-f0bf-40c2-bd79-a38d1398fc8b,1.42,exclude,该文献主题为颅缝早闭术后额骨缺损的重建，属于颅面外科/神经外科范畴，而非口腔医学领域；且摘要未涉及口腔医学任何学科的临床实践或研究。,无,无,无
57,A Self-Supervised Deep Framework for Reference Bony Shape Estimation in Orthognathic Surgical Planning.,Virtual orthognathic surgical planning involves simulating surgical corrections of jaw deformities o,2026-09-10 20:36:37,deepseek-flash,29f0f558-f939-4704-b4f8-e141557455ec,1.17,unsure,该文献属于口腔颌面外科（正颌手术）范畴，涉及3D面部骨性模型的深度学习处理，但摘要未明确说明是否使用了非牙科专用3D软件，无法据此排除，需进入全文复核。,无,无,无
60,Romero dental modification system from 2D diagrammatic representation to 3D digital models.,The Romero Dental Modification System offers a standardised framework for classifying intentional de,2026-09-10 20:36:37,deepseek-flash,620ae350-fc19-4e7a-afc3-f720d42a7ee6,0.91,exclude,"该文献明确为综述（review），摘要中""Twenty-three studies...were reviewed""表明是对已有研究的系统回顾与综合，属于非原创研究类型，不符合纳入标准。",无,无,无
56,TCFNet: Bidirectional face-bone transformation via a Transformer-based coarse-to-fine point movement network.,"Computer-aided surgical simulation is a critical component of orthognathic surgical planning, where ",2026-09-10 20:36:37,deepseek-flash,7a5e0b55-c1af-4e9b-b0fb-bc5fbfbc84d5,1.44,unsure,该文献属于口腔颌面外科（正颌手术）领域，涉及面部-骨骼点云的三维变换，但摘要未明确说明是否使用了非牙科专用3D软件（如3D Slicer、Mimics、Blender等），仅提及深度学习网络框架，无法明确判断软件类型。,无,无,无
