_nt,Title,期刊,Item Type,流程原因,命中软件,判定,理由,原始返回
effect of framework material and gyroid lattice design on the biomechanics of all on four full arch prostheses,Effect of framework material and gyroid lattice design on the biomechanics of all-on-four full-arch prostheses.,BMC oral health,journalArticle,No non-dental 3D software identified,3D Slicer; Blender; HyperMesh,E1,该研究为口腔种植修复领域的有限元原创研究，全文明确使用非牙科3D软件3D Slicer进行CT数据分割、Blender进行几何精修、HyperMesh进行网格划分，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植修复领域的有限元原创研究，全文明确使用非牙科3D软件3D Slicer进行CT数据分割、Blender进行几何精修、HyperMesh进行网格划分，符合全部纳入标准。"
stress distribution in titanium and zirconia implants with full arch prostheses a finite element analysis,Stress distribution in titanium and zirconia implants with full-arch prostheses: a finite element analysis.,BMC oral health,journalArticle,No non-dental 3D software identified,Blender; Hypermesh,E1,该研究为口腔种植领域原创有限元研究，全文明确使用非牙科3D软件 Blender 和 Hypermesh 进行建模与网格优化。,"【判定】: E1
【理由】: 该研究为口腔种植领域原创有限元研究，全文明确使用非牙科3D软件 Blender 和 Hypermesh 进行建模与网格优化。"
the geometric relationship between root length and root surface area determined from digital tooth models,The geometric relationship between root length and root surface area determined from digital tooth models.,Computers in biology and medicine,journalArticle,No non-dental 3D software identified,Meshmixer,E1,该研究属口腔解剖学/牙体牙髓主题，全文明确使用非牙科专用3D软件 Meshmixer 对牙齿3D模型进行根冠分割，且为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔解剖学/牙体牙髓主题，全文明确使用非牙科专用3D软件 Meshmixer 对牙齿3D模型进行根冠分割，且为原创研究，符合全部纳入标准。"
multi architecture deep learning for cbct segmentation of dental hard tissues and pulp in mixed dentition,Multi-Architecture deep learning for CBCT segmentation of dental hard tissues and pulp in mixed dentition.,Journal of dentistry,journalArticle,No non-dental 3D software identified,ITK-SNAP,E1,该研究属口腔放射/牙体牙髓领域的原创研究，且全文明确将CBCT数据导入非牙科专用3D软件ITK-SNAP进行半自动分割与三维主动轮廓建模。,"【判定】: E1
【理由】: 该研究属口腔放射/牙体牙髓领域的原创研究，且全文明确将CBCT数据导入非牙科专用3D软件ITK-SNAP进行半自动分割与三维主动轮廓建模。"
automated micro ct quantification of clear aligner fit a pilot comparison of manufacturing processes,Automated micro-CT quantification of clear aligner fit: a pilot comparison of manufacturing processes.,BMC oral health,journalArticle,No non-dental 3D software identified,Mimics,E1,该研究属口腔正畸领域原创研究，且全文明确将 Mimics（Materialise）作为本研究手动分割验证的工具使用。,"【判定】: E1
【理由】: 该研究属口腔正畸领域原创研究，且全文明确将 Mimics（Materialise）作为本研究手动分割验证的工具使用。"
development of micro ct based anatomically accurate tooth model for finite element analysis of composite restorations,Development of Micro-CT-Based Anatomically Accurate Tooth Model for Finite Element Analysis of Composite Restorations.,Dentistry journal,journalArticle,No non-dental 3D software identified,3D Slicer; Blender; COMSOL Multiphysics; Meshmixer; Solid Edge; ZBrush; Zbrush,E1,该原创研究在方法中明确使用非牙科3D软件 3D Slicer 进行 micro-CT 分割、Blender 进行表面修整、Solid Edge 进行网格修复，属口腔修复学 FEA 建模，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在方法中明确使用非牙科3D软件 3D Slicer 进行 micro-CT 分割、Blender 进行表面修整、Solid Edge 进行网格修复，属口腔修复学 FEA 建模，符合全部纳入标准。"
application of temporary patient specific plate in head and neck osteocutaneous free flap reconstruction a prospective pilot study,Application of temporary patient-specific plate in head and neck osteocutaneous free flap reconstruction: a prospective pilot study.,Frontiers in oral health,journalArticle,No non-dental 3D software identified,3-matic,E1,该前瞻性原创研究在口腔颌面修复重建中自身使用非牙科专用3D软件3-matic 13.0进行手术导板/TPSP设计及术后模型配准与偏差分析，符合全部纳入标准。,"【判定】: E1
【理由】: 该前瞻性原创研究在口腔颌面修复重建中自身使用非牙科专用3D软件3-matic 13.0进行手术导板/TPSP设计及术后模型配准与偏差分析，符合全部纳入标准。"
a step by step guide for implementation of virtual surgical applications and patient data centralization practical experience and lessons learned,A step-by-step guide for implementation of virtual surgical applications and patient data centralization: practical experience and lessons learned.,3D printing in medicine,journalArticle,Not an original research report,Mimics,E1,该文为原创技术说明，主题涉及口腔颌面外科（腭部腺样囊性癌切除的VSP），且全文明确使用非牙科专用软件Mimics Innovation Suite进行虚拟手术规划。,"【判定】: E1
【理由】: 该文为原创技术说明，主题涉及口腔颌面外科（腭部腺样囊性癌切除的VSP），且全文明确使用非牙科专用软件Mimics Innovation Suite进行虚拟手术规划。"
individual high precision 3d mandibular model for finite element analysis of three unit bridges a biomechanical pilot study,"Individual, High-Precision 3D Mandibular Model for Finite Element Analysis of Three-Unit Bridges: A Biomechanical Pilot Study.",Journal of functional biomaterials,journalArticle,No non-dental 3D software identified,3D Slicer; Abaqus,E1,该原创研究在口腔修复/生物力学主题下，全文明确使用非牙科软件 3D Slicer 进行分割重建、Abaqus 进行有限元分析，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在口腔修复/生物力学主题下，全文明确使用非牙科软件 3D Slicer 进行分割重建、Abaqus 进行有限元分析，符合全部纳入标准。"
a finite element analysis of a dental implant with a conformal lattice structure a parametric exploration under occlusal loading,A finite element analysis of a dental implant with a conformal lattice structure: a parametric exploration under occlusal loading.,Biomedical physics & engineering express,journalArticle,No non-dental 3D software identified,ANSYS; Abaqus; Geomagic Studio; HyperMesh; Mimics; SolidWorks; geomagic wrap,E1,"该研究为牙种植体有限元分析的原创研究，全文明确使用非牙科软件ANSYS Workbench进行有限元前处理与分析（""imported into ANSYS Workbench 2023 R1 for finite element preprocessing and analysis""），符合全部纳入标准。","【判定】: E1
【理由】: 该研究为牙种植体有限元分析的原创研究，全文明确使用非牙科软件ANSYS Workbench进行有限元前处理与分析（""imported into ANSYS Workbench 2023 R1 for finite element preprocessing and analysis""），符合全部纳入标准。"
electromagnetic navigation in mandibular reconstruction using autologous grafts a color coded assistance for precise positioning of bone segments,Electromagnetic Navigation in Mandibular Reconstruction Using Autologous Grafts: A Color-Coded Assistance for Precise Positioning of Bone Segments.,Computational and structural biotechnology journal,journalArticle,No non-dental 3D software identified,Mimics,E1,"该研究为口腔颌面外科原创研究，全文明确使用非牙科专用3D软件Mimics进行骨表面分割（""Bone surfaces are segmented using Mimics""），符合纳入标准。","【判定】: E1
【理由】: 该研究为口腔颌面外科原创研究，全文明确使用非牙科专用3D软件Mimics进行骨表面分割（""Bone surfaces are segmented using Mimics""），符合纳入标准。"
comparison of biomechanical performance of custom implants with different designs under functional load a finite element analysis,Comparison of biomechanical performance of custom implants with different designs under functional load: a finite element analysis.,BMC oral health,journalArticle,No non-dental 3D software identified,Blender; HyperMesh,E1,该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科3D软件Blender进行逆向工程与三维CAD建模、HyperMesh进行网格划分，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科3D软件Blender进行逆向工程与三维CAD建模、HyperMesh进行网格划分，符合全部纳入标准。"
accuracy and generalizability of an open source deep learning model for facial bone segmentation on ct and cbct scans an ex vivo study,Accuracy and generalizability of an open-source deep learning model for facial bone segmentation on CT and CBCT scans: An ex vivo study.,Journal of dentistry,journalArticle,No non-dental 3D software identified,3D Slicer; ITK-Snap,E1,该研究属口腔颌面放射领域，自身使用非牙科专用软件 ITK-SNAP 进行 DICOM 转 NIfTI 格式转换及 3D Slicer 扩展进行分割建模，为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属口腔颌面放射领域，自身使用非牙科专用软件 ITK-SNAP 进行 DICOM 转 NIfTI 格式转换及 3D Slicer 扩展进行分割建模，为原创研究，符合全部纳入标准。"
comparison of low dose standard dose and high definition cbct protocols for stl reconstruction accuracy in digital bone scaffold workflows,"Comparison of Low-Dose, Standard-Dose, and High-Definition CBCT Protocols for STL Reconstruction Accuracy in Digital Bone Scaffold Workflows.",International journal of dentistry,journalArticle,No non-dental 3D software identified,3D Slicer; CloudCompare; cloudcompare,E1,该原创研究在口腔颌面骨缺损CBCT重建中自身使用了非牙科软件3D Slicer进行分割、CloudCompare进行网格配准与偏差分析。,"【判定】: E1
【理由】: 该原创研究在口腔颌面骨缺损CBCT重建中自身使用了非牙科软件3D Slicer进行分割、CloudCompare进行网格配准与偏差分析。"
influence of transmucosal contour on peri implant soft tissue dimensions a cross sectional study in posterior single tooth implants,Influence of Transmucosal Contour on Peri-Implant Soft Tissue Dimensions: A Cross-Sectional Study in Posterior Single-Tooth Implants.,Journal of esthetic and restorative dentistry : official publication of the American Academy of Esthetic Dentistry ... [et al.],journalArticle,No non-dental 3D software identified,AutoCAD; Geomagic Control X,E1,该研究为口腔种植领域的原创横断面研究，全文明确使用非牙科专用3D软件Geomagic Control X和AutoCAD进行三维测量分析。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创横断面研究，全文明确使用非牙科专用3D软件Geomagic Control X和AutoCAD进行三维测量分析。"
evaluation of the effects of diameter length splinted or nonsplinted form and crown to implant ratio on the stress distribution around extra short implants in the posterior mandible finite element analysis,"Evaluation of the Effects of Diameter, Length, Splinted or Nonsplinted Form, and Crown-to-Implant Ratio on the Stress Distribution Around Extra-Short Implants in  the Posterior Mandible: Finite Element Analysis.",The International journal of oral & maxillofacial implants,journalArticle,No non-dental 3D software identified,3-Matic; 3-matic; ANSYS; Geomagic; Geomagic Studio; Mimics; SolidWorks,E1,该研究为口腔种植领域原创有限元研究，全文明确使用非牙科专用软件 Mimics 和 3-matic 进行CBCT数据三维建模与应力分析。,"【判定】: E1
【理由】: 该研究为口腔种植领域原创有限元研究，全文明确使用非牙科专用软件 Mimics 和 3-matic 进行CBCT数据三维建模与应力分析。"
three dimensional finite element analysis of temporomandibular joint stresses following botulinum toxin injection and occlusal splint therapy in bruxism,Three-dimensional finite element analysis of temporomandibular joint stresses following botulinum toxin injection and occlusal splint therapy in bruxism.,BMC oral health,journalArticle,No non-dental 3D software identified,3D Slicer; ANSYS; Ansys; SpaceClaim,E1,该研究为颞下颌关节生物力学的原创有限元研究，全文明确使用非牙科软件3D Slicer进行分割、ANSYS SpaceClaim/Workbench进行建模与求解，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为颞下颌关节生物力学的原创有限元研究，全文明确使用非牙科软件3D Slicer进行分割、ANSYS SpaceClaim/Workbench进行建模与求解，符合全部纳入标准。"
effect of simulated bur radius compensation on full contour cad crown morphology and trueness across tooth types an in silico study,Effect of simulated bur radius compensation on full-contour CAD crown morphology and trueness across tooth types. An in- silico study.,The Saudi dental journal,journalArticle,No non-dental 3D software identified,CloudCompare,E1,该in-silico研究属口腔修复学CAD冠主题，全文明确使用非牙科3D软件CloudCompare进行配准与点面距离计算以验证其测量流程，符合原创研究及时间范围要求。,"【判定】: E1
【理由】: 该in-silico研究属口腔修复学CAD冠主题，全文明确使用非牙科3D软件CloudCompare进行配准与点面距离计算以验证其测量流程，符合原创研究及时间范围要求。"
posterior implant angulation without cantilever reduction in mandibular all on 4 a controlled finite element analysis of stress transfer and implant macrodesign effects,Posterior implant angulation without cantilever reduction in mandibular All-on-4: a controlled finite element analysis of stress transfer and implant macrodesign  effects.,BMC oral health,journalArticle,No non-dental 3D software identified,3D-Doctor; ALGOR; Rhinoceros,E1,该研究为口腔种植领域的有限元分析原创研究，全文明确使用非牙科专用3D软件 Rhinoceros 4.0 进行几何装配建模、3D-Doctor 进行轮廓提取、ALGOR FEMPRO 进行有限元求解，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的有限元分析原创研究，全文明确使用非牙科专用3D软件 Rhinoceros 4.0 进行几何装配建模、3D-Doctor 进行轮廓提取、ALGOR FEMPRO 进行有限元求解，符合全部纳入标准。"
development of an automatic computer program to determine the optimal dental implant size and position for fibula free flap surgery,Development of an Automatic Computer Program to Determine the Optimal Dental Implant Size and Position for Fibula Free Flap Surgery.,Craniomaxillofacial trauma & reconstruction,journalArticle,No non-dental 3D software identified,MATLAB; Mimics,E1,该原创研究自身使用MATLAB开发自动程序进行腓骨瓣种植体3D定位规划，属口腔颌面外科/种植领域，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究自身使用MATLAB开发自动程序进行腓骨瓣种植体3D定位规划，属口腔颌面外科/种植领域，符合全部纳入标准。"
ai assisted identification of the medial lingual foramen on cbct a deep learning approach for preoperative implant assessment,AI-Assisted Identification of the Medial Lingual Foramen on CBCT: A Deep Learning Approach for Preoperative Implant Assessment.,"Medicina (Kaunas, Lithuania)",journalArticle,No non-dental 3D software identified,3D Slicer,E1,该研究属口腔颌面放射/种植领域原创研究，且全文明确使用非牙科专用3D软件3D Slicer进行手动标注分割。,"【判定】: E1
【理由】: 该研究属口腔颌面放射/种植领域原创研究，且全文明确使用非牙科专用3D软件3D Slicer进行手动标注分割。"
a novel guided zygomatic and pterygoid implant surgery system a human cadaver study on accuracy,A Novel Guided Zygomatic and Pterygoid Implant Surgery System: A Human Cadaver Study on Accuracy.,International journal of environmental research and public health,journalArticle,No non-dental 3D software identified,3-matic; mimics,E1,该人体尸体研究属口腔种植领域原创研究，全文明确使用非牙科专用3D软件Mimics和3-matic进行术前规划、分割与偏差分析。,"【判定】: E1
【理由】: 该人体尸体研究属口腔种植领域原创研究，全文明确使用非牙科专用3D软件Mimics和3-matic进行术前规划、分割与偏差分析。"
a reproducible optical microscopic framework for evaluating electronic apex locator performance in different irrigants using 3d printed transparent resin teeth,A reproducible optical-microscopic framework for evaluating electronic apex locator performance in different irrigants using 3D-printed transparent resin  teeth.,Frontiers in dental medicine,journalArticle,No non-dental 3D software identified,3D Slicer; Meshmixer,E1,该原创研究在牙体牙髓主题下，全文明确使用非牙科软件 3D Slicer 进行CBCT分割、Meshmixer 进行数字化开髓建模，符合全部纳入标准。,"【判定】: E1
【理由】: 该原创研究在牙体牙髓主题下，全文明确使用非牙科软件 3D Slicer 进行CBCT分割、Meshmixer 进行数字化开髓建模，符合全部纳入标准。"
biomechanical comparison of titanium and y tzp subperiosteal implants in atrophic maxilla a finite element study,Biomechanical comparison of titanium and Y-TZP subperiosteal implants in atrophic maxilla: a finite element study.,BMC oral health,journalArticle,No non-dental 3D software identified,3D Slicer; Blender; HyperMesh,E1,该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科专用软件3D Slicer进行CT分割、Blender进行几何精修、HyperMesh进行网格划分，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科专用软件3D Slicer进行CT分割、Blender进行几何精修、HyperMesh进行网格划分，符合全部纳入标准。"
concurrent computed tomography based evaluation of nasal morphology airway volume and skeletal changes following craniofacial distraction osteogenesis a pilot retrospective case series,"Concurrent computed tomography-based evaluation of nasal morphology, airway volume, and skeletal changes following craniofacial distraction osteogenesis: A  pilot retrospective case series.","Journal of stomatology, oral and maxillofacial surgery",journalArticle,Outside the scope of dentistry,Mimics,E1,该研究为口腔颌面外科原创病例系列，全文明确使用非牙科专用软件 Mimics 进行鼻部软组织指数测量与髁突体积分析，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究为口腔颌面外科原创病例系列，全文明确使用非牙科专用软件 Mimics 进行鼻部软组织指数测量与髁突体积分析，符合全部纳入标准。"
development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner,Development of an experimental model for assessment of palatal tissue decomposition by intraoral scanner.,Forensic science international,journalArticle,No non-dental 3D software identified,GOM Inspect,E1,该研究属法医口腔领域，全文明确使用非牙科3D软件 GOM Inspect 对腭部扫描网格进行裁剪、曲率分析与模式识别，且为原创研究，符合全部纳入标准。,"【判定】: E1
【理由】: 该研究属法医口腔领域，全文明确使用非牙科3D软件 GOM Inspect 对腭部扫描网格进行裁剪、曲率分析与模式识别，且为原创研究，符合全部纳入标准。"
predicting site specific alveolar bone remodeling in class iii decompensation a preliminary study based on a data driven rbf framework,Predicting site-specific alveolar bone remodeling in class III decompensation: a preliminary study based on a data-driven RBF framework.,BMC oral health,journalArticle,Other / not classifiable,Mimics,E1,该研究为口腔正畸原创研究，全文明确使用非牙科专用3D软件Mimics（Materialise Mimics Medical）对CBCT的DICOM数据进行三维重建与分割，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔正畸原创研究，全文明确使用非牙科专用3D软件Mimics（Materialise Mimics Medical）对CBCT的DICOM数据进行三维重建与分割，符合纳入标准。"
detecting mandible fractures in cbct scans using a 3 stage neural network,Detecting Mandible Fractures in CBCT Scans Using a 3-Stage Neural Network.,Journal of dental research,journalArticle,No non-dental 3D software identified,ITK-SNAP,E1,该原创研究属口腔颌面放射领域，且全文明确使用非牙科专用3D软件ITK-SNAP进行CBCT下颌骨及骨折的逐层分割标注。,"【判定】: E1
【理由】: 该原创研究属口腔颌面放射领域，且全文明确使用非牙科专用3D软件ITK-SNAP进行CBCT下颌骨及骨折的逐层分割标注。"
fit and retention of complete denture bases part ii conventional impressions versus digital scans a clinical controlled crossover study,Fit and retention of complete denture bases: Part II - conventional impressions versus digital scans: A clinical controlled crossover study.,The Journal of prosthetic dentistry,journalArticle,No non-dental 3D software identified,Geomagic Control; Geomagic Control X,E1,该临床对照交叉研究属口腔修复学，全文明确使用非牙科3D分析软件Geomagic Control X 2020进行扫描数据配准与拟合分析，符合原创研究及2020年后英文发表要求。,"【判定】: E1
【理由】: 该临床对照交叉研究属口腔修复学，全文明确使用非牙科3D分析软件Geomagic Control X 2020进行扫描数据配准与拟合分析，符合原创研究及2020年后英文发表要求。"
experimental study on dimensional variations of 3d printed dental models based on printing orientation,Experimental study on dimensional variations of 3D printed dental models based on printing orientation.,Clinical case reports,journalArticle,No non-dental 3D software identified,Autocad; Geomagic; Geomagic Control X,E1,该原创研究属口腔医学（3D打印牙科模型精度），全文明确使用非牙科专用3D软件 Geomagic Control X 进行3D扫描数据比对分析。,"【判定】: E1
【理由】: 该原创研究属口腔医学（3D打印牙科模型精度），全文明确使用非牙科专用3D软件 Geomagic Control X 进行3D扫描数据比对分析。"
comparison of the reproducibility of maxillary position transfer with a mechanical facebow and those with facial scanning and cone beam computed tomography based on a method of model orientation using anatomical landmarks,"Comparison of the reproducibility of maxillary position transfer with a mechanical facebow and those with facial scanning and cone beam computed  tomography, based on a method of model orientation using anatomical landmarks.",Journal of prosthodontics : official journal of the American College of Prosthodontists,journalArticle,No non-dental 3D software identified,Geomagic; Geomagic Control X; Mimics,E1,该研究属口腔修复学原创研究，全文明确使用非牙科3D软件 Geomagic Wrap、Geomagic Control X 和 Mimics 进行模型修改、坐标系重建与模型定向。,"【判定】: E1
【理由】: 该研究属口腔修复学原创研究，全文明确使用非牙科3D软件 Geomagic Wrap、Geomagic Control X 和 Mimics 进行模型修改、坐标系重建与模型定向。"
accuracy of intraoral optical scan versus stereophotogrammetry for complete arch digital implant impression an in vitro study,Accuracy of intraoral optical scan versus stereophotogrammetry for complete-arch digital implant impression: An in vitro study.,Journal of prosthodontic research,journalArticle,No non-dental 3D software identified,Cam HyperMill; Geomagic Studio,E1,该研究为口腔修复/种植领域的体外原创研究，全文明确使用非牙科专用3D软件 Geomagic Studio 12 进行STL文件对齐与偏差分析，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔修复/种植领域的体外原创研究，全文明确使用非牙科专用3D软件 Geomagic Studio 12 进行STL文件对齐与偏差分析，符合纳入标准。"
accuracy of the implant replica positions on the complete edentulous additive manufactured cast,Accuracy of the Implant Replica Positions on the Complete Edentulous Additive Manufactured Cast.,Journal of prosthodontics : official journal of the American College of Prosthodontists,journalArticle,No non-dental 3D software identified,Geomagic,E1,"该研究属口腔修复/种植领域原创研究，全文明确使用非牙科3D软件Geomagic进行最佳拟合与三维偏差计算（""using a CAD software program (Geomagic; 3D Systems...)""），符合全部纳入标准。","【判定】: E1
【理由】: 该研究属口腔修复/种植领域原创研究，全文明确使用非牙科3D软件Geomagic进行最佳拟合与三维偏差计算（""using a CAD software program (Geomagic; 3D Systems...)""），符合全部纳入标准。"
does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement a human cadaver study,Does the fixture thread depth affect the accuracy of implant placement during fully guided immediate implant placement?: A human cadaver study.,Clinical oral implants research,journalArticle,No non-dental 3D software identified,Geomagic,E1,该研究为口腔种植领域的原创尸体研究，全文明确使用非牙科3D软件 Geomagic Verify 进行光学印模的检查与叠加分析，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创尸体研究，全文明确使用非牙科3D软件 Geomagic Verify 进行光学印模的检查与叠加分析，符合纳入标准。"
rehabilitation of the severely atrophic maxilla with subperiosteal implants a biomechanical and decision analysis of material and configuration choices,Rehabilitation of the Severely Atrophic Maxilla with Subperiosteal Implants: A Biomechanical and Decision Analysis of Material and Configuration Choices.,"Biomimetics (Basel, Switzerland)",journalArticle,No non-dental 3D software identified,Abaqus; Blender; SolidWorks; Solidworks,E1,该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科专用3D软件 SolidWorks 建模、Abaqus 进行有限元分析，符合纳入标准。,"【判定】: E1
【理由】: 该研究为口腔种植领域的原创有限元研究，全文明确使用非牙科专用3D软件 SolidWorks 建模、Abaqus 进行有限元分析，符合纳入标准。"
