Title,_nt,原标注软件,PDF,结论,全文中出现的非牙科3D软件
Convolutional neural network for automated tooth segmentation on intraoral scans,convolutional neural network for automated tooth segmentation on intraoral scans,3-Matic,Wang 等 - 2024 - Convolutional neural network for automated tooth segmentation on intraoral scans..pdf,A_原标注软件在全文出现,3-matic
Evaluation of CBCT reconstructed tooth models at different thresholds and voxels and their accuracy in fusion with IOS data: an in vitro validation study.,evaluation of cbct reconstructed tooth models at different thresholds and voxels and their accuracy in fusion with ios data an in vitro validation study,Mimics;Geomagic Wrap,Zhang 等 - 2024 - Evaluation of CBCT reconstructed tooth models at different thresholds and voxels and their accuracy.pdf,A_原标注软件在全文出现,3-Matic; Geomagic; Geomagic Wrap; Geomagic wrap; Mimics
Technical considerations of computer-aided planning in severe orbital trauma: A retrospective study,technical considerations of computer aided planning in severe orbital trauma a retrospective study,Mimics,Fawzy 等 - 2022 - Technical considerations of computer-aided planning in severe orbital trauma A retrospective study.pdf,A_原标注软件在全文出现,Mimics
Automatic restoration and reconstruction of defective tooth based on deep learning technology,automatic restoration and reconstruction of defective tooth based on deep learning technology,Blender,Wu 等 - 2025 - Automatic restoration and reconstruction of defective tooth based on deep learning technology..pdf,A_原标注软件在全文出现,Blender
Accurate mandibular canal segmentation of dental CBCT using a two-stage 3D-UNet based segmentation framework,accurate mandibular canal segmentation of dental cbct using a two stage 3d unet based segmentation framework,ITK-SNAP,Lin 等 - 2023 - Accurate mandibular canal segmentation of dental CBCT using a two-stage 3D-UNet based segmentation f.pdf,A_原标注软件在全文出现,ITK-SNAP
Biomechanical comparison of different framework materials in mandibular overdenture prosthesis supported with implants of different sizes: a finite element analysis,biomechanical comparison of different framework materials in mandibular overdenture prosthesis supported with implants of different sizes a finite element analysis,HyperMesh,Güzelce S - 2023 - Biomechanical comparison of different framework materials in mandibular overdenture prosthesis suppo.pdf,A_原标注软件在全文出现,Hypermesh; Slicer
"Biomechanical behavior of titanium, cobalt-chromium, zirconia, and PEEK frameworks in implant-supported prostheses: a dynamic finite element analysis",biomechanical behavior of titanium cobalt chromium zirconia and peek frameworks in implant supported prostheses a dynamic finite element analysis,3D Slicer;HyperMesh;Hyperworks,"Sahin Hazir 等 - 2025 - Biomechanical behavior of titanium, cobalt-chromium, zirconia, and PEEK frameworks in implant-suppor.pdf",A_原标注软件在全文出现,Hypermesh; Hyperworks
Intra-oral scan segmentation using deep learning,intra oral scan segmentation using deep learning,Meshmixer,Vinayahalingam 等 - 2023 - Intra-oral scan segmentation using deep learning.pdf,A_原标注软件在全文出现,Meshmixer
A Finite Element Analysis Study of Edentulous Model with Complete Denture to Simulate Masticatory Movement,a finite element analysis study of edentulous model with complete denture to simulate masticatory movement,3-Matic,Lee 等 - 2024 - A Finite Element Analysis Study of Edentulous Model with Complete Denture to Simulate Masticatory Mo.pdf,A_原标注软件在全文出现,3-matic; Abaqus; SOLIDWORKS; SolidWorks
Effect of the prosthetic index on stress distribution in Morse taper connection implant system and peri-implant bone: a 3D finite element analysis,effect of the prosthetic index on stress distribution in morse taper connection implant system and peri implant bone a 3d finite element analysis,ug;Mimics;Magics,Zhang 等 - 2022 - Effect of the prosthetic index on stress distribution in Morse taper connection implant system and p.pdf,A_原标注软件在全文出现,Abaqus; Magics; Mimics
A case series on a new reference in mandibular angles harmonization: the Frontozygomatic-Infraorbital Line (FZ-IOL),a case series on a new reference in mandibular angles harmonization the frontozygomatic infraorbital line fz iol,Geomagic Freeform,Sanz 等 - 2024 - A case series on a new reference in mandibular angles harmonization the Frontozygomatic-Infraorbita.pdf,A_原标注软件在全文出现,Geomagic Freeform
Comparison of Artificial Intelligence-Based Applications for Mandible Segmentation: From Established Platforms to In-House-Developed Software,comparison of artificial intelligence based applications for mandible segmentation from established platforms to in house developed software,Mimics;3-Matic;Brainlab,Ileșan 等 - 2023 - Comparison of Artificial Intelligence-Based Applications for Mandible Segmentation From Established.pdf,A_原标注软件在全文出现,3-Matic; Brainlab; Mimics
Deep semi-supervised learning for automatic segmentation of inferior alveolar nerve using a convolutional neural network,deep semi supervised learning for automatic segmentation of inferior alveolar nerve using a convolutional neural network,Avizo,Lim 等 - 2021 - Deep semi-supervised learning for automatic segmentation of inferior alveolar nerve using a convolut.pdf,C_全文未出现任何非牙科3D软件名,
Three-Dimensional FEA Analysis of the Stress Distribution on Titanium and Graphene Frameworks Supported by 3 or 6-Implant Models,three dimensional fea analysis of the stress distribution on titanium and graphene frameworks supported by 3 or 6 implant models,ANSYS;Solid Edge,Desai 等 - 2023 - Three-Dimensional FEA Analysis of the Stress Distribution on Titanium and Graphene Frameworks Suppor.pdf,A_原标注软件在全文出现,Ansys; Hypermesh; Solid Edge
Evaluation of misfit and stress distribution in implant-retained prosthesis obtained by different methods.,evaluation of misfit and stress distribution in implant retained prosthesis obtained by different methods,Rhinoceros;ANSYS,Tonin 等 - 2021 - Evaluation of misfit and stress distribution in implant-retained prosthesis obtained by different me.pdf,C_全文未出现任何非牙科3D软件名,
Scanning Accuracy of 10 Intraoral Scanners for Single-crown and Three-unit Fixed Denture Preparations: An In Vitro Study.,scanning accuracy of 10 intraoral scanners for single crown and three unit fixed denture preparations an in vitro study,Geomagic Wrap;Geomagic Design X,1.pdf.pdf,B_全文出现其他非牙科3D软件,mimics
Effect of Occlusal Scheme and Bone-Level Implant Number and Position on Stress Distribution in Kennedy Class II Implant-Assisted Removable Partial Dentures: A  3D Finite Element Analysis.,effect of occlusal scheme and bone level implant number and position on stress distribution in kennedy class ii implant assisted removable partial dentures a 3d finite element analysis,SolidWorks,Barati 等 - 2025 - Effect of Occlusal Scheme and Bone-Level Implant Number and Position on Stress Distribution in Kenne.pdf,A_原标注软件在全文出现,Abaqus; SolidWorks
Complete Digital Workflow for Evaluation of the Three-Dimensional Monson's Sphere Using Digital Scanning.,complete digital workflow for evaluation of the three dimensional monson s sphere using digital scanning,Geomagic Studio,Wen 等 - 2025 - Complete Digital Workflow for Evaluation of the Three-Dimensional Monson's Sphere Using Digital Scan.pdf,A_原标注软件在全文出现,Geomagic; Geomagic Studio
Automated Orientation and Registration of Cone-Beam Computed Tomography Scans.,automated orientation and registration of cone beam computed tomography scans,3D Slicer,Anchling 等 - 2023 - Automated Orientation and Registration of Cone-Beam Computed Tomography Scans..pdf,A_原标注软件在全文出现,3D Slicer; 3d slicer; Slicer
Assessment of the application of a novel three-dimension printing individualized titanium mesh in alveolar bone augmentation: A retrospective study,assessment of the application of a novel three dimension printing individualized titanium mesh in alveolar bone augmentation a retrospective study,Mimics;3-Matic,Liu 等 - 2024 - Assessment of the application of a novel three-dimension printing individualized titanium mesh in al.pdf,A_原标注软件在全文出现,3-Matic; Mimics
“Three-in-one” patient-specific surgical guides for simultaneous dental implants in fibula flap jaw reconstruction: A prospective case series,three in one patient specific surgical guides for simultaneous dental implants in fibula flap jaw reconstruction a prospective case series,3-Matic,Zhu 等 - 2021 - “Three‐in‐one” patient‐specific surgical guides for simultaneous dental implants in fibula flap jaw.pdf,A_原标注软件在全文出现,3-Matic
Intra Oral Photogrammetry: Trueness Evaluation of Novel Technology for Implant Complete-Arch Digital Impression In Vitro,intra oral photogrammetry trueness evaluation of novel technology for implant complete arch digital impression in vitro,Cam HyperMill,Pozzi 等 - 2025 - Intra Oral Photogrammetry Trueness Evaluation of Novel Technology for Implant Complete‐Arch Digital.pdf,A_原标注软件在全文出现,Cam HyperMill
Artificial intelligence and mixed reality for dental implant planning: A technical note,artificial intelligence and mixed reality for dental implant planning a technical note,Meshmixer;Magics,Mangano 等 - 2024 - Artificial intelligence and mixed reality for dental implant planning A technical note..pdf,A_原标注软件在全文出现,Geomagic; Geomagic Control; Magics; MeshMixer
Validation of a novel AI-based automated multimodal image registration of CBCT and intraoral scan aiding presurgical implant planning,validation of a novel ai based automated multimodal image registration of cbct and intraoral scan aiding presurgical implant planning,Mimics;3-Matic,Elgarba 等 - 2024 - Validation of a novel AI ‐based automated multimodal i.pdf,A_原标注软件在全文出现,Mimics
Clinical evaluation of autonomous robotic-assisted full-arch implant surgery: A 1-year prospective clinical study.,clinical evaluation of autonomous robotic assisted full arch implant surgery a 1 year prospective clinical study,3-Matic;Geomagic Studio,Xie 等 - 2024 - Clinical evaluation of autonomous robotic-assisted full-arch implant surgery A 1-year prospective c.pdf,A_原标注软件在全文出现,Geomagic; Geomagic Studio; Mimics
Accuracy and safety of a haptic operated and machine vision controlled collaborative robot for dental implant placement: A?translational study.,accuracy and safety of a haptic operated and machine vision controlled collaborative robot for dental implant placement a translational study,Mimics;3-Matic;Geomagic Studio,Qiao 等 - 2023 - Accuracy and safety of a haptic operated and machine vision controlled collaborative robot for denta.pdf,A_原标注软件在全文出现,Geomagic; Geomagic studio; Mimics
/Does the geometry of scan bodies affect the alignment accuracy of computer-aided design in implant digital workflow: An in vitro study?,does the geometry of scan bodies affect the alignment accuracy of computer aided design in implant digital workflow an in vitro study,Geomagic Control X,Pan 等 - 2022 - Does the geometry of scan bodies affect the alignment accuracy of computer-aided design in implant d.pdf,B_全文出现其他非牙科3D软件,Geomagic; Geomagic Control
Automatic virtual reconstruction of maxillofacial bone defects assisted by ICP (iterative closest point) algorithm and normal people database,automatic virtual reconstruction of maxillofacial bone defects assisted by icp iterative closest point algorithm and normal people database,Brainlab;Geomagic Control X,Jie 等 - 2022 - Automatic virtual reconstruction of maxillofacial bone defects assisted by ICP (iterative closest po.pdf,A_原标注软件在全文出现,Brainlab; Geomagic; Geomagic Control; Geomagic Control X
Local mechanical stresses can explain the mechanoregulation of bone healing after mandibular reconstruction: an in silico study,local mechanical stresses can explain the mechanoregulation of bone healing after mandibular reconstruction an in silico study,Amira;SolidWorks;ABAQUS;Geomagic Freeform,Orassi 等 - 2025 - Local mechanical stresses can explain the mechanoregulation of bone healing after mandibular reconst.pdf,A_原标注软件在全文出现,Abaqus; Amira; Geomagic Freeform; SolidWorks
Multi-objective optimization for enhanced digitalization in direct 3D printing: an application in dentistry,multi objective optimization for enhanced digitalization in direct 3d printing an application in dentistry,Mimics,Sharma 等 - 2025 - Multi-objective optimization for enhanced digitalization in direct 3D printing an application in de.pdf,B_全文出现其他非牙科3D软件,Geomagic; Meshmixer
3D model construction and biomechanical analysis of temporomandibular joint disc perforation based on arthrography,3d model construction and biomechanical analysis of temporomandibular joint disc perforation based on arthrography,Mimics;3-Matic;ANSYS;Geomagic Wrap,Wang 等 - 2025 - 3D model construction and biomechanical analysis of temporomandibular joint disc perforation based o.pdf,A_原标注软件在全文出现,3-Matic; ANSYS; Geomagic; Geomagic Wrap; Mimics
Dental measurement procedure based on 3D analysis and data processing.,dental measurement procedure based on 3d analysis and data processing,GOM Inspect;CloudCompare;3-Matic;Geomagic Control X,Berenguer-Vidal 等 - 2025 - Dental measurement procedure based on 3D analysis and data processing..pdf,A_原标注软件在全文出现,3-matic; Cloudcompare; GOM Inspect; Geomagic control X; Mimics
Influence of Implant Dimensions in the Resorbed and Bone Augmented Mandible: A Finite Element Study.,influence of implant dimensions in the resorbed and bone augmented mandible a finite element study,Fusion 360,Forna 等 - 2020 - Influence of Implant Dimensions in the Resorbed and Bone Augmented Mandible A Finite Element Study.pdf,C_全文未出现任何非牙科3D软件名,
Automated generation of implant-supported bar attachment system for patient-specific edentulous mandible: parametric modelling and finite element analysis,automated generation of implant supported bar attachment system for patient specific edentulous mandible parametric modelling and finite element analysis,Rhinoceros;MeViSLab;ANSYS,Jemaa 等 - 2025 - Automated generation of implant-supported bar attachment system for patient-specific edentulous mand.pdf,A_原标注软件在全文出现,ANSYS; MeVisLab; Rhinoceros; osirix
How to predict the future face? A 3D methodology to forecast the aspect of patients after orthognathic surgeries,how to predict the future face a 3d methodology to forecast the aspect of patients after orthognathic surgeries,ZBrush,Olivetti 等 - 2025 - How to predict the future face A 3D methodology to forecast the aspect of patients after orthognath.pdf,B_全文出现其他非牙科3D软件,Blender
Automatic Pulp and Teeth Three-Dimensional Modeling of Single and Multi-Rooted Teeth Based on Cone-Beam Computed Tomography Imaging: A Promising Approach With  Clinical and Therapeutic Outcomes.,automatic pulp and teeth three dimensional modeling of single and multi rooted teeth based on cone beam computed tomography imaging a promising approach with clinical and therapeutic outcomes,3D Slicer,Harris 等 - 2023 - Automatic Pulp and Teeth Three-Dimensional Modeling of Single and Multi-Rooted Teeth Based on Cone-B.pdf,A_原标注软件在全文出现,3D Slicer
Advanced Simulation System for Orbitozygomatic Fracture Reconstruction: Multicenter Validation of a Novel Training and Objective Assessment Platform.,advanced simulation system for orbitozygomatic fracture reconstruction multicenter validation of a novel training and objective assessment platform,Blender;Fusion 360;Meshmixer,Vargas 等 - 2025 - Advanced Simulation System for Orbitozygomatic Fracture Reconstruction Multicenter Validation of a.pdf,A_原标注软件在全文出现,Blender; Fusion 360; Meshmixer
"Biomechanical Evaluation of Stress Distribution in Equicrestal and Sub-crestally Placed, Platform-Switched Morse Taper Dental Implants in D3 Bone: Finite Element  Analysis.",biomechanical evaluation of stress distribution in equicrestal and sub crestally placed platform switched morse taper dental implants in d3 bone finite element analysis,3D Slicer;CATIA;HyperMesh,"Ellendula 等 - 2022 - Biomechanical Evaluation of Stress Distribution in Equicrestal and Sub-crestally Placed, Platform-Sw.pdf",A_原标注软件在全文出现,3D Slicer; CATIA; Hypermesh
In-House Three-Dimensional Printing in Orbital Reconstructive Surgery: A Case Report and Future Perspectives.,in house three dimensional printing in orbital reconstructive surgery a case report and future perspectives,3D Slicer;Meshmixer,Ferreira De Barros 等 - 2024 - In-House Three-Dimensional Printing in Orbital Reconstructive Surgery A Case Report and Future Pers.pdf,A_原标注软件在全文出现,3D Slicer; Meshmixer; Slicer
The role of cortical zone level and prosthetic platform angle in dental implant mechanical response: A 3D finite element analysis,the role of cortical zone level and prosthetic platform angle in dental implant mechanical response a 3d finite element analysis,Rhinoceros;Geomagic Studio,Ausiello 等 - 2021 - The role of cortical zone level and prosthetic platform angle in dental implant mechanical response.pdf,A_原标注软件在全文出现,ANSYS; Geomagic Studio; Rhinoceros
Accuracy of metal 3D printed frameworks for removable partial dentures evaluated by digital superimposition,accuracy of metal 3d printed frameworks for removable partial dentures evaluated by digital superimposition,Geomagic Control X,Oh 等 - 2022 - Accuracy of metal 3D printed frameworks for removable partial dentures evaluated by digital superimp.pdf,A_原标注软件在全文出现,Geomagic Control X
Assessing the physical and mechanical properties of 3D printed acrylic material for denture base application,assessing the physical and mechanical properties of 3d printed acrylic material for denture base application,Tinkercad,Altarazi 等 - 2022 - Assessing the physical and mechanical properties of 3D printed acrylic material for denture base app.pdf,A_原标注软件在全文出现,Tinkercad; radiant
OpenMandible: An open-source framework for highly realistic numerical modelling of lower mandible physiology.,openmandible an open source framework for highly realistic numerical modelling of lower mandible physiology,Mimics,Vukicevic 等 - 2021 - OpenMandible An open-source framework for highly realistic numerical modelling of lower mandible ph.pdf,A_原标注软件在全文出现,ANSYS; Abaqus; Geomagic; Geomagic Studio; MeshLab; Mimics
Unleashing the potency of multi-segmental DCIA flap in mandibular reconstruction with the aid of virtual surgery-A retrospective cohort study,unleashing the potency of multi segmental dcia flap in mandibular reconstruction with the aid of virtual surgery a retrospective cohort study,Mimics,Lin 等 - 2025 - Unleashing the potency of multi-segmental DCIA flap in mandibular reconstruction with the aid of vir.pdf,A_原标注软件在全文出现,Mimics
Development of automatic landmark identification for mandible using curvature-based registration,development of automatic landmark identification for mandible using curvature based registration,3D Slicer,Yonemitsu 等 - 2025 - Development of automatic landmark identification for mandible using curvature-based registration.pdf,A_原标注软件在全文出现,3D Slicer
Automated tooth segmentation in magnetic resonance scans using deep learning - A pilot study,automated tooth segmentation in magnetic resonance scans using deep learning a pilot study,ITK-SNAP,Flügge 等 - 2025 - Automated tooth segmentation in magnetic resonance scans using deep learning - A pilot study..pdf,A_原标注软件在全文出现,ITK-SNAP
Comparison Study of Extraction Accuracy of 3D Facial Anatomical Landmarks Based on Non-Rigid Registration of Face Template,comparison study of extraction accuracy of 3d facial anatomical landmarks based on non rigid registration of face template,MeshLab;Geomagic Studio,Wen 等 - 2023 - Comparison Study of Extraction Accuracy of 3D Facial Anatomical Landmarks Based on Non-Rigid Registr.pdf,A_原标注软件在全文出现,Geomagic Studio; Meshlab
Artificial Intelligence for 3D Reconstruction from 2D Panoramic X-rays to Assess Maxillary Impacted Canines,artificial intelligence for 3d reconstruction from 2d panoramic x rays to assess maxillary impacted canines,3D Slicer,Minhas 等 - 2024 - Artificial Intelligence for 3D Reconstruction from 2D Panoramic X-rays to Assess Maxillary Impacted.pdf,A_原标注软件在全文出现,3D Slicer; 3D slicer
Evaluation of the Influence of Build Orientation on the Surface Roughness and Flexural Strength of 3D-Printed Denture Base Resin and Its Comparison with  CAD-CAM Milled Denture Base Resin.,evaluation of the influence of build orientation on the surface roughness and flexural strength of 3d printed denture base resin and its comparison with cad cam milled denture base resin,MOI,Alharethi - 2024 - Evaluation of the Influence of Build Orientation on the Surface Roughness and Flexural Strength of 3.pdf,A_原标注软件在全文出现,
Integrating Digital Feedback Into Competency-Based Medical Education for Crown Preparation Skill Acquisition: A Pre-Post Study of Dental Interns in Taiwan,integrating digital feedback into competency based medical education for crown preparation skill acquisition a pre post study of dental interns in taiwan,Mimics,Chang 等 - 2026 - Integrating Digital Feedback Into Competency‐Based Medical Education for Crown Preparation Skill Acq.pdf,A_原标注软件在全文出现,Mimics; mimics
Design of an interactive system for access cavity assessment: A novel feedback tool for preclinical endodontics,design of an interactive system for access cavity assessment a novel feedback tool for preclinical endodontics,3D Slicer,Choi 等 - 2023 - Design of an interactive system for access cavity assessment A novel feedback tool for preclinical.pdf,A_原标注软件在全文出现,3D Slicer; slicer
The accuracy of automated facial landmarking - a comparative study between Cliniface software and patch-based Convoluted Neural Network algorithm.,the accuracy of automated facial landmarking a comparative study between cliniface software and patch based convoluted neural network algorithm,Cliniface,Al-Baker 等 - 2025 - The accuracy of automated facial landmarking - a comparative study between Cliniface software and pa.pdf,A_原标注软件在全文出现,Cliniface
Secondary Mandible Reconstruction with Computer-Assisted-Surgical Simulation and Patient-Specific Pre-Bent Plates: The Algorithm of Virtual Planning and Limitations Revisited,secondary mandible reconstruction with computer assisted surgical simulation and patient specific pre bent plates the algorithm of virtual planning and limitations revisited,Brainlab,Bhandari 等 - 2022 - Secondary Mandible Reconstruction with Computer-Assisted-Surgical Simulation and Patient-Specific Pr.pdf,A_原标注软件在全文出现,Brainlab
A 3-D Finite Element Analysis of a Single Implant Retained Overdenture Reinforced with Short Versus Long Frameworks.,a 3 d finite element analysis of a single implant retained overdenture reinforced with short versus long frameworks,Inventor;ANSYS,El-Okl - 2021 - A 3-D Finite Element Analysis of a Single Implant Retained Overdenture Reinforced with Short Versus.pdf,A_原标注软件在全文出现,ANSYS; Inventor
3D imaging for dental identification: a pilot investigation of a novel segmentation method using an intra oral scanning device,3d imaging for dental identification a pilot investigation of a novel segmentation method using an intra oral scanning device,Meshmixer;CloudCompare,Perkins 等 - 2025 - 3D imaging for dental identification a pilot investigation of a novel segmentation method using an.pdf,A_原标注软件在全文出现,CloudCompare; MeshMixer
Digital Hybrid Model Preparation for Virtual Planning of Reconstructive Dentoalveolar Surgical Procedures,digital hybrid model preparation for virtual planning of reconstructive dentoalveolar surgical procedures,3D Slicer,Palkovics 等 - 2021 - Digital Hybrid Model Preparation for Virtual Planning of Reconstructive Dentoalveolar Surgical Proce.pdf,A_原标注软件在全文出现,3D Slicer
Automated reconstruction: Predictive models based on facial morphology matrices.,automated reconstruction predictive models based on facial morphology matrices,MeViSLab,Mbonani 等 - 2024 - Automated reconstruction Predictive models based on facial morphology matrices..pdf,A_原标注软件在全文出现,MeVisLab
A Comparative Study on a Novel Fibula Malleolus Cap to Increase the Accuracy of Oncologic Jaw Reconstruction,a comparative study on a novel fibula malleolus cap to increase the accuracy of oncologic jaw reconstruction,3-Matic,Pu 等 - 2021 - A Comparative Study on a Novel Fibula Malleolus Cap to Increase the Accuracy of Oncologic Jaw Recons.pdf,A_原标注软件在全文出现,3-Matic
An innovative additively manufactured implant for mandibular injuries: Design and preparation processes based on simulation model.,an innovative additively manufactured implant for mandibular injuries design and preparation processes based on simulation model,Mimics;3-Matic;ANSYS,Zheng 等 - 2022 - An innovative additively manufactured implant for mandibular injuries Design and preparation proces.pdf,A_原标注软件在全文出现,3-Matic; ANSYS; Mimics
A Framework to Enhance the Experience of CBCT Data in Real-Time Using Immersive Virtual Reality: Impacting Dental Pre-Surgical Planning,a framework to enhance the experience of cbct data in real time using immersive virtual reality impacting dental pre surgical planning,Unity,Bhat 等 - 2024 - A Framework to Enhance the Experience of CBCT Data in Real-Time Using Immersive Virtual Reality Imp.pdf,A_原标注软件在全文出现,3D Slicer; 3d slicer; Unity; unity
Realizing in-house algorithm-driven free fibula flap set up within 24 hours: a pilot study evaluating accuracy with open-source tools,realizing in house algorithm driven free fibula flap set up within 24 hours a pilot study evaluating accuracy with open source tools,Blender;3D Slicer,Vollmer 等 - 2023 - Realizing in-house algorithm-driven free fibula flap set up within 24 hours a pilot study evaluatin.pdf,A_原标注软件在全文出现,3D Slicer; 3D slicer; Blender; Slicer; slicer
Comparing the accuracy and treatment time of a robotic and dynamic navigation system in osteotomy and root-end resection: An in vitro study,comparing the accuracy and treatment time of a robotic and dynamic navigation system in osteotomy and root end resection an in vitro study,Geomagic Wrap,Liu 等 - 2025 - Comparing the accuracy and treatment time of a robotic and dynamic navigation system in osteotomy an-1.pdf,A_原标注软件在全文出现,Geomagic Wrap; Geomagic wrap
An automatic approach to establish clinically desired final dental occlusion for one-piece maxillary orthognathic surgery.,an automatic approach to establish clinically desired final dental occlusion for one piece maxillary orthognathic surgery,Blender,Deng 等 - 2020 - An automatic approach to establish clinically desired final dental occlusion for one-piece maxillary.pdf,C_全文未出现任何非牙科3D软件名,
Contactless surface registration of featureless anatomy using structured light camera: application to fibula navigation in mandible reconstruction.,contactless surface registration of featureless anatomy using structured light camera application to fibula navigation in mandible reconstruction,3D Slicer;CloudCompare,Cuau 等 - 2023 - Contactless surface registration of featureless anatomy using structured light camera application t.pdf,A_原标注软件在全文出现,3D Slicer; CloudCompare; cloudcompare
Fibular registration using surface matching in navigation-guided osteotomies: a proof of concept study on 3D-printed models.,fibular registration using surface matching in navigation guided osteotomies a proof of concept study on 3d printed models,3D Slicer,de Boutray 等 - 2022 - Fibular registration using surface matching in navigation-guided osteotomies a proof of concept stu.pdf,A_原标注软件在全文出现,3D Slicer; Brainlab; CloudCompare; Solidworks; cloudcompare; slicer
Computer-aided design and fabrication of nasal prostheses: a semi-automated algorithm using statistical shape modeling,computer aided design and fabrication of nasal prostheses a semi automated algorithm using statistical shape modeling,Meshmixer,Bannink 等 - 2024 - Computer-aided design and fabrication of nasal prostheses a semi-automated algorithm using statisti.pdf,A_原标注软件在全文出现,Meshmixer; meshmixer
Depth-based registration of 3D preoperative models to intraoperative patient anatomy using the HoloLens 2,depth based registration of 3d preoperative models to intraoperative patient anatomy using the hololens 2,3D Slicer,Kerkhof 等 - 2025 - Depth-based registration of 3D preoperative models to intraoperative patient anatomy using the HoloL.pdf,A_原标注软件在全文出现,3D Slicer; slicer; unity
Automated calculation of ontology-based planning proposals: An application in reconstructive oral and maxillofacial surgery,automated calculation of ontology based planning proposals an application in reconstructive oral and maxillofacial surgery,CloudCompare,Hagen 等 - 2023 - Automated calculation of ontology-based planning proposals An application in reconstructive oral an.pdf,A_原标注软件在全文出现,CloudCompare
The development of computer-aided patient-specific template design software for 3D printing in cranio-maxillofacial surgery,the development of computer aided patient specific template design software for 3d printing in cranio maxillofacial surgery,ug;Geomagic Studio,Memon 等 - 2021 - The development of computer‐aided patient‐specific template design software for 3D printing in crani.pdf,A_原标注软件在全文出现,Geomagic Studio; Geomagic studio; Magics; Mimics; Solidworks
