Title,_nt,Key,DOI,Journal,Item Type,Date,Year,Dental Specialty,Software Used (fixed),Application Scenario,Region,study_type,判定理由,国家来源
Realization of a Dental Framework by 3D Printing in Material Cobalt-Chromium with Superior Precision and Fitting Accuracy,realization of a dental framework by 3d printing in material cobalt chromium with superior precision and fitting accuracy,4QDY3R9M,10.3390/ma13235390,MATERIALS,journalArticle,20-Dec,2020,Prosthodontics,ATOS Professional (GOM),3D Data Analysis and Accuracy Assessment,DEU,in_vitro,"Shape deviations and shape variance analysis as compared to the original CAD data is provided by stripe line projection using Atos Core and ATOS Professional V8-SR1 software (GOM, Brunswick, Germany).",Crossref
Assessing the Effect of Interimplant Distance and Angle on Different Impression Techniques,assessing the effect of interimplant distance and angle on different impression techniques,WQU7Y7H4,10.3390/machines10050293,MACHINES,journalArticle,22-May,2022,Prosthodontics,Rapidform,3D Data Analysis and Accuracy Assessment,TUR,in_vitro,"""During distance and angle measurements, first, all STL data obtained with the impressions were transferred to Rapidform (INUS Technology Inc., Seoul, South Korea) reverse engineering software.""",Crossref
The impact of mixed reality training method on novice trainees of dental implants: an in vitro study,the impact of mixed reality training method on novice trainees of dental implants an in vitro study,S22NI99I,10.1186/s12903-025-06366-8,BMC ORAL HEALTH,journalArticle,2025/8/27,2025,Oral Implantology,Geomagic Control,3D Data Analysis and Accuracy Assessment,CHN,in_vitro,"""The relative position between implant placement and planned implant location was subsequently observed via the software Geomagic Control.""",模型判读机构
Sex and age biological variation of the mandible in a Portuguese population- a forensic and medico-legal approaches with three-dimensional analysis,sex and age biological variation of the mandible in a portuguese population a forensic and medico legal approaches with three dimensional analysis,7YA2AMRR,10.1016/j.scijus.2021.08.004,SCIENCE & JUSTICE,journalArticle,21-Nov,2021,Prosthodontics,Mimics,Image Segmentation and 3D Reconstruction,PRT,clinical,"CBCT were imported into Mimics Innovation Suite 17.0 software (Materialise, Leuven, Belgium) and reconstructed to generate 3D craniofacial images.",全文机构
Virtual reality and 3D printing in head and neck cancer: an educational experience,virtual reality and 3d printing in head and neck cancer an educational experience,SJNPSVRX,10.3389/fonc.2025.1695870,FRONTIERS IN ONCOLOGY,journalArticle,2026/1/8,2026,Oral and Maxillofacial Surgery,Mimics Innovation Suite,Image Segmentation and 3D Reconstruction,ITA,educational,"""Exported DICOM from CT of a mandibular solid tumour and angio-CT of lower limbs data were segmented with Mimics Innovation Suite (Materialise).""",全文机构
Evaluation of Root Angulations Through Panoramic Films Using Artificial Intelligence,evaluation of root angulations through panoramic films using artificial intelligence,AAF545N2,10.3390/diagnostics16040634,DIAGNOSTICS,journalArticle,2026/2/22,2026,Orthodontics,3D Slicer,3D Data Analysis and Accuracy Assessment,TUR,computational,"""The same measurements were independently performed manually by an experienced examiner (D.¸S.) using 3D Slicer software (version 5.8.1), an open-source medical image analysis platform; these manual measurements served as the reference standard for accu- racy assessment.""",Crossref
Precise sparse-view dental crown reconstruction via 3D Gaussian neural fields,precise sparse view dental crown reconstruction via 3d gaussian neural fields,YTX9I6KD,10.1016/j.bspc.2025.108680,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,journalArticle,26-Feb,2026,Orthodontics,CloudCompare,Image Segmentation and 3D Reconstruction,CHN,computational,We used Cloudcompare software to manually extract the crown area of the scanned 3D model of the oral cavity as the basis for subsequent experiments.,全文机构
Influence of age-related changes on crack growth trajectories and toughening mechanisms in human dentin,influence of age related changes on crack growth trajectories and toughening mechanisms in human dentin,6P4BE843,10.1016/j.dental.2022.09.009,DENTAL MATERIALS,journalArticle,22-Nov,2022,Prosthodontics,ABAQUS,Biomechanical Analysis and Simulation,USA,computational,We use a staggered scheme in a user-defined element subroutine (UEL) into Abaqus to solve the phase field and displacement problems suggested by Molnar and Gravouil [34].,全文机构
Combining 3D Multi-Object Reconstruction with Finite Element Analysis for Accurate Dental Modelling and Restoration,combining 3d multi object reconstruction with finite element analysis for accurate dental modelling and restoration,LIFEJWBH,10.1016/j.identj.2025.109318,INTERNATIONAL DENTAL JOURNAL,journalArticle,26-Feb,2026,Prosthodontics,ANSYS,Biomechanical Analysis and Simulation,SAU,computational,"""The next phase involved generating 3D solid meshes of the anatomical structures and integrating them into a unified model using ANSYS (Release 14)."" 以及 ""Analyses were performed in ANSYS Mechanical, Static Structural System, using the sparse direct solver...""",全文机构
Lateral stress distribution analysis on hafnium metal bar for implant superstructure- A finite element analysis.,lateral stress distribution analysis on hafnium metal bar for implant superstructure a finite element analysis,KJ67GB6M,10.1016/j.jobcr.2025.11.003,Journal of oral biology and craniofacial research,journalArticle,26-Feb,2026,Oral Implantology,SolidWorks;HyperMesh;ABAQUS,Biomechanical Analysis and Simulation,IND,computational,"""Three primary software platforms were used: SolidWorks 2021 for computer-aided design (CAD) of the mandibular model and prosthetic components, HyperMesh 14 for mesh generation and refinement, and Abaqus 6.14 for simulation and stress analysis.""",全文机构
Evaluation of trueness and precision of removable partial denture metal frameworks manufactured with digital technology and different materials,evaluation of trueness and precision of removable partial denture metal frameworks manufactured with digital technology and different materials,ATX75SMI,10.4047/jap.2023.15.2.55,JOURNAL OF ADVANCED PROSTHODONTICS,journalArticle,23-Apr,2023,Prosthodontics,GOM Inspect,3D Data Analysis and Accuracy Assessment,ITA,in_vitro,"Data were processed using GOM Inspect software (Handonmetrology, Zeiss group, Oberko-chen, Germany).",Crossref
"Effect of implant number, attachment type, and framework material on stress distribution in mandibular overdentures: a finite element analysis",effect of implant number attachment type and framework material on stress distribution in mandibular overdentures a finite element analysis,SE8L9A5N,10.1186/s12903-026-08137-5,BMC ORAL HEALTH,journalArticle,2026/4/20,2026,Prosthodontics,3D Slicer;ANSYS SpaceClaim;ANSYS Workbench;LS-DYNA,Biomechanical Analysis and Simulation,TUR,computational,"""DICOM data were imported into 3D Slicer (Slicer Community, 2023)... The STL mandible was then imported into ANSYS SpaceClaim software for detailed geometric processing... The meshes prepared in ANSYS Workbench software were then exported to the LS-DYNA solver for finite element stress analysis.""",全文机构
Accuracy evaluation of dental CBCT and scanned model registration method based on pulp horn mapping surface: an in vitro proof-of-concept,accuracy evaluation of dental cbct and scanned model registration method based on pulp horn mapping surface an in vitro proof of concept,2U8ZWJEZ,10.1186/s12903-024-04565-3,BMC ORAL HEALTH,journalArticle,2024/7/22,2024,Endodontics,MATLAB;Geomagic Wrap,Image Segmentation and 3D Reconstruction,CHN,in_vitro,"""We used Matlab 2020b (MathWorks, USA) for image filtering, segmentation, 3D reconstruction, and registration error calculation, and used reverse engineering software Geomagic warp 2017 (3D System, USA, Morrisville) for extraction of target teeth and processing of 3D point cloud."" 以及 ""the triangular mesh of the dentition was collected by an oral scanning device and imported into the 'Geomagic wrap' software.""",模型判读机构
Enlarge the Error Prediction Dataset in 3-D Printing: An Unsupervised Dental Crown Mesh Generator,enlarge the error prediction dataset in 3 d printing an unsupervised dental crown mesh generator,96FVBXB8,10.1109/TCSS.2024.3417388,IEEE Transactions on Computational Social Systems,journalArticle,24-Dec,2024,Prosthodontics,Blender,Digital Design and Manufacturing,CHN,computational,"""In this article, we use a UV sphere as a mesh template, which is generated with the Blender software""",Crossref
An application framework of 3D assessment image registration accuracy and untouched surface area in canal instrumentation laboratory research with micro-computed tomography,an application framework of 3d assessment image registration accuracy and untouched surface area in canal instrumentation laboratory research with micro computed tomography,52HGP6QH,10.1007/s00784-022-04819-w,CLINICAL ORAL INVESTIGATIONS,journalArticle,23-Feb,2023,Endodontics,3D Slicer;MeVisLab,3D Data Analysis and Accuracy Assessment,CHN,in_vitro,"""The pre- and post-operative images were registered by four techniques, including 3D-slicer manual registration, 3D-slicer Elastix registration, 3D-slicer surface registration, and DataViewer registration (3D registration). The open-source 3D-slicer (V4.1.1) software (Harvard SPL, Boston, MA, USA) provided the platform for the 3D registration module execution."" 以及 ""The purpose of this ex vivo study was to create a customized framework by using MeVisLab software to investigate the registration ac",全文机构
"Comparison between relining of ill-fitted maxillary complete denture versus CAD/CAM milling of new one regarding patient satisfaction, denture retention and adaptation",comparison between relining of ill fitted maxillary complete denture versus cad cam milling of new one regarding patient satisfaction denture retention and adaptation,4JN55E2T,10.1186/s12903-024-05298-z,BMC ORAL HEALTH,journalArticle,2025/1/4,2025,Prosthodontics,Geomagic Control X,3D Data Analysis and Accuracy Assessment,EGY,clinical,"""the STL file was imported to a three-D measurement program (Geomagic Control X, 3D Systems, United States) software to flip the fitting surface of the dentures to resemble the intra-oral tissue surface to build and superimpose STL files using first initial alignment and then best-fit alignment""",全文机构
Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,accuracy of static computer assisted implant placement in posterior edentulous areas with different levels of tooth support by novice clinicians,69LQ9WZ4,10.1922/EJPRD_2494Abduo10,The European journal of prosthodontics and restorative dentistry,journalArticle,2023/11/30,2023,Oral Implantology,Geomagic Control X,3D Data Analysis and Accuracy Assessment,USA,in_vitro,"""which was followed by automated best fit alignment of the models by a 3-dimensional rendering software (Geomagic Control X, Raindrop, Geomagic Inc., Research Triangle Park, NC, United States)""",全文机构
Geometric accuracy of magnetic resonance imaging-derived virtual 3-dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography: A porcine cadaver study,geometric accuracy of magnetic resonance imaging derived virtual 3 dimensional bone surface models of the mandible in comparison to computed tomography and cone beam computed tomography a porcine cadaver study,4SXNSXGG,10.1111/cid.13033,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,journalArticle,21-Oct,2021,Oral and Maxillofacial Surgery,Mimics;3-matic,3D Data Analysis and Accuracy Assessment,DEU,in_vitro,"""DICOM data of MRI, CT, and CBCT were imported into specialized medical image processing software (Mimics, Materialise; Leuven, Belgium)."" 以及 ""were imported into 3-dimensional modeling software (3-matic, Materialise; Leuven, Belgium)"" 和 ""global 3-dimensional geometric deviations between the imaging modalities were measured in 3-matic""",Crossref
Three-Dimensional Hemisided Analysis of the Pharyngeal Airway: A Novel Technical Strategy to Evaluate Asymmetric Remodeling After Orthognathic Surgery,three dimensional hemisided analysis of the pharyngeal airway a novel technical strategy to evaluate asymmetric remodeling after orthognathic surgery,E84ZXP9F,10.1097/SCS.0000000000011985,JOURNAL OF CRANIOFACIAL SURGERY,journalArticle,25-Dec,2025,Orthodontics,Meshmixer,Image Segmentation and 3D Reconstruction,JPN,technical_note,"The exported STL model of the total airway was imported into Meshmixer software (v. 3.5; Autodesk, San Rafael, CA) for further analysis (Fig. 5). Crucially, the model was imported while preserving the spatial orientation established by the craniofacial coordinate system in the source software. The partitioning of the airway into right and left hemisides was performed using a cutting plan",全文机构
Digital Workflow with Open-Source CAD-CAM Software Aimed to Design a Customized 3D Laser-Printed Titanium Mesh for Guided Bone Regeneration,digital workflow with open source cad cam software aimed to design a customized 3d laser printed titanium mesh for guided bone regeneration,E3EJX7HU,10.3390/bioengineering12050436,BIOENGINEERING-BASEL,journalArticle,2025/4/22,2025,Oral and Maxillofacial Surgery,Meshmixer,Digital Design and Manufacturing,ITA,case_report,"The STL file of the virtual bone defect model showing the initial alveolar bone atrophy was imported into open-source CAD-CAM software (OSCS, Meshmixer, Version 3.5.474, Autodesk, San Francisco, CA, USA).",Crossref
Evaluation of Zirconia and High Performance Polymer Abutment Surface Roughness and Stress Concentration for Implant-Supported Fixed Dental Prostheses,evaluation of zirconia and high performance polymer abutment surface roughness and stress concentration for implant supported fixed dental prostheses,S2SASU6I,10.3390/coatings12020238,COATINGS,journalArticle,22-Feb,2022,Prosthodontics,Rhinoceros;ANSYS,Biomechanical Analysis and Simulation,ITA,computational,"The 3D file in Standard for the Exchange of Product Data (STEP) from implant (10 mm × 4.1 mm), hybrid abutment (2.7 mm × 3.2 mm) and screw have been created according to the manufacturer's information and dataset in the modelling software (Rhinoceros version 5.0 SR8, 2013, McNeel North America, Seattle, WA, USA). ... The solid model was exported to the computer aided engineering (CAE) software (ANSYS 19.0, 2018, ANSYS Inc., Houston, TX, USA)",Crossref
A micro-CT-integrated 3D simulation framework reveals fluid transport mechanisms and void dynamics in root canal biomaterials,a micro ct integrated 3d simulation framework reveals fluid transport mechanisms and void dynamics in root canal biomaterials,6DBVHM5M,10.1038/s41598-026-43796-y,SCIENTIFIC REPORTS,journalArticle,2026/3/10,2026,Endodontics,MeshLab,Biomechanical Analysis and Simulation,NLD,computational,"""Segmented void geometries were converted into stereolithography (STL) meshes and refined in MeshLab.""",全文机构
Biomechanical analysis of All-on-4 implant supported framework using different materials across various clinical practice,biomechanical analysis of all on 4 implant supported framework using different materials across various clinical practice,ZMQU8EMV,10.1186/s12903-025-05928-0,BMC ORAL HEALTH,journalArticle,2025/4/12,2025,Prosthodontics,Mimics;Geomagic Studio;SolidWorks;ANSYS,Biomechanical Analysis and Simulation,CHN,computational,"CT images were imported in digital imaging and communications in medicine (DICOM) format into Mimics (21.0, Materialise) software and converted to STL format. Reverse modeling was done in Geomagic Studio... Frameworks with different cantilever lengths were created using CAD software (SolidWorks 2020; Dassault Systems SolidWorks Corp)... The models were imported into the FEA software (ANSYS 18.2.2; ANSYS Inc) in parasolid format.",全文机构
Development and validation of a robotic system for milling individualized jawbone cavities in oral and maxillofacial surgery,development and validation of a robotic system for milling individualized jawbone cavities in oral and maxillofacial surgery,WWG3SIDR,10.1016/j.jdent.2024.105380,JOURNAL OF DENTISTRY,journalArticle,24-Nov,2024,Oral and Maxillofacial Surgery,Mimics;Geomagic Wrap,Image Segmentation and 3D Reconstruction,CHN,computational,"Using Mimics software (Materialise, Belgium), the maxilla and the impacted supernumerary tooth were accurately segmented, and the data were saved in STL format. The experimental model was created using Geomagic Wrap software (Geomagic Inc., USA)... In Geomagic Wrap software, the planned bone cavity necessary to fully expose the supernumerary tooth was designed... Geomagic Wrap software aligns the milled model with the reference model using manual and global registration functions",全文机构
A novel digital and visualized guided bone regeneration procedure and digital precise bone augmentation: A case series,a novel digital and visualized guided bone regeneration procedure and digital precise bone augmentation a case series,W2SGSLB2,10.1111/cid.12959,CLINICAL IMPLANT DENTISTRY AND RELATED RESEARCH,journalArticle,21-Feb,2021,Oral and Maxillofacial Surgery,3-matic 13.0;Mimics 21.0,Image Segmentation and 3D Reconstruction,CHN,clinical,"Through the volume analysis software (3-matic 13.0; Materialise, Leuven, Belgium), the alveolar bone volume before surgery (α) and the alveolar bone volume after virtual augmentation (VA) (β) were calculated. The digital software (Mimics 21.0; Materialise) was used to analyze the DICOM file to calculate the alveolar bone volume after surgery (γ)",Crossref
Clinical efficacy of maxillary digital removable partial dentures based on direct intraoral scanning and selective laser melting technology: a double-blind randomized controlled crossover clinical trial,clinical efficacy of maxillary digital removable partial dentures based on direct intraoral scanning and selective laser melting technology a double blind randomized controlled crossover clinical trial,F998RIHV,10.1016/j.jdent.2024.105542,JOURNAL OF DENTISTRY,journalArticle,25-Feb,2025,Prosthodontics,Geomagic Studio,3D Data Analysis and Accuracy Assessment,CHN,clinical,"""a computer fitting calculation was performed to determine the deviation value in Geomagic Studio (Geomagic Studio 2014, Geomagic Inc., NC, USA).""",全文机构
Trueness and marginal fit of implant-supported complete-arch fixed prosthesis frameworks made of high-performance polymers and titanium: An explorative in-vitro study,trueness and marginal fit of implant supported complete arch fixed prosthesis frameworks made of high performance polymers and titanium an explorative in vitro study,X8S8V6W9,10.1016/j.jdent.2021.103784,JOURNAL OF DENTISTRY,journalArticle,21-Oct,2021,Prosthodontics,GOM Inspect,3D Data Analysis and Accuracy Assessment,CHE,in_vitro,"The frameworks were then digitized with a high-precision industrial structured-light scanner (ATOS Compact Scan 5M, GOM GmbH, Braunschweig, Germany) to superimpose the resulting STL file with the CAD file using a metrology software (GOM Inspect V8 SR1, GOM GmbH, Braunschweig, Germany).",全文机构
Does Printing Orientation Matter in PolyJet 3D Printed Teeth for Endodontics? A Micro-CT Analysis,does printing orientation matter in polyjet 3d printed teeth for endodontics a micro ct analysis,K9ID822E,10.3390/jfb16120471,JOURNAL OF FUNCTIONAL BIOMATERIALS,journalArticle,2025/12/18,2025,Endodontics,MeshLab,Image Segmentation and 3D Reconstruction,PRT,in_vitro,"The STL models were imported into MeshLab software (version 2021.10; Visual Computing Lab, ISTI-CNR, Pisa, Italy) for qualitative analysis of root canal morphology and selection of the tooth to be replicated.",Crossref
Three-dimensional facial volume analysis using algorithm-based personalized aesthetic templates,three dimensional facial volume analysis using algorithm based personalized aesthetic templates,R7BP6AWA,10.1016/j.ijom.2020.01.013,INTERNATIONAL JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY,journalArticle,20-Oct,2020,Oral and Maxillofacial Surgery,Meshmixer;MATLAB,3D Data Analysis and Accuracy Assessment,NLD,clinical,"""a standardized template (Fig. 1, Video 1) with 12 aesthetic regions per facial half was designed using Meshmixer 3D software (Autodesk Inc., San Francisco, CA, USA)"" 以及 ""using the MATLAB v2017a (The Mathworks Inc., Natick, MA, USA) automatic landmark detection program""",全文机构
Effect of Palatal Vault Depth on the Trueness of Metal Laser-Sintered and Cast Cobalt-Chromium Removable Partial Denture Frameworks,effect of palatal vault depth on the trueness of metal laser sintered and cast cobalt chromium removable partial denture frameworks,ZF4BBLEI,10.1111/jopr.13558,JOURNAL OF PROSTHODONTICS-IMPLANT ESTHETIC AND RECONSTRUCTIVE DENTISTRY,journalArticle,23-Apr,2023,Prosthodontics,GOM Inspect,3D Data Analysis and Accuracy Assessment,EGY,in_vitro,"Trueness was veriﬁed by superimposing the output STL ﬁle of each framework on the STL of the virtual planned framework using the best-ﬁt algorithm of 3D data inspection software (GOM Inspect, GOM) to compare and calculate the deviation.",Crossref
"Individual, High-Precision 3D Mandibular Model for Finite Element Analysis of Three-Unit Bridges: A Biomechanical Pilot Study.",individual high precision 3d mandibular model for finite element analysis of three unit bridges a biomechanical pilot study,RC9HDKWL,10.3390/jfb17060285,Journal of functional biomaterials,journalArticle,2026/6/8,2026,Prosthodontics,3D Slicer;SIMULIA Abaqus;PTC Creo,Biomechanical Analysis and Simulation,HUN,computational,"""Segmentation was performed using the 3D Slicer software platform (version 5.6.2; https://www.slicer.org)."" 以及 ""the present study included a comparison between hyper elastic and linear elastic PDL material models using Dassault Systemes SIMULIA Abaqus 2020 software"" 以及 ""NURBS surface lofting in PTC Creo 12.4""",Crossref
"An open-source, three-dimensional growth model of the mandible.",an open source three dimensional growth model of the mandible,CLHU5JFE,10.1016/j.compbiomed.2024.108455,Computers in biology and medicine,journalArticle,24-Jun,2024,Oral and Maxillofacial Surgery,Brainlab Elements;Meshmixer,Image Segmentation and 3D Reconstruction,NLD,computational,"""the mandible was exported as a stereolithographic (STL) 3D model for further processing. Subsequently, the dental area, comprised of erupted teeth and alveolar bone, was manually selected by one of three observers (CK, VV, ETMK) and removed in Meshmixer (Autodesk Inc., San Rafael, CA, USA)."" 以及 ""semi-automatic segmentation in Brainlab Elements (Brainlab AG, Munich, Germany)""",全文机构
"Effect of printing technology, layer height, and orientation on assessment of 3D-printed models.",effect of printing technology layer height and orientation on assessment of 3d printed models,K9R7DQR7,10.1016/j.ejwf.2024.03.006,Journal of the World federation of orthodontists,journalArticle,24-Aug,2024,Orthodontics,Geomagic Control,3D Data Analysis and Accuracy Assessment,TUR,in_vitro,"Initially, the master STL ﬁle was imported as the reference model in the metrology software (Geomagic Control, version 2015.1.1; 3D Systems, Rock Hill, SC) and a custom region was selected... Then, each STL ﬁle from the scanned printed models was imported separately and superimposed with the master S",全文机构
