_nt,Title,期刊,Item Type,Key,PassA,PassB,判定,证据,软件,专科,应用场景,研究设计,原始返回
feasibility study and material selection for powder bed fusion process in printing of denture clasps,Feasibility study and material selection for powder-bed fusion process in printing of denture clasps.,Computers in biology and medicine,journalArticle,26HSVAMX,INCLUDE,INCLUDE,INCLUDE,"""no undercuts were made on the lingual surface using reverse engineering software (Geomagic Studio 2014, 3D Systems, US)""；""A cylindrical base was virtually added to the bottom of the abutment tooth using preparation software (Magics 21.0, Materialise, Belgium)""；""A cylindrical bar was virtually added to the top of the rest using the Geomagic Studio 2014 software""；""The scan data (Scan Data A) of each clasp specimen were initially aligned with the CAD data through N-point alignment using Geomagic S",Geomagic Studio 2014; Magics 21.0,Prosthodontics,Digital design and manufacturing,in_vitro,"【判定】: INCLUDE
【证据】: ""no undercuts were made on the lingual surface using reverse engineering software (Geomagic Studio 2014, 3D Systems, US)""；""A cylindrical base was virtually added to the bottom of the abutment tooth using preparation software (Magics 21.0, Materialise, Belgium)""；""A cylindrical bar was virtually added to the top of the rest using the Geomagic Studio 2014 software""；""The scan data (Scan Data A) of each clasp specimen were initially aligned with the CAD data through N-point alignment using Geomagic Studio 2014""
【软件】: Geomagic Studio 2014; Magics 21.0
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: in_vitro"
ortho opd an automatic osteotomy planes design model for orthognathic surgery based on deep learning,Ortho-OPD: An Automatic Osteotomy Planes Design Model for Orthognathic Surgery Based on Deep Learning,IEEE Journal of Biomedical and Health Informatics,journalArticle,XXD237D5,INCLUDE,EXCLUDE,INCLUDE,"All these data were transformed into nii.gz format using Mimics software (Materialise, Belgium) for the following model development.",Mimics,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: All these data were transformed into nii.gz format using Mimics software (Materialise, Belgium) for the following model development.
【软件】: Mimics
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
realization of a dental framework by 3d printing in material cobalt chromium with superior precision and fitting accuracy,Realization of a Dental Framework by 3D Printing in Material Cobalt-Chromium with Superior Precision and Fitting Accuracy,MATERIALS,journalArticle,4QDY3R9M,,INCLUDE,INCLUDE,"Shape deviations and shape variance analysis as compared to the original CAD data is provided by stripe line projection using Atos Core and ATOS Professional V8-SR1 software (GOM, Brunswick, Germany).",ATOS Professional (GOM),Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: Shape deviations and shape variance analysis as compared to the original CAD data is provided by stripe line projection using Atos Core and ATOS Professional V8-SR1 software (GOM, Brunswick, Germany).
【软件】: ATOS Professional (GOM)
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
assessing the effect of interimplant distance and angle on different impression techniques,Assessing the Effect of Interimplant Distance and Angle on Different Impression Techniques,MACHINES,journalArticle,WQU7Y7H4,,INCLUDE,INCLUDE,"""During distance and angle measurements, first, all STL data obtained with the impressions were transferred to Rapidform (INUS Technology Inc., Seoul, South Korea) reverse engineering software.""",Rapidform,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""During distance and angle measurements, first, all STL data obtained with the impressions were transferred to Rapidform (INUS Technology Inc., Seoul, South Korea) reverse engineering software.""
【软件】: Rapidform
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
the impact of mixed reality training method on novice trainees of dental implants an in vitro study,The impact of mixed reality training method on novice trainees of dental implants: an in vitro study,BMC ORAL HEALTH,journalArticle,S22NI99I,INCLUDE,EXCLUDE,INCLUDE,"""The relative position between implant placement and planned implant location was subsequently observed via the software Geomagic Control.""",Geomagic Control,Implantology,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""The relative position between implant placement and planned implant location was subsequently observed via the software Geomagic Control.""
【软件】: Geomagic Control
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
sex and age biological variation of the mandible in a portuguese population a forensic and medico legal approaches with three dimensional analysis,Sex and age biological variation of the mandible in a Portuguese population- a forensic and medico-legal approaches with three-dimensional analysis,SCIENCE & JUSTICE,journalArticle,7YA2AMRR,INCLUDE,INCLUDE,INCLUDE,"CBCT were imported into Mimics Innovation Suite 17.0 software (Materialise, Leuven, Belgium) and reconstructed to generate 3D craniofacial images.",Mimics,Forensic Dentistry,Image segmentation and 3D reconstruction,clinical,"【判定】: INCLUDE
【证据】: CBCT were imported into Mimics Innovation Suite 17.0 software (Materialise, Leuven, Belgium) and reconstructed to generate 3D craniofacial images.
【软件】: Mimics
【专科】: Forensic Dentistry
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: clinical"
virtual reality and 3d printing in head and neck cancer an educational experience,Virtual reality and 3D printing in head and neck cancer: an educational experience,FRONTIERS IN ONCOLOGY,journalArticle,SJNPSVRX,INCLUDE,EXCLUDE,INCLUDE,"""Exported DICOM from CT of a mandibular solid tumour and angio-CT of lower limbs data were segmented with Mimics Innovation Suite (Materialise).""",Mimics Innovation Suite,Oral and Maxillofacial Surgery,Image segmentation and 3D reconstruction,educational,"【判定】: INCLUDE
【证据】: ""Exported DICOM from CT of a mandibular solid tumour and angio-CT of lower limbs data were segmented with Mimics Innovation Suite (Materialise).""
【软件】: Mimics Innovation Suite
【专科】: Oral and Maxillofacial Surgery
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: educational"
evaluation of root angulations through panoramic films using artificial intelligence,Evaluation of Root Angulations Through Panoramic Films Using Artificial Intelligence,DIAGNOSTICS,journalArticle,AAF545N2,INCLUDE,EXCLUDE,INCLUDE,"""The same measurements were independently performed manually by an experienced examiner (D.¸S.) using 3D Slicer software (version 5.8.1), an open-source medical image analysis platform; these manual measurements served as the reference standard for accu- racy assessment.""",3D Slicer,Orthodontics,3D data analysis and accuracy assessment,computational,"【判定】: INCLUDE
【证据】: ""The same measurements were independently performed manually by an experienced examiner (D.¸S.) using 3D Slicer software (version 5.8.1), an open-source medical image analysis platform; these manual measurements served as the reference standard for accu- racy assessment.""
【软件】: 3D Slicer
【专科】: Orthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: computational"
precise sparse view dental crown reconstruction via 3d gaussian neural fields,Precise sparse-view dental crown reconstruction via 3D Gaussian neural fields,BIOMEDICAL SIGNAL PROCESSING AND CONTROL,journalArticle,YTX9I6KD,INCLUDE,EXCLUDE,INCLUDE,We used Cloudcompare software to manually extract the crown area of the scanned 3D model of the oral cavity as the basis for subsequent experiments.,CloudCompare,Orthodontics,Image segmentation and 3D reconstruction,computational,"【判定】: INCLUDE
【证据】: We used Cloudcompare software to manually extract the crown area of the scanned 3D model of the oral cavity as the basis for subsequent experiments.
【软件】: CloudCompare
【专科】: Orthodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: computational"
influence of age related changes on crack growth trajectories and toughening mechanisms in human dentin,Influence of age-related changes on crack growth trajectories and toughening mechanisms in human dentin,DENTAL MATERIALS,journalArticle,6P4BE843,INCLUDE,INCLUDE,INCLUDE,We use a staggered scheme in a user-defined element subroutine (UEL) into Abaqus to solve the phase field and displacement problems suggested by Molnar and Gravouil [34].,ABAQUS,Restorative Dentistry,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: We use a staggered scheme in a user-defined element subroutine (UEL) into Abaqus to solve the phase field and displacement problems suggested by Molnar and Gravouil [34].
【软件】: ABAQUS
【专科】: Restorative Dentistry
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
combining 3d multi object reconstruction with finite element analysis for accurate dental modelling and restoration,Combining 3D Multi-Object Reconstruction with Finite Element Analysis for Accurate Dental Modelling and Restoration,INTERNATIONAL DENTAL JOURNAL,journalArticle,LIFEJWBH,INCLUDE,EXCLUDE,INCLUDE,"""The next phase involved generating 3D solid meshes of the anatomical structures and integrating them into a unified model using ANSYS (Release 14)."" 以及 ""Analyses were performed in ANSYS Mechanical, Static Structural System, using the sparse direct solver...""",ANSYS,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""The next phase involved generating 3D solid meshes of the anatomical structures and integrating them into a unified model using ANSYS (Release 14)."" 以及 ""Analyses were performed in ANSYS Mechanical, Static Structural System, using the sparse direct solver...""
【软件】: ANSYS
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
lateral stress distribution analysis on hafnium metal bar for implant superstructure a finite element analysis,Lateral stress distribution analysis on hafnium metal bar for implant superstructure- A finite element analysis.,Journal of oral biology and craniofacial research,journalArticle,KJ67GB6M,INCLUDE,EXCLUDE,INCLUDE,"""Three primary software platforms were used: SolidWorks 2021 for computer-aided design (CAD) of the mandibular model and prosthetic components, HyperMesh 14 for mesh generation and refinement, and Abaqus 6.14 for simulation and stress analysis.""",SolidWorks; HyperMesh; ABAQUS,Implantology,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""Three primary software platforms were used: SolidWorks 2021 for computer-aided design (CAD) of the mandibular model and prosthetic components, HyperMesh 14 for mesh generation and refinement, and Abaqus 6.14 for simulation and stress analysis.""
【软件】: SolidWorks; HyperMesh; ABAQUS
【专科】: Implantology
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
evaluation of trueness and precision of removable partial denture metal frameworks manufactured with digital technology and different materials,Evaluation of trueness and precision of removable partial denture metal frameworks manufactured with digital technology and different materials,JOURNAL OF ADVANCED PROSTHODONTICS,journalArticle,ATX75SMI,INCLUDE,EXCLUDE,INCLUDE,"Data were processed using GOM Inspect software (Handonmetrology, Zeiss group, Oberko-chen, Germany).",GOM Inspect,Prosthodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: Data were processed using GOM Inspect software (Handonmetrology, Zeiss group, Oberko-chen, Germany).
【软件】: GOM Inspect
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
effect of implant number attachment type and framework material on stress distribution in mandibular overdentures a finite element analysis,"Effect of implant number, attachment type, and framework material on stress distribution in mandibular overdentures: a finite element analysis",BMC ORAL HEALTH,journalArticle,SE8L9A5N,INCLUDE,INCLUDE,INCLUDE,"""DICOM data were imported into 3D Slicer (Slicer Community, 2023)... The STL mandible was then imported into ANSYS SpaceClaim software for detailed geometric processing... The meshes prepared in ANSYS Workbench software were then exported to the LS-DYNA solver for finite element stress analysis.""",3D Slicer; ANSYS SpaceClaim; ANSYS Workbench; LS-DYNA,Prosthodontics,Biomechanical analysis and simulation,computational,"【判定】: INCLUDE
【证据】: ""DICOM data were imported into 3D Slicer (Slicer Community, 2023)... The STL mandible was then imported into ANSYS SpaceClaim software for detailed geometric processing... The meshes prepared in ANSYS Workbench software were then exported to the LS-DYNA solver for finite element stress analysis.""
【软件】: 3D Slicer; ANSYS SpaceClaim; ANSYS Workbench; LS-DYNA
【专科】: Prosthodontics
【应用场景】: Biomechanical analysis and simulation
【研究设计】: computational"
accuracy evaluation of dental cbct and scanned model registration method based on pulp horn mapping surface an in vitro proof of concept,Accuracy evaluation of dental CBCT and scanned model registration method based on pulp horn mapping surface: an in vitro proof-of-concept,BMC ORAL HEALTH,journalArticle,2U8ZWJEZ,INCLUDE,EXCLUDE,INCLUDE,"""We used Matlab 2020b (MathWorks, USA) for image filtering, segmentation, 3D reconstruction, and registration error calculation, and used reverse engineering software Geomagic warp 2017 (3D System, USA, Morrisville) for extraction of target teeth and processing of 3D point cloud."" 以及 ""the triangular mesh of the dentition was collected by an oral scanning device and imported into the 'Geomagic wrap' software.""",MATLAB; Geomagic Wrap,Endodontics,Image segmentation and 3D reconstruction,in_vitro,"【判定】: INCLUDE
【证据】: ""We used Matlab 2020b (MathWorks, USA) for image filtering, segmentation, 3D reconstruction, and registration error calculation, and used reverse engineering software Geomagic warp 2017 (3D System, USA, Morrisville) for extraction of target teeth and processing of 3D point cloud."" 以及 ""the triangular mesh of the dentition was collected by an oral scanning device and imported into the 'Geomagic wrap' software.""
【软件】: MATLAB; Geomagic Wrap
【专科】: Endodontics
【应用场景】: Image segmentation and 3D reconstruction
【研究设计】: in_vitro"
enlarge the error prediction dataset in 3 d printing an unsupervised dental crown mesh generator,Enlarge the Error Prediction Dataset in 3-D Printing: An Unsupervised Dental Crown Mesh Generator,IEEE Transactions on Computational Social Systems,journalArticle,96FVBXB8,INCLUDE,EXCLUDE,INCLUDE,"""In this article, we use a UV sphere as a mesh template, which is generated with the Blender software""",Blender,Prosthodontics,Digital design and manufacturing,computational,"【判定】: INCLUDE
【证据】: ""In this article, we use a UV sphere as a mesh template, which is generated with the Blender software""
【软件】: Blender
【专科】: Prosthodontics
【应用场景】: Digital design and manufacturing
【研究设计】: computational"
an application framework of 3d assessment image registration accuracy and untouched surface area in canal instrumentation laboratory research with micro computed tomography,An application framework of 3D assessment image registration accuracy and untouched surface area in canal instrumentation laboratory research with micro-computed tomography,CLINICAL ORAL INVESTIGATIONS,journalArticle,52HGP6QH,INCLUDE,INCLUDE,INCLUDE,"""The pre- and post-operative images were registered by four techniques, including 3D-slicer manual registration, 3D-slicer Elastix registration, 3D-slicer surface registration, and DataViewer registration (3D registration). The open-source 3D-slicer (V4.1.1) software (Harvard SPL, Boston, MA, USA) provided the platform for the 3D registration module execution."" 以及 ""The purpose of this ex vivo study was to create a customized framework by using MeVisLab software to investigate the registration ac",3D Slicer; MeVisLab,Endodontics,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""The pre- and post-operative images were registered by four techniques, including 3D-slicer manual registration, 3D-slicer Elastix registration, 3D-slicer surface registration, and DataViewer registration (3D registration). The open-source 3D-slicer (V4.1.1) software (Harvard SPL, Boston, MA, USA) provided the platform for the 3D registration module execution."" 以及 ""The purpose of this ex vivo study was to create a customized framework by using MeVisLab software to investigate the registration accuracy...""
【软件】: 3D Slicer; MeVisLab
【专科】: Endodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
comparison between relining of ill fitted maxillary complete denture versus cad cam milling of new one regarding patient satisfaction denture retention and adaptation,"Comparison between relining of ill-fitted maxillary complete denture versus CAD/CAM milling of new one regarding patient satisfaction, denture retention and adaptation",BMC ORAL HEALTH,journalArticle,4JN55E2T,INCLUDE,INCLUDE,INCLUDE,"""the STL file was imported to a three-D measurement program (Geomagic Control X, 3D Systems, United States) software to flip the fitting surface of the dentures to resemble the intra-oral tissue surface to build and superimpose STL files using first initial alignment and then best-fit alignment""",Geomagic Control X,Prosthodontics,3D data analysis and accuracy assessment,clinical,"【判定】: INCLUDE
【证据】: ""the STL file was imported to a three-D measurement program (Geomagic Control X, 3D Systems, United States) software to flip the fitting surface of the dentures to resemble the intra-oral tissue surface to build and superimpose STL files using first initial alignment and then best-fit alignment""
【软件】: Geomagic Control X
【专科】: Prosthodontics
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: clinical"
accuracy of static computer assisted implant placement in posterior edentulous areas with different levels of tooth support by novice clinicians,Accuracy of Static Computer- Assisted Implant Placement in Posterior Edentulous Areas with Different Levels of Tooth- Support by Novice Clinicians.,The European journal of prosthodontics and restorative dentistry,journalArticle,69LQ9WZ4,INCLUDE,EXCLUDE,INCLUDE,"""which was followed by automated best fit alignment of the models by a 3-dimensional rendering software (Geomagic Control X, Raindrop, Geomagic Inc., Research Triangle Park, NC, United States)""",Geomagic Control X,Implantology,3D data analysis and accuracy assessment,in_vitro,"【判定】: INCLUDE
【证据】: ""which was followed by automated best fit alignment of the models by a 3-dimensional rendering software (Geomagic Control X, Raindrop, Geomagic Inc., Research Triangle Park, NC, United States)""
【软件】: Geomagic Control X
【专科】: Implantology
【应用场景】: 3D data analysis and accuracy assessment
【研究设计】: in_vitro"
