序号,Key,Title,Archetype
24,VTYTBDL8,Novel Design and Optimization of Porous Titanium Structure for Mandibular Reconstruction,3
25,FK2AQUZY,Waferless Orthognathic Surgery with Customized Osteosynthesis and Surgical Guides: A Prospective Study,1
26,LLS6DR9F,Is Beauty a Matter of Volume Distribution? Proposal of a New Aesthetic Three-Dimensional Guide in Orthognathic Surgery,1
27,6BVQQI7U,Qualitative exploration of 3D printing in Swedish healthcare: perceived effects and barriers,1
28,4YHU6J4I,Automated 3D segmentation of the hyoid bone in CBCT using nnU-Net v2: a retrospective study on model performance and potential clinical utility,1
29,4RGTB6EY,A pilot investigation of condylar position and asymmetry in patients with unilateral posterior scissors-bite malocclusion based on three-dimensional reconstructive imaging technique,1
30,QV9TASMT,3-dimensional analysis of hard- and soft-tissue symmetry in a Chinese population.,1
31,ATFDULYF,Three-dimensional evaluation of condylar morphology after orthodontic treatment in adult patients with Class II malocclusion by cone-beam computed tomography.,1
32,4I8FWCMQ,Design and development of a virtual reality simulation for dental implant prosthesis training.,4
33,QD7MIRSD,Evaluation of CBCT reconstructed tooth models at different thresholds and voxels and their accuracy in fusion with IOS data: an in vitro validation study.,1
34,4SAG92EI,Evaluation of prostheses retained zygomatic and dental implants in large defects in the maxilla due to tumors or major trauma by biomechanical 3- dimensional  finite element analysis.,3
35,R67KEMQQ,A novel method for 3D face symmetry reference plane based on weighted Procrustes analysis algorithm.,2
36,IHRNZSRA,Optimum design of reference points distribution in three-dimensional reconstruction of dental model in intercuspal position,4
37,FIBFTP9V,Use of open-source software and photogrammetry in the fabrication of 3D-printed custom trays for edentulous patients: A technical guide,4
38,HIZDAWBD,Convolutional neural network for automated tooth segmentation on intraoral scans,1
39,CXWGAQ8R,Comparison the accuracy of a novel implant robot surgery and dynamic navigation system in dental implant surgery: an in vitro pilot study,2
40,HVIZBRYA,Morphological changes of the root apex in anterior teeth with periapical periodontitis: an in-vivo study,1
41,8N2YELVJ,Digital measurement method for comparing the absolute marginal discrepancy of three-unit ceramic fixed dental prostheses fabricated using conventional and digital technologies,2
42,586DI265,Two step approach for detecting and segmenting the second mesiobuccal canal of maxillary first molars on cone beam computed tomography (CBCT) images via artificial intelligence,1
43,6DDWSR52,CBCT-Based 3D Assessment of Maxillary Sinus and Pharyngeal Airway in Unilateral Cleft Lip and Palate,1
44,E6VT69AR,The effect of ultrasonic tip working length on fluid dynamics in the root canal during the irrigation procedure: a computational fluid dynamics study,1
45,CCQTZ6RH,Association between diabetes and pulp stone prevalence and morphological characteristics: a CBCT-based retrospective study,1
46,ST9LNB5B,"Biomechanical effects of digitally constructed titanium, modified polyetheretherketone, and polyetherketoneketone subperiosteal implants on atrophied maxilla: a finite element analysis",3
47,UUBTWEUW,Technical considerations of computer-aided planning in severe orbital trauma: A retrospective study,1
48,HAHRMEEF,Three-dimensional finite element analysis of two-implant-supported locator overdenture in different reinforced denture base designs under four loading conditions,3
49,34MP4QBJ,Tooth rotational control with varying attachment configurations in clear aligners under compromised periodontal ligament support: a finite element study,3
50,7IZQ956D,Machine learning in 3D auto-filling alveolar cleft of CT images to assess the influence of alveolar bone grafting on the development of maxilla,1
51,UQD3PPU3,Comparative biomechanics of all-on-4 and vertical implant placement in asymmetrical mandibular: a finite element study,3
52,7HZ83PC7,Biomechanical comparison of various implant inclinations and abutment types in a bendable implant system,3
53,FHF2C4Z8,Digital three-dimensional visualization of intrabony periodontal defects for regenerative surgical treatment planning,1
54,SNBL5TZ6,Automated pipeline for linear and volumetric assessment of facial swelling after third molar surgery,1
55,8BR5A4LH,Automatic restoration and reconstruction of defective tooth based on deep learning technology,4
56,CM7FEBXL,Accuracy of implant abutment level digital impressions using stereophotogrammetry in edentulous jaws: an in vitro pilot study,2
57,SJ9KNVQL,Accurate mandibular canal segmentation of dental CBCT using a two-stage 3D-UNet based segmentation framework,1
58,RI7R6Y8M,Stress distribution in zirconia-reinforced glass ionomer restorations in molar incisor hypomineralization: A finite element analysis,3
59,37PRIYQ7,Intra-oral scan segmentation using deep learning,1
60,FS7LLKDV,Strain gauge analysis and deformation detection of maxillary denture bases reinforced by CAD/CAM milled zirconia and cobalt chromium (Co-Cr) frameworks: An in-vitro study,2
61,SDN96I58,Biomechanical analysis of stress around the tilted implants with different cantilever lengths in all-on-4 concept,4
62,YUI4LKWS,Biomechanical comparison of different framework materials in mandibular overdenture prosthesis supported with implants of different sizes: a finite element analysis,3
63,IG7LMPC6,"Biomechanical behavior of titanium, cobalt-chromium, zirconia, and PEEK frameworks in implant-supported prostheses: a dynamic finite element analysis",3
64,WANWYQUE,Case report: Fabrication of a dental implant guide based on tetrahedron positioning technology,2
65,4RZD5BRS,Deep learning-based automatic segmentation of MRONJ lesions on CBCT images,1
66,AGL676NH,Effect of the prosthetic index on stress distribution in Morse taper connection implant system and peri-implant bone: a 3D finite element analysis,3
67,2QFH389T,Investigating the impact of diameters and thread designs on the Biomechanics of short implants placed in D4 bone: a 3D finite element analysis,3
68,XYUFR7DJ,AI-powered segmentation of bifid mandibular canals using CBCT,1
69,REL6ZPC4,Effect of segmentation techniques (manual versus semiautomatic) on the accuracy of the linear measurements driven from the reconstructed mandibular condyle using CBCT,1
70,Y4MP5BH5,Deep semi-supervised learning for automatic segmentation of inferior alveolar nerve using a convolutional neural network,1
71,A5TW6D8I,A case series on a new reference in mandibular angles harmonization: the Frontozygomatic-Infraorbital Line (FZ-IOL),1
72,65D7NUJE,MaxI-Net: A 3D AI Framework for CBCT-Based Maxillofacial Defect Reconstruction and Patient-Specific Implant Generation with Biomechanical Validation.,3
73,Y74MMKQJ,A Finite Element Analysis Study of Edentulous Model with Complete Denture to Simulate Masticatory Movement,3
74,G9J5IXKK,Three-Dimensional Accuracy of Digitally Planned Orthodontic Tooth Movement in a Fully Customized Self-Ligating Lingual System,2
75,2ZAM6LZB,Influence of Framework Material on Biomechanical Performance of an All-on-4 Prosthesis Supported by Bendable Monoblock Implants,3
76,UVUEYTMM,Assessment of the Highest Stress Concentration Area Generated on the Mandibular Structure Using Meshless Finite Elements Analysis,3
77,FQG9RPPJ,Comparison of Artificial Intelligence-Based Applications for Mandible Segmentation: From Established Platforms to In-House-Developed Software,1
78,DDJDZ2IZ,Finite element analysis (FEA) of stress distribution in platform-switched short dental implants.,3
79,EQW8VEQK,Biomechanical effects of inclined implant shoulder design in all-on-four treatment concept: a three-dimensional finite element analysis,3
80,4MCRUAJM,Biomechanical comparison of different prosthetic materials and posterior implant angles in all-on-4 treatment concept by three-dimensional finite element analysis,3
81,3DRR3UYA,Mechanical response of different frameworks for maxillary all-on-four implant-supported fixed dental prosthesis: 3D finite element analysis,3
82,DV2DXAL4,Biomechanical Optimization of the Human Bite Using Numerical Analysis Based on the Finite Element Method,3
83,TQG3WKJX,Three-Dimensional FEA Analysis of the Stress Distribution on Titanium and Graphene Frameworks Supported by 3 or 6-Implant Models,3
84,3IEUJSUM,A reliable micro-CT-based method reveals dynamic changes to alveolar bone and tooth root following ligature-induced periodontal injury in the mouse,1
85,UMFZ4A7L,"The 3D skull 0-4?years: A validated, generative, statistical shape model.",1
86,UQR3H5EW,Different Treatment Modalities Using Dental Implants in the Posterior Maxilla: A Finite Element Analysis.,3
87,NMYGPRBY,Carbon fiber-reinforced PEEK as a framework material for single implant-retained mandibular overdentures,3
88,U4EFVD3N,Bioprinting on 3D Printed Titanium Scaffolds for Periodontal Ligament Regeneration,4
89,GBU6N5KA,Three-Dimensional Finite Element Analysis of Different Connector Designs for All-Ceramic Implant-Supported Fixed Dental Prostheses.,3
90,SCPVCH8P,Scanning Accuracy of 10 Intraoral Scanners for Single-crown and Three-unit Fixed Denture Preparations: An In Vitro Study.,2
91,GCV6RFJL,Cadaveric Study and Micro-Computed Tomography of the Anatomy of Palatine Aponeurosis and its Link to the Soft Palate Muscles and Pharyngeal Muscles.,1
92,SUBWE4UX,Effect of Occlusal Scheme and Bone-Level Implant Number and Position on Stress Distribution in Kennedy Class II Implant-Assisted Removable Partial Dentures: A  3D Finite Element Analysis.,4
93,49MIXWYD,Complete Digital Workflow for Evaluation of the Three-Dimensional Monson's Sphere Using Digital Scanning.,1
94,MQGENIRJ,Automated Orientation and Registration of Cone-Beam Computed Tomography Scans.,1
95,W8628Y5K,"Accuracy of static computer-assisted implant placement in long span edentulous area by novice implant clinicians: A cross-sectional in vitro study comparing  fully-guided, pilot-guided, and freehand implant placement protocols.",2
96,WUGG7RGX,Accuracy of digital and conventional implant-level impression techniques for maxillary full-arch screw-retained prosthesis: A crossover randomized trial.,2
97,6BY72ZIY,Assessment of the application of a novel three-dimension printing individualized titanium mesh in alveolar bone augmentation: A retrospective study,1
98,HECHH8ZW,Comparison of Different Frameworks and Implant Angulations in All-On-Four and Six Concepts: A Finite Element Analysis,3
99,PLCSV5QB,Intra Oral Photogrammetry: Trueness Evaluation of Novel Technology for Implant Complete-Arch Digital Impression In Vitro,2
100,4H956ZKF,“Three-in-one” patient-specific surgical guides for simultaneous dental implants in fibula flap jaw reconstruction: A prospective case series,1
101,CWYF2FX9,Comparison of the accuracy of implant placement using different drilling systems for static computer-assisted implant surgery: A simulation-based experimental study,4
102,AY74A6GH,Artificial intelligence and mixed reality for dental implant planning: A technical note,1
103,84KPWKRW,Research on the dimensional accuracy of customized bone augmentation combined with 3D-printing individualized titanium mesh: A retrospective case series study,1
104,MXRP67U6,Accuracy and safety of a haptic operated and machine vision controlled collaborative robot for dental implant placement: A?translational study.,1
105,ECIFX957,Clinical evaluation of autonomous robotic-assisted full-arch implant surgery: A 1-year prospective clinical study.,2
106,XFVSNR6Q,"Computer-assisted bone augmentation, implant planning and placement: An in vitro investigation",2
107,53KUMU6R,Validation of a novel AI-based automated multimodal image registration of CBCT and intraoral scan aiding presurgical implant planning,2
108,GAYWQD7W,/Does the geometry of scan bodies affect the alignment accuracy of computer-aided design in implant digital workflow: An in vitro study?,2
109,YCHGF3KN,Developing a three-dimensional statistical shape model of normal dentition using an automated algorithm and normal samples,1
110,F6T9LBCV,Automatic virtual reconstruction of maxillofacial bone defects assisted by ICP (iterative closest point) algorithm and normal people database,1
111,IP9HNSDB,Local mechanical stresses can explain the mechanoregulation of bone healing after mandibular reconstruction: an in silico study,3
112,KTS7Y4S6,Evaluation of mandibular changes after rapid maxillary expansion: a CBCT study in youngsters with unilateral posterior crossbite using a surface-to-surface matching technique,1
113,4GCSCPFE,The effect of mandibular advancement on pharyngeal airway space in patients with oral squamous cell carcinoma: A monocentric prospective study with computed tomography,1
114,MKQJRINH,Three-dimensional volumetric evaluation of dental pulp cavity/tooth ratio in anterior open bite malocclusion using cone beam computed tomography,1
115,MXANGCGS,An open deep learning-based framework and model for tooth instance segmentation in dental CBCT,1
116,EEF8CDJW,Multi-objective optimization for enhanced digitalization in direct 3D printing: an application in dentistry,1
117,652AE8BH,Feasibility and accuracy assessment of AI-driven incisor restoration using 3D point cloud data,2
118,PXTMHV7H,Comparative analysis of volumetric changes between resection volume of oral tongue cancer and post operative volume of radial forearm flaps,1
119,2HHCZJZ3,3D model construction and biomechanical analysis of temporomandibular joint disc perforation based on arthrography,1
120,4Z274IMC,Biomechanical behavior of implant retained prostheses in the posterior maxilla using different materials: a finite element study,3
121,HGU9YKI5,Unilateral Condylar Hyperplasia: A Thee-Dimensional CBCT Morphometric and Volumetric Evaluation of Mandibular Condyle by Open-Source Softwares,1
122,5I4SSN7M,Three-dimensional assessment of tongue cancer prognosis by preoperative MRI,1
123,WV2YRJPV,Dental measurement procedure based on 3D analysis and data processing.,2
124,8DSDLZHX,Two-piece versus single-piece patient-specific titanium subperiosteal implants in atrophied edentulous mandibles: A finite element analysis.,3
125,HFL89TH9,A mixed reality-based navigation method for dental implant navigation method: A pilot study,3
126,AQ7UL4F3,The influence of framework material on stress distribution in maxillary complete-arch fixed prostheses supported by four dental implants: a three-dimensional finite element analysis,3
127,GR6A932U,Automated generation of implant-supported bar attachment system for patient-specific edentulous mandible: parametric modelling and finite element analysis,3
128,GUATC4KK,Stress distribution on implant- supported zirconia crown of maxillary first molar: effect of oblique load on natural and antagonist tooth,3
129,LER47S6U,How to predict the future face? A 3D methodology to forecast the aspect of patients after orthognathic surgeries,1
130,6KRL8HF5,Influence of Implant Dimensions in the Resorbed and Bone Augmented Mandible: A Finite Element Study.,3
131,NTBICZNM,Is There a Need to Increase Palatal Root Torque of Upper Incisors in Lingual Appliance? A Finite Element Analysis.,3
132,6GIVN8GS,Evaluation of Strain and Insertion Torque of Mini-implants at 90° and 45° Angulations on a Bone Model using Three-Dimensional Finite Element Analysis.,3
133,SG47UPMT,Advanced Simulation System for Orbitozygomatic Fracture Reconstruction: Multicenter Validation of a Novel Training and Objective Assessment Platform.,3
134,G468UMA5,Training of Oral and Maxillofacial Surgery Residents in Virtual Surgical Planning: A Feasibility Study Comparing Open-Source Freeware and Commercially  Available Software for Mandibular Reconstruction with Fibula Free Flap.,1
135,YZHWVIEG,Automatic Pulp and Teeth Three-Dimensional Modeling of Single and Multi-Rooted Teeth Based on Cone-Beam Computed Tomography Imaging: A Promising Approach With  Clinical and Therapeutic Outcomes.,1
136,FA6QRXQN,Finite Element Analysis of Platform Switching Effects on Stress Distribution in Posterior Implants Placed in Different Bone Types Under Axial and Oblique Loading  Conditions.,3
137,V9V4K2H2,In-House Three-Dimensional Printing in Orbital Reconstructive Surgery: A Case Report and Future Perspectives.,1
138,WXXEPTFD,"Biomechanical Evaluation of Stress Distribution in Equicrestal and Sub-crestally Placed, Platform-Switched Morse Taper Dental Implants in D3 Bone: Finite Element  Analysis.",3
139,X6AN57YI,Mandibular Flexure and Crestal Bone Stress Distribution on an Implant-Supported Fixed Full Arch Mandibular Prosthesis: Finite Element Analysis in Three  Dimensions.,3
140,3TZA3JYJ,Comparative Evaluation of the Wear Rate of Reinforced Glass Ionomer Cement and Bulk-Fill Composite Using 3D Scan in Extracted Teeth and Its Association With  Clinical Wear Rate in Class I and II Restorations: A Randomized Clinical Trial.,2
141,MEJFWDKZ,Accuracy of Complete-Arch Scans Obtained by Intraoral Scanner and Smartphone Three-Dimensional Scanning Applications With Different Smartphone Position  Setups: An In Vitro Study.,2
142,ZZ85MX92,Effect of Different Cantilever Lengths in Polyether Ether Ketone Prosthetic Framework in All-on-Four Technique on Stress Distribution: A Three-Dimensional  (3D) Finite Element Analysis.,1
143,W692WAXG,Accuracy Assessment of Customized Titanium Plates Compared to 3D-Printed Splints in Le Fort I Osteotomy: A Randomized Clinical Trial Evaluating Clinical and  Radiographic Outcomes.,1
144,EYH7C2TZ,Craniofacial Soft-Tissue Anthropomorphic Database with Magnetic Resonance Imaging and Unbiased Diffeomorphic Registration,1
145,7RLZP4A4,Proof-of-Concept Digital-Physical Workflow for Clear Aligner Manufacturing.,2
146,N4NBSSAU,Assessing the Volume of the Head of the Mandibular Condyle Using 3T-MRI-A Preliminary Trial.,1
147,3EX7T8DA,"Automated Support Generation for Fixed Partial Dentures and Impact of Bone Loss, Bone Quality and Support Types: Parametric Cad and Finite Element Analysis.",3
148,KC7UPHLF,Automated Remodelling of Connectors in Fixed Partial Dentures.,3
149,G6977KXR,Influence of Framework Material and Posterior Implant Angulation in Full-Arch All-on-4 Implant-Supported Prosthesis Stress Concentration.,3
150,LC2F3NZR,Digital Accuracy of Closed-Tray Implant Impressions: Influence of Polyvinyl Siloxane Viscosity and Subgingival Posterior Implant Angulation.,2
151,HTUE3J8F,A Comparison of Full Arch Trueness and Precision of Nine Intra-Oral Digital Scanners and Four Lab Digital Scanners.,2
152,CI6MMSH5,OpenMandible: An open-source framework for highly realistic numerical modelling of lower mandible physiology.,1
153,23Y7ND62,Assessing the physical and mechanical properties of 3D printed acrylic material for denture base application,4
154,3GB9RL4W,The role of cortical zone level and prosthetic platform angle in dental implant mechanical response: A 3D finite element analysis,3
155,AP4P8U75,Morphology and mechanical performance of dental crown designed by 3D-DCGAN,3
156,Q986RNC6,Accuracy of metal 3D printed frameworks for removable partial dentures evaluated by digital superimposition,2
157,6GSLLXSS,Evaluation of the mechanical properties and fit of 3D-printed polyetheretherketone removable partial dentures,3
158,CJ5Q5P3J,Establishment of optimal variable elastic modulus distribution in the design of full-crown restorations by finite element analysis,3
159,MIIDKKPB,Trueness of stereolithography ZrO2 crowns with different build directions,2
160,QFFZ2SWF,Finite element analysis of the effect of framework materials at the bone-implant interface in the all-on-four implant system.,3
161,KXVDKKYK,A new way of analyzing tooth movement using universal coordinate system geometry single point superposition in a 3D model.,1
162,HDYG8L7N,Unleashing the potency of multi-segmental DCIA flap in mandibular reconstruction with the aid of virtual surgery-A retrospective cohort study,1
163,P2RSUDHI,Machine learning assessment of dental age classification based on cone-beam CT images: a different approach.,1
164,SYGM4R6E,Morphological variation of gubernacular tracts for permanent mandibular canines in eruption: a three-dimensional analysis,1
165,E97IPCII,Accuracy of upper airway volume measurements using different software products: a comparative analysis,1
166,J78F7I8I,Differentiation of radicular cysts and radicular granulomas via texture analysis of multi-slice computed tomography images,1
167,RSDDM8EI,Development of automatic landmark identification for mandible using curvature-based registration,1
168,YP5VIRNP,Automated tooth segmentation in magnetic resonance scans using deep learning - A pilot study,1
169,ZMBGXJTE,Artificial intelligence-based fully automatic 3D paranasal sinus segmentation,1
170,MLA5PE8Y,"In Vitro Evaluation of Accuracy of CBCT-Derived Volumes in Maxillary Defects: Effects of kVp, Device, and Software",1
171,A94JIKBB,Automatic Segmentation of the Infraorbital Canal in CBCT Images: Anatomical Structure Recognition Using Artificial Intelligence,1
172,863TCEA7,Using the Finite Element Method to Determine the Odonto-Periodontal Stress for a Patient with Angle Class II Division 1 Malocclusion,3
173,ZE3WQLXI,Comparison Study of Extraction Accuracy of 3D Facial Anatomical Landmarks Based on Non-Rigid Registration of Face Template,1
174,KZIYILZU,Artificial Intelligence for 3D Reconstruction from 2D Panoramic X-rays to Assess Maxillary Impacted Canines,1
175,IPRIVZUP,Developing an Artificial Intelligence Solution to Autosegment the Edentulous Mandibular Bone for Implant Planning.,1
176,GMQCCFR9,Developing an Artificial Intelligence Solution to Autosegment the Edentulous Maxillary Bone for Implant Planning.,1
177,P3IE33LP,Evaluation of the Influence of Build Orientation on the Surface Roughness and Flexural Strength of 3D-Printed Denture Base Resin and Its Comparison with  CAD-CAM Milled Denture Base Resin.,3
178,S4MRIA3P,Mechanical Response of PEKK and PEEK As Frameworks for Implant-Supported Full-Arch Fixed Dental Prosthesis: 3D Finite Element Analysis.,3
179,3ZVZI7FS,Design of an interactive system for access cavity assessment: A novel feedback tool for preclinical endodontics,2
180,AIZ65U9H,Integrating Digital Feedback Into Competency-Based Medical Education for Crown Preparation Skill Acquisition: A Pre-Post Study of Dental Interns in Taiwan,2
181,KYG8D3UF,Development of a Quantitative Method to Assess Dental Students' Manual Dexterity in Tooth Cavity Preparation,2
182,TWGZIE88,The accuracy of automated facial landmarking - a comparative study between Cliniface software and patch-based Convoluted Neural Network algorithm.,1
183,5V4M8IQL,A 3-D Finite Element Analysis of a Single Implant Retained Overdenture Reinforced with Short Versus Long Frameworks.,3
184,8ZIRPRCJ,Secondary Mandible Reconstruction with Computer-Assisted-Surgical Simulation and Patient-Specific Pre-Bent Plates: The Algorithm of Virtual Planning and Limitations Revisited,1
185,8LJI9ZZH,Effect of Mandibular Advancement on Condylar Remodelling of Class II Malocclusion Adolescent Patients With or Without Anterior Disc Displacement: A Retrospective Study,2
186,9DHRAUNV,Precision and Efficacy of Digital Technology in Orthognathic Surgery for Facial Asymmetry Correction: A Quantitative Analysis,2
187,6WML986Q,Digital Hybrid Model Preparation for Virtual Planning of Reconstructive Dentoalveolar Surgical Procedures,1
188,2MUY3JET,Automated reconstruction: Predictive models based on facial morphology matrices.,1
189,64V3G83K,Three-dimensional superimposition of digital models for individual identification,2
190,7D8C3IE9,3D imaging for dental identification: a pilot investigation of a novel segmentation method using an intra oral scanning device,2
191,3UIJFW4V,An innovative additively manufactured implant for mandibular injuries: Design and preparation processes based on simulation model.,1
192,PRQRZMAW,The effect of mandibular flexure on the design of implant-supported fixed restorations of different facial types under two loading conditions by three-dimensional finite element analysis,3
193,3DULHY4P,"In-House, Open-Source 3D-Software-Based, CAD/CAM-Planned Mandibular Reconstructions in 20 Consecutive Free Fibula Flap Cases: An Explorative Cross-Sectional Study With Three-Dimensional Performance Analysis",1
194,K7USC6AL,A Comparative Study on a Novel Fibula Malleolus Cap to Increase the Accuracy of Oncologic Jaw Reconstruction,1
195,3KLNEKRB,Realizing in-house algorithm-driven free fibula flap set up within 24 hours: a pilot study evaluating accuracy with open-source tools,1
196,HTRWWCZV,Virtual surgical planning for maxillary reconstruction with the scapular free flap: An evaluation of a simple cutting guide design,1
197,R8BYGXA2,Developing an Interactive Computer Program for Integrated Dental Education.,4
198,2N5V8KH4,Validation of three-dimensional facial imaging captured with smartphone-based photogrammetry application in comparison to stereophotogrammetry system,1
199,3TBNKUQA,Initial implementation of surgical guide design utilizing digital medicine for lateral orbital decompression surgery,1
200,75U924X7,Esthetic rehabilitation for a Kennedy Class IV patient using detachable 3D printing diagnostic denture and removable partial denture with polyetheretherketone framework,2
201,ZRTG4C5T,A Framework to Enhance the Experience of CBCT Data in Real-Time Using Immersive Virtual Reality: Impacting Dental Pre-Surgical Planning,1
202,3C3LWSIA,Automated Dental Landmarks Recognition in Special Models via Neural Network,1
203,6L7WJ4MX,Effects of the cone-beam computed tomography protocol on the accuracy and image quality of root surface area measurements: An in vitro study.,1
204,MH77VGXZ,Optimization of forensic identification through 3-dimensional imaging analysis of labial tooth surface using open-source software.,1
205,6SHXRW5Z,Volumetric analysis of mucous retention cysts in the maxillary sinus: A retrospective study using cone-beam computed tomography.,1
206,N6477A2Z,Effect of posterior span length on the trueness and precision of 3 intraoral digital scanners: A comparative 3-dimensional in vitro study.,2
207,YFI6KQ92,Three-Dimensional Volumetric Investigation of Onodi Cells: A Multi-Slice Computed Tomography Study.,1
208,ILAFRFCN,Segmentation of Cemento-Osseous Dysplasias Using an Artificial Intelligence Algorithm,1
209,4D8XQVXT,Occlusal Analysis of Algorithm-designed Restoration Using Different Virtual Articulator Parameters: A Preliminary Study,4
210,APVNWPAS,Comparing the accuracy and treatment time of a robotic and dynamic navigation system in osteotomy and root-end resection: An in vitro study,2
211,DVQKTI8D,Practitioners' Perceptions of Augmented and Virtual Reality in Endodontic Treatment Planning: A Pilot Study,1
212,8TB2V9T8,Virtual reconstruction of orbital defects using Gaussian process morphable models.,1
213,V89XCKDS,Augmented reality navigation with real-time tracking for facial repair surgery.,1
214,GVHB8NVU,Contactless surface registration of featureless anatomy using structured light camera: application to fibula navigation in mandible reconstruction.,1
215,PEQ6GY9D,Fibular registration using surface matching in navigation-guided osteotomies: a proof of concept study on 3D-printed models.,1
216,PRJIHEU3,Reconstruction of dental roots for implant planning purposes: a feasibility study,1
217,NYZNSSTW,Computer-aided design and fabrication of nasal prostheses: a semi-automated algorithm using statistical shape modeling,4
218,9NDT7NR8,Development of a maxillofacial virtual surgical system based on biomechanical parameters of facial soft tissue,1
219,8FWPXUE2,Depth-based registration of 3D preoperative models to intraoperative patient anatomy using the HoloLens 2,2
220,TGY9GAAH,Accuracy of imaging software usable in clinical settings for 3D rendering of tooth structures.,1
221,XMP5NQCB,Designing an occlusal appliance digital protocol using an open-source 3D modeling software program: a technical report.,4
222,WYM2M69G,First steps of a digital workflow to build up a virtual articulator using open-source Autodesk Meshmixer software,4
223,4NP6UKJF,Accuracy of intraoral scanners in the cleft anatomy of neonates,2
224,QQZNUG9U,3D printing in endodontics: report of three clinical cases with innovative approaches,1
225,HQTBY7E3,Establishment and evaluation of a 3D quantitative analysis method for dental plaque based on an intraoral scanner technique,1
226,LUDVB4UY,Three-Dimensional Comparison of the Maxillary Surfaces through ICP-Type Algorithm: Accuracy Evaluation of CAD/CAM Technologies in Orthognathic Surgery.,2
227,43K9BQWT,Impacts of Thresholds of Gray Value for Cone-Beam Computed Tomography 3D Reconstruction on the Accuracy of Image Matching with Optical Scan,2
228,RXAH2VQD,Marker-free registration for intraoperative navigation using the transverse palatal rugae,2
229,6B57AE6C,The development of computer-aided patient-specific template design software for 3D printing in cranio-maxillofacial surgery,1
230,S299EA4M,Automated calculation of ontology-based planning proposals: An application in reconstructive oral and maxillofacial surgery,1
231,EUTQFE9J,A Systematic Study of Restorative Crown-Materials Combinations for Dental Implants: Characterization of Mechanical Properties under Dynamic Loads,3
232,2TIWQGZY,Mandibular bone remodeling around osseointegrated functionally graded biomaterial implant using three dimensional finite element model,3
233,BYIE23L8,Biomechanical behavior of temporomandibular joint movements driven by mastication muscles,3
234,VLH4HX4X,Three-Dimensional Evaluation of the Accuracy of Zygomatic Implant Placement Through an In-House Fully Guided Approach.,4
235,CZB4EPYR,Influence of Different Fabrication Techniques on the Accuracy of Radiographic Scan Templates in Cases of Full-Arch Computer-Guided Implant Placement: An In Vitro Study,2
236,EW7489ZA,"Virtual Implant Planning and Surgical Guide for Single Implant Placement Fabricated from a Digital Diagnostic Cast, 2D Radiographic Imaging, and an Open-Source Program: A Dental Technique",1
237,5VMVSI6N,"Comparison of Stress Distribution Among Standard Dental Implants Placed in Grafted Bone, Zygomatic Implants, and Subperiosteal Implants in the Atrophic Edentulous Maxilla: 3D Finite Element Analysis",3
